country_code,parliament_name,election_date,round,vote_type,file_type,file_path
AT,Nationalrat,2002-11-24,,,main,output/AT/2002.csv
AT,Nationalrat,2006-10-01,,,main,output/AT/2006.csv
AT,Nationalrat,2008-09-28,,,main,output/AT/2008.csv
AT,Nationalrat,2013-09-29,,,main,output/AT/2013.csv
AT,Nationalrat,2017-10-15,,,main,output/AT/2017.csv
AT,Nationalrat,2019-09-29,,,main,output/AT/2019.csv
AT,Nationalrat,2024-09-29,,,main,output/AT/2024.csv
BE,Chambre des Représentants,2003-05-18,,,main,output/BE/2003.csv
BE,Chambre des Représentants,2007-06-10,,,main,output/BE/2007.csv
BE,Chambre des Représentants,2010-06-13,,,main,output/BE/2010.csv
BE,Chambre des Représentants,2014-05-25,,,main,output/BE/2014.csv
BE,Chambre des Représentants,2019-05-26,,,main,output/BE/2019.csv
BE,Chambre des Représentants,2024-06-09,,,main,output/BE/2024.csv
BG,Народно събрание,2005-06-25,,,main,output/BG/2005.csv
BG,Народно събрание,2009-07-05,,,main,output/BG/2009.csv
BG,Народно събрание,2013-05-12,,,main,output/BG/2013.csv
BG,Народно събрание,2014-10-05,,,main,output/BG/2014.csv
BG,Народно събрание,2017-03-26,,,main,output/BG/2017.csv
BG,Народно събрание,2021-04-04,,,main,output/BG/2021_04.csv
BG,Народно събрание,2021-07-11,,,main,output/BG/2021_07.csv
BG,Народно събрание,2021-11-14,,,main,output/BG/2021_11.csv
BG,Народно събрание,2022-10-02,,,main,output/BG/2022.csv
BG,Народно събрание,2023-04-02,,,main,output/BG/2023.csv
BG,Народно събрание,2024-06-09,,,main,output/BG/2024_06.csv
BG,Народно събрание,2024-10-27,,,main,output/BG/2024_10.csv
CH,Nationalrat,2003-10-19,,,main,output/CH/2003.csv
CH,Nationalrat,2007-10-21,,,main,output/CH/2007.csv
CH,Nationalrat,2011-10-23,,,main,output/CH/2011.csv
CH,Nationalrat,2015-10-18,,,main,output/CH/2015.csv
CH,Nationalrat,2019-10-20,,,main,output/CH/2019.csv
CH,Nationalrat,2023-10-22,,,main,output/CH/2023.csv
CY,Βουλή των Αντιπροσώπων,2001-05-27,,,main,output/CY/2001.csv
CY,Βουλή των Αντιπροσώπων,2006-05-21,,,main,output/CY/2006.csv
CY,Βουλή των Αντιπροσώπων,2011-05-22,,,main,output/CY/2011.csv
CY,Βουλή των Αντιπροσώπων,2016-05-22,,,main,output/CY/2016.csv
CY,Βουλή των Αντιπροσώπων,2021-05-30,,,main,output/CY/2021.csv
CZ,Poslanecká sněmovna,2002-06-15,,,main,output/CZ/2002.csv
CZ,Poslanecká sněmovna,2006-06-03,,,main,output/CZ/2006.csv
CZ,Poslanecká sněmovna,2010-05-29,,,main,output/CZ/2010.csv
CZ,Poslanecká sněmovna,2013-10-26,,,main,output/CZ/2013.csv
CZ,Poslanecká sněmovna,2017-10-21,,,main,output/CZ/2017.csv
CZ,Poslanecká sněmovna,2021-10-09,,,main,output/CZ/2021.csv
CZ,Poslanecká sněmovna,2025-10-04,,,main,output/CZ/2025.csv
DE,Bundestag,2002-09-22,,Erststimme,main,output/DE/2002_1.csv
DE,Bundestag,2002-09-22,,Zweitstimme,main,output/DE/2002_2.csv
DE,Bundestag,2005-09-18,,Erststimme,main,output/DE/2005_1.csv
DE,Bundestag,2005-09-18,,Zweitstimme,main,output/DE/2005_2.csv
