gisco_id,name,registered,turnout,invalid,blank,SPÖ,FPÖ,ÖVP,GRÜNE,KPÖ,LIF,DEMOKRATEN,CWG,SLP
AT_10101,Eisenstadt,8807,7657,102,0,2248,431,4139,673,20,44,0,0,0
AT_10201,Rust,1404,1252,21,0,583,111,472,50,6,9,0,0,0
AT_10301,Breitenbrunn,1362,1215,16,0,537,64,502,88,4,4,0,0,0
AT_10302,Donnerskirchen,1302,1176,11,0,490,87,532,50,4,2,0,0,0
AT_10303,Großhöflein,1386,1226,30,0,526,72,540,43,3,12,0,0,0
AT_10304,Hornstein,1934,1671,27,0,903,160,470,94,4,13,0,0,0
AT_10305,Klingenbach,891,792,9,0,488,39,232,18,5,1,0,0,0
AT_10306,Leithaprodersdorf,880,806,9,0,218,24,510,40,1,4,0,0,0
AT_10307,Mörbisch am See,1865,1600,31,0,736,195,571,57,1,9,0,0,0
AT_10308,Müllendorf,972,886,10,0,399,48,376,45,5,3,0,0,0
AT_10309,Neufeld an der Leitha,2187,1888,21,0,1093,152,488,119,6,9,0,0,0
AT_10310,Oggau am Neusiedler See,1448,1350,27,0,609,86,574,51,0,3,0,0,0
AT_10311,Oslip,1010,907,20,0,466,12,360,46,2,1,0,0,0
AT_10312,Purbach am Neusiedler See,1987,1780,27,0,786,103,793,62,2,7,0,0,0
AT_10313,Sankt Margarethen im Burgenland,2172,1901,35,0,840,95,845,71,4,11,0,0,0
AT_10314,Schützen am Gebirge,1116,1005,19,0,364,45,538,31,3,5,0,0,0
AT_10315,Siegendorf,2009,1791,12,0,1255,57,362,100,3,2,0,0,0
AT_10316,Steinbrunn,1471,1301,15,0,757,79,377,53,12,8,0,0,0
AT_10317,Trausdorf an der Wulka,1391,1207,19,0,605,52,459,60,4,8,0,0,0
AT_10318,Wimpassing an der Leitha,855,729,7,0,266,82,331,35,2,6,0,0,0
AT_10319,Wulkaprodersdorf,1429,1293,23,0,631,38,459,134,4,4,0,0,0
AT_10320,Loretto,299,276,4,0,92,26,139,11,2,2,0,0,0
AT_10321,Stotzing,597,527,18,0,249,12,236,12,0,0,0,0,0
AT_10322,Zillingtal,619,525,3,0,263,24,194,36,2,3,0,0,0
AT_10323,Zagersdorf,719,647,15,0,350,17,248,13,3,1,0,0,0
AT_10401,Bocksdorf,655,582,14,0,299,40,212,14,1,2,0,0,0
AT_10402,Burgauberg-Neudauberg,1030,903,3,0,315,31,520,29,3,2,0,0,0
AT_10403,Eberau,796,688,8,0,180,27,459,13,0,1,0,0,0
AT_10404,Gerersdorf-Sulz,844,748,4,0,300,28,386,28,1,1,0,0,0
AT_10405,Güssing,3082,2610,42,0,920,126,1404,104,2,12,0,0,0
AT_10406,Güttenbach,788,697,10,0,263,33,366,24,0,1,0,0,0
AT_10407,Heiligenbrunn,758,661,7,0,179,19,435,17,1,3,0,0,0
AT_10408,Kukmirn,1580,1404,22,0,524,98,689,64,3,4,0,0,0
AT_10409,Neuberg im Burgenland,834,727,13,0,333,35,323,21,1,1,0,0,0
AT_10410,Neustift bei Güssing,446,383,9,0,212,34,106,18,2,2,0,0,0
AT_10411,Olbendorf,1178,1029,17,0,652,76,248,31,4,1,0,0,0
AT_10412,Ollersdorf im Burgenland,804,724,11,0,344,30,303,25,7,4,0,0,0
AT_10413,Sankt Michael im Burgenland,885,820,18,0,291,45,437,24,2,3,0,0,0
AT_10414,Stegersbach,1849,1588,25,0,760,98,635,55,2,13,0,0,0
AT_10415,Stinatz,1007,915,9,0,604,23,238,41,0,0,0,0,0
AT_10416,Strem,744,665,6,0,153,38,449,18,0,1,0,0,0
AT_10417,Tobaj,1097,942,15,0,286,58,553,25,2,3,0,0,0
AT_10418,Hackerberg,288,260,6,0,110,12,125,7,0,0,0,0,0
AT_10419,Wörterberg,368,334,2,0,145,12,154,19,1,1,0,0,0
AT_10420,Großmürbisch,231,189,1,0,69,6,103,7,0,3,0,0,0
AT_10421,Inzenhof,266,230,5,0,132,21,71,1,0,0,0,0,0
AT_10422,Kleinmürbisch,215,193,0,0,73,14,103,2,0,1,0,0,0
AT_10423,Tschanigraben,54,48,1,0,33,1,13,0,0,0,0,0,0
AT_10424,Heugraben,211,191,3,0,78,5,105,0,0,0,0,0,0
AT_10425,Rohr im Burgenland,335,289,7,0,113,11,150,4,4,0,0,0,0
AT_10426,Bildein,292,262,1,0,48,15,189,7,0,2,0,0,0
AT_10427,Rauchwart,387,352,4,0,198,27,111,7,2,3,0,0,0
AT_10428,Moschendorf,369,339,9,0,83,11,231,4,1,0,0,0,0
AT_10501,Deutsch Kaltenbrunn,1426,1180,15,0,603,84,421,50,0,7,0,0,0
AT_10502,Eltendorf,803,690,14,0,270,71,313,19,2,1,0,0,0
AT_10503,Heiligenkreuz im Lafnitztal,1005,837,14,0,319,82,392,29,1,0,0,0,0
AT_10504,Jennersdorf,3333,2745,54,0,799,247,1468,157,9,11,0,0,0
AT_10505,Minihof-Liebau,912,786,12,0,359,51,339,21,3,1,0,0,0
AT_10506,Mogersdorf,953,780,16,0,435,41,252,30,5,1,0,0,0
AT_10507,Neuhaus am Klausenbach,818,666,9,0,193,47,394,16,3,4,0,0,0
AT_10508,Rudersdorf,1646,1432,18,0,535,104,688,72,5,10,0,0,0
AT_10509,Sankt Martin an der Raab,1712,1519,40,0,580,95,725,69,4,6,0,0,0
AT_10510,Weichselbaum,655,510,19,0,180,28,273,10,0,0,0,0,0
AT_10511,Königsdorf,617,544,6,0,208,40,254,30,1,5,0,0,0
AT_10512,Mühlgraben,324,286,8,0,154,24,87,13,0,0,0,0,0
AT_10601,Draßburg,840,764,9,0,531,28,156,37,0,3,0,0,0
AT_10602,Forchtenstein,2164,1889,29,0,900,122,766,57,2,13,0,0,0
AT_10603,Hirm,681,611,6,0,448,20,101,30,3,3,0,0,0
AT_10604,Loipersbach im Burgenland,934,832,20,0,478,92,203,29,1,9,0,0,0
AT_10605,Marz,1513,1378,22,0,617,72,621,37,5,4,0,0,0
AT_10606,Mattersburg,4679,3966,81,0,1781,237,1546,296,3,22,0,0,0
AT_10607,Neudörfl,2804,2395,38,0,1298,139,751,147,5,17,0,0,0
AT_10608,Pöttelsdorf,510,451,4,0,171,38,215,17,1,5,0,0,0
AT_10609,Pöttsching,2042,1774,15,0,882,114,641,90,10,22,0,0,0
AT_10610,Rohrbach bei Mattersburg,2053,1850,28,0,985,109,674,43,2,9,0,0,0
AT_10611,Bad Sauerbrunn,1383,1174,16,0,497,95,434,112,1,19,0,0,0
AT_10612,Schattendorf,1937,1758,30,0,1154,93,385,89,4,3,0,0,0
AT_10613,Sieggraben,1012,875,20,0,387,46,391,22,4,5,0,0,0
AT_10614,Sigleß,871,778,13,0,421,31,258,52,0,3,0,0,0
AT_10615,Wiesen,2167,1929,33,0,547,193,1050,78,12,16,0,0,0
AT_10616,Antau,558,513,10,0,221,16,244,21,0,1,0,0,0
AT_10617,Baumgarten,680,603,4,0,381,18,152,43,3,2,0,0,0
AT_10618,Zemendorf-Stöttera,933,852,10,0,387,21,409,19,0,6,0,0,0
AT_10619,Krensdorf,449,417,8,0,210,22,161,15,1,0,0,0,0
AT_10701,Andau,2044,1847,27,0,1057,132,582,45,1,3,0,0,0
AT_10702,Apetlon,1564,1411,20,0,592,86,661,42,5,5,0,0,0
AT_10703,Bruckneudorf,1961,1631,16,0,871,131,435,153,3,22,0,0,0
AT_10704,Deutsch Jahrndorf,447,396,8,0,138,79,161,7,2,1,0,0,0
AT_10705,Frauenkirchen,2200,1955,26,0,1048,107,679,78,7,10,0,0,0
AT_10706,Gattendorf,901,801,10,0,414,61,295,13,7,1,0,0,0
AT_10707,Gols,2715,2398,54,0,1037,289,883,110,7,18,0,0,0
AT_10708,Halbturn,1523,1345,22,0,458,209,595,51,5,5,0,0,0
AT_10709,Illmitz,1988,1782,37,0,788,101,802,48,3,3,0,0,0
AT_10710,Jois,1033,937,21,0,409,58,394,48,3,4,0,0,0
AT_10711,Kittsee,1501,1337,9,0,642,104,533,44,4,1,0,0,0
AT_10712,Mönchhof,1775,1537,22,0,643,122,684,51,5,10,0,0,0
AT_10713,Neusiedl am See,4192,3531,61,0,1204,205,1737,297,6,21,0,0,0
AT_10714,Nickelsdorf,1222,1109,21,0,536,134,334,73,5,6,0,0,0
AT_10715,Pama,798,732,8,0,353,13,340,14,0,4,0,0,0
AT_10716,Pamhagen,1434,1275,13,0,588,79,565,25,3,2,0,0,0
AT_10717,Parndorf,2312,1998,22,0,1204,117,532,100,4,19,0,0,0
AT_10718,Podersdorf am See,1560,1323,25,0,420,82,737,49,4,6,0,0,0
AT_10719,Sankt Andrä am Zicksee,1144,1066,8,0,490,39,504,19,1,5,0,0,0
AT_10720,Tadten,1091,986,10,0,435,38,479,24,0,0,0,0,0
AT_10721,Wallern im Burgenland,1509,1374,18,0,750,59,496,44,5,2,0,0,0
AT_10722,Weiden am See,1541,1351,27,0,482,119,648,64,5,6,0,0,0
AT_10723,Winden am See,897,797,13,0,472,29,244,35,0,4,0,0,0
AT_10724,Zurndorf,1571,1350,18,0,727,163,363,68,3,8,0,0,0
AT_10725,Neudorf,550,489,2,0,214,23,234,14,1,1,0,0,0
AT_10726,Potzneusiedl,404,348,7,0,188,29,113,6,0,5,0,0,0
AT_10727,Edelstal,481,435,6,0,189,22,205,13,0,0,0,0,0
AT_10801,Deutschkreutz,2610,2322,36,0,1009,270,940,58,4,5,0,0,0
AT_10802,Draßmarkt,1131,1018,18,0,400,22,526,47,4,1,0,0,0
AT_10803,Frankenau-Unterpullendorf,999,883,12,0,319,36,469,45,1,1,0,0,0
AT_10804,Großwarasdorf,1252,1071,9,0,427,28,556,49,0,2,0,0,0
AT_10805,Horitschon,1513,1385,19,0,639,76,601,44,2,4,0,0,0
AT_10806,Kaisersdorf,438,386,7,0,250,16,90,19,2,2,0,0,0
AT_10807,Kobersdorf,1445,1294,22,0,710,65,446,40,1,10,0,0,0
AT_10808,Lackenbach,825,708,14,0,362,47,273,9,3,0,0,0,0
AT_10809,Lockenhaus,1559,1408,28,0,591,46,668,68,6,1,0,0,0
AT_10810,Lutzmannsburg,733,640,16,0,198,73,315,37,0,1,0,0,0
AT_10811,Mannersdorf an der Rabnitz,1522,1345,17,0,678,69,536,39,1,5,0,0,0
AT_10812,Markt Sankt Martin,909,792,16,0,348,43,355,25,2,3,0,0,0
AT_10813,Neckenmarkt,1375,1235,16,0,513,47,625,28,3,3,0,0,0
AT_10814,Neutal,847,757,13,0,516,26,179,17,0,6,0,0,0
AT_10815,Nikitsch,1252,1111,12,0,455,27,586,28,2,1,0,0,0
AT_10816,Oberpullendorf,2141,1856,32,0,672,116,907,118,5,6,0,0,0
AT_10817,Pilgersdorf,1365,1210,19,0,306,63,775,36,5,6,0,0,0
AT_10818,Piringsdorf,717,667,11,0,291,42,290,31,2,0,0,0,0
AT_10819,Raiding,655,582,14,0,327,22,205,14,0,0,0,0,0
AT_10820,Ritzing,733,667,13,0,414,47,166,22,5,0,0,0,0
AT_10821,Steinberg-Dörfl,971,862,19,0,321,51,422,45,2,2,0,0,0
AT_10822,Stoob,1052,947,11,0,511,38,339,37,4,7,0,0,0
AT_10823,Weppersdorf,1423,1294,17,0,839,86,301,45,4,2,0,0,0
AT_10824,Lackendorf,468,418,1,0,241,17,142,16,0,1,0,0,0
AT_10825,Unterfrauenhaid,506,455,4,0,212,9,222,6,1,1,0,0,0
AT_10826,Unterrabnitz-Schwendgraben,499,460,9,0,187,14,241,8,1,0,0,0,0
AT_10827,Weingraben,310,280,3,0,160,8,100,8,1,0,0,0,0
AT_10828,Oberloisdorf,625,566,13,0,268,18,243,21,1,2,0,0,0
AT_10901,Bad Tatzmannsdorf,975,882,15,0,302,111,423,26,3,2,0,0,0
AT_10902,Bernstein,1893,1642,23,0,871,106,594,38,5,5,0,0,0
AT_10903,Deutsch Schützen-Eisenberg,958,843,10,0,218,73,517,21,1,3,0,0,0
AT_10904,Grafenschachen,936,840,28,0,451,49,286,20,3,3,0,0,0
AT_10905,Großpetersdorf,2869,2433,40,0,1282,129,834,131,6,11,0,0,0
AT_10906,Hannersdorf,681,610,12,0,314,19,254,9,0,2,0,0,0
AT_10907,Kemeten,1208,1044,15,0,571,74,341,40,1,2,0,0,0
AT_10908,Kohfidisch,1175,1044,19,0,472,66,455,28,0,4,0,0,0
AT_10909,Litzelsdorf,895,792,14,0,386,58,276,48,5,5,0,0,0
AT_10910,Loipersdorf-Kitzladen,937,827,12,0,417,50,335,13,0,0,0,0,0
AT_10911,Mariasdorf,1007,837,12,0,423,63,321,16,1,1,0,0,0
AT_10912,Markt Allhau,1351,1192,12,0,487,77,562,50,1,3,0,0,0
AT_10913,Markt Neuhodis,600,504,3,0,275,20,193,12,0,1,0,0,0
AT_10914,Mischendorf,1428,1280,18,0,625,50,560,25,2,0,0,0,0
AT_10915,Oberdorf im Burgenland,856,751,12,0,423,46,244,23,2,1,0,0,0
AT_10916,Oberschützen,1794,1551,26,0,478,226,708,101,3,9,0,0,0
AT_10917,Oberwart,5158,4268,79,0,1925,250,1731,253,10,20,0,0,0
AT_10918,Pinkafeld,3890,3211,38,0,1481,164,1303,197,12,16,0,0,0
AT_10919,Rechnitz,2505,2039,36,0,1017,167,748,51,8,12,0,0,0
AT_10920,Riedlingsdorf,1234,1091,20,0,672,92,255,46,1,5,0,0,0
AT_10921,Rotenturm an der Pinka,1100,951,29,0,495,48,345,28,5,1,0,0,0
AT_10922,Schachendorf,595,519,8,0,199,30,271,8,1,2,0,0,0
AT_10923,Stadtschlaining,1648,1440,25,0,710,87,563,45,6,4,0,0,0
AT_10924,Unterkohlstätten,876,801,10,0,379,34,359,17,0,2,0,0,0
AT_10925,Unterwart,738,630,12,0,259,31,300,24,1,3,0,0,0
AT_10926,Weiden bei Rechnitz,755,637,7,0,281,22,309,15,0,3,0,0,0
AT_10927,Wiesfleck,919,804,8,0,335,25,409,26,0,1,0,0,0
AT_10928,Wolfau,1036,916,12,0,405,48,402,44,1,4,0,0,0
AT_10929,Neustift an der Lafnitz,513,459,12,0,284,32,114,14,2,1,0,0,0
AT_10930,Jabing,565,507,5,0,246,21,221,12,2,0,0,0,0
AT_10931,Badersdorf,269,250,3,0,104,7,135,1,0,0,0,0,0
AT_10932,Schandorf,268,228,3,0,117,7,95,5,0,1,0,0,0
AT_1A999,Wahlkarten,0,2416,22,0,871,145,1036,314,7,21,0,0,0
AT_1B999,Wahlkarten,0,2926,20,0,990,179,1246,462,4,25,0,0,0
AT_20101,Klagenfurt,68928,53265,1,0,18152,11309,17051,4748,285,636,0,0,0
AT_20201,Villach,42762,33522,634,0,14463,7581,8127,2183,220,314,0,0,0
AT_20302,Dellach,1050,825,20,0,267,171,329,28,5,5,0,0,0
AT_20305,Hermagor-Pressegger See,5574,4544,99,0,1732,1003,1481,190,18,21,0,0,0
AT_20306,Kirchbach,2165,1701,35,0,482,438,673,44,8,21,0,0,0
AT_20307,Kötschach-Mauthen,2775,2298,65,0,702,478,937,89,8,19,0,0,0
AT_20316,Sankt Stefan im Gailtal,1407,1185,26,0,576,170,365,31,10,7,0,0,0
AT_20320,Gitschtal,1021,856,17,0,268,279,256,30,0,6,0,0,0
AT_20321,Lesachtal,1151,920,30,0,204,139,523,20,1,3,0,0,0
AT_20402,Ebenthal in Kärnten,5685,4618,132,0,2057,996,1108,245,32,48,0,0,0
AT_20403,Feistritz im Rosental,2039,1649,39,0,731,293,448,127,6,5,0,0,0
AT_20405,Ferlach,5770,4649,115,0,2059,1041,1113,246,20,55,0,0,0
AT_20409,Grafenstein,2030,1639,39,0,538,383,603,56,4,16,0,0,0
AT_20412,Keutschach am See,1795,1467,37,0,506,380,434,94,9,7,0,0,0
AT_20414,Köttmannsdorf,2132,1784,52,0,672,321,575,136,12,16,0,0,0
AT_20415,Krumpendorf am Wörther See,2252,1740,24,0,415,388,752,148,4,9,0,0,0
AT_20416,Ludmannsdorf,1396,1137,24,0,429,218,318,128,8,12,0,0,0
AT_20417,Maria Rain,1589,1322,32,0,355,257,574,87,6,11,0,0,0
AT_20418,Maria Saal,2936,2441,59,0,771,501,912,168,7,23,0,0,0
AT_20419,Maria Wörth,1020,732,4,0,169,201,300,49,4,5,0,0,0
AT_20421,Moosburg,3421,2619,57,0,880,617,896,137,12,20,0,0,0
AT_20424,Pörtschach am Wörther See,2005,1507,28,0,309,431,655,71,6,7,0,0,0
AT_20425,Poggersdorf,2162,1805,48,0,717,415,537,68,7,13,0,0,0
AT_20428,Sankt Margareten im Rosental,854,716,17,0,291,148,218,37,3,2,0,0,0
AT_20432,Schiefling am See,1720,1326,42,0,499,305,391,76,9,4,0,0,0
AT_20435,Techelsberg am Wörther See,1566,1195,25,0,520,232,347,57,7,7,0,0,0
AT_20441,Zell,562,474,14,0,235,22,131,65,4,3,0,0,0
AT_20442,Magdalensberg,2327,1914,46,0,675,422,633,105,6,27,0,0,0
AT_20501,Althofen,3638,3074,50,0,1278,747,842,116,17,24,0,0,0
AT_20502,Brückl,2358,1877,34,0,872,432,450,65,9,15,0,0,0
AT_20503,Deutsch-Griffen,801,652,22,0,188,226,202,9,2,3,0,0,0
AT_20504,Eberstein,1132,875,21,0,254,274,292,28,3,3,0,0,0
AT_20505,Friesach,4301,3435,77,0,1255,962,1010,98,18,15,0,0,0
AT_20506,Glödnitz,717,606,10,0,242,152,189,12,1,0,0,0,0
AT_20508,Gurk,992,876,15,0,245,328,264,20,2,2,0,0,0
AT_20509,Guttaring,1177,974,25,0,377,225,299,34,6,8,0,0,0
AT_20511,Hüttenberg,1454,1101,22,0,594,268,199,10,2,6,0,0,0
AT_20512,Kappel am Krappfeld,1505,1218,29,0,438,316,396,25,9,5,0,0,0
AT_20513,Klein Sankt Paul,1694,1329,26,0,482,323,452,29,7,10,0,0,0
AT_20515,Liebenfels,2431,1989,32,0,729,535,577,85,12,19,0,0,0
AT_20518,Metnitz,1829,1537,25,0,418,368,678,35,7,6,0,0,0
AT_20519,Micheldorf,870,695,11,0,342,152,169,14,4,3,0,0,0
AT_20520,Mölbling,986,815,12,0,259,272,236,24,4,8,0,0,0
AT_20523,Sankt Georgen am Längsee,2732,2229,45,0,925,574,554,101,13,17,0,0,0
AT_20527,Sankt Veit an der Glan,9612,7694,147,0,3510,1694,1913,342,25,63,0,0,0
AT_20530,Straßburg,1755,1387,29,0,371,450,499,25,4,9,0,0,0
AT_20531,Weitensfeld im Gurktal,1861,1557,30,0,437,494,539,43,6,8,0,0,0
AT_20534,Frauenstein,2639,2188,35,0,716,645,648,126,5,13,0,0,0
AT_20601,Bad Kleinkirchheim,1405,1111,21,0,299,383,348,49,5,6,0,0,0
AT_20602,Baldramsdorf,1432,1177,28,0,518,323,244,41,5,18,0,0,0
