gisco_id,name,registered,turnout,invalid,blank,ÖVP,SPÖ,FPÖ,GRÜNE,BZÖ,KPÖ,MARTIN,NFÖ,IVE,STARK,SAU,SLP
AT_10101,Eisenstadt,9361,7675,135,0,3409,2232,732,828,111,41,166,0,21,0,0,0
AT_10201,Rust,1463,1284,25,0,431,588,107,62,21,5,40,0,5,0,0,0
AT_10301,Breitenbrunn,1433,1205,28,0,413,519,82,100,21,9,32,0,1,0,0,0
AT_10302,Donnerskirchen,1366,1186,17,0,452,502,114,48,32,3,16,0,2,0,0,0
AT_10303,Großhöflein,1455,1250,36,0,448,521,141,60,13,2,25,0,4,0,0,0
AT_10304,Hornstein,2005,1651,38,0,373,838,182,128,32,12,42,0,6,0,0,0
AT_10305,Klingenbach,898,774,10,0,209,468,43,16,13,5,10,0,0,0,0,0
AT_10306,Leithaprodersdorf,879,805,22,0,424,245,34,45,8,6,20,0,1,0,0,0
AT_10307,Mörbisch am See,1896,1552,28,0,458,678,240,71,26,3,46,0,2,0,0,0
AT_10308,Müllendorf,1014,824,10,0,280,367,66,58,16,4,18,0,5,0,0,0
AT_10309,Neufeld an der Leitha,2289,1835,26,0,345,1023,187,141,50,16,45,0,2,0,0,0
AT_10310,Oggau am Neusiedler See,1503,1349,34,0,476,602,129,51,26,5,24,0,2,0,0,0
AT_10311,Oslip,1012,892,23,0,314,446,31,52,7,4,12,0,3,0,0,0
AT_10312,Purbach am Neusiedler See,2095,1819,33,0,728,762,124,96,27,12,37,0,0,0,0,0
AT_10313,Sankt Margarethen im Burgenland,2226,1858,54,0,771,736,144,84,29,7,33,0,0,0,0,0
AT_10314,Schützen am Gebirge,1115,947,27,0,439,323,80,47,16,3,9,0,3,0,0,0
AT_10315,Siegendorf,2066,1758,27,0,306,1181,94,110,16,4,20,0,0,0,0,0
AT_10316,Steinbrunn,1604,1362,33,0,311,754,108,64,18,15,55,0,4,0,0,0
AT_10317,Trausdorf an der Wulka,1466,1233,28,0,407,585,93,71,15,6,24,0,4,0,0,0
AT_10318,Wimpassing an der Leitha,900,717,18,0,260,242,109,52,15,1,19,0,1,0,0,0
AT_10319,Wulkaprodersdorf,1454,1255,29,0,370,579,76,157,6,8,29,0,1,0,0,0
AT_10320,Loretto,330,286,4,0,127,102,23,16,3,2,8,0,1,0,0,0
AT_10321,Stotzing,627,538,13,0,227,255,19,15,5,2,2,0,0,0,0,0
AT_10322,Zillingtal,640,535,8,0,160,274,24,45,5,6,13,0,0,0,0,0
AT_10323,Zagersdorf,774,660,19,0,221,330,37,30,8,6,8,0,1,0,0,0
AT_10401,Bocksdorf,669,592,17,0,199,297,39,14,14,3,7,0,2,0,0,0
AT_10402,Burgauberg-Neudauberg,1100,928,27,0,442,331,57,30,17,8,14,0,2,0,0,0
AT_10403,Eberau,780,673,9,0,414,172,34,17,11,4,11,0,1,0,0,0
AT_10404,Gerersdorf-Sulz,845,730,7,0,360,271,23,46,7,4,12,0,0,0,0,0
AT_10405,Güssing,3115,2515,54,0,1194,858,153,149,45,12,47,0,3,0,0,0
AT_10406,Güttenbach,804,700,24,0,344,249,29,28,14,3,8,0,1,0,0,0
AT_10407,Heiligenbrunn,727,620,14,0,362,171,39,16,5,1,12,0,0,0,0,0
AT_10408,Kukmirn,1628,1375,32,0,619,509,99,66,22,11,17,0,0,0,0,0
