gisco_id,name,registered,turnout,invalid,blank,ÖVP,SPÖ,FPÖ,GRÜNE,BZÖ,NEOS,REKOS,ANDERS,EUSTOP
AT_10101,Eisenstadt,10479,5087,157,0,1883,986,746,691,12,375,57,68,112
AT_10199,Briefwahlkarten - Eisenstadt(Stadt),0,594,10,0,228,140,60,86,3,47,3,5,12
AT_10201,Rust,1571,771,42,0,197,261,134,61,4,38,1,7,26
AT_10299,Briefwahlkarten - Rust(Stadt),0,100,0,0,25,32,14,19,0,8,0,0,2
AT_10301,Breitenbrunn am Neusiedler See,1631,771,37,0,186,243,123,98,1,43,8,14,18
AT_10302,Donnerskirchen,1460,750,21,0,290,183,128,54,1,34,8,13,18
AT_10303,Großhöflein,1673,761,40,0,219,206,128,71,3,51,11,8,24
AT_10304,Hornstein,2226,1037,43,0,193,357,204,107,2,53,14,10,54
AT_10305,Klingenbach,932,516,13,0,142,260,60,14,0,13,3,3,8
AT_10306,Leithaprodersdorf,974,553,25,0,265,101,70,44,3,27,3,6,9
AT_10307,Mörbisch am See,1861,809,24,0,184,283,190,46,3,33,10,13,23
AT_10308,Müllendorf,1099,643,37,0,116,226,117,61,3,46,7,8,22
AT_10309,Neufeld an der Leitha,2492,1256,62,0,177,480,283,109,3,72,0,20,50
AT_10310,Oggau am Neusiedler See,1506,901,56,0,278,305,148,38,1,29,10,7,29
AT_10311,Oslip,1063,653,34,0,212,241,70,54,0,18,6,3,15
AT_10312,Purbach am Neusiedler See,2312,1130,45,0,419,247,214,109,1,54,6,13,22
AT_10313,Sankt Margarethen im Burgenland,2329,1181,45,0,457,294,208,83,5,56,11,5,17
AT_10314,Schützen am Gebirge,1139,629,47,0,248,149,78,49,1,42,5,2,8
AT_10315,Siegendorf,2274,1273,67,0,161,636,172,128,4,52,7,13,33
AT_10316,Steinbrunn,1965,1065,41,0,228,417,200,69,5,58,3,10,34
AT_10317,Trausdorf an der Wulka,1615,900,31,0,213,391,116,66,1,43,7,13,19
AT_10318,Wimpassing an der Leitha,1089,506,29,0,125,119,134,35,1,27,3,9,24
AT_10319,Wulkaprodersdorf,1513,806,45,0,209,284,89,101,0,36,6,14,22
AT_10320,Loretto,401,187,7,0,55,60,34,15,0,5,1,1,9
AT_10321,Stotzing,655,293,14,0,117,81,36,23,1,7,3,3,8
AT_10322,Zillingtal,747,378,12,0,93,134,58,38,1,24,2,4,12
AT_10323,Zagersdorf,814,463,24,0,132,178,68,29,0,13,9,5,5
AT_10399,Briefwahlkarten - Eisenstadt-Umgebung,0,1411,40,0,362,508,190,150,2,104,12,12,31
AT_10401,Bocksdorf,688,346,22,0,82,138,59,20,0,14,0,1,10
AT_10402,Burgauberg-Neudauberg,1116,536,17,0,175,147,89,41,0,35,4,10,18
AT_10403,Eberau,768,473,25,0,229,100,71,24,1,11,1,2,9
AT_10404,Gerersdorf-Sulz,856,494,17,0,220,138,59,32,0,13,0,8,7
AT_10405,Güssing,3017,1413,64,0,469,477,208,86,4,52,11,10,32
AT_10406,Güttenbach,766,435,30,0,202,108,50,25,1,8,0,4,7
AT_10407,Heiligenbrunn,718,380,16,0,170,99,49,23,0,18,2,2,1
AT_10408,Kukmirn,1697,718,28,0,219,169,167,59,2,44,4,6,20
AT_10409,Neuberg im Burgenland,860,430,26,0,155,124,58,26,0,16,7,6,12
AT_10410,Neustift bei Güssing,436,194,4,0,25,92,44,13,1,5,0,0,10
AT_10411,Olbendorf,1237,625,39,0,72,299,110,35,2,28,7,9,24
AT_10412,Ollersdorf im Burgenland,838,515,17,0,185,167,80,31,0,12,2,4,17
AT_10413,Sankt Michael im Burgenland,856,415,22,0,138,107,86,26,0,20,0,3,13
AT_10414,Stegersbach,2050,985,28,0,268,334,185,68,3,52,13,11,23
AT_10415,Stinatz,995,547,23,0,155,268,35,31,2,15,1,10,7
AT_10416,Strem,784,402,30,0,177,84,74,12,2,17,0,0,6
AT_10417,Tobaj,1126,529,34,0,211,97,125,29,1,17,2,6,7
AT_10418,Hackerberg,311,186,12,0,75,63,20,5,0,5,1,1,4
AT_10419,Wörterberg,403,205,4,0,65,75,23,15,0,14,1,2,6
AT_10420,Großmürbisch,233,113,4,0,55,36,4,7,0,3,3,0,1
AT_10421,Inzenhof,296,156,5,0,30,86,22,4,0,6,0,0,3
AT_10422,Kleinmürbisch,214,103,4,0,35,38,17,4,0,3,0,0,2
AT_10423,Tschanigraben,54,19,0,0,3,14,1,0,0,0,1,0,0
AT_10424,Heugraben,187,128,10,0,39,37,32,1,0,4,3,0,2
AT_10425,Rohr im Burgenland,338,177,11,0,42,63,39,7,0,7,2,3,3
AT_10426,Bildein,302,227,11,0,142,26,30,10,1,3,1,2,1
AT_10427,Rauchwart,379,249,13,0,49,110,59,7,3,2,0,0,6
AT_10428,Moschendorf,348,220,10,0,113,47,34,12,0,0,2,0,2
AT_10499,Briefwahlkarten - Güssing,0,1085,27,0,414,307,113,106,1,80,4,15,18
AT_10501,Deutsch Kaltenbrunn,1490,658,22,0,125,237,164,56,0,24,4,15,11
AT_10502,Eltendorf,810,377,20,0,107,102,91,22,1,14,3,6,11
AT_10503,Heiligenkreuz im Lafnitztal,1038,425,12,0,126,148,96,22,3,11,0,4,3
AT_10504,Jennersdorf,3519,1438,85,0,474,226,393,113,7,83,6,15,36
AT_10505,Minihof-Liebau,923,410,14,0,99,120,112,31,4,21,3,1,5
AT_10506,Mogersdorf,978,463,22,0,128,162,79,40,0,12,4,4,12
AT_10507,Neuhaus am Klausenbach,815,331,18,0,125,68,69,18,0,17,3,3,10
AT_10508,Rudersdorf,1836,814,34,0,244,247,128,77,0,51,2,17,14
AT_10509,Sankt Martin an der Raab,1723,972,38,0,289,277,185,80,2,41,7,20,33
AT_10510,Weichselbaum,654,265,15,0,106,54,53,21,0,4,3,3,6
