gisco_id,name,registered,turnout,invalid,blank,Open VLD,sp.a-spirit,CD&V,VB (1979),N-VA,Groen,VIVANT,LA,MARIA,B.U.B.,UFE,RESIST,MR,Ecolo,PS,LE,CDF,AGIR,R.W.F.,PCB-CPB,PCP,NATION,PC-RDS,NOOR,VB (2003),PH,PTB/PVDA,OMNIUM,VITAL,LSP/PSL,FRANCE,DL,MS,MDT,PDA,PPR,CHOPE
BE_K00001,Electoral Canton Aarschot,37649,35442,1890,0,9838,7189,6941,5755,1229,1203,653,436,197,73,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_KAE001,Foreign Voters - Anvers,2106,1839,137,0,571,214,211,347,55,177,19,69,0,19,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_KAE002,Foreign Voters - Brabant Wallon,976,848,85,0,0,0,0,0,0,0,10,0,0,13,0,0,395,103,95,74,30,24,16,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_KAE003,Foreign Voters - Bruxelles-Hal-Vilvorde,6119,5222,604,0,294,88,154,170,63,79,57,125,44,77,0,0,1252,764,671,354,171,91,49,0,35,26,24,16,10,4,0,0,0,0,0,0,0,0,0,0,0
BE_KAE004,Foreign Voters - Flandre occidentale,959,891,74,0,214,92,231,147,40,48,12,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,4,3,3,0,0,0,0,0,0,0,0
BE_KAE005,Foreign Voters - Flandre Orientale,1038,918,80,0,290,87,170,126,34,90,14,10,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,9,0,0,0,0,0,0,0
BE_KAE006,Foreign Voters - Hainaut,1294,1191,184,0,0,0,0,10,0,0,18,0,0,0,0,0,265,179,301,109,40,25,22,9,0,5,0,0,0,0,8,0,0,0,9,6,1,0,0,0,0
BE_KAE007,Foreign Voters - Liège,1671,1471,160,0,0,0,0,0,0,0,24,0,0,0,0,0,509,240,255,157,35,32,16,0,0,0,6,0,0,0,14,0,0,0,13,0,6,2,2,0,0
BE_KAE008,Foreign Voters - Limbourg,411,390,72,0,86,74,67,30,20,22,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
BE_KAE009,Foreign Voters - Louvain,416,390,33,0,99,28,108,37,35,35,7,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_KAE010,Foreign Voters - Luxembourg,505,421,37,0,0,0,0,0,0,0,5,0,0,0,0,0,133,73,72,66,17,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0
BE_KAE011,Foreign Voters - Namur,607,530,104,0,0,0,0,0,0,0,4,0,0,3,0,0,143,82,82,48,29,19,6,0,0,0,0,0,0,0,5,0,0,0,0,0,4,0,0,0,1
BE_K00002,Electoral Canton Alost,90856,85035,3836,0,25665,16986,13906,16223,4071,2509,905,271,0,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224,0,0,302,0,0,0,0,0,0,0
BE_K00003,Electoral Canton Andenne,24712,22620,1637,0,0,0,0,0,0,0,239,0,0,53,0,0,4916,1654,9795,2562,269,1064,146,0,0,0,0,0,0,0,62,0,0,0,0,0,61,0,0,0,162
BE_K00004,Electoral Canton Anderlecht,66346,57132,2231,0,2170,2112,1427,5304,331,409,456,204,282,195,0,0,14433,3730,14317,3981,442,3137,226,0,1110,187,210,145,50,43,0,0,0,0,0,0,0,0,0,0,0
BE_K00005,Electoral Canton Antoing,14726,13491,1602,0,0,0,0,71,0,0,148,0,0,0,0,0,2512,847,5781,1441,117,604,141,84,0,64,0,0,0,0,24,0,0,0,40,6,9,0,0,0,0
BE_K00006,Electoral Canton Anvers,336068,302962,8288,0,57195,73317,31236,89761,10268,15508,4890,4831,0,820,0,6848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00007,Electoral Canton Arendonk,30695,29094,1279,0,5305,5400,8896,4503,2365,888,240,117,0,51,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00008,Electoral Canton Arlon,26867,23728,2091,0,0,0,0,0,0,0,238,0,0,0,0,0,5795,2194,5411,6496,382,777,236,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,68,0
BE_K00009,Electoral Canton Asse,102081,95042,3021,0,25863,14312,18433,15193,5192,2387,795,242,361,129,0,0,4121,675,2361,770,268,499,49,0,100,43,67,53,85,23,0,0,0,0,0,0,0,0,0,0,0
BE_K00010,Electoral Canton Assenede,19854,18683,838,0,5043,5002,3220,2686,442,536,133,88,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,610,0,0,55,0,0,0,0,0,0,0
BE_K00011,Electoral Canton Ath,20095,18620,1121,0,0,0,0,105,0,0,157,0,0,0,0,0,3493,835,9962,1453,112,902,239,55,0,32,0,0,0,0,56,0,0,0,36,46,16,0,0,0,0
BE_K00012,Electoral Canton Aubel,8542,9014,859,0,0,0,0,0,0,0,99,0,0,0,0,0,2674,535,2256,2026,153,232,38,0,0,0,13,0,0,0,19,0,0,0,19,0,8,5,78,0,0
BE_K00013,Electoral Canton Audenarde,31961,30176,1306,0,10282,6609,6575,3007,930,1008,218,79,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,82,0,0,0,0,0,0,0
BE_K00014,Electoral Canton Avelgem,8629,8193,596,0,1827,2155,2135,821,283,218,62,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,18,11,14,0,0,0,0,0,0,0,0
BE_K00015,Electoral Canton Aywaille,31086,27818,1109,0,0,0,0,0,0,0,344,0,0,0,0,0,10403,2289,7911,3674,370,981,243,0,0,0,100,0,0,0,139,0,0,0,151,0,33,35,36,0,0
BE_K00016,Electoral Canton Bassenge,29065,26345,1475,0,0,0,0,0,0,0,328,0,0,0,0,0,7199,1397,8617,5172,242,1286,127,0,0,0,81,0,0,0,162,0,0,0,86,0,96,42,35,0,0
BE_K00017,Electoral Canton Bastogne,12028,11362,864,0,0,0,0,0,0,0,50,0,0,0,0,0,4798,440,1061,3591,157,331,43,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,12,0
BE_K00018,Electoral Canton Beaumont,10949,10169,963,0,0,0,0,59,0,0,88,0,0,0,0,0,3372,456,2844,1395,107,555,176,32,0,24,0,0,0,0,41,0,0,0,31,8,18,0,0,0,0
BE_K00019,Electoral Canton Beauraing,9408,8800,640,0,0,0,0,0,0,0,67,0,0,18,0,0,2778,476,2881,1426,87,290,55,0,0,0,0,0,0,0,19,0,0,0,0,0,14,0,0,0,49
BE_K00020,Electoral Canton Beloeil,17461,16258,1303,0,0,0,0,93,0,0,129,0,0,0,0,0,3635,744,7659,1199,96,962,169,94,0,34,0,0,0,0,45,0,0,0,63,10,23,0,0,0,0
BE_K00021,Electoral Canton Beringen,82304,77702,3045,0,13230,26932,13233,15424,2335,2082,787,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,364,0,0,0,0,0,0,0,0,0,0
BE_K00022,Electoral Canton Beveren,35168,33127,1155,0,6621,6881,6752,8081,1529,1158,309,405,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,78,0,0,0,0,0,0,0
BE_K00023,Electoral Canton Bilzen,29643,28297,1386,0,5756,7617,5962,4120,2510,490,269,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0
BE_K00024,Electoral Canton Binche,40993,37168,2936,0,0,0,0,213,0,0,221,0,0,0,0,0,5772,1443,17013,2491,741,2289,461,212,0,94,0,0,0,0,191,0,0,0,128,38,2925,0,0,0,0
BE_K00025,Electoral Canton Boom,43146,40134,1325,0,7616,10172,6927,10265,1231,1336,434,439,0,81,0,308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00026,Electoral Canton Bouillon,4034,3716,350,0,0,0,0,0,0,0,26,0,0,0,0,0,1300,165,877,593,200,151,37,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,9,0
BE_K00027,Electoral Canton Boussu,44668,40384,3539,0,0,0,0,274,0,0,305,0,0,0,0,0,6035,2040,19720,3888,200,2881,461,411,0,120,0,0,0,0,253,0,0,0,163,31,63,0,0,0,0
BE_K00028,Electoral Canton Brakel,16197,15258,814,0,5803,2959,2915,1669,503,365,97,34,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,37,0,0,0,0,0,0,0
BE_K00029,Electoral Canton Brecht,65219,60931,2297,0,13185,10913,15551,12597,2430,2286,836,582,0,115,0,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00030,Electoral Canton Bree,28970,27919,1416,0,7405,6464,7625,3284,985,416,218,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0
BE_K00031,Electoral Canton Bruges,206124,190306,9199,0,43516,45218,41983,26647,11072,8219,1862,836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,614,0,458,377,305,0,0,0,0,0,0,0,0
BE_K00032,Electoral Canton Bruxelles,74483,61851,2197,0,2619,2745,1290,4249,450,905,583,159,416,219,0,0,15470,4619,15335,5206,728,2414,188,0,1459,85,226,130,40,119,0,0,0,0,0,0,0,0,0,0,0
BE_K00033,Electoral Canton Celles,6547,6127,625,0,0,0,0,112,0,0,69,0,0,0,0,0,1872,307,1796,969,115,149,45,14,0,18,0,0,0,0,14,0,0,0,12,6,4,0,0,0,0
BE_K00034,Electoral Canton Châtelet,59001,53554,4410,0,0,0,0,333,0,0,1394,0,0,0,0,0,8970,2726,21882,6053,490,5169,617,344,0,260,0,0,0,0,621,0,0,0,163,57,65,0,0,0,0
BE_K00035,Electoral Canton Charleroi,130929,114060,10391,0,0,0,0,746,0,0,1873,0,0,0,0,0,18488,6314,46975,9846,973,12945,1546,896,0,566,0,0,0,0,1783,0,0,0,391,176,151,0,0,0,0
