gisco_id,name,registered,turnout,invalid,blank,Open VLD,VB (1979),CD&V,Groen,sp.a-spirit,LDD,PTB/PVDA,CAP,NP-FN,MR,Ecolo,PS,LE,AGIR,CDF,R.W.F.,B.U.B.,PCB-CPB,VÉLO,FDB,PJM,Trefle,RW,PW,WDA,VIVANT,DLC,MP Education,UMP-B,Pluralis,GSCD,BP,VITAL
BE_KAE001,Foreign Voters - Anvers,2127,1685,97,0,552,283,251,228,193,40,28,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_KAE003,Foreign Voters - Bruxelles-Hal-Vilvorde,25328,18143,1712,0,1119,549,654,616,285,90,64,32,0,4884,2688,2685,1524,375,262,212,147,108,59,43,19,16,0,0,0,0,0,0,0,0,0,0,0
BE_KAE006,Foreign Voters - Hainaut,1380,1223,117,0,0,0,0,0,0,0,4,10,0,286,215,345,127,25,7,9,0,13,0,0,0,0,31,15,8,8,3,0,0,0,0,0,0
BE_KAE009,Foreign Voters - Louvain,374,311,39,0,67,20,80,44,47,4,4,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_KAE007,Foreign Voters - Liège,1678,1458,151,0,0,0,0,0,0,0,8,3,0,447,260,254,169,44,25,12,0,20,0,0,0,0,26,0,22,5,0,11,1,0,0,0,0
BE_KAE008,Foreign Voters - Limbourg,456,367,31,0,90,48,81,49,43,12,6,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
BE_KAE010,Foreign Voters - Luxembourg,509,443,37,0,0,0,0,0,0,0,0,0,0,140,97,75,64,12,3,5,0,6,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
BE_KAE011,Foreign Voters - Namur,695,585,42,0,0,0,0,0,0,0,2,0,0,180,126,107,74,16,10,4,4,0,0,0,0,0,18,0,2,0,0,0,0,0,0,0,0
BE_KAE005,Foreign Voters - Flandre Orientale,1077,880,27,0,262,133,170,135,112,22,16,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_KAE002,Foreign Voters - Brabant Wallon,1039,862,71,0,0,14,0,0,0,0,3,0,0,368,169,92,80,14,16,13,4,8,0,0,0,0,0,0,4,0,0,0,0,0,4,2,0
BE_KAE004,Foreign Voters - Flandre occidentale,898,769,28,0,169,116,238,100,74,31,5,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00002,Electoral Canton Alost,91281,84740,3490,0,18618,19553,19934,4042,12432,5711,630,330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00001,Electoral Canton Aarschot,38550,35993,1688,0,7699,6339,9430,2096,5677,2571,245,142,0,0,0,0,0,0,0,0,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00003,Electoral Canton Andenne,25817,23422,1479,0,0,0,0,0,0,0,120,0,0,6195,3117,8235,2482,1203,78,253,47,0,0,0,0,0,125,0,88,0,0,0,0,0,0,0,0
BE_K00004,Electoral Canton Anderlecht,68196,57821,2870,0,1564,3226,1502,514,1380,283,241,127,0,15132,5529,13359,7450,2698,282,211,178,220,108,61,813,73,0,0,0,0,0,0,0,0,0,0,0
BE_K00005,Electoral Canton Antoing,14934,13691,1342,0,0,0,0,0,0,0,25,24,0,3192,1302,5010,1584,669,33,118,9,212,0,0,0,0,46,45,35,42,3,0,0,0,0,0,0
BE_K00006,Electoral Canton Anvers,334409,296995,9873,0,42361,81629,49397,25002,67623,12090,7308,1219,493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00007,Electoral Canton Arendonk,31325,29481,1710,0,3254,4972,13554,1206,3152,1278,210,104,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00008,Electoral Canton Arlon,27465,24411,1838,0,0,0,0,0,0,0,0,0,0,5853,3236,3956,7904,1013,131,267,0,149,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0
BE_K00009,Electoral Canton Asse,103897,95996,3516,0,20086,17333,26635,4384,8100,3802,161,159,0,4886,1371,2542,1497,681,238,76,193,115,56,97,31,37,0,0,0,0,0,0,0,0,0,0,0
BE_K00010,Electoral Canton Assenede,20101,18917,877,0,4014,2956,4377,894,3196,1222,1313,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00011,Electoral Canton Ath,20787,19067,1273,0,0,0,0,0,0,0,52,47,0,4794,1760,7444,2055,926,46,278,12,201,0,0,0,0,47,40,41,44,7,0,0,0,0,0,0
BE_K00012,Electoral Canton Aubel,8817,9083,746,0,0,0,0,0,0,0,21,10,0,2811,915,2070,1923,359,34,32,0,72,0,0,0,0,19,0,28,30,0,7,6,0,0,0,0
BE_K00014,Electoral Canton Avelgem,9044,8619,601,0,1489,916,2901,401,1524,642,68,31,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
BE_K00015,Electoral Canton Aywaille,32067,28792,1076,0,0,0,0,0,0,0,122,50,0,10852,4316,6875,3670,991,107,223,0,125,0,0,0,0,146,0,35,90,0,26,88,0,0,0,0
BE_K00016,Electoral Canton Bassenge,29944,26788,1214,0,0,0,0,0,0,0,254,54,0,7240,2804,8461,4756,1302,99,165,0,80,0,0,0,0,153,0,36,89,0,33,48,0,0,0,0
BE_K00017,Electoral Canton Bastogne,12654,11902,772,0,0,0,0,0,0,0,0,0,0,5061,758,802,3882,455,30,80,0,52,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0
BE_K00018,Electoral Canton Beaumont,11374,10471,895,0,0,0,0,0,0,0,37,9,0,3185,918,2477,1814,690,32,165,7,91,0,0,0,0,48,36,43,23,1,0,0,0,0,0,0
BE_K00019,Electoral Canton Beauraing,9763,9033,542,0,0,0,0,0,0,0,26,0,0,3261,847,2716,1112,308,41,113,19,0,0,0,0,0,31,0,17,0,0,0,0,0,0,0,0
