gisco_id,name,registered,turnout,invalid,blank,N-VA,Open VLD,CD&V,Vooruit,VB (1979),Groen,SD&P,PTB/PVDA,PP (2009),ROSSEM,B.U.B.,PVGW,DéFI,PS,MR,LE,PTB-GO,Ecolo,R!,FPN,La Droite,WDA,LO,RW,P+,NATION,R.W.F.,FW,NWA,MGJOD,LDD,VLC,PP [Parti Pensionnés],ISLAM,CIM,VPB,GC,Égalitaires !,P-Lib,Agora Erasmus,La Lutte,MOVE
BE_41002,Aalst / Alost,0,57433,2723,0,20618,8596,7845,6526,4305,3767,1218,1081,468,147,87,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_44001,Aalter,0,14619,635,0,3878,1812,4719,1204,514,1440,12,242,100,43,12,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_24001,Aarschot,0,21669,1137,0,5694,4727,4045,2510,1354,1543,0,452,30,109,41,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_11001,Aartselaar,0,10213,279,0,4724,1350,1488,773,546,738,0,215,79,11,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_23105,Affligem,0,9279,311,0,3253,2517,1532,601,435,437,0,100,17,25,22,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_52074,Aiseau-Presles,0,6581,623,0,0,0,0,0,0,0,0,0,402,0,3,0,131,2441,948,675,383,324,282,101,67,51,30,22,20,20,19,19,14,6,0,0,0,0,0,0,0,0,0,0,0,0
BE_73001,Alken,0,8490,406,0,2771,1355,1809,999,319,639,0,98,65,21,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_38002,Alveringem,0,3531,173,0,1019,428,827,480,146,192,0,49,0,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0
BE_61003,Amay,0,11238,848,0,0,0,0,0,0,0,0,0,529,0,23,0,250,3957,1702,868,823,1654,138,0,168,99,0,0,0,31,34,6,0,0,0,48,40,13,7,0,0,0,0,0,0,0
BE_63001,Amel / Amblève,0,3660,817,0,0,0,0,0,0,0,0,0,71,0,2,0,21,492,908,781,35,415,33,0,52,4,0,0,0,11,0,4,0,0,0,3,3,7,1,0,0,0,0,0,0,0
