gisco_id,name,registered,turnout,invalid,blank,VB (1979),N-VA,Vooruit,CD&V,Open VLD,PTB/PVDA,Groen,Voor U,BLANCO,GV,B.U.B.,L’Unie,DierAnimal,Volt,PS,MR,LE,Ecolo,Chez Nous,DéFI,CC,LO,RMC,Agora,TFA
BE_41002,Aalst (Aalst) / Alost (Alost),0,58802,2405,0,15352,14067,6905,5199,5107,4839,3874,439,340,155,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_44084,Aalter,0,21538,879,0,4178,5173,2497,3726,1926,765,2023,162,127,49,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_24001,Aarschot,0,22469,1045,0,4880,5168,3315,2903,1782,1237,1535,299,241,0,39,25,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_11001,Aartselaar,0,10342,272,0,1895,4141,860,947,772,694,503,77,59,0,16,0,80,26,0,0,0,0,0,0,0,0,0,0,0
BE_23105,Affligem,0,9449,329,0,2072,2491,859,1550,937,591,414,104,52,0,29,21,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_52074,Aiseau-Presles,0,7317,752,0,0,127,0,0,0,956,0,0,97,0,16,0,0,0,2377,1356,1006,197,193,131,76,33,0,0,0
BE_73001,Alken,0,8823,384,0,1684,2738,883,1130,773,526,549,50,94,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_38002,Alveringem,0,3565,163,0,995,730,371,742,229,159,105,52,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_61003,Amay,0,9468,818,0,0,137,0,0,0,1423,0,0,165,0,27,0,0,0,2399,1670,1207,976,323,174,108,0,41,0,0
BE_63001,Amel / Amblève,0,3765,719,0,0,118,0,0,0,114,0,0,48,0,16,0,0,0,508,695,883,481,96,26,32,0,29,0,0
BE_92003,Andenne,0,18241,1744,0,0,298,0,0,0,2332,0,0,316,0,52,0,0,0,3660,3385,4065,1066,594,386,273,0,0,70,0
