gisco_id,name,registered,turnout,invalid,blank,ФСБ-СБ,ДНБ,БСП-ОЛ,Гранит,KE,НДСВ,ДБ [Достойна България],ДСБ,ДЖБ,Евророма,КнР,БНС-НД,НВ,АТАКА,ФАГО,ОППБ,ДПС,БХК,ОДС,ПСД,ΡΚ,Пенев,Коев,Димов,Събчев,Илиев,Василев,Петров,Ничев,Мумджиев,Бозукова,Чаушев,Велчев,Абаджиев
BG_BLG0102676,Bansko,10788,5165,131,0,4,25,1636,7,7,1199,11,298,24,64,29,435,139,150,11,48,429,5,505,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0
BG_BLG0203504,Belitsa,7923,5171,146,0,2,10,780,5,3,259,7,71,4,135,31,54,5,48,0,12,3516,3,78,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BG_BLG0304279,Blagoewgrad,64781,32602,534,0,38,212,8845,52,32,10498,63,2204,120,191,345,1660,1183,1718,255,68,228,145,4111,82,18,0,0,0,0,0,0,0,0,0,0,0,0,0
BG_BLG1117395,Gotse Delchew,27290,14988,385,0,39,39,3158,17,7,2380,26,912,53,117,81,405,371,759,40,67,5272,26,828,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0
BG_BLG1318366,Garmen,11800,7714,111,0,7,33,1004,3,3,383,9,172,5,118,178,170,74,91,8,16,5164,2,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BG_BLG2814492,Kresna,5152,2400,48,0,5,8,734,6,1,566,3,309,4,58,21,135,43,111,4,9,51,17,255,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BG_BLG3356126,Petrich,47119,22404,596,0,26,67,6501,38,24,3404,34,808,70,606,831,2845,363,1226,55,55,693,77,4062,15,8,0,0,0,0,0,0,0,0,0,0,0,0,0
BG_BLG3761813,Razlog,18121,10105,396,0,16,30,3390,13,11,2180,31,894,74,271,39,430,312,643,30,33,114,12,1172,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0
BG_BLG4065334,Sandanski,36016,15645,396,0,19,64,4209,16,20,4027,25,1020,47,830,196,862,747,842,23,118,280,102,1787,11,4,0,0,0,0,0,0,0,0,0,0,0,0,0
BG_BLG4265440,Satowcha,13939,6255,94,0,8,10,920,2,4,336,10,143,5,79,445,52,186,26,7,16,3545,7,357,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BG_BLG4466460,Simitli,12324,5863,266,0,7,21,1204,7,5,1905,11,183,31,158,28,257,227,246,14,25,219,12,1027,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0
BG_BLG4978046,Tsaparewo,5513,2495,110,0,4,3,827,6,8,668,2,102,12,158,23,143,97,61,7,17,19,9,213,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BG_BLG5277058,Hadzhidimowo,8940,4881,141,0,3,18,1161,3,3,463,7,213,17,45,203,121,342,59,51,9,1718,5,295,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BG_BLG5387338,Yakoruda,8668,5464,160,0,2,3,402,1,2,180,10,64,2,72,38,27,21,162,29,11,4224,6,46,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
BG_BGS0100151,Ajtos,25769,15060,522,0,90,18,4494,14,12,1635,55,268,22,297,65,472,423,890,132,31,4467,36,1092,5,1,19,0,0,0,0,0,0,0,0,0,0,0,0
BG_BGS0407079,Burgas,180555,92478,1452,0,388,301,26703,104,88,24056,601,5648,230,730,830,3608,4549,12711,288,183,2326,745,6679,36,120,102,0,0,0,0,0,0,0,0,0,0,0,0
BG_BGS0617974,Sredets,12601,7238,291,0,46,12,3128,24,14,928,84,186,20,504,99,411,213,750,30,19,123,30,302,1,7,16,0,0,0,0,0,0,0,0,0,0,0,0
BG_BGS0835883,Kameno,10033,4942,228,0,37,22,2292,13,6,735,17,115,15,109,22,162,100,370,8,23,139,24,482,4,3,16,0,0,0,0,0,0,0,0,0,0,0,0
BG_BGS0936525,Karnobat,24201,13462,518,0,35,44,5361,22,17,1401,217,401,43,903,505,513,464,1127,19,37,929,129,744,6,1,26,0,0,0,0,0,0,0,0,0,0,0,0
BG_BGS1246663,Malko Tarnowo,3591,2234,74,0,28,6,1121,7,7,284,12,45,13,137,17,59,67,218,3,18,10,5,94,1,2,6,0,0,0,0,0,0,0,0,0,0,0,0
BG_BGS1348619,Tsarewo,7606,4265,75,0,21,3,1603,7,4,966,17,307,22,243,62,223,150,162,8,20,50,20,289,2,2,9,0,0,0,0,0,0,0,0,0,0,0,0
BG_BGS1551500,Nesebar,16230,7585,195,0,38,23,2270,28,8,1396,31,528,26,78,69,253,420,1245,8,22,244,51,620,4,5,23,0,0,0,0,0,0,0,0,0,0,0,0
BG_BGS1757491,Pomorie,21787,11304,388,0,15,13,2646,19,13,1613,31,494,23,447,203,384,299,1373,19,34,2440,131,691,4,6,18,0,0,0,0,0,0,0,0,0,0,0,0
BG_BGS1863224,Ruen,23746,18675,545,0,21,19,987,4,5,142,51,31,4,199,55,52,119,102,16,55,15503,33,702,10,4,16,0,0,0,0,0,0,0,0,0,0,0,0
BG_BGS2167800,Sozopol,11250,6917,219,0,8,17,2185,9,4,891,16,407,15,283,24,992,143,846,15,16,237,24,556,3,2,5,0,0,0,0,0,0,0,0,0,0,0,0
BG_BGS2370247,Sungurlare,11476,7276,335,0,93,16,2328,14,8,556,87,112,16,432,111,173,172,429,10,40,2042,27,246,2,3,24,0,0,0,0,0,0,0,0,0,0,0,0
BG_BGS2758356,Primorsko,5021,3118,77,0,12,7,932,8,5,598,9,141,4,139,60,275,92,456,6,6,47,30,200,2,0,12,0,0,0,0,0,0,0,0,0,0,0,0
BG_VAR0100084,Awren,6591,4257,209,0,15,11,1212,7,8,1214,7,96,10,54,75,121,92,82,21,16,455,13,194,0,10,0,326,9,0,0,0,0,0,0,0,0,0,0
BG_VAR0200182,Aksakowo,14636,8044,299,0,17,13,2398,6,5,2018,15,342,24,47,174,485,231,440,31,28,331,67,764,6,6,0,278,19,0,0,0,0,0,0,0,0,0,0
BG_VAR0403719,Beloslaw,9027,5151,169,0,14,10,1188,8,7,1027,11,188,16,32,116,156,119,501,3,28,409,81,853,2,6,0,178,29,0,0,0,0,0,0,0,0,0,0
BG_VAR0507598,Byala,2777,1666,59,0,3,5,519,6,1,367,3,57,2,39,12,67,50,93,1,6,166,7,196,1,1,0,3,2,0,0,0,0,0,0,0,0,0,0
BG_VAR0610135,Warna,281438,155179,2278,0,680,168,36002,233,123,47824,203,11428,795,531,2683,9083,6093,14202,275,435,6051,800,11288,34,36,0,1437,2497,0,0,0,0,0,0,0,0,0,0
BG_VAR0810865,Wetrino,5459,3688,172,0,6,5,1164,8,2,551,8,72,16,31,83,120,96,175,1,23,896,1,196,1,1,0,54,6,0,0,0,0,0,0,0,0,0,0
BG_VAR0912574,Walchi dol,10031,6568,279,0,10,27,2181,9,13,1093,9,125,16,172,153,372,75,414,28,27,1199,12,259,2,6,0,85,2,0,0,0,0,0,0,0,0,0,0
