gisco_id,name,registered,turnout,invalid,blank,ВМРО,НГ,БНС-НД,БСП-ОЛ,Възраждане,АБВ,АТАКА,КОД,ДПС,БПЛ,ДБ (2014),ЗАЕДНО,БНО,Нация,МИР,ГП,ИБГ-НИ,ГН,ДНК,РБ (2020),Правото,БОГ,ВОЛЯ-НФСБ,Зелени,ОНБ,БСДД,ГЕРБ-СДС,ИТН,ПД,Масарлиев,Леви
BG_BLG52,Хаджидимово,8625,5013,132,32,128,2,1,597,49,22,6,9,1020,2,78,0,81,1,1,4,129,3,14,59,2,2,67,4,5,8,2076,454,0,27,0
BG_LOV18,Ловеч,43839,22081,487,336,537,20,24,3710,551,86,110,25,991,20,1065,14,436,65,22,11,1119,89,135,113,19,2,510,25,16,12,7374,4131,25,0,0
BG_DOB20,Крушари,5222,1750,85,7,17,1,0,157,16,5,7,2,879,1,25,1,7,1,0,3,22,4,1,40,1,1,34,0,0,2,344,87,0,0,0
BG_SLV11,Котел,18479,7544,422,59,91,3,5,1007,85,23,26,12,1511,5,82,8,83,2,11,4,177,1,25,197,10,6,145,4,4,7,3077,443,9,0,0
BG_BLG53,Якоруда,8731,5192,189,35,49,1,2,177,22,8,8,4,2219,2,48,1,37,0,0,0,30,4,10,23,3,0,41,2,1,2,2031,239,2,2,0
BG_VAR01,Аврен,6581,4050,173,23,409,2,2,432,65,13,16,10,461,3,90,1,50,1,2,1,180,5,13,11,2,1,132,5,1,8,1559,371,8,0,0
BG_KRZ15,Крумовград,34485,9501,277,67,22,4,5,639,32,16,10,19,6645,10,84,3,60,3,2,2,66,17,14,81,3,1,50,8,9,2,995,351,4,0,0
BG_GAB29,Севлиево,31763,14960,556,203,424,22,63,2065,350,53,96,24,1220,8,558,11,377,5,12,9,580,41,76,178,12,12,370,26,18,18,4501,3055,17,0,0
BG_KRZ14,Кирково,35785,10841,442,79,17,3,6,699,38,18,10,14,6375,15,96,2,65,0,4,1,55,14,12,172,3,2,57,1,3,5,2217,410,6,0,0
BG_BLG03,Благоевград,85336,36676,725,461,1422,17,27,4515,652,112,116,67,1857,43,3319,26,836,4,81,19,1435,46,124,644,36,8,762,114,33,43,12377,6689,47,17,0
BG_BGS01,Айтос,27965,11825,398,118,231,8,9,1524,186,16,42,15,2758,8,388,17,167,3,3,6,381,19,23,342,2,1,311,7,11,6,3616,1193,9,0,0
BG_PAZ04,Белово,7369,4296,118,41,71,7,4,1017,117,9,28,1,1,2,127,15,85,3,2,3,172,3,27,34,0,1,51,2,4,2,1650,697,2,0,0
BG_VID09,Видин,57536,24493,561,468,519,42,18,4662,607,73,186,23,1213,19,1327,85,600,4,33,14,904,59,139,961,81,11,438,22,22,47,7120,4221,14,0,0
BG_VAR02,Аксаково,17108,9549,300,114,517,9,5,1280,274,35,37,17,874,6,371,10,181,4,4,5,380,26,39,117,6,7,334,14,9,8,2943,1611,12,0,0
BG_SML11,Златоград,10640,5117,123,59,42,4,3,1130,74,10,8,6,148,3,194,3,96,0,0,4,152,7,16,161,4,1,116,3,3,6,1827,911,3,0,0
BG_TGV35,Търговище,56428,26494,844,299,537,45,14,3236,455,149,92,26,7881,15,804,27,383,6,38,11,661,38,89,1772,15,8,481,27,15,23,5268,3221,14,0,0
BG_SFO45,Сливница,7509,4088,101,64,122,10,10,634,69,22,15,5,51,2,258,5,124,1,7,4,170,3,24,101,2,5,57,4,9,8,1368,833,1,0,0
BG_VTR28,Свищов,28563,13497,302,206,404,10,18,2933,308,37,89,64,680,7,638,10,345,5,5,8,689,25,68,37,4,10,279,15,6,13,2822,3443,17,0,0
BG_SLS01,Алфатар,2599,1319,72,10,80,3,0,217,16,2,13,0,136,0,27,0,27,0,6,0,39,1,2,140,2,2,34,0,1,0,348,139,2,0,0
BG_PAZ19,Пазарджик,101526,43372,1314,580,1350,85,30,7192,1234,139,278,113,2766,129,2570,58,1307,12,49,30,1664,59,252,679,25,19,952,63,49,37,11829,8467,47,0,0
BG_BGS17,Поморие,22833,11517,297,153,464,15,14,1331,341,32,41,13,2123,10,547,6,347,2,10,7,612,14,30,117,7,6,487,9,7,6,2778,1687,4,0,0
BG_SZR24,Павел баня,13781,6644,199,58,158,7,7,874,105,23,25,8,3052,9,144,3,90,0,5,3,161,10,23,10,3,3,104,4,2,6,761,785,2,0,0
BG_HKV34,Хасково,89926,41919,1054,502,680,83,25,5535,897,93,136,69,5855,19,2684,33,911,9,20,24,2214,60,194,287,23,19,528,37,34,50,13678,6130,38,0,0
BG_SHU25,Смядово,5426,2131,117,22,54,6,1,326,42,4,14,2,207,0,28,1,37,0,2,0,70,5,4,25,2,1,96,3,1,4,762,291,4,0,0
BG_JAM22,Стралджа,9776,4634,236,38,56,7,4,1250,62,52,76,9,48,4,113,4,82,4,3,1,189,5,9,103,4,11,161,5,6,12,1352,724,5,0,0
BG_SOF46,Столична,1114678,565069,8434,11465,19715,797,510,74493,15622,3698,2959,3315,4596,537,128282,642,24206,160,1036,538,34277,2646,4239,2752,378,291,7426,1631,898,646,120411,87419,804,0,259
BG_DOB12,Генерал Тошево,13080,5612,209,71,144,7,1,1647,121,16,63,7,284,7,145,4,125,0,1,2,195,16,23,148,4,11,209,4,3,4,1198,938,5,0,0
BG_DOB15,Добрич - селска,20990,8330,295,40,118,10,8,2427,156,21,36,14,1638,8,158,10,103,1,1,11,202,13,20,263,3,9,293,13,9,8,1661,770,11,0,0
BG_SFO39,Самоков,31402,18267,440,255,699,54,27,2960,275,33,72,16,2249,15,838,12,398,3,16,2,536,24,58,69,6,2,373,23,13,18,6162,2613,10,0,0
BG_VRC08,Бяла Слатина,20829,12462,304,122,145,6,7,1251,152,18,64,14,1565,11,266,8,161,3,3,5,327,26,31,518,12,2,163,1,19,15,5681,1555,7,0,0
BG_DOB27,Тервел,20631,7047,320,62,109,8,4,726,93,27,8,7,1419,8,104,3,73,1,4,4,110,10,4,387,6,10,132,4,7,7,2871,514,5,0,0
BG_HKV19,Минерални бани,6978,4032,73,25,13,0,1,186,33,2,8,5,2801,2,37,0,18,0,0,1,59,4,9,18,0,1,33,2,0,0,468,232,1,0,0
BG_PDV43,Сопот,8673,4363,78,96,158,6,3,908,114,8,36,3,90,2,166,2,155,0,9,5,228,10,34,297,0,7,128,4,2,1,689,1121,3,0,0
BG_SLS34,Тутракан,14525,6907,212,75,312,9,4,1203,165,14,44,4,1961,7,159,5,83,2,3,3,300,8,34,59,3,7,94,7,5,6,1176,938,5,0,0
BG_SFO54,Антон,1267,575,10,9,19,0,0,123,26,1,2,0,62,4,27,0,9,0,0,1,38,0,5,0,0,1,14,0,0,1,106,117,0,0,0
BG_TGV02,Антоново,5380,2944,93,17,20,1,1,251,16,4,6,4,1710,1,10,2,5,0,1,0,35,4,4,54,0,2,25,0,1,1,535,140,1,0,0
BG_SFO10,Горна Малина,4326,2617,85,47,264,6,7,544,53,11,12,3,4,7,115,5,79,0,7,1,123,3,10,24,0,1,35,4,3,5,633,522,4,0,0
BG_SZR07,Гълъбово,10253,5831,243,72,74,6,8,959,138,16,45,6,1663,16,143,10,130,5,5,4,242,11,19,136,4,4,133,3,3,3,897,828,3,0,0
BG_TGV24,Попово,25435,10014,216,125,179,5,11,2291,209,40,51,17,1129,5,404,7,311,0,9,4,480,15,40,394,9,7,260,8,12,8,1785,1977,6,0,0
BG_VTR04,Велико Търново,72639,36644,757,670,1689,56,22,6009,1269,155,168,70,1623,11,3197,28,853,7,23,19,1790,118,186,343,13,19,753,46,20,18,8927,7752,33,0,0
BG_SML31,Смолян,33946,17635,332,344,406,21,10,2724,300,68,77,31,1123,15,1153,24,458,5,7,11,966,31,123,243,12,9,358,26,23,18,5061,3638,18,0,0
BG_KRZ02,Ардино,24444,6719,137,44,7,1,1,303,15,10,11,12,4944,7,48,2,23,1,1,0,47,7,5,14,1,4,12,1,4,3,884,168,2,0,0
BG_VAR16,Дългопол,12161,6857,283,31,468,7,2,711,42,23,16,6,1664,27,153,1,53,0,3,5,70,3,11,48,1,1,245,6,5,9,2606,352,5,0,0
BG_GAB05,Габрово,55802,27544,634,497,793,41,26,3705,812,80,127,126,462,15,1698,38,711,3,16,15,1681,73,200,303,17,19,875,71,55,36,9364,5020,31,0,0
BG_SZR31,Стара Загора,140851,70335,1633,1001,2351,74,54,10735,2793,360,411,211,2494,95,6008,79,1875,24,31,53,5014,127,388,493,29,39,2318,92,54,50,15723,15643,83,0,0
BG_VID16,Димово,4982,2939,117,26,75,2,1,352,20,5,14,6,1104,2,37,1,27,1,0,2,39,1,11,60,0,2,31,0,4,0,778,219,2,0,0
