gisco_id,name,registered,turnout,invalid,blank,ЗАЕДНО,Свобода,БНС-НД,БСП-ОЛ,ГЕРБ-СДС,АТАКА,ДПС,ИБГ-НИ,МИР,БТР,Възраждане,Подем,Бригада,ПД,ГПБЛ,ВМРО-ВОЛЯ-НФСБ,ЛСЧСР,Зелени,КОД-БЗНС-БДФ-СЕК,ГН,РБ (2020),ИТН,ДБ (2014),Леви
BG_BLG52,Хаджидимово,8675,3618,8,32,4,4,4,566,976,11,721,169,4,3,41,2,22,4,52,76,5,0,36,3,6,739,130,0
BG_LOV18,Ловеч,43341,17437,85,236,15,17,19,2942,4720,96,637,929,10,22,499,11,11,15,262,617,55,12,13,38,73,4720,1383,0
BG_DOB20,Крушари,5129,1649,14,9,2,4,3,118,225,11,1051,22,5,1,9,0,3,4,4,14,2,0,0,2,2,115,29,0
BG_SLV11,Котел,18211,5607,14,38,9,12,14,753,2207,40,1195,219,7,13,62,0,9,17,27,93,7,3,3,6,51,635,173,0
BG_BLG53,Якоруда,8207,4024,12,26,1,5,1,168,527,12,2769,43,6,2,16,2,2,3,26,39,2,0,0,0,5,287,70,0
BG_VAR01,Аврен,6725,3374,32,28,7,15,4,540,1225,22,207,182,7,9,68,2,9,4,22,169,10,4,6,4,2,655,141,0
BG_KRZ15,Крумовград,33337,9948,36,54,3,9,7,493,827,20,7555,60,15,11,22,0,5,5,19,21,12,0,0,2,27,616,129,0
BG_GAB29,Севлиево,31472,11923,57,155,18,20,49,1582,3298,70,1159,515,8,19,328,0,7,18,161,408,53,25,9,35,34,3127,768,0
BG_KRZ14,Кирково,35148,10851,36,49,3,12,6,413,1421,33,7544,94,11,10,13,0,7,8,25,30,10,3,1,3,34,833,252,0
BG_BLG03,Благоевград,90680,27812,8,368,40,36,43,3484,6649,101,1641,1561,25,46,714,6,22,14,336,1081,66,37,36,22,119,7412,3945,0
BG_BGS01,Айтос,27414,9505,32,61,7,5,9,1046,2891,42,2606,331,7,13,143,8,1,8,70,155,30,4,13,14,5,1560,444,0
BG_PAZ04,Белово,7352,3632,0,31,6,3,16,819,1344,36,1,144,2,11,72,0,5,7,52,37,17,1,1,7,5,860,155,0
BG_VID09,Видин,57146,18896,35,285,55,23,30,3116,5070,116,540,1199,15,18,469,0,15,26,366,370,86,12,23,41,326,4992,1668,0
BG_VAR02,Аксаково,17066,7858,61,85,8,56,20,1041,2562,33,292,327,7,16,247,2,11,8,58,418,32,15,12,14,29,2013,491,0
BG_SML11,Златоград,10093,4424,16,52,4,16,14,1090,1232,11,333,114,2,5,68,0,2,7,44,63,8,1,3,5,10,1053,271,0
BG_TGV35,Търговище,56359,20195,65,216,26,29,32,2721,4672,91,5408,662,29,25,390,0,15,33,264,468,41,15,17,13,59,3798,1106,0
BG_SFO45,Сливница,7374,3071,7,53,6,6,3,461,943,18,67,160,4,2,58,1,2,3,69,71,3,3,4,2,37,809,279,0
BG_VTR28,Свищов,28947,11241,27,152,10,16,28,1880,2223,89,418,687,8,18,280,0,11,22,136,274,42,12,23,18,20,3920,927,0
BG_SLS01,Алфатар,2579,1120,10,11,2,0,4,173,360,8,167,28,3,2,14,1,0,0,10,32,2,1,1,0,3,233,55,0
BG_PAZ19,Пазарджик,100747,32975,50,440,36,54,69,5456,8676,204,662,1422,50,47,906,0,28,62,748,950,138,44,117,34,206,9504,3072,0
BG_BGS17,Поморие,22591,9256,9,106,12,10,15,984,2239,37,1506,598,13,11,275,3,16,7,180,210,29,8,26,7,21,2167,767,0
BG_SZR24,Павел баня,13754,4960,7,38,4,7,6,653,756,20,1870,158,19,5,67,3,7,2,42,127,17,2,1,7,2,942,198,0
BG_HKV34,Хасково,87910,34036,58,323,40,39,59,4125,8316,140,5137,1955,26,53,957,0,25,49,482,615,136,28,56,31,41,8315,3030,0
BG_SHU25,Смядово,5531,1921,27,26,3,6,5,270,738,16,164,76,8,3,35,0,1,7,12,70,4,2,2,2,31,374,39,0
