gisco_id,name,registered,turnout,invalid,blank,БЛ,ГН,Зелени,ЗД,ХПБ,БНПП,СЕ,РБ (2013),КБ (2011),БАСТА,АБВ,БСП-ОЛ,Угърчинска-Винсенти,КОД,ГЕРБ,АТАКА,СКБ,БКП,ББЗ-ВМРО-ЗНС-ДГ,ДПС,НПБ
BG_77058,Хаджидимово,8885,4111,136,0,11,3,7,15,2,3,14,66,66,11,56,574,9,44,756,69,8,21,598,1541,2
BG_43952,Ловеч,48164,16114,589,0,77,117,40,114,22,23,62,792,504,21,890,3245,58,182,4994,591,19,74,2097,1269,17
BG_40097,Крушари,4158,1782,84,0,2,2,2,8,0,3,5,23,36,4,25,127,10,9,169,28,1,12,130,1049,2
BG_39030,Котел,17396,5088,172,0,16,9,4,19,4,12,19,79,150,8,122,439,7,10,1001,111,4,28,532,2162,5
BG_87338,Якоруда,9065,4875,141,0,2,6,0,7,1,2,2,57,34,3,49,152,1,3,343,41,1,9,99,3805,3
BG_00084,Аврен,4312,3718,161,0,35,11,4,8,5,6,3,178,88,3,123,484,5,14,1307,35,7,14,322,816,3
BG_39970,Крумовград,16780,8147,259,0,14,15,10,21,4,5,7,73,38,6,60,494,17,23,740,20,11,25,218,5925,13
BG_65927,Севлиево,33695,11784,389,0,79,61,18,74,13,15,32,370,358,10,443,2052,26,102,3427,238,22,52,1192,2563,18
BG_36926,Кирково,20080,9311,332,0,21,7,4,20,2,8,76,70,32,10,96,727,11,25,740,21,12,31,413,6348,12
BG_04279,Благоевград,68802,23932,725,0,99,369,203,246,33,35,147,1534,550,269,1105,4093,66,252,8701,573,31,76,3986,347,35
BG_00151,Айтос,26343,9339,351,0,32,30,8,37,6,15,14,263,284,5,181,1210,16,53,1667,200,12,39,747,3882,9
BG_03592,Белово,8217,2875,102,0,12,16,4,11,4,6,4,127,86,1,63,555,6,35,761,109,4,15,574,304,2
BG_10971,Видин,63901,18035,690,0,73,113,21,106,14,11,66,935,379,124,595,4377,43,119,4603,737,27,80,2655,1872,28
BG_00182,Аксаково,15212,6228,195,0,29,42,11,27,7,11,7,281,246,9,259,770,10,36,1854,186,16,31,663,1337,4
BG_31111,Златоград,11516,4224,236,0,9,16,4,9,2,6,9,121,183,2,75,1029,11,15,1349,22,5,20,367,673,3
BG_73626,Търговище,54051,21441,696,0,85,82,25,111,23,20,58,623,432,10,666,3721,40,159,4111,407,18,87,1549,7971,22
BG_67372,Сливница,7884,2640,131,0,15,13,3,16,3,3,12,168,79,5,139,694,15,33,749,85,5,16,289,135,0
BG_65766,Свищов,32684,10941,435,0,73,93,27,75,11,29,760,554,402,128,452,2122,28,74,2397,400,13,63,1676,902,12
BG_00415,Алфатар,2592,1202,63,0,5,2,1,2,1,5,0,23,70,1,21,202,1,40,286,45,5,1,99,284,0
BG_55155,Пазарджик,106184,32006,1133,0,130,220,53,193,41,33,114,1854,563,64,1173,5050,86,219,8877,1866,56,125,3186,5937,35
BG_57491,Поморие,22684,7971,280,0,35,20,19,37,9,12,12,307,676,6,224,876,13,41,2215,100,11,29,775,2069,9
BG_55021,Павел баня,12332,5650,190,0,13,13,2,5,4,2,10,97,161,5,79,782,9,10,854,105,5,32,508,2593,7
BG_77195,Хасково,84757,33205,1175,0,122,202,47,196,30,41,81,1151,883,189,1258,4200,85,218,9143,814,39,113,3677,8715,36
BG_67708,Смядово,5792,1866,92,0,10,2,3,5,1,6,1,68,74,1,51,295,3,12,646,28,5,11,234,259,3
BG_69660,Стралджа,10009,4420,283,0,18,20,3,15,4,13,5,87,145,1,119,1690,6,100,853,244,6,25,584,72,0
BG_SOF46,Столична,1076787,377302,9808,0,1924,7829,1499,7956,843,365,3204,56411,6952,514,19683,65221,2243,4281,141025,12230,352,903,22499,4709,489
BG_14711,Генерал Тошево,13492,5146,253,0,30,13,7,23,5,20,7,120,219,6,164,1639,6,61,953,159,7,32,713,563,1
BG_DOB15,Добрич - селска,18181,7641,358,0,40,13,7,22,9,19,9,120,249,8,163,1581,15,63,1015,161,17,60,746,2760,10
BG_65231,Самоков,32938,12713,529,0,60,98,21,85,9,29,31,631,383,70,423,2931,34,79,3649,434,19,60,1195,1564,10
BG_07702,Бяла Слатина,22480,9890,214,0,38,34,3,26,12,14,37,174,178,41,260,1596,11,25,2030,275,12,57,1131,3427,11
BG_72271,Тервел,14542,7082,408,0,24,9,5,13,2,8,10,111,126,6,122,1513,16,20,711,64,7,23,503,3208,8
BG_HKV19,Минерални бани,5663,3631,75,0,5,6,3,5,0,3,1,29,63,23,35,165,3,3,301,35,2,8,147,2613,5
BG_68080,Сопот,9278,2722,101,0,18,14,10,16,2,2,5,160,83,5,136,673,15,40,718,126,7,15,369,161,2
BG_73496,Тутракан,14943,6120,235,0,28,15,7,12,5,7,15,136,361,3,135,840,11,71,1103,45,12,24,507,2423,5
BG_00504,Антон,1330,411,17,0,5,5,3,5,0,3,5,41,14,2,8,82,0,6,104,15,0,0,48,36,2
BG_00518,Антоново,5358,3300,117,0,5,1,3,3,3,1,3,22,34,2,75,321,4,4,407,25,3,15,158,2031,7
BG_16314,Горна Малина,4753,2038,124,0,13,17,8,12,1,2,2,73,43,34,72,417,4,37,490,52,4,5,263,322,2
