gisco_id,name,registered,turnout,invalid,blank,НФСБ-СЕК,НДСВ,ВМРО,Григорова,ЗД,Волт,Ненчев,Атанасова,БВ,БСП-ОЛ,Иванчева,ГЕРБ,ДБ (2014),АТАКА,Куминев,ДОСТ,ПД,ГН,ДПС,ЗАЕДНО,БНО,ВОЛЯ,Д21,Симеонов,ДПБ,Възраждане
BG_BLG01,Банско,10738,6117,221,143,33,29,339,14,6,7,4,10,2,1113,69,3366,140,34,65,2,9,3,26,73,2,365,4,6,16,16
BG_BLG02,Белица,8078,4781,182,51,8,11,44,3,3,2,1,0,0,302,6,439,10,6,3,15,0,2,3629,5,2,46,2,0,4,5
BG_BLG03,Благоевград,67990,22044,750,719,169,335,2283,118,123,36,70,37,20,5613,353,6559,1428,178,237,10,26,58,1923,37,29,643,21,29,23,217
BG_BLG11,Гоце Делчев,27164,9838,354,235,27,37,390,59,11,6,23,7,5,2865,73,2010,212,59,116,98,5,16,2882,15,8,202,10,6,24,83
BG_BLG13,Гърмен,12715,4219,137,68,6,10,85,6,2,1,2,4,4,443,8,1316,50,8,33,98,2,2,1811,9,4,91,4,0,4,11
BG_BLG28,Кресна,4631,1994,93,35,16,8,79,6,2,0,4,0,1,840,17,698,71,10,2,3,4,2,10,2,1,79,1,0,5,5
BG_BLG33,Петрич,45311,13653,544,293,86,108,1275,44,16,14,18,28,109,2994,140,6298,327,123,93,8,17,32,636,21,13,290,11,8,24,83
BG_BLG37,Разлог,17435,7498,378,271,38,91,478,18,18,8,27,13,9,2034,64,2659,386,41,84,3,8,13,420,10,7,308,5,9,18,70
BG_BLG40,Сандански,35913,10950,373,258,102,82,2488,30,9,8,11,12,6,2241,130,3724,517,102,119,10,3,15,462,13,9,144,5,8,15,54
BG_BLG42,Сатовча,14037,5592,92,66,3,5,37,7,1,0,0,2,0,520,7,1020,17,5,3,7,6,6,3734,6,2,34,5,1,4,2
BG_BLG44,Симитли,12367,7516,144,127,17,40,196,8,16,5,3,6,16,739,33,5645,83,27,30,2,4,3,209,6,4,122,1,2,11,17
BG_BLG49,Струмяни,4423,1280,80,27,7,8,230,3,1,2,1,7,0,265,11,394,21,19,6,0,2,3,142,5,4,32,4,1,2,3
BG_BLG52,Хаджидимово,8146,3089,123,47,30,11,72,15,2,4,62,2,2,678,16,742,39,3,18,9,2,0,1093,4,3,94,4,0,3,11
BG_BLG53,Якоруда,8855,3733,176,83,7,8,58,6,4,4,2,2,0,222,2,295,23,9,12,49,1,2,2672,7,3,69,4,0,5,8
BG_BGS01,Айтос,26071,8741,357,154,96,57,298,23,7,10,5,6,4,1315,35,2806,90,53,42,105,8,51,2806,23,17,265,30,30,9,39
BG_BGS04,Бургас,182036,54230,1584,2106,2363,894,4941,238,140,144,115,52,37,13237,812,17888,3085,363,597,37,63,157,1397,64,39,1371,214,1191,122,979
BG_BGS06,Средец,11655,3871,208,91,256,172,147,13,1,13,7,4,8,1125,16,1222,46,42,14,6,7,5,299,8,2,124,3,8,1,23
BG_BGS08,Камено,9718,2491,185,82,118,26,110,7,7,3,4,5,2,686,14,783,42,26,20,4,3,9,221,4,6,86,2,14,8,14
BG_BGS09,Карнобат,20921,5792,284,203,140,75,325,23,9,4,11,7,3,2003,39,1329,113,78,43,13,7,10,723,11,20,232,7,8,17,55
BG_BGS12,Малко Търново,2731,1008,63,28,57,11,61,6,3,2,1,1,1,357,10,293,19,4,5,1,1,1,18,3,1,45,0,0,3,13
BG_BGS13,Царево,7665,3144,117,68,83,22,127,7,3,3,7,1,2,724,25,1553,124,11,16,1,6,10,137,4,4,50,5,3,4,27
BG_BGS15,Несебър,19912,6139,204,185,386,82,382,22,20,10,19,7,5,1776,84,1667,248,23,62,8,4,16,536,10,6,248,15,51,7,56
