gisco_id,name,registered,turnout,invalid,blank,FDP,CVP,SP,SVP,LPS,EVP,CSP,GLP,BDP,PdA,GPS,Sol.,SD,EDU,Lega,MCR,Übrige
CH_0001,Aeugst am Albis,1337,753,7,0,105,24,114,215,0,26,5,80,51,0,72,0,2,34,0,0,18
CH_0002,Affoltern am Albis,6779,3028,13,0,327,171,497,963,0,131,4,312,199,3,252,0,5,64,0,0,87
CH_0003,Bonstetten,3570,1959,7,0,248,72,355,530,0,58,6,333,110,2,146,0,4,27,0,0,61
CH_0004,Hausen am Albis,2366,1254,11,0,119,40,195,419,0,26,1,177,83,0,142,0,2,18,0,0,21
CH_0005,Hedingen,2379,1222,15,0,99,45,249,381,0,47,1,173,48,2,110,0,0,25,0,0,27
CH_0006,Kappel am Albis,663,345,6,0,31,15,36,160,0,15,0,25,21,0,23,0,1,1,0,0,11
CH_0007,Knonau,1314,645,6,0,47,30,110,206,0,44,0,79,41,0,50,0,2,22,0,0,8
CH_0008,Maschwanden,472,233,5,0,14,3,48,88,0,19,0,25,11,0,8,0,1,5,0,0,6
CH_0009,Mettmenstetten,3016,1654,8,0,153,75,269,506,0,66,1,221,112,1,130,0,5,71,0,0,36
CH_0010,Obfelden,3076,1467,6,0,161,95,238,469,0,61,2,139,105,0,96,0,5,59,0,0,31
CH_0011,Ottenbach,1808,1026,9,0,158,45,172,315,0,22,1,118,59,2,85,0,2,21,0,0,17
CH_0012,Rifferswil,671,421,7,0,27,10,80,119,0,25,1,51,16,0,57,0,1,16,0,0,11
CH_0013,Stallikon,2211,1147,6,0,155,61,186,384,0,21,0,144,90,0,62,0,1,15,0,0,22
CH_0014,Wettswil am Albis,3199,1773,6,0,326,101,249,522,0,49,2,243,119,2,76,0,4,25,0,0,49
CH_0021,Adlikon,480,264,6,0,20,1,19,147,0,12,0,20,16,0,14,0,0,8,0,0,1
CH_0022,Benken (ZH),605,294,23,0,17,6,28,131,0,3,0,14,32,0,21,0,0,16,0,0,3
CH_0023,Berg am Irchel,468,281,5,0,21,5,18,143,0,6,0,29,21,0,21,0,0,6,0,0,6
CH_0024,Buch am Irchel,629,361,5,0,34,5,23,178,0,5,0,46,27,0,11,0,0,19,0,0,8
CH_0025,Dachsen,1302,638,11,0,68,33,106,186,0,17,1,68,53,0,68,0,1,18,0,0,8
CH_0026,Dorf,448,243,6,0,15,3,27,121,0,5,0,17,14,0,8,0,0,22,0,0,5
CH_0027,Feuerthalen,2247,991,8,0,72,49,201,323,0,25,1,95,92,1,77,0,3,22,0,0,22
CH_0028,Flaach,881,517,6,0,37,10,46,272,0,27,0,38,24,0,20,0,2,29,0,0,6
CH_0029,Flurlingen,991,555,7,0,70,28,108,146,0,13,0,71,35,0,55,0,1,6,0,0,15
CH_0030,Andelfingen,1346,797,5,0,90,18,108,286,0,53,0,99,51,1,60,0,0,18,0,0,8
CH_0031,Henggart,1551,830,10,0,71,18,104,328,0,41,2,94,76,2,39,0,0,36,0,0,9
CH_0032,Humlikon,351,210,5,0,19,4,15,113,0,3,0,15,17,0,5,0,0,9,0,0,5
CH_0033,Kleinandelfingen,1433,780,7,0,73,15,102,289,0,26,2,108,78,1,39,0,1,23,0,0,16
CH_0034,Laufen-Uhwiesen,1103,565,7,0,64,21,60,197,0,11,0,73,62,0,33,0,1,27,0,0,9
CH_0035,Marthalen,1478,854,6,0,42,19,89,413,0,35,0,55,73,0,64,0,3,33,0,0,22
CH_0036,Oberstammheim,841,488,9,0,92,6,54,183,0,13,0,35,33,0,37,0,0,12,0,0,14
CH_0037,Ossingen,1008,556,14,0,50,16,59,226,0,20,0,44,60,0,37,0,0,6,0,0,24
CH_0038,Rheinau,906,494,7,0,34,50,101,143,0,10,0,38,27,0,51,0,2,12,0,0,19
CH_0039,Thalheim an der Thur,604,294,7,0,25,8,23,144,0,11,0,27,21,0,19,0,2,4,0,0,3
CH_0040,Trüllikon,779,400,6,0,21,5,53,172,0,8,2,34,53,1,22,0,1,12,0,0,10
CH_0041,Truttikon,344,223,5,0,12,5,27,84,0,12,0,23,20,1,9,0,0,23,0,0,2
CH_0042,Unterstammheim,638,386,8,0,56,7,49,139,0,18,0,51,17,1,24,0,0,9,0,0,7
CH_0043,Volken,210,126,5,0,13,3,9,64,0,7,0,10,13,0,0,0,0,2,0,0,0
CH_0044,Waltalingen,504,307,14,0,19,9,26,142,0,10,0,31,21,0,21,0,0,5,0,0,9
CH_0051,Bachenbülach,2456,951,13,0,109,41,132,326,0,44,0,103,89,1,46,0,1,27,0,0,19
CH_0052,Bassersdorf,6962,2764,11,0,308,147,480,881,0,81,3,318,204,4,171,0,5,82,0,0,69
CH_0053,Bülach,11007,4541,12,0,448,178,770,1555,0,244,8,458,262,3,267,0,16,189,0,0,131
CH_0054,Dietlikon,4538,2054,11,0,240,95,389,628,0,37,2,231,210,2,103,0,9,44,0,0,53
CH_0055,Eglisau,2872,1536,7,0,135,58,267,521,0,43,0,190,92,1,119,0,2,67,0,0,34
CH_0056,Embrach,5530,2163,11,0,201,119,353,851,0,60,1,201,139,0,89,0,3,85,0,0,50
CH_0057,Freienstein-Teufen,1612,877,14,0,65,23,151,298,0,78,1,85,60,1,53,0,0,27,0,0,21
CH_0058,Glattfelden,2835,1258,11,0,70,35,181,530,0,42,0,164,86,1,80,0,6,29,0,0,23
CH_0059,Hochfelden,1347,652,6,0,43,19,103,293,0,30,1,50,38,0,26,0,0,34,0,0,9
CH_0060,Höri,1387,516,8,0,29,13,48,272,0,9,1,50,40,1,11,0,2,20,0,0,12
CH_0061,Hüntwangen,701,341,5,0,28,9,47,125,0,6,0,49,35,0,26,0,1,4,0,0,6
CH_0062,Kloten,10761,3865,14,0,308,239,632,1560,0,149,7,342,254,1,197,0,13,65,0,0,84
CH_0063,Lufingen,1161,514,6,0,53,15,63,207,0,17,0,60,38,1,19,0,0,23,0,0,12
CH_0064,Nürensdorf,3753,1916,6,0,247,72,210,807,0,41,1,219,140,2,74,0,3,48,0,0,46
CH_0065,Oberembrach,761,426,6,0,32,14,48,210,0,6,0,29,33,0,21,0,0,19,0,0,8
CH_0066,Opfikon,7626,2463,9,0,252,156,372,990,0,83,2,247,131,7,92,0,16,32,0,0,74
CH_0067,Rafz,2680,1409,6,0,92,41,255,522,0,39,1,158,104,0,74,0,0,84,0,0,33
CH_0068,Rorbas,1492,620,9,0,42,21,119,226,0,34,0,66,24,0,41,0,0,17,0,0,21
CH_0069,Wallisellen,8530,3556,16,0,537,236,610,1158,0,87,2,355,214,4,194,0,5,60,0,0,78
CH_0070,Wasterkingen,428,231,5,0,11,6,33,117,0,3,0,28,11,0,13,0,0,1,0,0,3
CH_0071,Wil (ZH),996,532,6,0,50,9,65,220,0,14,0,73,38,3,25,0,2,14,0,0,13
CH_0072,Winkel,2841,1375,4,0,207,46,148,550,0,39,0,176,93,4,46,0,3,33,0,0,26
CH_0081,Bachs,451,259,6,0,9,5,28,135,0,3,0,17,9,0,14,0,1,25,0,0,7
CH_0082,Boppelsen,877,495,5,0,72,24,56,183,0,28,0,58,22,0,28,0,0,15,0,0,4
CH_0083,Buchs (ZH),3525,1396,7,0,159,64,184,573,0,43,2,154,80,0,57,0,6,28,0,0,39
CH_0084,Dällikon,2167,874,6,0,83,34,97,402,0,14,0,114,47,0,43,0,0,10,0,0,24
CH_0085,Dänikon,1127,479,5,0,36,23,61,208,0,4,0,71,34,0,13,0,1,13,0,0,10
CH_0086,Dielsdorf,3448,1378,8,0,128,68,225,520,0,39,2,134,75,3,78,0,4,53,0,0,41
CH_0087,Hüttikon,491,202,6,0,17,10,16,121,0,1,0,13,6,0,8,0,0,3,0,0,1
CH_0088,Neerach,2231,1116,18,0,133,38,102,554,0,32,2,93,62,0,29,0,1,40,0,0,12
CH_0089,Niederglatt,2818,1236,5,0,123,54,155,590,0,20,1,103,58,0,48,0,4,51,0,0,24
CH_0090,Niederhasli,5261,2154,7,0,166,167,314,911,0,34,1,219,117,1,100,0,11,68,0,0,38
CH_0091,Niederweningen,1813,881,6,0,91,37,137,293,0,17,1,92,47,0,87,0,3,43,0,0,27
CH_0092,Oberglatt,3170,1043,6,0,90,43,177,437,0,33,3,89,44,0,47,0,2,48,0,0,24
CH_0093,Oberweningen,1127,566,7,0,50,23,66,232,0,7,1,62,44,3,23,0,0,38,0,0,10
