gisco_id,name,registered,turnout,invalid,blank,FDP,CVP,SP,SVP,EVP,PdA-Sol.,GPS,SD,EDU,GLP,BDP,Übrige,CSP,Lega,MCR
CH_0001,Aeugst am Albis,1393,754,0,6,140,15,140,233,26,1,53,2,34,63,19,22,0,0,0
CH_0002,Affoltern am Albis,7040,3085,1,8,438,141,588,1041,168,5,191,5,48,226,128,97,0,0,0
CH_0003,Bonstetten,3528,1931,13,6,315,64,391,558,60,2,127,3,33,227,72,60,0,0,0
CH_0004,Hausen am Albis,2388,1289,1,6,164,37,249,449,33,2,103,2,21,112,59,51,0,0,0
CH_0005,Hedingen,2474,1421,2,7,224,55,318,427,50,3,91,0,25,136,53,30,0,0,0
CH_0006,Kappel am Albis,686,352,11,5,37,9,35,165,22,1,14,0,9,19,17,8,0,0,0
CH_0007,Knonau,1370,695,12,5,78,21,125,224,42,0,39,1,22,71,40,15,0,0,0
CH_0008,Maschwanden,462,181,0,13,8,6,39,75,6,1,8,0,3,8,5,9,0,0,0
CH_0009,Mettmenstetten,3156,1797,0,9,236,65,337,639,62,2,90,4,59,172,78,44,0,0,0
CH_0010,Obfelden,3180,1553,0,8,223,100,262,561,74,1,57,1,44,114,67,41,0,0,0
CH_0011,Ottenbach,1850,1027,1,7,172,42,190,357,21,1,49,0,21,84,50,32,0,0,0
CH_0012,Rifferswil,708,440,0,6,41,7,92,134,32,1,47,0,12,39,15,14,0,0,0
CH_0013,Stallikon,2246,1147,1,8,215,39,201,463,19,2,45,0,5,75,46,28,0,0,0
CH_0014,Wettswil am Albis,3289,1828,0,8,453,82,262,586,40,1,84,1,22,168,74,47,0,0,0
CH_0021,Adlikon,481,273,0,4,20,2,22,155,12,0,10,1,15,10,18,4,0,0,0
CH_0022,Benken (ZH),612,275,0,7,29,4,32,120,3,0,25,1,15,10,26,3,0,0,0
CH_0023,Berg am Irchel,452,294,4,5,30,8,22,145,9,0,12,0,5,22,23,9,0,0,0
CH_0024,Buch am Irchel,673,359,0,4,46,7,27,184,5,0,8,0,16,34,26,2,0,0,0
CH_0025,Dachsen,1334,663,0,5,80,34,131,212,30,1,45,1,15,58,38,13,0,0,0
CH_0026,Dorf,467,249,0,4,26,4,26,122,5,0,6,0,28,8,13,7,0,0,0
CH_0027,Feuerthalen,2220,959,1,7,101,35,222,350,22,0,54,0,22,58,48,39,0,0,0
CH_0028,Flaach,935,536,0,6,58,6,59,273,32,0,17,0,29,20,28,8,0,0,0
CH_0029,Flurlingen,985,532,0,8,89,22,116,148,10,0,34,0,8,47,26,24,0,0,0
CH_0030,Andelfingen,1467,900,0,8,147,20,105,306,68,0,60,2,22,93,48,21,0,0,0
CH_0031,Henggart,1580,900,2,5,121,19,138,339,63,0,44,0,38,76,42,13,0,0,0
CH_0032,Humlikon,363,193,1,5,28,3,17,96,5,0,5,0,9,14,8,2,0,0,0
