gisco_id,name,registered,turnout,invalid,blank,Α.Κ.Ε.Λ.,ΔΗ.ΣΥ.,Παναγιώτου,ΔΗ.ΚΟ.,Ε.ΛΑ.Μ.,Βολτ,ΔΗ.ΠΑ.,Ε.Δ.Ε.Κ.-Σ.Κ.,Κ.Ο.Σ.Π.,Κ.Ε.Κ.Κ.,Κ.Ζ.Κ.,Κ.Ε.Δ.,Ζερβίδης,ΝΙΚΗ
CY_1000,Λευκωσία,64204,19792,455,665,5614,4458,2136,1951,1747,1308,456,438,426,54,33,32,11,8
CY_1010,Agios Dometios,25290,6325,156,356,1626,1273,760,774,552,287,159,185,150,21,16,6,3,1
CY_1011,Έγκωμη Λευκωσίας,10751,6624,127,230,741,1992,909,974,709,372,249,162,110,21,15,5,6,2
CY_1012,Στρόβολος,41265,23782,480,965,3807,6224,3501,3070,2782,1037,644,698,356,101,64,19,21,13
CY_1013,Αγλαντζιά ή Αγλαγγιά,14909,9219,165,323,1850,2385,1269,1063,833,501,332,297,128,38,18,10,5,2
CY_1021,Lakatameia,24709,15881,311,760,3083,3525,3171,1756,1470,526,438,432,193,148,26,21,11,10
CY_1022,Συνοικισμός Ανθούπολης,1872,982,36,58,252,160,180,117,92,15,25,21,9,8,0,4,3,2
CY_1023,Λατσιά ή Λακκιά,11085,7323,140,374,1472,1823,1322,717,769,202,172,139,93,60,17,13,5,5
CY_1024,Geri,5991,4186,87,202,1091,881,897,278,387,128,66,72,33,36,11,8,7,2
CY_1100,Sia,599,524,6,33,138,96,101,50,40,17,15,11,5,7,2,2,1,0
CY_1101,Μαθιάτης,626,531,26,21,89,144,129,20,60,8,2,14,2,12,1,3,0,0
CY_1102,Alampra,1152,938,11,57,328,185,159,36,63,22,13,40,8,12,0,2,1,1
CY_1103,Αγία Βαρβάρα Λευκωσίας,1527,1148,18,66,187,328,260,65,113,21,19,48,9,9,3,0,0,2
CY_1104,Κοτσιάτης,222,132,2,1,11,14,38,13,22,1,20,10,0,0,0,0,0,0
CY_1105,Νήσου,1061,707,14,16,310,89,140,28,52,13,13,18,2,8,2,1,1,0
CY_1106,Πέρα Χωριό,1944,1483,20,65,605,238,243,70,127,26,23,27,8,16,2,11,1,1
CY_1107,Dali,7421,5296,121,252,1399,952,1076,307,447,260,155,171,36,93,11,9,3,4
CY_1108,Λύμπια,2160,1755,21,97,645,359,316,41,118,26,16,60,18,23,2,10,1,2
CY_1109,Λυθροδόντας,2252,1757,33,134,383,289,444,187,148,17,28,43,5,36,2,6,2,0
CY_1120,Potamia,406,321,10,20,96,46,67,28,24,12,1,5,6,4,1,1,0,0
CY_1200,Kampi,143,136,6,15,15,21,39,8,6,3,11,8,1,1,1,1,0,0
CY_1201,Φαρμακάς,448,413,5,29,157,41,75,16,36,8,22,4,0,18,2,0,0,0
CY_1202,Απλίκι,93,52,0,0,23,5,12,5,3,0,2,1,0,1,0,0,0,0
CY_1203,Lazanias,112,42,0,0,7,5,4,12,2,7,2,2,1,0,0,0,0,0
CY_1204,Γούρρη,244,217,3,12,60,36,44,18,24,7,7,1,0,5,0,0,0,0
CY_1206,Άγιος Επιφάνιος Ορεινής,351,289,4,16,86,27,58,32,42,3,2,9,4,5,0,1,0,0
CY_1207,Καλό Χωριό Ορεινής,537,424,7,23,136,59,68,23,74,9,6,6,7,1,3,2,0,0
CY_1208,Malounta,351,234,6,0,36,62,54,21,40,3,7,2,1,2,0,0,0,0
CY_1209,Κλήρου,1310,1016,12,41,303,186,171,71,130,16,8,56,5,11,2,2,1,1
CY_1210,Arediou,1077,938,10,52,240,153,231,59,103,13,8,20,10,33,1,4,1,0
CY_1211,Άγιος Ιωάννης Μαλούντας,313,279,3,10,22,83,45,39,41,2,9,14,4,4,3,0,0,0
CY_1212,Αγροκηπιά,423,269,3,6,68,38,55,28,39,4,4,19,3,2,0,0,0,0
CY_1213,Mitsero,622,506,16,23,181,71,77,47,45,4,17,11,2,7,2,2,1,0
CY_1220,Kapedes,464,377,4,25,41,120,49,28,66,6,3,23,1,11,0,0,0,0
CY_1222,Analiontas,650,247,8,3,54,44,71,12,36,4,1,11,0,1,1,1,0,0
CY_1223,Kampia,407,237,2,2,79,47,50,13,25,6,1,6,3,2,0,1,0,0
CY_1225,Tseri,4916,3387,90,225,824,543,787,302,283,115,80,72,31,19,6,6,3,1
CY_1226,Politiko,355,287,2,11,32,47,41,41,85,12,4,8,1,1,2,0,0,0
CY_1227,Pera,990,792,7,47,128,157,139,102,130,22,21,20,12,3,1,1,1,1
CY_1228,Episkopeio,460,392,8,34,40,81,93,29,75,1,7,13,0,9,1,1,0,0
CY_1229,Ψιμολόφου,1292,836,15,17,173,168,172,107,106,20,15,23,3,12,3,1,1,0
CY_1230,Ergates,1440,1074,17,57,157,244,201,90,143,16,21,109,4,8,2,2,0,3
CY_1231,Anageia,1145,901,25,46,235,131,226,59,98,22,22,10,11,12,1,2,1,0
CY_1232,Πάνω Δευτερά,1949,1508,38,62,383,378,246,133,151,31,26,33,10,8,5,1,1,2
CY_1233,Κάτω Δευτερά,1273,901,16,31,220,176,165,122,68,40,14,25,10,7,3,2,1,1
CY_1240,Agioi Trimithias,1253,1019,15,61,79,289,244,103,124,22,38,21,10,6,2,3,1,1
CY_1241,Παλαιομέτοχο,3465,2658,57,138,290,543,720,235,271,79,59,90,120,41,7,3,1,4
CY_1242,Deneia,438,376,11,32,36,61,135,10,46,3,7,17,0,14,1,3,0,0
CY_1243,Kokkinotrimithia,2703,1945,37,102,324,421,490,129,224,48,66,53,27,13,1,3,5,2
CY_1244,Μάμμαρη,1277,885,12,29,63,322,150,49,122,13,16,97,5,4,2,0,1,0
CY_1300,Παλαιχώρι Μόρφου,694,444,4,2,104,168,43,24,45,8,12,27,5,0,2,0,0,0
CY_1301,Askas,200,177,1,16,19,69,24,10,14,3,3,18,0,0,0,0,0,0
CY_1302,Alona,150,120,2,2,4,63,13,14,11,2,3,1,0,5,0,0,0,0
CY_1303,Φτερικούδι,165,115,3,5,18,20,22,11,13,1,1,10,0,9,1,0,0,1
CY_1304,Πολύστυπος,266,226,3,14,12,68,59,20,23,2,4,16,1,4,0,0,0,0
CY_1305,Lagoudera,153,131,2,14,10,27,47,11,17,0,1,1,0,1,0,0,0,0
CY_1306,Saranti,132,124,2,3,2,32,39,20,23,0,2,1,0,0,0,0,0,0
CY_1308,Αληθινού,83,61,1,1,3,15,8,16,10,2,0,2,3,0,0,0,0,0
CY_1309,Platanistasa,244,226,10,11,33,60,48,24,26,2,5,1,0,4,0,1,1,0
CY_1310,Παλαιχώρι Ορεινής,378,219,4,4,33,83,22,20,42,2,3,3,0,0,3,0,0,0
CY_1320,Ξυλιάτος,161,153,5,8,14,31,38,4,13,4,27,4,2,1,1,0,0,1
