gisco_id,name,registered,turnout,invalid,blank,ODS,SKP-ŘN,COS,SOCDEM,Cibulka,RČ,STAN,KSČM,Zelení,Rozumní,SPDVPÚ,Svobodní,BPI,ODA,Piráti,ANS,Unie H.A.V.E.L.17,SNČR,TOP 09,ANO,DV,SPR-RSČ,KDU-ČSL,ČSNS,REAL,Sportovci,DSSS,SPD,SPOZ,NáS,ČNF
CZ_554782,Praha,916940,615519,4069,0,99182,642,407,34079,491,221,30920,28158,14686,2600,438,12857,472,943,107590,177,93,423,77325,124445,358,539,29143,182,5851,1243,565,35547,1873,0,0
CZ_535826,Adamov,682,474,2,0,91,0,2,37,0,0,36,40,4,3,0,13,0,1,43,0,0,0,23,126,0,0,12,0,3,1,0,36,1,0,0
CZ_536156,Becice,82,63,0,0,3,0,0,1,0,0,5,3,0,1,0,1,0,0,8,0,0,0,5,17,0,0,10,0,0,0,0,9,0,0,0
CZ_544272,Borek,1215,923,9,0,123,1,3,52,0,0,58,62,15,5,0,26,0,1,93,0,0,0,65,275,1,0,47,0,14,5,0,66,2,0,0
CZ_544281,Borovany,3299,2093,12,0,205,5,0,159,0,3,87,193,26,21,0,26,6,5,176,0,0,4,77,645,0,1,173,3,19,5,9,223,10,0,0
CZ_535681,Borovnice,107,78,0,0,9,0,0,6,0,0,9,0,1,0,0,6,0,0,7,0,0,0,6,16,0,0,2,0,0,0,0,14,2,0,0
CZ_544299,Borsov nad Vltavou,1431,993,7,0,133,0,1,50,0,0,105,50,8,4,0,21,0,2,93,0,0,0,68,261,0,2,72,0,22,3,1,88,2,0,0
CZ_535401,Bosilec,173,122,0,0,17,1,0,12,0,0,4,12,0,1,0,2,0,0,17,0,0,1,3,32,0,2,4,0,1,0,1,11,1,0,0
CZ_551490,Branisov,181,133,2,0,20,0,0,8,0,0,13,6,0,0,0,2,0,0,17,0,0,0,7,27,0,0,13,0,5,0,3,10,0,0,0
CZ_536059,Brehov,119,89,3,0,18,0,0,3,0,0,7,2,0,1,0,1,0,0,7,0,0,0,4,23,0,1,4,1,5,0,0,9,0,0,0
CZ_535541,Cakov,220,158,1,0,26,0,0,4,0,0,9,22,4,1,0,7,0,0,21,0,0,2,11,24,1,1,6,0,5,0,0,13,0,0,0
