gisco_id,name,registered,turnout,invalid,blank,SNK,Koruna Česká,HOB,SOCDEM,Úsvit,ODS,SOS,SDS (1997),Zelení,HUM,OKS,SN,DSSS,MDS,VOS,VZDOR,BPS,ZMS,KDU-ČSL,Cibulka,Rozumní,ULD,KSČM,SV SOS,SŽJ,NEI,BPI,OFD,RMS,NEZ
CZ_554782,Praha,978107,338230,1319,0,64326,797,179,25875,453,117892,817,175,14757,703,1003,1049,397,514,32,94,3314,89,17821,4161,718,9883,45540,409,669,2287,142,217,1237,21361
CZ_529303,Benesov,13117,3842,25,0,446,4,5,307,5,1349,12,4,109,21,11,16,11,6,1,10,32,0,266,44,8,117,688,12,14,35,0,1,18,265
CZ_532568,Bernartice,192,84,2,0,9,0,0,12,0,6,0,0,0,0,0,0,0,0,0,0,2,0,34,2,0,1,6,0,0,0,0,0,1,9
CZ_530743,Bilkovice,166,50,1,0,6,0,0,2,0,5,0,0,1,0,0,0,0,0,0,0,0,0,4,0,2,0,19,2,0,0,0,0,1,7
CZ_532380,Blazejovice,87,42,0,0,1,0,0,6,0,13,0,1,1,0,0,0,0,0,0,0,0,0,5,0,0,0,12,0,1,0,0,0,0,2
CZ_532096,Borovnice,82,46,0,0,19,0,0,2,0,16,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,3,0,0,0,0,0,0,1
CZ_532924,Bukovany,467,107,0,0,15,0,0,5,0,38,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,5,32,0,0,1,0,0,4,3
CZ_529451,Bystrice,3125,795,3,0,73,0,1,65,0,258,1,1,19,2,0,2,3,2,0,2,1,0,61,8,2,28,148,6,7,1,1,0,4,96
CZ_532690,Ctibor,86,45,0,0,5,0,0,1,0,17,0,0,2,0,0,0,0,0,0,0,0,0,11,0,2,2,2,1,0,1,0,0,0,1
CZ_529478,Cakov,95,29,0,0,1,0,0,0,0,11,0,0,0,0,2,0,1,0,0,0,0,0,6,0,0,1,5,0,0,0,0,0,0,2
CZ_529486,Cechtice,1099,327,1,0,84,1,0,15,0,68,1,0,9,0,0,3,2,0,0,0,1,0,67,0,1,3,47,0,0,1,0,0,6,17
CZ_529516,Cercany,2139,607,3,0,68,1,0,37,2,252,4,0,21,1,2,1,1,1,0,0,4,0,46,8,2,22,75,0,3,7,1,1,10,34
CZ_529532,Cerveny Ujezd,262,108,0,0,11,0,0,5,0,22,0,0,4,1,0,0,0,0,0,0,0,0,37,1,1,1,12,2,0,2,0,1,0,8
CZ_529541,Cesky Sternberk,129,60,0,0,6,0,0,2,0,18,0,0,4,0,0,0,0,0,0,0,2,0,2,0,1,3,10,1,0,2,0,0,0,9
CZ_529567,Ctyrkoly,270,117,0,0,14,0,1,10,0,40,0,0,4,0,0,0,0,1,0,0,0,0,3,5,3,1,23,0,0,1,0,1,0,10
CZ_532746,Dekanovice,45,20,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,4
CZ_529621,Divisov,1105,319,1,0,30,0,0,32,2,74,0,0,10,0,0,0,1,0,1,1,1,0,43,4,2,7,77,2,6,3,0,0,3,19
CZ_529648,Dolni Kralovice,746,233,1,0,29,0,0,18,0,49,0,0,2,1,1,0,0,0,0,1,1,0,42,3,0,6,59,2,3,2,0,0,1,12
CZ_532151,Drahnovice,45,19,1,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,1
CZ_532843,Dunice,62,29,2,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,1,5,0,0,0,0,0,0,1
CZ_529702,Hermanicky,548,150,0,0,7,1,0,7,0,46,2,1,1,0,1,1,1,0,0,0,1,0,10,2,1,4,36,0,4,0,0,0,5,19
CZ_532932,Hradiste,38,16,1,0,2,0,0,3,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,3
CZ_529737,Hulice,250,64,0,0,5,0,0,6,0,22,0,0,3,0,0,0,0,0,0,0,2,0,4,2,0,2,12,0,0,1,0,0,0,5
CZ_529745,Hvezdonice,262,95,0,0,5,0,0,3,0,36,0,0,2,0,0,0,0,0,0,0,1,0,4,1,1,3,23,0,0,1,0,0,2,13
CZ_532886,Charovice,135,42,1,0,1,0,0,6,0,23,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,3
CZ_532878,Chleby,53,28,1,0,2,0,0,1,0,11,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,3,0,1,0,0,1,0,4
CZ_532045,Chlistov,210,87,0,0,10,0,2,6,0,27,1,0,3,0,0,0,0,0,0,0,5,0,0,0,0,2,13,0,0,3,0,1,0,14
CZ_529770,Chlum,113,37,0,0,9,0,0,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,7,0,0,0,0,0,0,4
CZ_529788,Chmelna,88,70,0,0,26,0,0,3,0,10,0,0,1,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,7
CZ_529796,Chocerady,836,216,2,0,33,0,1,21,0,52,0,0,4,0,1,0,0,0,0,1,0,0,17,0,0,8,47,3,2,2,0,2,1,19
CZ_532606,Choratice,49,20,0,0,1,0,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,1,0,0,0,0,0,0,1
CZ_529818,Chotysany,374,102,1,0,12,0,0,11,1,41,0,0,2,0,0,0,0,0,0,0,0,0,8,0,1,1,17,1,1,0,1,0,0,4
CZ_532037,Chrastany,146,58,0,0,6,0,0,3,0,24,2,0,0,0,0,0,0,0,0,0,1,0,4,2,0,0,10,0,3,0,0,0,0,3
CZ_529842,Jankov,692,197,0,0,14,1,0,19,2,45,1,1,5,0,0,1,2,0,1,0,2,0,23,0,1,15,38,5,1,4,0,0,2,14
CZ_529851,Javornik,104,44,0,0,8,0,0,7,0,5,0,0,0,0,0,0,0,0,0,0,1,0,10,1,0,0,4,1,0,0,0,0,0,7
CZ_532134,Jesetice,112,25,0,0,6,0,0,1,0,4,0,0,0,0,0,0,0,1,0,0,0,0,7,0,0,0,2,0,1,1,0,0,1,1
CZ_531031,Kamberk,141,35,0,0,9,0,0,4,0,10,0,0,1,0,0,0,0,0,0,0,0,0,6,1,0,0,4,0,0,0,0,0,0,0
CZ_529907,Keblov,155,74,0,0,6,0,0,11,1,18,0,0,0,0,0,0,2,0,0,0,0,0,6,1,1,0,19,0,1,1,0,0,0,7
CZ_533084,Kladruby,199,61,0,0,5,2,0,6,0,10,0,0,3,2,0,0,1,0,0,0,0,0,18,2,0,1,6,1,0,0,0,0,0,4
CZ_529931,Kondrac,364,102,0,0,4,0,0,10,0,16,0,0,0,1,0,1,2,1,0,0,1,0,25,3,2,9,18,1,0,0,0,0,1,7
CZ_529940,Kozmice,188,59,0,0,4,0,0,9,0,16,0,0,1,0,0,0,0,0,0,0,1,0,11,3,0,2,6,0,0,2,0,0,0,4
CZ_529958,Krhanice,658,238,3,0,41,0,0,20,0,77,1,0,8,1,4,1,1,0,0,0,2,1,7,1,1,8,29,1,3,2,0,0,4,22
CZ_529974,Krnany,300,121,1,0,13,0,0,10,0,34,0,0,1,0,0,1,2,1,0,1,2,0,6,2,0,4,29,0,0,1,0,0,1,12
CZ_529991,Krecovice,566,168,2,0,8,0,1,8,0,40,0,0,7,1,1,1,0,0,0,0,1,0,27,4,0,5,44,3,1,2,0,0,1,11
CZ_530000,Krivsoudov,321,78,0,0,4,0,0,3,0,21,0,0,2,0,0,0,0,0,0,0,0,0,19,0,0,2,22,0,2,0,0,0,0,3
CZ_530026,Kunovice,70,46,0,0,36,0,1,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
CZ_530051,Lesany,445,127,2,0,15,0,0,7,1,47,4,0,2,0,0,0,0,0,0,0,0,0,2,0,0,2,30,2,1,0,0,0,1,11
CZ_530069,Libez,139,64,1,0,1,0,0,5,0,15,1,0,0,0,0,0,1,1,0,1,1,0,13,0,0,0,21,0,0,0,0,0,0,3
CZ_532258,Litichovice,40,16,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,0,0,0,3,0,0,0,0,0,0,1
CZ_530093,Loket,434,153,0,0,17,4,0,21,0,25,0,0,6,0,0,0,2,0,0,0,0,0,36,0,0,3,25,1,6,1,0,0,1,5
CZ_530107,Lounovice pod Blanikem,553,176,1,0,24,0,1,10,0,61,0,0,3,1,0,0,0,0,0,1,0,0,13,2,2,6,31,0,0,0,0,0,0,20
CZ_532193,Lsteni,257,106,0,0,19,1,0,13,0,32,0,0,3,0,0,2,0,0,0,0,2,0,6,1,0,1,17,0,0,0,0,0,0,9
CZ_530115,Marsovice,566,209,2,0,16,1,0,5,0,50,1,0,8,1,0,1,2,0,0,0,0,0,19,4,1,2,50,6,5,5,0,0,2,28
CZ_530158,Mezno,290,71,0,0,7,0,0,13,1,31,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,6,2,0,0,0,0,1,8
CZ_530166,Milicin,739,151,1,0,19,0,0,8,0,40,0,0,4,0,2,0,0,0,0,1,0,0,19,3,0,7,30,0,0,1,0,0,3,13
CZ_530174,Miretice,124,58,0,0,18,0,0,0,0,20,0,0,0,1,0,0,0,0,0,0,0,0,8,0,0,0,7,0,0,0,0,0,1,3
CZ_530191,Mnichovice,183,43,0,0,11,0,0,3,0,7,0,0,2,0,0,0,0,0,0,0,0,0,9,0,0,0,6,0,0,3,0,0,0,2
CZ_530204,Mrac,522,169,0,0,25,0,0,22,0,54,0,0,3,0,1,0,0,3,0,0,0,0,3,1,2,2,32,0,1,2,0,0,1,17
CZ_530212,Naceradec,824,198,1,0,12,0,0,17,0,52,0,1,2,0,2,0,1,0,0,1,0,0,38,0,2,9,37,1,1,2,0,1,1,17
CZ_530255,Nemiz,31,12,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,1,0,0,0,0,3
CZ_530263,Nespeky,366,138,0,0,17,0,0,7,0,57,1,0,5,0,3,0,0,1,0,0,1,0,5,3,1,18,7,0,1,0,0,0,1,10
CZ_530298,Netvorice,845,238,1,0,33,2,1,14,0,84,0,1,3,4,2,0,0,0,0,0,0,0,15,6,0,3,45,2,2,2,0,0,1,17
CZ_530301,Neustupov,417,91,0,0,6,0,0,7,0,25,0,0,1,0,0,1,0,0,0,1,0,0,14,0,0,1,21,1,1,0,0,0,0,12
CZ_530310,Neveklov,1776,469,8,0,39,1,0,38,1,139,1,0,19,0,1,1,2,3,0,1,5,0,67,7,1,15,72,8,6,1,0,4,5,24
CZ_530344,Olbramovice,893,260,3,0,18,1,0,17,2,76,2,0,6,0,0,1,0,0,0,0,4,0,28,1,0,10,65,1,2,0,0,0,0,23
CZ_599395,Ostrov,38,30,0,0,0,0,0,2,0,10,0,0,1,0,0,0,0,0,0,0,1,0,5,1,0,0,6,0,0,3,0,0,0,1
CZ_530352,Ostredek,263,99,0,0,10,0,0,3,0,14,0,0,1,2,0,0,0,0,0,0,3,0,20,2,1,28,7,0,0,1,0,0,0,7
CZ_533076,Pavlovice,141,81,0,0,17,0,0,15,0,14,0,0,2,0,0,0,0,0,0,0,0,0,7,3,0,0,13,1,1,0,0,2,1,5
CZ_530409,Petroupim,227,61,1,0,3,0,0,4,0,24,0,0,1,0,0,0,1,1,0,0,0,0,6,0,0,1,12,1,0,0,0,0,0,6
CZ_532649,Popovice,230,72,0,0,8,1,0,7,0,16,0,0,1,0,0,0,0,0,0,0,1,0,10,0,0,3,15,2,0,0,0,0,0,8
CZ_530441,Porici nad Sazavou,823,225,0,0,45,0,0,20,0,48,0,0,7,1,0,2,2,0,0,1,2,0,22,2,1,14,32,2,2,1,0,0,0,21
CZ_530450,Postupice,898,196,0,0,22,0,0,17,1,60,0,0,6,0,0,1,2,2,0,0,2,0,23,1,0,6,32,2,2,0,0,0,1,16
CZ_530476,Pravonin,430,130,0,0,18,0,0,5,0,39,0,0,2,0,0,0,0,0,0,0,1,0,9,1,0,2,44,0,0,1,0,0,0,8
CZ_530492,Prestavlky u Cercan,223,74,0,0,16,0,0,7,0,23,0,0,2,0,1,3,0,0,0,0,0,0,3,0,0,5,4,2,2,1,0,0,0,5
CZ_530514,Psare,94,45,1,0,6,0,0,4,0,9,0,0,0,0,0,2,0,0,0,0,0,0,5,1,0,3,7,0,2,0,0,0,1,4
CZ_538680,Pysely,1021,361,3,0,55,0,0,24,0,142,4,0,14,1,1,0,2,2,0,0,2,0,12,2,0,4,57,4,3,2,0,0,1,26
CZ_530522,Rabyne,191,79,0,0,6,0,0,13,1,27,0,0,1,1,0,0,1,0,0,0,0,0,4,0,0,0,19,0,1,0,0,1,1,3
CZ_530531,Radosovice,232,97,2,0,8,0,0,5,0,9,0,0,0,0,0,0,0,2,0,0,0,0,39,0,1,2,18,0,0,2,0,0,0,9
CZ_530549,Rataje,157,53,1,0,11,0,0,2,0,18,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,6,0,0,0,0,0,0,2
CZ_532550,Ratmerice,172,46,0,0,2,0,0,11,0,14,0,0,3,0,0,0,0,0,0,0,0,0,7,1,0,0,5,2,0,0,0,0,0,1
CZ_532941,Rimovice,155,30,0,0,4,0,0,3,0,6,0,0,0,1,0,0,1,0,0,0,0,0,2,1,0,2,3,0,0,1,0,0,0,6
CZ_534382,Sazava,3015,742,6,0,100,1,0,117,1,201,1,0,15,0,0,4,1,7,0,1,6,0,31,8,1,21,146,1,16,7,0,0,0,50
