gisco_id,name,registered,turnout,blank,invalid,A,B,C,D,F,K,M,O,V,Ø,Ind.
DK_101,København,371863,299244,1697,951,71386,53487,23782,3412,31450,3159,1645,31844,46848,29483,100
DK_147,Frederiksberg,71636,60980,325,199,11966,11380,10350,630,4674,650,224,5400,11553,3629,0
DK_151,Ballerup,33885,29350,143,58,10052,2049,2555,300,1898,290,52,4871,6090,985,7
DK_153,Brøndby,24189,19946,106,56,6683,1497,1397,219,1292,164,45,3847,3851,774,15
DK_155,Dragør,9565,8532,28,10,1526,774,1481,82,411,48,9,1278,2661,224,0
DK_157,Gentofte,49573,43434,145,86,5106,5639,11780,460,2046,448,95,3559,12843,1217,10
DK_159,Gladsaxe,44908,38317,235,86,10079,4335,3989,726,3032,402,134,5304,8051,1941,3
DK_161,Glostrup,15699,13436,77,52,3899,848,1160,138,740,119,27,2553,3429,386,8
DK_163,Herlev,19529,16484,83,39,5398,1324,1554,196,1168,294,49,2567,3182,627,3
DK_165,Albertslund,18777,15869,61,56,5072,1467,997,183,1618,127,58,2393,2549,1280,8
DK_167,Hvidovre,36166,30180,172,73,9138,2419,2295,347,2021,228,78,5739,6283,1365,22
DK_169,Høje Taastrup,31902,26827,133,62,7198,1921,2703,310,1406,249,71,4941,7078,747,8
DK_171,Ledøje-Smørum,7365,6697,35,12,1336,537,1311,96,364,71,7,816,1983,128,1
DK_173,Lyngby-Taarbæk,38194,33398,146,96,6130,4538,6332,400,1985,397,93,3356,8790,1130,5
DK_175,Rødovre,26975,22514,113,63,7479,1776,1800,269,1528,236,61,3897,4348,939,5
DK_181,Søllerød,22834,20698,63,62,2341,2409,4547,236,752,195,35,1568,8054,435,1
DK_183,Ishøj,13322,10841,45,47,3379,747,727,120,593,77,45,2318,2322,418,3
DK_185,Tårnby,29617,24931,144,57,7453,1554,1931,297,1586,197,51,4977,5798,881,5
DK_187,Vallensbæk,8922,7961,35,18,1740,538,1498,82,324,59,19,1305,2174,166,3
DK_189,Værløse,13317,12237,52,15,2257,1721,2186,134,766,140,24,1218,3308,412,4
DK_201,Allerød,16455,14932,82,30,2313,1945,2370,139,798,214,21,1477,5172,371,0
DK_205,Birkerød,15533,13749,63,26,2118,2365,2203,123,763,127,36,1186,4256,483,0
DK_207,Farum,12556,10966,52,30,1975,1706,1398,141,769,122,24,1162,3064,523,0
DK_208,Fredensborg-Humlebæk,14384,12574,48,21,2200,1703,1709,123,658,138,29,1502,4091,352,0
DK_209,Frederikssund,13680,11749,55,18,2838,1086,1236,105,556,124,13,1664,3775,279,0
DK_211,Frederiksværk,14992,12214,85,30,3404,1040,995,125,588,139,27,2175,3217,389,0
DK_213,Græsted-Gilleleje,15745,13201,64,21,2355,1140,979,148,723,361,33,2207,4664,506,0
DK_215,Helsinge,14306,12360,68,13,2156,1280,1039,140,641,188,28,1865,4552,390,0
DK_217,Helsingør,44406,36898,172,59,9051,4486,4360,477,2091,342,87,5145,9296,1332,0
