gisco_id,name,registered,turnout,blank,invalid,A,B,C,F,I,K,O,V,Ø,Å,Ind.
DK_101,København,402983,337787,2880,1198,73080,31976,8430,22990,28552,1297,33910,30983,60675,41025,791
DK_147,Frederiksberg,74560,65512,514,189,14129,7189,3831,3787,6933,201,6244,8290,7862,6224,119
DK_151,Ballerup,34508,29794,290,81,10487,1060,674,1296,1711,176,6767,3867,2278,1087,20
DK_153,Brøndby,23764,18993,133,76,6635,610,309,870,839,55,5013,2117,1691,557,88
DK_155,Dragør,10116,9111,62,26,1983,468,528,283,1046,11,1941,1972,438,344,9
DK_157,Gentofte,50915,45411,284,108,7850,4083,4553,1452,7876,135,4722,9600,2327,2399,22
DK_159,Gladsaxe,46261,39513,352,98,11629,2632,1225,2127,2997,186,6817,5333,3895,2187,35
DK_161,Glostrup,16131,13602,105,39,4209,424,334,505,859,47,3559,2088,982,422,29
DK_163,Herlev,19748,16816,166,37,5610,604,540,815,948,141,3627,2094,1569,650,15
DK_165,Albertslund,18301,15241,135,99,4836,638,339,1098,597,63,3116,1274,2201,806,39
DK_167,Hvidovre,36798,30896,253,53,9738,1112,730,1550,1738,136,7764,3752,2827,1132,111
DK_169,Høje Taastrup,32726,27364,268,89,7860,950,1345,1181,1629,109,6919,4152,1916,910,36
DK_173,Lyngby-Taarbæk,38547,34236,285,86,7904,3048,2360,1550,4239,133,4188,6231,2235,1956,21
DK_175,Rødovre,26973,22727,188,91,7590,884,611,1152,1236,127,5039,2671,2172,941,25
DK_183,Ishøj,13493,10715,67,49,3612,318,187,663,495,31,2845,1279,821,317,31
DK_185,Tårnby,30714,26184,180,85,7561,945,682,1200,1404,90,7480,3476,2165,882,34
DK_187,Vallensbæk,10341,9041,61,44,2401,347,633,360,818,26,2043,1634,450,211,13
DK_190,Furesø,27389,24642,174,65,5923,2233,1334,1018,3026,93,3015,4658,1802,1290,11
DK_201,Allerød,17462,16109,119,40,3450,1287,1171,664,2012,72,2388,3483,798,622,3
DK_210,Fredensborg,27969,24503,169,49,5139,1729,1357,999,2920,123,4267,4998,1551,1189,13
DK_217,Helsingør,45463,38651,259,123,9688,2036,2388,1536,3690,144,8019,5552,3124,2081,11
DK_219,Hillerød,35201,31144,230,87,7348,1917,1238,1412,3019,431,5345,6426,2169,1508,14
DK_223,Hørsholm,18147,16413,87,34,2384,1119,1726,312,3262,38,2174,4379,452,444,2
DK_230,Rudersdal,38987,35371,206,100,5801,3327,2691,1049,6625,105,3809,8306,1677,1662,13
DK_240,Egedal,30333,27528,184,77,6778,1380,1113,959,2698,89,6026,5955,1351,909,9
DK_250,Frederikssund,33493,29029,213,109,7251,1065,872,1221,2027,105,7017,6158,1919,1056,16
DK_253,Greve,35105,30665,204,90,7377,998,889,812,2453,119,8170,7355,1503,679,16
DK_259,Køge,43192,37607,318,139,9517,1310,1109,2428,2675,115,9175,7707,2069,1021,24
DK_260,Halsnæs,23296,19683,126,74,5519,446,441,1058,1122,92,5031,3308,1595,864,7
DK_265,Roskilde,62392,54915,507,217,14087,3257,1780,2920,4456,234,10114,10339,4148,2838,18
DK_269,Solrød,15658,14051,97,47,3184,508,464,403,1556,30,3329,3492,588,349,4
DK_270,Gribskov,31061,27149,190,76,5541,976,792,954,2343,388,6889,5932,1733,1332,3
DK_306,Odsherred,26100,22134,183,56,6276,549,544,697,961,52,6049,4129,1649,978,11
DK_316,Holbæk,51506,44047,368,148,12173,1901,1357,1447,2650,182,10167,8666,3414,1563,11
DK_320,Faxe,26706,22868,171,89,5666,569,686,888,1458,81,6516,4609,1446,676,13
DK_326,Kalundborg,37308,31379,226,126,8238,763,647,994,1488,93,9574,6204,2079,938,9
DK_329,Ringsted,24430,21094,188,60,5474,758,534,740,1420,74,5586,4062,1421,771,6
DK_330,Slagelse,58576,48752,441,124,13197,1432,1151,1562,3052,182,13577,9298,3253,1464,19
DK_336,Stevns,16890,14776,110,52,3631,365,526,601,879,52,4144,3012,878,519,7
DK_340,Sorø,22127,19056,167,45,4836,644,766,792,1073,119,4926,3641,1263,774,10
DK_350,Lejre,20036,18123,151,57,4267,787,504,1070,1282,69,3870,4051,1167,839,9
DK_360,Lolland,33835,27500,224,108,9679,365,935,1111,802,80,7024,4494,2019,646,13
DK_370,Næstved,61884,53019,440,144,17230,1175,1526,1690,3438,235,12914,9357,3278,1573,19
DK_376,Guldborgsund,47693,40156,354,152,12657,791,933,1319,1501,190,11534,6760,2853,1097,15
DK_390,Vordingborg,35369,30440,252,97,8975,734,732,1101,1454,89,7526,5642,2346,1477,15
DK_400,Bornholm,31380,26205,227,81,8661,426,440,711,1037,749,5155,5253,2170,1295,0
DK_410,Middelfart,28428,24950,224,48,7260,845,793,1005,1637,112,5784,5001,1417,824,0
DK_411,Christiansø,59,58,3,0,22,1,1,5,0,0,13,4,5,4,0
DK_420,Assens,30895,26923,254,89,7657,680,836,939,1626,115,6617,5379,1806,925,0
DK_430,Faaborg-Midtfyn,38722,33503,320,89,9020,974,976,1365,1800,120,7747,7417,2349,1326,0
DK_440,Kerteminde,18047,15746,132,47,5183,304,517,730,819,66,3713,2795,991,449,0
DK_450,Nyborg,24119,20785,185,79,6868,455,524,705,1053,63,4894,3892,1414,653,0
DK_461,Odense,146111,124213,1383,573,35434,5462,4505,6353,9727,579,22542,19000,12257,6398,0
DK_479,Svendborg,44421,38238,401,101,9964,1207,1269,1636,2145,131,8412,6254,4173,2545,0
DK_480,Nordfyn,21840,19040,157,41,5464,367,646,601,1038,63,4951,4229,1027,456,0
DK_482,Langeland,10245,8697,95,41,2246,152,169,328,271,28,2309,1912,780,366,0
DK_492,Ærø,5088,4315,31,17,965,67,614,128,155,16,944,794,361,223,0
DK_510,Haderslev,41764,35927,333,127,8621,979,788,920,2494,502,10030,8465,1783,885,0
DK_530,Billund,19047,16515,100,40,3172,365,277,356,1104,287,5306,4704,522,282,0
DK_540,Sønderborg,54930,47005,422,187,11728,1983,818,1129,3357,240,14124,9994,1981,1042,0
