gisco_id,name,registered,turnout,invalid,blank,A,B,C,F,I,M,O,V,Æ,Ø,Å
DK_101,København,439656,278198,652,3995,26513,32150,16974,75778,15735,12128,8190,17282,2973,50543,15285
DK_147,Frederiksberg,75968,52252,129,633,5765,6486,5300,12153,3503,2886,1483,4861,622,6418,2013
DK_151,Ballerup,35474,19995,55,498,3998,1361,1730,3821,1151,1265,1492,1991,638,1400,595
DK_153,Brøndby,24240,11123,43,243,2434,544,741,1900,551,586,1108,901,505,1293,274
DK_155,Dragør,10445,6847,9,85,911,555,920,1016,618,660,400,1065,252,239,117
DK_157,Gentofte,51400,37079,75,347,3259,4017,6209,5154,4442,3086,1314,6146,525,1734,771
DK_159,Gladsaxe,46105,28071,72,507,4589,2838,2303,6143,1694,1655,1521,2646,685,2610,808
DK_161,Glostrup,16167,8464,27,227,1561,499,725,1346,568,463,754,1058,415,602,219
DK_163,Herlev,20343,11104,37,264,2102,774,1036,2056,631,700,805,956,380,1089,274
DK_165,Albertslund,17894,9409,27,191,1848,598,567,2175,362,374,705,606,281,1428,247
DK_167,Hvidovre,36204,19591,60,441,3635,1335,1641,4149,1033,1124,1600,1613,717,1727,516
DK_169,Høje Taastrup,34770,18155,52,418,3098,1209,2054,2725,1146,1068,1552,2051,824,1538,420
DK_173,Lyngby-Taarbæk,39666,27665,51,357,3107,3360,3648,5387,2372,2095,1056,3766,379,1399,688
DK_175,Rødovre,29210,15839,41,344,3157,1130,1243,3309,848,861,1173,1295,521,1463,454
DK_183,Ishøj,13514,5979,26,183,1242,328,412,847,288,338,579,533,338,726,139
DK_185,Tårnby,30668,16382,41,388,3215,1111,1245,3021,956,980,1511,1495,840,1149,430
DK_187,Vallensbæk,10752,6084,29,110,972,378,966,778,431,451,415,735,232,475,112
DK_190,Furesø,28927,20527,54,254,2557,2349,2470,4218,1432,1554,787,2847,353,1205,447
DK_201,Allerød,18414,13376,24,207,1578,1377,1629,2347,1134,1120,520,2273,334,557,276
DK_210,Fredensborg,28954,18956,26,275,2368,1782,2194,3261,1613,1685,997,2660,572,1026,497
DK_217,Helsingør,47606,28509,75,483,4034,2305,3372,5331,2199,2318,1780,2921,960,1968,763
DK_219,Hillerød,38878,24673,39,439,3371,2287,2793,4446,1768,1870,1271,3352,925,1470,642
DK_223,Hørsholm,18280,12799,13,117,1076,1056,2241,1170,1815,1212,522,2870,271,301,135
DK_230,Rudersdal,40179,29459,38,296,2694,3359,4408,4131,3318,2543,1001,5383,467,1224,597
DK_240,Egedal,32353,20532,55,408,3119,1520,2043,3426,1597,1605,1424,3030,937,930,438
DK_250,Frederikssund,35543,20428,64,428,3129,1107,1534,3412,1561,1527,1929,3029,1215,1094,399
DK_253,Greve,36327,19907,43,371,3248,1110,1991,2269,1658,1574,1754,3747,992,805,345
DK_259,Køge,45429,25187,53,573,3875,1464,2427,4100,1827,1854,2061,3734,1509,1188,522
DK_260,Halsnæs,23838,12820,36,243,2296,577,832,2460,684,887,1229,1448,845,913,370
DK_265,Roskilde,67160,43074,109,770,6160,3655,3863,8534,3077,3128,2317,5974,1520,2926,1041
DK_269,Solrød,17517,10520,23,196,1557,618,1050,1350,1176,822,784,1888,549,306,201
DK_270,Gribskov,32244,19155,57,337,2450,1028,1937,3073,1335,2009,1671,2570,1297,1012,379
DK_306,Odsherred,26140,14220,38,313,2459,605,817,2277,670,822,1569,2033,1432,898,287
DK_316,Holbæk,55262,30355,75,704,5275,1749,2136,5266,1827,1966,2359,4342,2320,1779,557
DK_320,Faxe,28117,15072,35,397,2550,568,1218,2188,945,954,1584,2249,1497,639,248
DK_326,Kalundborg,37244,18970,68,409,3458,722,1269,2627,1035,1073,2066,2927,2129,881,306
DK_329,Ringsted,25694,14044,43,365,2092,669,1667,2193,921,856,1079,2100,1063,693,303
