gisco_id,name,registered,turnout,invalid,blank,EKD,Kesk,ER,EIP,VL,Isamaa,VEE,KE,ERL,SDE,EER,Burmeister,Luus [Koit Luus],Hallik,Kodu,Kambla,Ivinskaja,Stepanova
EE_EEYY99,E-hääled,0,30243,0,0,345,2765,10439,81,35,8067,30,120,1095,4020,3221,8,4,5,0,6,1,1
EE_0112,Aegviidu,0,0,0,0,4,64,177,1,0,82,1,0,20,39,49,1,0,0,0,0,0,0
EE_0140,Anija,0,0,0,0,68,704,663,5,1,305,7,30,69,135,219,1,0,0,0,0,0,0
EE_MA01,Harju maakond,90837,56277,485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0198,Harku,0,0,0,0,82,440,1920,12,2,976,4,13,56,367,403,5,0,0,0,0,0,0
EE_0245,Jõelähtme,0,0,0,0,23,313,1082,6,4,472,0,13,124,157,185,1,0,0,0,0,0,0
EE_0296,Keila linn,0,0,0,0,94,819,1602,12,6,853,10,22,53,361,462,6,0,0,0,0,0,0
EE_0295,Keila vald,0,0,0,0,20,293,560,4,1,344,4,7,39,120,161,3,0,0,0,0,0,0
EE_0297,Kernu,0,0,0,0,37,128,313,0,0,127,0,0,48,62,97,3,0,0,0,0,0,0
EE_0304,Kiili,0,0,0,0,35,187,724,2,1,392,2,4,49,121,201,2,0,0,0,0,0,0
EE_0337,Kose,0,0,0,0,54,307,1146,8,1,259,0,2,174,375,264,5,0,0,0,0,0,0
EE_0352,Kuusalu,0,0,0,0,51,414,1195,9,4,619,0,0,107,271,359,7,0,0,0,0,0,0
EE_0363,Kõue,0,0,0,0,16,154,306,0,0,92,1,0,41,74,59,0,0,0,0,0,0,0
EE_0424,Loksa linn,0,0,0,0,7,310,180,0,1,104,5,14,15,33,43,2,0,0,0,0,0,0
EE_0446,Maardu,0,0,0,0,39,1446,490,2,3,215,6,870,51,127,113,5,0,0,0,0,0,0
EE_0518,Nissi,0,0,0,0,43,249,458,3,1,195,0,1,193,112,115,6,0,0,0,0,0,0
EE_0562,Padise,0,0,0,0,7,134,352,2,0,182,0,0,23,74,72,0,0,0,0,0,0,0
EE_0580,Paldiski,0,0,0,0,8,367,182,0,1,85,1,28,17,63,38,2,0,0,0,0,0,0
EE_0651,Raasiku,0,0,0,0,36,242,959,3,1,322,1,7,67,215,205,3,0,0,0,0,0,0
EE_0653,Rae,0,0,0,0,65,744,1839,10,3,716,4,16,61,304,396,6,0,0,0,0,0,0
EE_0718,Saku,0,0,0,0,71,393,1716,10,1,907,3,5,137,322,423,7,0,0,0,0,0,0
EE_0728,Saue linn,0,0,0,0,35,363,1319,14,4,730,3,4,37,221,304,4,0,0,0,0,0,0
