gisco_id,name,registered,turnout,invalid,blank,RÜE,EKRE,ER,Isamaa,EER,VL,EVA,Kesk,SDE,EIP,Hirv,Vackermann,Porroson,Ranne,Pähklemäe,Reinson,Leetna,Ibragimov,Koit,Ivinskaja,Karusoo
EE_0105,Abja,1846,1074,16,0,5,90,218,160,5,0,71,235,263,2,0,0,0,0,0,0,0,0,9,0,0
EE_0112,Aegviidu,584,415,1,0,1,20,135,69,7,0,67,45,66,1,2,1,0,0,0,0,0,0,0,0,0
EE_0117,Ahja,836,503,2,0,2,40,147,71,8,1,42,86,101,0,0,0,0,3,0,0,0,0,0,0,0
EE_0122,Alajõe,422,218,4,0,0,1,28,6,0,3,0,160,16,0,0,0,0,0,0,0,0,0,0,0,0
EE_0126,Alatskivi,1066,624,4,0,1,51,146,88,6,7,43,176,101,1,0,0,0,0,0,0,0,0,0,0,0
EE_0129,Albu,985,580,1,0,1,74,137,162,2,0,29,64,100,2,0,0,0,0,0,0,0,0,8,0,0
EE_0134,Ambla,1693,1065,5,0,8,70,443,143,5,0,82,111,190,2,0,0,0,0,0,0,0,0,6,0,0
EE_0140,Anija,3854,2337,17,0,2,169,703,375,23,3,188,535,311,2,4,5,0,0,0,0,0,0,0,0,0
EE_0143,Antsla,2913,1678,19,0,5,156,386,316,7,0,130,290,360,6,0,0,2,1,0,0,0,0,0,0,0
EE_0149,Are,1011,595,6,0,2,113,110,132,7,0,34,124,66,1,0,0,0,0,0,0,0,0,0,0,0
EE_0154,Aseri,946,551,10,0,1,39,114,49,1,0,11,224,102,0,0,0,0,0,0,0,0,0,0,0,0
EE_0160,Audru,4502,2600,20,0,8,468,788,436,15,0,165,376,320,4,0,0,0,0,0,0,0,0,0,0,0
EE_0164,Avinurme,1075,706,10,0,4,89,328,67,9,0,30,66,102,1,0,0,0,0,0,0,0,0,0,0,0
EE_0170,Elva,4571,3000,29,0,10,235,1213,377,32,0,287,388,426,3,0,0,0,0,0,0,0,0,0,0,0
EE_0175,Emmaste,1066,708,2,0,3,78,210,88,8,0,47,51,221,0,0,0,0,0,0,0,0,0,0,0,0
EE_0181,Haanja,940,617,4,0,2,92,96,53,3,0,42,107,212,3,0,0,1,2,0,0,0,0,0,0,0
EE_0183,Haapsalu,7751,4893,28,0,8,516,1427,631,64,2,833,780,590,14,0,0,0,0,0,0,0,0,0,0,0
EE_0185,Haaslava,1558,997,7,0,2,95,314,92,10,0,60,108,305,4,0,0,0,0,0,0,0,0,0,0,0
EE_0188,Halinga,2445,1445,19,0,6,248,413,228,4,0,122,262,142,1,0,0,0,0,0,0,0,0,0,0,0
EE_0190,Haljala,2039,1266,6,0,14,110,450,205,14,0,133,151,180,3,0,0,0,0,0,0,0,0,0,0,0
EE_0192,Halliste,1241,668,4,0,1,52,143,146,4,1,57,102,154,3,0,0,0,0,0,0,0,0,1,0,0
EE_0195,Hanila,1261,769,4,0,3,112,209,73,21,0,70,106,170,1,0,0,0,0,0,0,0,0,0,0,0
EE_0198,Harku,9004,6701,20,0,20,456,2638,1408,65,3,763,631,678,9,4,6,0,0,0,0,0,0,0,0,0
EE_0203,Helme,1643,972,13,0,6,84,190,76,6,0,83,188,322,1,0,0,2,1,0,0,0,0,0,0,0
EE_0204,Hiiu,3968,2514,18,0,9,256,963,400,28,0,180,246,411,3,0,0,0,0,0,0,0,0,0,0,0
EE_0208,Hummuli,681,407,7,0,3,26,100,51,2,0,60,81,75,0,0,0,1,1,0,0,0,0,0,0,0
EE_0213,Häädemeeste,2167,1238,13,0,220,198,283,135,10,0,58,174,144,3,0,0,0,0,0,0,0,0,0,0,0
EE_0224,Iisaku,1006,551,3,0,1,65,202,82,1,0,37,67,88,5,0,0,0,0,0,0,0,0,0,0,0
EE_0229,Illuka,640,359,3,0,0,29,80,58,3,0,7,135,44,0,0,0,0,0,0,0,0,0,0,0,0
EE_0234,Imavere,723,418,2,0,3,34,128,85,1,0,27,48,88,2,0,0,0,0,0,0,0,0,0,0,0
EE_0240,Juuru,1167,738,2,0,4,86,216,114,3,2,115,89,99,2,4,2,0,0,0,0,0,0,0,0,0
EE_0257,Järva-Jaani,1283,756,5,0,4,56,170,90,3,0,49,102,271,1,0,0,0,0,0,0,0,0,5,0,0
EE_0260,Järvakandi,1038,638,7,0,0,130,150,103,7,0,44,114,81,1,1,0,0,0,0,0,0,0,0,0,0
EE_0245,Jõelähtme,4337,2934,15,0,22,220,1169,390,31,7,354,362,362,2,0,0,0,0,0,0,0,0,0,0,0
EE_0249,Jõgeva linn,4341,2755,18,0,7,244,621,520,18,6,168,644,500,9,0,0,0,0,0,0,0,0,0,0,0
EE_0248,Jõgeva vald,3689,2189,22,0,2,242,516,389,14,2,152,440,399,11,0,0,0,0,0,0,0,0,0,0,0
EE_0251,Jõhvi,6488,4022,37,0,20,168,656,654,14,17,105,1819,525,7,0,0,0,0,0,0,0,0,0,0,0
EE_0272,Kadrina,3894,2322,21,0,30,248,665,551,25,2,184,265,317,14,0,0,0,0,0,0,0,0,0,0,0
EE_0277,Kaiu,1092,713,6,0,5,86,205,76,6,0,107,82,139,0,0,1,0,0,0,0,0,0,0,0,0
EE_0279,Kallaste,714,403,5,0,0,11,21,25,2,7,4,314,14,0,0,0,0,0,0,0,0,0,0,0,0
EE_0282,Kambja,2021,1335,11,0,7,147,387,151,11,2,123,179,310,7,0,0,0,0,0,0,0,0,0,0,0
EE_0285,Kanepi,2009,1182,12,0,10,75,353,132,9,0,71,235,280,0,0,0,2,3,0,0,0,0,0,0,0
EE_0288,Kareda,523,320,1,0,8,16,93,38,4,1,27,62,69,1,0,0,0,0,0,0,0,0,0,0,0
EE_0600,Karksi,2884,1655,12,0,4,201,405,255,9,3,218,296,241,3,0,0,0,0,0,0,0,0,8,0,0
EE_0289,Karula,785,414,6,0,5,49,90,42,1,0,38,72,110,1,0,0,0,0,0,0,0,0,0,0,0
EE_0657,Kasepää,984,568,13,0,0,86,66,79,0,12,12,266,33,1,0,0,0,0,0,0,0,0,0,0,0
EE_0292,Kehtna,3554,2191,20,0,7,198,578,318,19,0,335,302,400,4,8,2,0,0,0,0,0,0,0,0,0
EE_0296,Keila linn,6878,4892,30,0,8,353,1796,796,43,4,536,669,636,9,8,4,0,0,0,0,0,0,0,0,0
EE_0295,Keila vald,3171,2075,21,0,10,180,706,358,16,2,239,282,254,6,1,0,0,0,0,0,0,0,0,0,0
EE_0297,Kernu,1487,925,6,0,2,92,308,152,12,3,132,105,109,0,1,3,0,0,0,0,0,0,0,0,0
EE_0301,Kihelkonna,671,432,2,0,1,47,101,63,7,0,44,89,76,2,0,0,0,0,0,0,0,0,0,0,0
EE_0303,Kihnu,592,353,7,0,4,36,68,121,0,0,15,49,53,0,0,0,0,0,0,0,0,0,0,0,0
EE_0304,Kiili,3299,2487,8,0,9,209,1023,398,26,0,323,196,288,4,2,1,0,0,0,0,0,0,0,0,0
EE_0309,Kiviõli,3497,2072,44,0,37,80,285,271,10,1,46,1093,202,3,0,0,0,0,0,0,0,0,0,0,0
EE_0314,Koeru,1678,978,16,0,17,73,251,151,6,0,55,192,211,5,0,0,0,0,0,0,0,0,1,0,0
EE_0317,Kohila vald,5075,3274,20,0,5,283,1007,946,32,2,281,416,270,3,8,1,0,0,0,0,0,0,0,0,0
EE_0320,Kohtla,891,557,7,0,6,33,100,47,6,2,19,150,185,2,0,0,0,0,0,0,0,0,0,0,0
EE_0322,Kohtla-Järve,14522,7706,72,0,40,125,629,434,12,25,111,5351,902,5,0,0,0,0,0,0,0,0,0,0,0
EE_0323,Kohtla-Nõmme,709,435,6,0,2,23,146,67,2,0,18,89,80,2,0,0,0,0,0,0,0,0,0,0,0
EE_0325,Koigi,764,443,6,0,1,56,153,35,0,0,23,89,78,0,0,0,0,0,0,0,0,0,2,0,0
EE_0328,Kolga-Jaani,1221,684,11,0,4,51,167,149,4,1,29,135,131,0,0,0,0,0,0,0,0,0,2,0,0
EE_0331,Konguta,1160,708,7,0,3,67,191,99,7,0,99,88,144,3,0,0,0,0,0,0,0,0,0,0,0
EE_0334,Koonga,910,513,5,0,0,108,100,74,5,0,20,100,101,0,0,0,0,0,0,0,0,0,0,0,0
EE_0338,Kose,5477,3597,26,0,13,395,1215,526,40,1,363,376,627,7,4,4,0,0,0,0,0,0,0,0,0
EE_0342,Kullamaa,896,538,10,0,4,101,173,55,7,0,43,78,67,0,0,0,0,0,0,0,0,0,0,0,0
EE_0345,Kunda,2100,1173,14,0,8,57,273,321,4,1,48,342,104,1,0,0,0,0,0,0,0,0,0,0,0
EE_0349,Kuressaare,11129,6486,22,0,10,590,2099,942,123,3,1040,880,743,34,0,0,0,0,0,0,0,0,0,0,0
EE_0353,Kuusalu,5011,3404,23,0,34,293,1115,601,44,1,578,338,367,5,5,0,0,0,0,0,0,0,0,0,0
EE_0368,Käina,1769,1054,9,0,1,125,406,130,14,0,75,85,207,2,0,0,0,0,0,0,0,0,0,0,0
EE_0375,Käru,501,327,4,0,0,25,111,70,1,0,42,40,32,0,1,1,0,0,0,0,0,0,0,0,0
EE_0354,Kõlleste,849,557,4,0,1,43,217,36,6,0,36,110,102,0,0,0,1,1,0,0,0,0,0,0,0
EE_0357,Kõo,873,474,5,0,1,27,135,93,6,1,28,88,84,2,0,0,0,0,0,0,0,0,4,0,0
EE_0360,Kõpu,551,328,2,0,1,20,99,53,4,0,16,44,85,0,0,0,0,0,0,0,0,0,4,0,0
EE_0381,Laekvere,1284,765,12,0,7,76,136,104,5,0,41,148,233,3,0,0,0,0,0,0,0,0,0,0,0
