gisco_id,name,registered,turnout,invalid,blank,E200,EER,SDE,Isamaa,VL,ER,EKRE,Kesk,EIP
EE_0191,Haljala,3577,1347,6,0,38,43,354,174,1,341,203,125,68
EE_0141,Anija,4210,1470,0,0,42,33,378,184,0,397,178,191,67
EE_0503,Märjamaa,6084,2073,6,0,45,57,532,278,2,486,348,200,125
EE_0618,Põltsamaa,7902,2729,11,0,60,70,747,310,0,556,497,374,115
EE_0653,Rae,12208,5304,3,0,239,103,1115,435,2,2236,512,322,340
EE_0615,Põhja-Sakala,6421,2089,8,0,36,58,527,274,0,449,416,244,85
EE_0792,Tapa,7316,2127,4,0,60,46,575,268,0,495,314,272,97
EE_0824,Tõrva,5007,1751,6,0,49,42,486,171,0,406,292,249,56
EE_0651,Raasiku,3630,1413,3,0,48,45,368,144,0,419,187,123,79
EE_0321,Kohtla-Järve,13368,2914,29,0,74,39,529,179,6,251,96,1333,407
EE_0809,Tori,8893,2802,11,0,67,68,548,372,1,624,630,374,118
EE_0283,Kambja,8058,3319,5,0,125,99,749,377,0,1144,426,235,164
EE_0272,Kadrina,3750,1299,0,0,37,25,386,184,0,319,184,108,56
EE_0834,Türi,8754,3032,12,0,49,65,914,376,0,708,534,286,100
EE_0304,Kiili,3771,1781,0,0,65,40,394,174,0,730,177,100,101
EE_0486,Mustvee,4439,1304,10,0,21,42,335,138,0,253,231,215,69
EE_0899,Viljandi vald,11003,3406,10,0,78,96,930,492,2,704,584,361,159
EE_0255,Järva,6976,2222,8,0,38,49,622,205,1,469,446,291,101
EE_0446,Maardu,6712,1811,9,0,41,36,281,106,6,270,115,706,250
EE_0622,Põlva,11223,3437,12,0,138,83,851,390,1,663,705,473,133
EE_0567,Paide,8334,2996,7,0,49,39,851,317,0,746,521,380,93
EE_0432,Luunja,3435,1192,6,0,46,37,270,124,0,376,189,89,61
EE_0557,Otepää,5324,1918,0,0,111,53,517,174,1,505,306,190,61
EE_0735,Sillamäe,3335,758,5,0,19,6,74,12,3,23,9,465,147
EE_0668,Rapla,10320,3705,8,0,99,115,931,448,0,955,658,340,159
EE_0586,Peipsiääre,4428,1183,7,0,32,41,275,153,5,243,190,193,51
EE_0430,Lääneranna,4455,1463,6,0,43,46,390,182,0,281,297,165,59
EE_0901,Vinni,5517,1790,5,0,40,56,485,227,1,334,355,219,73
EE_0205,Hiiumaa,8014,3025,3,0,73,74,1088,268,0,760,357,254,151
EE_0480,Mulgi,6116,1955,8,0,49,59,530,266,1,356,352,259,83
EE_0284,Kanepi,3880,1262,2,0,64,41,335,111,1,284,246,130,50
EE_0803,Toila,3188,1105,6,0,29,22,307,188,1,263,95,118,82
EE_0478,Muhu,1667,633,1,0,18,14,141,117,1,137,68,104,33
EE_0353,Kuusalu,4838,1947,8,0,70,80,456,259,0,578,278,149,77
EE_0511,Narva,19804,3719,35,0,91,28,612,55,3,104,64,1720,1042
EE_0796,Tartu vald,8116,2848,8,0,118,83,713,276,0,837,436,246,139
EE_0638,Põhja-Pärnumaa,6704,2194,3,0,52,54,595,258,1,426,475,258,75
EE_0441,Lääne-Nigula,5626,2027,8,0,48,61,539,232,1,466,382,201,97
EE_0712,Saarde,3811,1253,9,0,40,37,301,153,0,212,290,166,54
EE_0142,Antsla,3743,1164,4,0,43,43,309,157,1,214,228,140,29
EE_0293,Kehtna,4314,1427,6,0,31,38,424,210,0,293,252,127,52
EE_0661,Rakvere vald,4247,1327,2,0,32,34,313,191,1,311,219,171,55
EE_0296,Keila linn,6930,2953,3,0,88,69,749,340,0,988,294,260,165
EE_0689,Ruhnu,142,69,1,0,4,4,13,15,0,7,14,6,6
EE_0928,Väike-Maarja,4692,1392,2,0,21,35,408,181,0,264,253,182,48
EE_0528,Nõo,3281,1282,2,0,71,47,313,204,0,295,198,102,52
EE_0718,Saku,7022,3233,5,0,108,111,735,368,1,1209,332,186,183
EE_0663,Rakvere linn,11280,3885,12,0,83,84,1058,423,0,1051,549,488,149
EE_0291,Kastre,4070,1417,11,0,52,40,363,117,2,375,255,146,67
EE_0514,Narva-Jõesuu,2029,459,4,0,5,4,120,38,1,42,16,143,90
EE_0338,Kose,5416,2041,1,0,56,62,587,211,0,571,305,158,91
EE_0732,Setomaa,2845,794,4,0,42,26,259,64,0,109,188,91,15
EE_0793,Tartu linn,66994,28150,41,0,1215,1053,7098,3041,16,8395,3377,2640,1315
