gisco_id,name,registered,turnout,invalid,blank,ΠΑ.ΣΟ.Κ.,Ν.Δ. (1974),ΛΑ.Ο.Σ.,Κ.Κ.Ε.,ΣΥ.ΡΙΖ.Α.,Ο.Π.,Κ.Ε.Κ.Α.,ΠΑ.Μ.ΜΕ.,Ο.Ε.,Ε.Ο. (1986),ΦΙ.ΣΥ.,Χ.Α.,Μ.-Λ. Κ.Κ.Ε.,ΑΝΤ.ΑΡ.ΣΥ.Α.,Ε.Κ.,Α.Σ.Κ.Ε.,Ε.Κ.Α.Δ.,Κ.Φ.,Ε.Ε.Κ.,ΕΛ.ΕΝ.,Ο.Τ.,Κ.Π.Σ.Κ.,Ο.Α.Κ.Κ.Ε.,Λ.Ε.Υ.Κ.Ο.,ΠΑ.ΝΑ.Κ,Κ.Ν.
EL_030101,Αλεξανδρούπολης,44133,24671,439,419,8588,8151,2119,1418,922,843,437,299,206,143,165,95,69,69,62,58,39,29,28,23,21,21,8,0,0,0
EL_030301,Ορεστιάδος,22917,12202,206,181,4005,4977,1017,401,287,365,134,107,114,62,57,54,34,26,32,24,47,11,15,16,8,16,6,0,0,0
EL_030304,Τριγώνου,11553,5668,94,59,2440,2132,270,165,123,120,70,19,38,24,15,24,11,9,9,8,11,4,4,10,3,3,3,0,0,0
EL_030302,Βύσσας,9829,5804,118,94,1888,2407,421,249,104,168,48,39,40,42,16,39,11,13,15,15,30,8,13,6,4,9,7,0,0,0
EL_030502,Ορφέα,7687,4212,71,186,1574,1429,238,255,67,90,58,23,21,14,17,21,20,4,21,16,35,7,18,5,5,5,12,0,0,0
EL_030503,Τυχερού,6426,3584,84,39,1161,1527,269,128,78,79,54,20,26,30,9,15,9,9,10,3,14,5,2,4,2,5,2,0,0,0
EL_030201,Διδυμοτείχου,24684,12112,204,161,3960,5056,940,537,221,284,132,81,102,71,42,66,44,31,42,25,37,13,17,17,9,8,12,0,0,0
EL_030400,Σαμοθράκης,4481,2124,60,28,956,614,86,98,45,74,24,13,20,23,11,6,10,14,6,9,8,6,4,4,2,1,2,0,0,0
EL_030103,Φερών (Ανατολικης Μακεδονιας Και Θρακης),12049,7377,142,90,2799,2566,534,366,211,153,160,57,62,49,25,34,19,17,22,9,20,7,9,6,6,9,5,0,0,0
EL_030303,Κυπρίνου,3735,2245,24,31,939,874,160,44,32,40,28,9,14,8,5,13,5,4,5,3,2,0,1,1,0,2,1,0,0,0
EL_030501,Σουφλίου,9012,5076,93,122,1462,2106,346,335,161,163,77,32,23,26,18,15,14,17,13,10,12,7,8,3,0,8,5,0,0,0
EL_030202,Μεταξάδων,8061,4007,48,32,1402,1911,181,118,60,66,44,19,19,15,18,10,9,5,10,7,11,3,6,3,4,4,2,0,0,0
EL_030102,Τραϊανούπολης,4673,2917,35,38,1251,943,208,125,58,71,86,19,9,19,8,4,5,2,12,4,9,2,2,2,2,3,0,0,0,0
EL_450100,Αθηναίων,528640,241072,2768,2107,70877,71798,22123,22332,16848,10668,1399,3471,1360,1407,4582,2111,408,1790,1497,154,222,315,255,157,74,834,92,779,100,544
EL_071002,Αγίου Παύλου,6072,2976,37,18,1020,634,242,406,199,130,16,101,25,22,27,22,13,16,17,0,4,2,3,0,1,2,2,10,0,7
EL_070101,Θεσσαλονίκης,250813,125156,1736,1244,33505,39953,11601,10227,7738,5477,578,6222,765,606,2069,639,266,532,620,90,132,140,98,73,54,156,50,421,0,164
EL_071103,Πολίχνης,23380,12434,201,129,3968,2909,1211,1843,630,399,119,473,86,53,75,67,41,35,71,10,15,10,15,4,6,13,9,29,0,13
EL_070201,Αμπελοκήπων,25659,12974,223,135,4054,3456,1306,1466,593,513,98,496,73,80,70,77,48,57,66,17,17,15,16,8,5,7,9,49,0,20
EL_070700,Καλαμαριάς,51764,28097,384,264,9280,6614,2518,3182,1822,1273,182,1180,193,143,338,97,83,95,154,25,22,40,27,10,19,27,13,82,0,30
EL_071101,Σταυρουπόλεως,24321,12408,232,94,4276,2816,1195,1428,713,496,83,469,91,71,70,72,36,35,72,7,17,8,19,12,12,15,5,40,0,24
EL_070802,Ελευθερίου - Κορδελιού,17457,8180,115,73,2741,2150,912,842,278,292,63,256,79,57,39,40,40,19,34,13,24,10,15,7,3,6,15,36,0,21
EL_070202,Μενεμένης,11374,6008,92,59,2358,1402,682,533,213,187,52,161,34,29,23,39,23,5,29,9,8,11,5,3,1,9,2,25,0,14
EL_071001,Συκεών,27791,13297,213,142,4493,2767,1177,1691,769,605,110,596,95,83,118,69,42,52,74,12,18,14,19,8,12,18,7,67,0,26
EL_071102,Ευκαρπίας,6183,3091,46,32,1139,792,278,280,93,112,23,95,26,16,17,30,14,10,18,10,5,3,11,3,1,3,1,26,0,7
EL_071003,Νεαπόλεως,25157,11815,186,126,4204,2886,1024,1223,582,413,64,496,83,79,80,80,34,31,70,11,14,14,15,9,5,14,6,44,0,22
EL_070102,Τριανδρίας,8876,4867,72,35,1442,1360,437,599,250,193,34,197,32,27,45,21,15,16,22,6,11,6,6,3,4,1,2,21,0,10
EL_070801,Ευόσμου,32397,17050,288,194,4965,4595,2096,1847,740,669,154,600,149,107,97,92,68,53,102,17,22,25,11,15,9,12,14,79,1,29
EL_071004,Πεύκων,5333,3148,55,31,776,789,337,302,243,202,27,205,23,11,60,15,5,24,16,1,2,1,2,3,0,4,0,10,0,4
EL_520200,Αγκιστρίου,983,497,9,6,133,168,68,32,14,18,16,3,7,9,1,0,1,0,2,1,1,0,0,0,0,2,0,3,1,2
EL_520702,Μεθάνων,2599,1454,12,9,527,550,109,53,44,39,23,12,16,16,6,9,2,3,1,2,3,3,1,3,2,1,0,3,3,2
EL_520701,Τροιζήνος,5700,3246,50,30,924,1470,256,120,93,81,34,25,24,25,11,13,6,11,12,3,10,2,7,2,4,6,2,12,3,10
EL_520300,Αίγινας,13446,6553,78,69,2103,2277,532,352,273,251,178,36,59,59,76,27,15,23,21,3,16,13,6,7,5,20,1,28,3,22
EL_510100,Πειραιώς,170631,74659,910,598,23927,21191,6877,7234,4253,3059,694,1014,564,653,773,680,180,358,572,49,97,110,73,55,20,149,49,275,35,210
EL_520800,Ύδρας,3164,1485,20,23,448,508,97,75,53,46,122,20,5,7,31,5,4,7,3,0,0,2,0,0,0,1,0,3,1,4
EL_520402,Αντικυθήρων,164,56,0,0,16,25,5,4,1,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
EL_520500,Πόρου,4707,2368,26,22,684,968,215,95,66,106,24,20,18,26,31,16,0,6,10,2,5,0,2,0,0,6,2,8,1,9
EL_520401,Κυθήρων,7017,2362,30,24,818,796,172,141,113,81,42,13,23,17,21,9,8,5,13,1,6,4,1,2,2,3,1,10,3,3
EL_520600,Σπετσών,4183,1947,17,13,498,899,108,52,60,96,96,13,11,15,23,9,1,3,7,1,1,3,2,1,2,1,0,10,2,3
EL_380202,Αγγελοκάστρου,3326,1992,23,17,855,796,44,122,37,35,20,3,4,5,6,5,2,5,2,0,2,0,2,1,1,2,1,0,0,2
EL_380500,Θέρμου,10747,5298,74,34,2325,1843,243,279,88,85,127,26,15,29,22,19,10,12,12,4,6,3,8,3,3,25,0,0,0,3
EL_380103,Οινιάδων,11141,6074,64,43,2241,2529,235,365,191,100,72,25,14,62,16,31,11,22,11,5,10,5,9,0,5,3,1,0,0,4
EL_380201,Αγρινίου,46458,23954,362,217,9098,7475,1096,2500,1097,722,238,193,123,123,185,79,99,140,49,18,34,18,22,7,11,22,13,0,0,13
EL_380204,Θεστιέων,8043,4646,77,29,1882,1558,202,450,115,116,59,15,16,23,17,15,15,14,10,7,5,3,5,3,3,2,1,0,0,4
EL_380207,Παναιτωλικού,2135,1269,17,7,529,508,69,44,22,21,19,3,5,2,2,8,2,5,0,1,0,0,2,0,1,1,0,0,0,1
EL_380102,Αιτωλικού,7869,4288,82,48,1753,1454,134,403,139,71,44,23,15,26,17,25,7,12,11,10,1,2,0,3,0,7,1,0,0,0
EL_380402,Ινάχου,8310,4539,69,17,2188,1592,128,238,108,56,29,11,14,7,15,10,7,21,7,10,6,2,1,2,0,0,1,0,0,0
