gisco_id,name,registered,turnout,invalid,blank,AN,AES,CDS,C's,PA (1971),DN,E-2000,FE de las JONS,IU-LV,LV,PACMA,PCPE,PDAL,FyV,PH (1984),PP,PSD,PSOE,PUM+J,UPyD,FA,PPCR,SAIn,CEB,FE,RCN/NOK,PAMYDE,POSI,CHA,IU,LV-GV,PAR,pCUA,PSD-FIA,Centristas PCTR,AA (1990),CDA,PRE,IU-BA-LV,MFE,PC,PUEDE,ABA,CTD,PIB,UxI,ANC,CC (1993),MUPCA,NC-BC,UP (1998),CDL,CC-PNC,UCIC,aBLA,LVdeE,TC,CTC,UdCa,ixC,CDEs,PRGU,AGRUCI,APB,ICB,IMC,GDEB,PREPAL,UPL (1978),URCL,UCD,CiU,Ei-ADD,EV-AE,ERC,ICV-EUiA,LI,PLCI,PPA,PSC,PPC,PRC [Partit Republicà Català],EV-AV,EEB,PFiV,NS,EU,AVE,BNG,PAIE,PNF,Hache,PLEVE,UPL (2003),NaBai,UPN-PP,Aralar,EA,EAJ/PNV,PR (1982),Bloc-IdPV-LV,CV,ERPV,IU-ERPV,ONV,PRV,IRV
ES_04001,Abla,1180,948,6,1,0,0,0,0,6,1,0,0,28,0,0,2,4,0,2,382,2,512,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ES_04002,Abrucena,1138,915,5,3,0,0,0,0,4,0,0,0,22,0,0,1,5,1,0,340,0,532,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ES_04003,Adra,17104,12660,51,62,0,1,0,5,57,3,2,10,169,29,12,6,321,1,2,7632,3,4261,4,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ES_04004,Albanchez,473,402,0,3,0,0,0,0,3,0,3,0,3,3,0,0,9,0,0,106,2,269,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ES_04005,Alboloduy,640,541,1,1,0,0,0,0,0,0,0,0,5,0,0,0,105,0,0,191,0,236,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ES_04006,Albox,7227,5272,28,37,0,0,1,0,22,2,1,4,79,6,2,4,36,1,0,2226,9,2802,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ES_04007,Alcolea,791,606,2,5,0,0,0,0,5,1,0,0,50,1,0,1,8,0,0,197,0,325,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ES_04008,Alcántar,529,438,3,1,0,0,0,0,2,0,0,0,2,0,0,1,1,0,0,250,0,177,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ES_04009,Alcudia de Monteagud,158,117,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,59,0,54,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ES_04010,Alhabia,605,518,0,3,0,0,0,0,2,0,0,2,14,0,0,1,5,0,0,151,0,340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ES_04011,Alhama de Almería,2699,2223,10,10,0,0,2,1,7,0,0,1,86,0,3,1,5,1,0,730,0,1360,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ES_04012,Alicún,217,198,0,2,0,0,1,0,0,0,0,0,1,1,0,0,2,0,0,91,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ES_04013,Almería,134948,96639,410,983,20,17,40,67,434,38,23,45,3264,391,111,62,734,29,23,49463,82,39493,47,863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ES_04014,Almócita,148,129,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,35,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ES_04015,Alsodux,165,134,3,0,0,0,0,1,0,0,0,0,3,0,0,1,0,0,0,58,0,67,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ES_04016,Antas,2192,1856,6,15,0,0,1,0,38,0,1,1,20,1,0,1,5,0,0,1095,0,659,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ES_04017,Arboleas,1331,1008,6,6,0,0,0,0,24,0,0,0,17,0,2,1,6,0,0,363,2,579,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
