gisco_id,name,registered,turnout,invalid,blank,C's,EEB,PACMA,PCPE,UP (2016),PP,PSOE,PUM+J,RC-LV-GV,Vox,A×Sí,PCOE,PCTE,IZAR,PJFDD,CILU,PRISA,Actúa,FIA,Puyalón,MAS [Muerte al Sistema],UDT,AA (1990),PH (1984),PP-FORO [PP-FORO],VP (2019),EL PI,ANC-UP,CC-PNC,NC-BC,F8,P-Lib,PRC (1978),RC-LV-GV-PC-TC,PDSJE,FE de las JONS,PREPAL,Centrados,P.P.SO.,URCL,CNV,ECP,ERC-Sobiranistes,PL-SA-PIRATES.CAT,IZPOS,JxCat,PSC,PREx-CREx,DLP,BNG,CxG,EM,CXXI,VO,EH Bildu,GBai,UPN-C's-PP,EAJ/PNV,PASE,DP,SR,PR (1982),LVE,CC (2010),ERPV-LV,AVANT [Avant Adelante Los Verdes],SV,CpM
ES_04001,Abla,1014,768,5,9,131,2,12,0,44,149,326,0,2,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ES_04002,Abrucena,1039,798,6,7,91,3,7,2,60,127,380,1,1,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ES_04003,Adra,17540,12174,123,75,1654,17,111,11,769,3109,3343,5,12,2945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ES_04004,Albanchez,400,320,5,2,88,0,1,0,17,56,118,0,1,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ES_04005,Alboloduy,533,448,6,0,34,0,1,1,20,161,171,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ES_04006,Albox,7218,5002,62,33,1044,12,33,8,301,1451,1462,6,6,584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ES_04007,Alcolea,731,570,1,0,97,1,6,0,53,81,227,0,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ES_04008,Alcóntar,464,386,3,4,49,1,2,1,16,148,105,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ES_04009,Alcudia de Monteagud,151,126,2,3,17,0,0,0,10,53,24,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ES_04010,Alhabia,580,445,11,2,55,0,4,0,29,76,238,0,1,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
