gisco_id,name,registered,turnout,invalid,blank,Kesk.,LKP,PS,SSP,KIPU,SDP,VIHR,MVS,SFP,Kok,KD,Vas,YVP,KTP,SI,SKP,Eskola,Rosti,SKS,KA,KSLY,Luojola,Peltonen,Karlsson,MEÅS,S,FÅ,GLTU,Oksanen,Rinteelä,Mizaras,Niemimaa
FI_091,Helsinki / Helsingfors,477094,325428,0,0,26435,2409,17342,788,130,79031,59775,1284,22926,78019,11206,23081,77,245,185,2052,42,401,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_018,Askola,3350,2273,17,0,860,7,11,7,0,505,120,19,47,374,37,158,1,2,4,7,0,0,1,7,1,1,87,0,0,0,0,0,0,0,0,0
FI_611,Pornainen / Borgnäs,2957,2100,10,0,659,16,25,3,0,686,171,5,23,319,52,115,1,0,5,3,0,0,0,5,0,0,2,0,0,0,0,0,0,0,0,0
FI_638,Porvoo / Borgå,36032,24223,84,0,2363,134,175,38,4,6856,1805,61,7268,2844,598,1648,4,92,18,57,0,0,10,38,19,12,95,0,0,0,0,0,0,0,0,0
FI_835,Ekenäs / Tammisaari,12290,7997,0,0,303,23,17,1,2,2012,302,9,4609,257,88,307,3,3,5,44,0,0,5,4,3,0,0,0,0,0,0,0,0,0,0,0
FI_049,Espoo / Esbo,168311,120402,0,0,13194,933,1836,448,31,23501,15357,324,10317,41053,3936,8056,21,130,220,387,0,0,68,469,83,7,31,0,0,0,0,0,0,0,0,0
FI_235,Kauniainen / Grankulla,6752,5329,0,0,339,27,26,9,0,438,421,2,2034,1721,136,141,1,2,8,4,0,0,2,11,6,0,1,0,0,0,0,0,0,0,0,0
FI_078,Hanko / Hangö,8665,5143,32,0,234,12,21,4,10,1883,164,31,1669,380,170,494,2,4,0,22,0,0,6,4,0,0,1,0,0,0,0,0,0,0,0,0
FI_106,Hyvinkää / Hyvinge,33723,21878,182,0,3691,260,241,56,7,6356,1895,73,194,4530,1346,2711,6,95,31,106,0,0,12,50,35,0,1,0,0,0,0,0,0,0,0,0
FI_224,Karkkila / Högfors,6992,4712,61,0,957,54,34,14,1,1147,218,20,28,507,96,1442,3,26,3,79,0,0,1,15,4,0,2,0,0,0,0,0,0,0,0,0
FI_149,Inkoo / Ingå,4098,2834,3,0,147,4,21,8,2,506,162,3,1474,256,66,156,0,1,3,13,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
FI_220,Karjaa / Karis,7397,4660,13,0,220,11,10,7,4,1524,191,10,1963,226,73,323,4,5,1,67,0,0,1,6,1,0,0,0,0,0,0,0,0,0,0,0
FI_223,Karjalohja / Karislojo,1136,841,0,0,326,6,3,2,1,142,66,6,7,122,20,132,0,1,2,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
FI_245,Kerava / Kervo,23806,16236,105,0,2140,113,157,42,3,5230,2029,111,217,3440,796,1576,4,26,39,99,0,0,12,77,11,1,8,0,0,0,0,0,0,0,0,0
FI_257,Kirkkonummi / Kyrkslätt,22888,15972,0,0,1958,92,207,38,6,3309,1685,48,3084,3679,472,1206,1,19,34,66,0,0,16,39,9,1,3,0,0,0,0,0,0,0,0,0
FI_407,Lapinjärvi / Lappträsk,2476,1633,0,0,381,6,9,7,0,335,57,3,584,158,37,41,1,4,1,2,0,0,4,2,1,0,0,0,0,0,0,0,0,0,0,0
FI_424,Liljendal,1133,828,7,0,35,1,1,0,0,108,17,1,599,24,18,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_444,Lohja / Lojo,27795,19152,198,0,2343,73,110,33,4,5858,1402,77,564,3664,552,4034,1,29,34,101,0,0,12,35,23,1,4,0,0,0,0,0,0,0,0,0
FI_434,Loviisa / Lovisa,6475,4051,17,0,210,15,26,7,0,1487,203,14,1338,404,74,221,0,18,1,7,0,0,1,6,0,0,2,0,0,0,0,0,0,0,0,0
FI_505,Mäntsälä,12705,8102,46,0,2444,39,55,18,2,1919,546,27,70,2060,258,511,1,16,12,23,0,0,6,16,25,2,6,0,0,0,0,0,0,0,0,0
FI_504,Myrskylä / Mörskom,1579,1060,13,0,326,2,6,4,0,187,39,2,127,276,30,42,0,0,2,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
FI_540,Nummi-Pusula,4539,3045,22,0,1038,107,31,12,0,717,139,22,12,409,81,414,0,9,1,12,0,0,1,13,4,1,0,0,0,0,0,0,0,0,0,0
FI_543,Nurmijärvi,25119,17256,152,0,4143,80,230,32,9,4435,1400,66,161,4157,598,1569,1,31,34,63,0,0,11,46,33,0,5,0,0,0,0,0,0,0,0,0
FI_585,Pernå / Pernaja,3151,2086,8,0,133,7,7,2,1,500,111,9,1119,80,21,72,0,3,1,6,0,0,1,2,1,0,2,0,0,0,0,0,0,0,0,0
FI_606,Pohja / Pojo,4192,2655,8,0,172,4,14,4,2,1082,236,5,542,138,42,321,0,1,6,74,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0
FI_616,Pukkila,1468,958,3,0,410,7,6,3,0,166,62,7,7,195,27,52,0,2,1,2,0,0,1,3,0,0,4,0,0,0,0,0,0,0,0,0
FI_737,Sammatti,961,725,8,0,190,6,7,1,1,185,31,3,2,150,17,118,0,1,1,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
FI_753,Sipoo / Sibbo,13618,9753,32,0,891,52,82,17,4,1745,820,26,3626,1529,324,471,0,17,15,72,0,0,3,21,5,0,1,0,0,0,0,0,0,0,0,0
FI_755,Siuntio / Sjundeå,3831,2731,16,0,264,5,19,7,3,683,205,12,871,347,61,202,1,3,7,15,0,0,2,3,3,2,0,0,0,0,0,0,0,0,0,0
FI_701,Ruotsinpyhtää / Strömfors,2468,1626,6,0,428,4,5,1,0,570,51,20,262,157,32,81,0,1,0,4,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0
FI_186,Järvenpää / Träskända,27780,18537,79,0,2633,318,211,54,6,4932,3076,65,166,4316,723,1597,6,25,37,189,0,0,13,58,29,0,4,0,0,0,0,0,0,0,0,0
FI_858,Tuusula / Tusby,24695,17308,106,0,3272,153,176,34,7,5114,1617,64,264,4137,746,1349,4,26,54,112,0,0,11,35,17,2,8,0,0,0,0,0,0,0,0,0
FI_092,Vantaa / Vanda,137788,91594,587,0,11264,756,1363,487,25,27277,11096,377,2914,19833,3745,10237,44,222,368,438,0,0,52,427,53,6,23,0,0,0,0,0,0,0,0,0
FI_927,Vihti / Vichtis,18562,12756,108,0,2673,66,121,17,2,3396,1339,74,151,2992,664,997,5,18,23,48,0,0,12,38,11,0,1,0,0,0,0,0,0,0,0,0
FI_006,Alastaro,2507,1799,12,0,820,2,7,0,0,192,45,6,4,418,38,194,0,2,0,47,0,0,11,0,0,0,0,1,0,0,0,0,0,0,0,0
FI_019,Aura,2601,1751,15,0,470,2,8,0,0,368,92,5,7,468,73,206,0,3,0,15,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_586,Perniö / Bjärnå,4943,3481,13,0,878,9,13,0,0,1293,289,13,37,668,69,152,0,15,0,18,0,0,13,0,0,0,0,1,0,0,0,0,0,0,0,0
FI_040,Dragsfjärd,3335,1941,4,0,47,6,1,0,0,517,55,33,951,48,21,233,0,0,0,20,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_784,Särkisalo / Finby,658,466,2,0,94,0,2,0,0,143,20,0,45,129,7,18,0,1,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_304,Kustavi / Gustavs,817,567,0,0,158,0,0,0,0,115,24,4,8,203,24,21,0,2,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_073,Halikko,7166,4990,16,0,1193,5,9,0,0,1192,399,21,56,1649,171,257,0,6,0,5,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_101,Houtskär / Houtskari,656,386,0,0,27,0,0,0,0,8,4,0,331,10,2,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_150,Iniö,288,169,0,0,2,0,0,0,0,7,2,0,137,10,4,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_219,Karinainen,1822,1341,11,0,460,3,9,0,0,196,35,4,2,471,79,56,0,1,0,3,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_252,Kiikala,1493,1060,5,0,544,3,6,0,0,205,34,6,13,152,35,41,0,0,0,4,0,0,10,0,0,0,0,2,0,0,0,0,0,0,0,0
FI_243,Kemiö / Kimito,2850,1834,0,0,266,2,6,0,0,337,70,9,954,111,27,42,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_259,Kisko,1585,1074,6,0,385,1,4,0,0,235,57,7,9,268,26,66,0,1,0,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_279,Korpo / Korppoo,925,537,0,0,40,0,2,0,0,29,24,2,352,43,15,25,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_284,Koski_Tl,2073,1494,10,0,807,2,16,0,0,152,40,7,2,340,31,70,0,2,0,5,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_308,Kuusjoki,1444,1001,15,0,458,2,2,0,0,150,45,2,7,254,19,42,0,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_400,Laitila,6995,4533,28,0,1857,6,9,0,0,936,107,39,11,1115,141,264,0,3,0,9,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_419,Lemu,1118,839,8,0,220,0,2,0,0,172,59,1,3,218,30,114,0,0,0,3,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_430,Loimaa,5860,3993,38,0,1164,2,14,0,0,573,191,12,16,1012,99,758,0,5,0,13,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_431,Loimaan_kunta / Loimaa_kommun,4794,3406,10,0,1798,6,101,0,0,315,112,8,8,532,82,376,0,3,0,20,0,0,34,0,0,0,0,1,0,0,0,0,0,0,0,0
FI_423,Lieto / Lundo,10825,7904,41,0,1612,8,38,0,0,1703,528,50,76,2397,379,923,0,5,0,28,0,0,115,0,0,0,0,1,0,0,0,0,0,0,0,0
FI_480,Marttila,1694,1205,13,0,564,1,71,0,0,123,31,1,5,300,38,37,0,3,0,3,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_481,Masku,4170,3089,23,0,726,2,9,0,0,683,195,5,33,992,122,255,0,1,0,11,0,0,29,0,0,0,0,3,0,0,0,0,0,0,0,0
FI_482,Mellilä,988,719,7,0,363,1,4,0,0,65,13,1,0,154,23,56,0,1,0,18,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0
