gisco_id,name,registered,turnout,invalid,blank,Kesk.,SDP,Kok,Vas,VIHR,KD,SFP,PS,SKP,LKP,SSP,SKS,KTP,KA,STP,IPU,Basic,Hänninen,Syväoja,Varje,IKL,YA,OY,YS,BA,S,YVP,Aaltonen,Flinkman
FI_091,Helsinki / Helsingfors,481302,318245,0,0,21703,67122,94581,21366,63440,7903,18894,9188,4495,1416,2355,224,150,893,687,227,58,80,97,45,0,0,0,0,0,0,0,0,0
FI_018,Askola,3504,2302,0,0,800,419,429,162,158,84,43,161,6,0,7,0,2,2,3,7,0,0,0,0,2,0,0,0,0,0,0,0,0
FI_611,Pornainen / Borgnäs,3296,2252,0,0,715,551,441,112,157,58,29,139,7,1,3,0,2,5,4,5,0,0,0,0,3,1,1,0,0,0,0,0,0
FI_638,Porvoo / Borgå,37289,24993,0,0,2321,4854,4361,1470,2278,550,7020,1702,53,5,37,0,60,33,25,33,0,0,0,0,12,6,9,0,0,0,0,0,0
FI_835,Tammisaari / Ekenäs,12572,8295,0,0,184,1782,451,229,383,125,4936,81,31,1,2,0,3,4,5,3,0,0,0,0,0,1,0,0,0,0,0,0,0
FI_049,Espoo / Esbo,177573,128502,0,0,10745,19437,51575,5879,17182,4751,9695,7220,434,128,349,0,84,167,36,157,0,0,0,0,80,63,49,0,0,0,0,0,0
FI_235,Kauniainen / Grankulla,6733,5300,0,0,240,266,2054,81,431,166,1933,74,9,4,11,0,4,6,0,3,0,0,0,0,2,0,2,0,0,0,0,0,0
FI_078,Hanko / Hangö,8482,4864,0,0,572,1429,503,455,243,140,1322,113,27,1,4,0,6,9,6,4,0,0,0,0,3,1,1,0,0,0,0,0,0
FI_106,Hyvinkää / Hyvinge,34958,22258,0,0,3766,5294,5055,2028,1896,2109,108,1433,184,11,44,0,40,40,6,41,0,0,0,0,26,8,1,0,0,0,0,0,0
FI_224,Karkkila / Högfors,7114,4681,0,0,831,822,777,1516,223,120,27,239,34,11,7,0,15,3,3,8,0,0,0,0,6,2,0,0,0,0,0,0,0
FI_149,Inkoo / Ingå,4341,3079,0,0,125,427,450,119,207,52,1442,197,13,0,7,0,0,5,2,5,0,0,0,0,2,0,0,0,0,0,0,0,0
FI_220,Karjaa / Karis,7494,4802,0,0,203,1596,356,179,269,90,1909,106,38,0,2,0,1,8,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0
FI_223,Karjalohja / Karislojo,1126,811,0,0,256,160,170,60,85,25,6,39,1,1,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_245,Kerava / Kervo,25351,16864,0,0,2203,4099,4487,1367,2112,1022,178,982,80,7,42,0,16,59,12,79,0,0,0,0,14,5,6,0,0,0,0,0,0
FI_257,Kirkkonummi / Kyrkslätt,25106,17650,0,0,1679,3043,5364,967,1889,669,2896,889,53,11,29,0,5,17,3,24,0,0,0,0,15,7,7,0,0,0,0,0,0
FI_407,Lapinjärvi / Lappträsk,2446,1539,0,0,370,228,207,38,85,27,502,53,3,2,5,0,3,4,1,2,0,0,0,0,2,0,0,0,0,0,0,0,0
FI_424,Liljendal,1154,813,0,0,29,76,43,16,20,14,589,16,0,0,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
