gisco_id,name,registered,turnout,invalid,blank,Kesk.,Vas,Kok,VIHR,SFP,SKP,SDP,PS,M11,KaL,KA,KD,STP,KTP,PP,Helminen,Katajisto,Kreisler,Leinonen,Punto,Sjöström,Yilmaz,Tikka,Vähkängas,Leppjoki,ÅS,L,PSY,Valitsijayhdistys,Toivanen,Hintikka,Poikalainen
FI_091,Helsinki / Helsingfors,521875,362247,2372,0,25947,35435,93392,67806,24645,1485,55874,40583,480,1242,328,6407,244,76,5119,38,12,314,168,73,114,93,0,0,0,0,0,0,0,0,0,0
FI_018,Askola,3808,2608,16,0,832,93,325,136,53,6,347,680,28,22,1,45,3,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_049,Espoo / Esbo,195874,144652,483,0,12053,4552,50288,19251,14131,279,16388,19785,626,449,57,3812,49,50,2309,0,0,0,0,0,0,0,17,73,0,0,0,0,0,0,0,0
FI_078,Hanko / Hangö,8042,4765,40,0,235,237,422,217,1482,13,1282,645,22,11,7,121,4,3,22,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
FI_106,Hyvinkää / Hyvinge,37345,24647,117,0,3092,1296,4909,2036,378,75,5571,5587,151,97,16,800,7,17,269,0,0,0,0,0,0,0,5,224,0,0,0,0,0,0,0,0
FI_149,Inkoo / Ingå,4539,3362,23,0,150,72,390,235,1656,3,429,315,9,14,0,51,0,1,13,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
FI_186,Järvenpää / Träskända,31886,22263,101,0,3694,1258,4679,2338,405,77,3965,4499,161,94,21,707,5,5,226,0,0,0,0,0,0,0,4,24,0,0,0,0,0,0,0,0
FI_224,Karkkila / Högfors,7092,4717,34,0,601,660,564,199,47,26,1104,1262,65,32,1,75,0,10,35,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
FI_235,Kauniainen / Grankulla,7727,6011,17,0,349,68,2081,416,2307,9,275,321,13,10,1,110,1,1,31,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
FI_245,Kerava / Kervo,27392,18972,82,0,2281,1362,4101,1877,363,39,3905,3818,183,97,13,597,7,10,221,0,0,0,0,0,0,0,1,15,0,0,0,0,0,0,0,0
FI_257,Kirkkonummi / Kyrkslätt,27923,20341,65,0,1907,686,5119,2116,3877,37,2543,3133,118,70,7,440,8,6,200,0,0,0,0,0,0,0,2,7,0,0,0,0,0,0,0,0
FI_407,Lapinjärvi / Lappträsk,2340,1465,4,0,291,56,122,93,476,4,116,251,2,8,1,28,2,2,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
FI_444,Lohja / Lojo,37500,25047,154,0,3214,1475,4100,1788,777,69,6352,5703,263,127,14,781,6,20,184,0,0,0,0,0,0,0,3,17,0,0,0,0,0,0,0,0
FI_434,Loviisa / Lovisa,13214,8430,44,0,575,687,949,324,2999,9,1256,1325,37,35,4,114,4,1,61,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0
FI_504,Myrskylä / Mörskom,1633,1052,4,0,326,27,127,46,103,3,116,258,6,3,0,23,0,2,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
FI_505,Mäntsälä,15369,10198,39,0,2419,333,1806,573,145,11,2078,2252,137,46,6,289,1,6,49,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0
FI_543,Nurmijärvi,30353,21706,105,0,4303,681,5277,1484,467,34,3042,5272,142,95,16,586,7,11,161,0,0,0,0,0,0,0,7,16,0,0,0,0,0,0,0,0
FI_611,Pornainen / Borgnäs,3687,2657,14,0,663,74,433,171,71,2,438,694,11,7,2,44,0,1,26,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
FI_638,Porvoo / Borgå,39568,26583,133,0,2887,1101,4064,2094,7218,40,4220,3869,139,100,10,481,24,15,180,0,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0,0
FI_616,Pukkila,1556,1043,5,0,511,29,105,44,18,3,92,192,10,6,0,23,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
FI_710,Raasepori / Raseborg,24760,15838,101,0,504,477,930,1001,7387,42,3968,1065,48,38,7,180,6,7,74,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0
FI_753,Sipoo / Sibbo,14717,10727,69,0,955,277,2235,825,3374,39,1139,1412,58,26,7,236,1,3,64,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0
FI_755,Siuntio / Sjundeå,4678,3349,18,0,321,109,584,307,842,4,438,590,18,12,3,79,2,1,19,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
FI_858,Tuusula / Tusby,28899,20763,110,0,4148,760,4983,1568,479,44,3390,4262,158,97,15,538,4,9,178,0,0,0,0,0,0,0,3,17,0,0,0,0,0,0,0,0
FI_092,Vantaa / Vanda,156203,105930,502,0,10148,5723,22943,11620,3787,290,21849,22736,956,570,73,3089,30,73,1427,0,0,0,0,0,0,0,33,81,0,0,0,0,0,0,0,0
FI_927,Vihti / Vichtis,21795,15343,70,0,3290,605,3218,1275,390,31,2159,3485,112,65,13,501,3,7,106,0,0,0,0,0,0,0,2,11,0,0,0,0,0,0,0,0
FI_019,Aura,2989,2119,7,0,559,175,334,89,17,14,257,594,2,10,0,51,1,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
FI_202,Kaarina / S:t Karins,24849,18282,66,0,2161,1636,4752,1714,642,47,2888,3779,15,48,0,410,16,0,97,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0
FI_322,Kemiönsaari / Kimitoön,6532,3872,29,0,399,372,209,147,1905,1,501,259,2,2,0,30,2,0,12,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
FI_284,Koski Tl,1951,1408,10,0,659,50,232,49,5,3,105,262,1,7,0,14,0,1,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
FI_304,Kustavi / Gustavs,803,591,1,0,177,24,182,32,7,0,63,89,2,1,0,8,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_400,Laitila,6750,4253,22,0,1620,137,593,117,13,3,644,954,2,20,0,112,1,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_423,Lieto / Lundo,14459,10716,49,0,2315,811,2488,751,137,14,1377,2425,4,26,0,260,8,1,45,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
FI_430,Loimaa,13761,9092,46,0,3345,1018,1580,265,35,45,802,1609,5,27,0,129,7,0,45,0,0,0,0,0,0,0,0,0,134,0,0,0,0,0,0,0
FI_480,Marttila,1668,1192,3,0,446,43,212,23,11,2,64,365,0,2,0,13,0,0,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
FI_481,Masku,7220,5355,21,0,1049,345,1165,317,60,6,785,1465,3,11,0,91,1,1,34,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
FI_503,Mynämäki,6385,4302,21,0,1498,360,552,163,25,5,540,1005,2,20,0,89,6,0,12,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
FI_529,Naantali / Nådendal,15443,11191,52,0,1581,799,3284,795,206,16,1801,2314,3,37,0,239,7,1,52,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
FI_538,Nousiainen / Nousis,3641,2699,18,0,718,223,430,123,18,5,314,773,2,6,0,53,5,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_561,Oripää,1051,740,6,0,383,59,103,9,2,1,64,103,0,2,0,5,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
FI_577,Paimio / Pemar,8266,5900,28,0,1293,430,1291,427,51,12,918,1221,5,13,0,175,2,1,29,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
FI_445,Parainen / Pargas,13495,8737,46,0,552,574,881,583,3823,11,1189,838,3,13,0,177,4,1,35,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
FI_631,Pyhäranta,1748,1174,9,0,331,34,170,39,3,2,219,309,1,16,0,38,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_636,Pöytyä,6672,4634,17,0,1594,298,785,149,20,13,456,1150,5,16,0,100,2,3,19,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
FI_680,Raisio / Reso,19424,13247,70,0,1683,1454,2662,827,176,18,2782,3008,10,46,0,416,12,2,71,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0
FI_704,Rusko,4573,3401,12,0,794,260,679,228,33,8,453,837,3,16,0,59,0,0,14,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
FI_734,Salo,43087,28834,161,0,5387,1543,5873,1681,316,37,5905,6878,8,112,0,732,28,41,125,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
FI_738,Sauvo / Sagu,2441,1765,6,0,591,97,318,102,33,4,189,368,2,5,0,43,1,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
FI_761,Somero,7531,5196,21,0,2403,247,520,352,22,7,670,797,0,24,0,111,7,0,14,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
FI_833,Taivassalo / Tövsala,1387,973,4,0,338,38,219,37,6,1,95,212,0,4,0,17,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_853,Turku / Åbo,156141,105216,419,0,8918,15418,24043,13571,5495,352,15410,16994,85,410,0,2677,65,8,1300,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0
FI_895,Uusikaupunki / Nystad,13263,8363,52,0,1527,466,1553,240,47,36,2172,1897,7,65,0,247,7,1,42,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
FI_918,Vehmaa,1969,1345,7,0,442,90,245,45,3,1,172,308,0,4,0,23,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_050,Eura,9977,6578,42,0,1834,681,662,148,11,2,1770,1187,14,18,0,167,10,13,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_051,Eurajoki / Euraåminne,4723,3347,13,0,1422,132,215,37,6,0,755,690,4,4,0,61,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_079,Harjavalta,6121,3858,24,0,521,671,492,68,21,3,1048,830,21,12,0,126,3,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_099,Honkajoki,1500,990,2,0,438,42,27,11,1,0,30,419,0,3,0,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_102,Huittinen,8624,5658,35,0,1838,322,838,115,8,4,636,1661,6,14,0,165,1,2,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_181,Jämijärvi,1632,1106,1,0,473,50,42,5,12,0,120,351,1,1,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_214,Kankaanpää,9832,6794,31,0,2379,356,588,95,12,2,615,2446,11,18,0,224,0,3,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_230,Karvia,2124,1444,7,0,678,68,100,13,3,0,111,424,3,4,0,30,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_271,Kokemäki / Kumo,6396,4149,25,0,1286,482,436,87,37,4,686,987,23,7,0,73,1,2,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_319,Köyliö,2209,1432,3,0,625,63,91,44,6,1,229,345,2,4,0,14,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_442,Luvia,2596,1885,9,0,554,118,355,40,1,2,340,394,29,3,0,36,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_484,Merikarvia / Sastmola,2876,1912,11,0,668,86,178,26,5,0,459,411,7,5,0,49,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_531,Nakkila,4616,3200,17,0,686,634,505,56,11,3,493,658,20,11,0,97,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_608,Pomarkku / Påmark,1903,1305,10,0,465,92,139,13,7,1,161,327,2,32,0,55,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_609,Pori / Björneborg,71896,47358,241,0,5975,5875,8525,1737,201,77,10245,12483,176,187,0,1407,14,29,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_684,Rauma / Raumo,32966,21117,137,0,2824,1034,3519,574,66,23,7852,4226,41,69,0,658,6,6,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_747,Siikainen,1389,903,6,0,404,28,32,8,0,0,128,222,2,6,0,62,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_783,Säkylä,3773,2492,22,0,844,186,312,58,1,2,507,517,8,5,0,25,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
