gisco_id,name,registered,turnout,invalid,blank,Vas,VIHR,KP (2016),SKE,EOP,FP,PP,LPVV,STL,PS,SKP,Korj,KaL,KD,KTP,SFP,Kok,SDP,Kesk.,Liik,Helminen,Sin,Aarnio,VS,Taskinen,Leppjoki,Paaki,Koskela,Markkula,AÅ,FÅ,Eckerman-Hartvik,RY,JL,Kuparinen,Vlimki,Hirvimki,asyl,Kuotesaho
FI_091,Helsinki / Helsingfors,540883,388764,3204,0,42899,90662,25,347,921,3303,5840,1248,1285,47276,604,2056,203,7253,145,20348,84141,52393,11015,13529,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_018,Askola,3764,2631,10,0,110,169,2,3,6,0,15,4,12,620,7,42,6,62,1,63,300,484,607,104,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_049,Espoo / Esbo,207580,153898,552,0,5337,27582,46,172,286,329,1492,788,615,17606,273,2673,156,4153,52,11830,47538,19966,6098,6255,0,42,2,49,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_078,Hanko / Hangö,7618,4689,53,0,365,255,8,6,7,5,27,9,31,529,23,43,5,101,4,1392,286,1332,90,117,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_106,Hyvinkää / Hyvinge,37640,25249,119,0,1381,2822,10,38,45,42,170,61,131,6022,71,425,33,818,7,255,4230,5473,1863,1221,0,4,1,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_149,Inkoo / Ingå,4502,3376,12,0,94,243,1,2,3,8,7,8,12,272,7,40,1,52,0,1816,281,367,67,81,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_186,Järvenpää / Träskända,34301,24150,108,0,1359,3179,11,50,34,48,154,59,145,4416,77,395,41,847,4,300,4253,5261,1957,1445,0,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_224,Karkkila / Högfors,6956,4669,38,0,622,425,0,5,3,9,19,14,39,911,16,59,7,111,20,52,513,1195,420,186,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_235,Kauniainen / Grankulla,7915,6164,18,0,104,652,0,2,10,11,35,11,16,394,9,71,4,137,0,2131,1969,307,147,133,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_245,Kerava / Kervo,27911,19701,107,0,1692,2521,13,31,40,33,161,61,97,3731,44,368,26,622,2,288,3789,3873,1330,861,0,4,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_257,Kirkkonummi / Kyrkslätt,29047,21378,95,0,760,2823,8,21,42,23,144,49,82,2888,38,456,20,477,3,4266,4356,3026,845,938,0,7,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_407,Lapinjärvi / Lappträsk,2235,1421,6,0,40,87,1,3,5,2,7,1,4,176,8,14,1,25,2,428,109,166,287,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_444,Lohja / Lojo,36975,25217,160,0,1745,2857,12,39,59,50,103,43,192,5328,60,401,25,766,27,721,3662,5900,2071,944,0,18,31,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_434,Loviisa / Lovisa,12886,8378,48,0,278,553,4,6,14,11,52,11,25,988,19,134,10,164,7,3286,542,1619,358,248,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
