gisco_id,name,registered,turnout,invalid,blank,PP,LPVV,AP,VKK,Vas,SFP,Liik,Kok,SKP,SDP,PS,VIHR,SKE,VL,KP (2014),FP,EOP,Kesk.,KD,Korj,Helminen,SML,KaL,Johansson,Mkinen,Suominen,HI,FÅ,ObS,S,Enkvist,Heiskanen,Virtanen,Lukkarinen,LSY
FI_091,Helsinki,546375,391480,2979,0,1274,3539,949,985,45862,19679,8944,102592,710,81314,43872,59479,224,2970,605,558,697,6106,7372,747,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_018,Askola,3710,2571,10,0,2,5,0,11,81,74,118,481,1,419,790,70,0,33,5,2,4,386,64,1,0,11,2,1,0,0,0,0,0,0,0,0,0,0,0
FI_049,Espoo,217493,161106,431,0,222,2062,0,410,5843,12123,4596,59143,133,27106,20137,17422,59,1028,223,116,184,4375,5021,73,0,303,16,72,8,0,0,0,0,0,0,0,0,0,0
FI_078,Hanko,7316,4525,38,0,3,13,0,14,186,1240,126,483,4,1277,746,152,1,17,7,0,9,68,125,0,0,11,0,1,4,0,0,0,0,0,0,0,0,0,0
FI_106,Hyvinkää,38142,25674,99,0,28,118,0,97,1305,259,1130,5411,27,6435,6360,1427,4,285,50,21,29,1492,975,12,0,92,1,14,3,0,0,0,0,0,0,0,0,0,0
FI_149,Inkoo,4548,3511,10,0,1,10,0,4,67,1960,47,386,1,384,373,114,2,26,5,3,11,31,68,2,0,3,0,1,2,0,0,0,0,0,0,0,0,0,0
FI_186,Järvenpää,36086,25494,83,0,27,170,0,67,1310,301,1020,5926,16,6282,5428,1858,5,194,48,17,35,1531,1072,15,0,70,3,15,1,0,0,0,0,0,0,0,0,0,0
FI_224,Karkkila,6839,4485,23,0,2,14,0,13,855,44,168,694,4,787,1147,156,2,58,8,0,4,351,132,1,0,15,1,3,3,0,0,0,0,0,0,0,0,0,0
FI_235,Kauniainen,8377,6678,29,0,4,39,0,4,110,1983,119,2612,3,540,528,381,1,24,6,3,3,112,164,1,0,10,0,2,0,0,0,0,0,0,0,0,0,0,0
FI_245,Kerava,28401,19873,69,0,26,144,0,76,1620,273,776,4464,12,4417,4311,1479,10,157,24,9,23,1157,744,15,0,55,1,10,1,0,0,0,0,0,0,0,0,0,0
FI_257,Kirkkonummi,30475,22703,66,0,13,140,0,55,707,4003,753,5489,8,3394,4090,2329,5,206,42,12,36,645,633,11,0,47,5,13,1,0,0,0,0,0,0,0,0,0,0
FI_407,Lapinjärvi,2112,1350,7,0,0,6,0,2,25,370,37,185,4,165,272,56,0,9,2,1,6,158,34,0,0,10,0,0,1,0,0,0,0,0,0,0,0,0,0
FI_444,Lohja,36983,25118,106,0,10,112,0,74,1368,786,1009,4637,14,6262,5695,1153,8,311,50,11,57,1777,1577,10,0,66,4,12,9,0,0,0,0,0,0,0,0,0,0
FI_434,Loviisa,12728,8321,34,0,3,21,0,13,281,3382,281,807,11,1440,1252,242,2,82,6,3,13,268,153,2,0,21,0,2,2,0,0,0,0,0,0,0,0,0,0
FI_504,Myrskylä,1477,1003,4,0,1,1,0,5,21,69,26,291,0,129,259,29,0,11,1,0,1,123,27,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_505,Mäntsälä,15968,11230,63,0,9,43,0,41,360,122,434,2300,5,2076,3369,436,2,132,11,15,21,1324,422,4,0,32,0,7,2,0,0,0,0,0,0,0,0,0,0
FI_543,Nurmijärvi,33068,24153,80,0,17,111,0,96,710,343,1189,6235,12,4153,6076,1354,7,267,39,13,31,2270,1042,15,0,70,3,18,2,0,0,0,0,0,0,0,0,0,0
FI_611,Pornainen,3836,2860,19,0,3,12,0,11,76,43,137,491,1,541,925,104,0,27,4,1,5,358,90,3,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0
FI_638,Porvoo,41033,28588,85,0,24,125,0,55,1369,7036,1221,5202,17,5605,4142,1496,2,226,57,22,63,1054,709,11,0,54,3,6,4,0,0,0,0,0,0,0,0,0,0
FI_616,Pukkila,1463,979,4,0,0,2,0,0,22,11,41,181,3,120,305,35,1,13,0,2,2,215,16,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_710,Raasepori,24205,15565,83,0,6,29,0,40,506,7098,386,1007,10,4004,1212,564,8,132,22,9,17,188,196,2,0,24,1,8,13,0,0,0,0,0,0,0,0,0,0
FI_753,Sipoo,17567,13120,30,0,16,58,0,28,361,2858,739,3517,17,1619,2070,777,1,141,23,13,12,431,373,2,0,27,2,5,0,0,0,0,0,0,0,0,0,0,0
FI_755,Siuntio,4870,3506,8,0,5,19,0,9,99,985,139,591,1,542,656,191,0,29,1,0,5,132,84,0,0,8,0,2,0,0,0,0,0,0,0,0,0,0,0
FI_858,Tuusula,31036,22972,105,0,31,142,0,92,865,328,974,5721,13,3974,5651,1240,10,227,31,13,25,2550,884,12,0,64,1,15,4,0,0,0,0,0,0,0,0,0,0
FI_092,Vantaa,171166,115876,397,0,191,952,0,482,6961,2951,4997,28332,109,27425,23048,9330,40,1062,231,106,162,4313,4352,47,0,310,14,52,12,0,0,0,0,0,0,0,0,0,0
FI_927,Vihti,22306,15979,51,0,15,80,0,47,646,317,648,3559,8,3265,3847,819,11,151,27,13,15,1640,760,8,0,41,1,8,2,0,0,0,0,0,0,0,0,0,0
FI_019,Aura,3065,2259,14,0,0,4,0,5,181,14,60,501,1,321,657,71,0,21,4,0,3,316,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_202,Kaarina,27943,21134,65,0,0,66,0,54,1986,783,493,6086,5,3891,4042,1819,0,143,36,0,21,920,705,0,0,18,0,0,0,1,0,0,0,0,0,0,0,0,0
