gisco_id,name,registered,turnout,invalid,blank,M11,SKP,PP,KaL,PS,KA,KD,SR,Vas,VIHR,SFP,Kesk.,Kok,SDP,Ilmarinen
FI_091,Helsinki,516194,250821,1164,0,605,834,2674,701,23692,298,8215,94,29908,49325,17186,16784,69893,29310,138
FI_018,Askola,3765,1398,5,0,6,3,6,9,238,3,50,1,83,77,21,440,321,135,0
FI_049,Espoo,193661,98753,340,0,225,181,1089,240,9702,143,3869,57,4880,13382,8505,7985,38839,9286,30
FI_078,Hanko,8026,3004,20,0,12,15,16,6,317,3,110,1,235,136,1057,168,472,435,1
FI_106,Hyvinkää,37213,13515,78,0,42,73,98,49,2029,27,816,15,1359,1133,190,1880,3541,2176,9
FI_149,Inkoo,4518,2306,11,0,5,3,13,8,148,0,48,2,88,167,1208,99,338,168,0
FI_186,Järvenpää,31538,13043,63,0,46,58,105,23,1956,54,707,4,1113,1535,190,1812,3485,1884,8
FI_224,Karkkila,7137,2549,17,0,8,17,17,6,428,5,82,1,464,195,31,380,527,371,0
FI_235,Kauniainen,7443,4873,10,0,6,5,15,8,223,3,135,2,93,340,1773,280,1799,181,0
FI_245,Kerava,27224,11647,57,0,39,36,73,24,1889,21,602,8,1159,1250,174,1428,2978,1903,6
FI_257,Kirkkonummi,27632,12994,52,0,30,22,65,36,1497,22,506,8,776,1438,2441,1138,3742,1220,1
FI_407,Lapinjärvi,2375,934,2,0,4,2,4,1,71,1,27,1,35,50,347,190,123,76,0
FI_444,Lohja,37453,14090,89,0,52,44,85,56,2331,25,790,10,1333,1088,445,2138,3300,2295,9
FI_434,Loviisa,13167,5294,27,0,14,9,23,23,515,8,126,0,286,228,2275,387,740,631,2
FI_504,Myrskylä,1645,640,4,0,2,5,1,2,94,0,32,2,14,25,78,196,131,54,0
FI_505,Mäntsälä,15273,5237,30,0,16,13,21,20,834,10,281,3,320,346,60,1330,1322,629,2
FI_543,Nurmijärvi,30036,11990,73,0,32,30,65,34,1964,19,599,15,742,1030,159,2234,3573,1419,2
FI_611,Pornainen,3648,1383,6,0,1,4,6,4,242,2,37,0,74,100,23,375,298,210,1
FI_638,Porvoo,39358,16640,87,0,37,43,68,48,1753,21,554,4,1009,1313,4661,1370,3812,1853,7
FI_616,Pukkila,1551,574,3,0,2,3,2,2,95,3,12,1,29,35,9,233,110,35,0
FI_710,Raasepori,24542,10245,85,0,23,28,47,28,460,12,272,7,606,607,5577,330,1073,1088,2
FI_753,Sipoo,14554,6852,22,0,12,24,33,14,634,9,276,6,325,584,2383,556,1455,514,5
FI_755,Siuntio,4634,2109,12,0,7,3,11,5,262,4,70,0,106,214,606,159,461,188,1
FI_858,Tuusula,28766,12186,64,0,39,40,71,34,1932,29,552,12,764,1055,232,2304,3534,1517,7
FI_092,Vantaa,155070,62243,328,0,239,202,510,230,9277,124,3102,52,5498,7180,2099,6195,16927,10257,23
FI_927,Vihti,21729,8705,43,0,21,12,44,30,1241,25,478,10,627,815,186,1578,2393,1199,3
FI_019,Aura,2996,1136,3,0,5,3,5,4,220,1,52,1,125,47,10,280,238,139,3
FI_202,Kaarina,24585,10448,49,0,29,52,53,32,1454,9,536,8,1035,821,459,1255,3286,1370,0
FI_322,Kemiönsaari,6524,2569,18,0,4,4,10,3,91,3,33,3,226,103,1538,113,184,235,1
FI_284,Koski Tl,1956,772,8,0,1,1,3,1,86,0,23,0,33,29,5,399,138,45,0
FI_304,Kustavi,783,354,3,0,0,2,2,1,40,1,16,0,21,17,5,78,130,38,0
FI_400,Laitila,6748,2007,12,0,9,3,4,19,261,4,128,4,94,53,13,779,377,246,1
FI_423,Lieto,12889,5410,22,0,11,23,30,14,758,6,354,5,521,383,85,919,1671,608,0
FI_430,Loimaa,13778,4955,27,0,20,33,21,10,657,5,187,5,579,214,31,1729,1057,380,0
FI_480,Marttila,1658,694,5,0,2,0,2,2,114,3,23,0,26,10,8,321,137,41,0
FI_481,Masku,7170,2754,17,0,16,6,12,11,457,4,110,1,222,145,41,566,769,377,0
FI_503,Mynämäki,6383,2252,10,0,5,9,8,8,347,5,94,1,216,106,33,737,417,256,0
FI_529,Naantali,15412,6734,40,0,11,21,20,16,833,14,305,4,563,441,146,948,2373,998,1
FI_538,Nousiainen,3639,1423,8,0,3,6,9,8,276,4,73,1,140,49,7,406,282,151,0
FI_561,Oripää,1059,377,1,0,4,1,1,1,45,0,15,0,34,19,3,150,69,34,0
FI_577,Paimio,8235,3305,17,0,7,22,13,9,382,7,431,0,259,198,34,706,806,414,0
FI_445,Pargas,13391,5753,12,0,11,12,31,15,303,6,123,7,379,300,3139,302,762,350,1
FI_631,Pyhäranta,1759,593,6,0,4,3,5,3,119,2,46,1,17,22,4,162,108,91,0
FI_636,Pöytyä,6698,2561,21,0,7,6,6,6,398,0,154,1,188,88,15,882,571,217,1
FI_680,Raisio,19460,7352,29,0,12,31,42,14,1101,14,406,2,959,436,148,887,1923,1345,3
FI_704,Rusko,4512,1873,8,0,8,8,9,5,299,0,62,0,175,128,18,430,499,224,0
FI_734,Salo,43208,14547,88,0,26,29,62,36,2166,35,760,10,1057,817,223,3224,3727,2282,5
