gisco_id,name,registered,turnout,invalid,blank,LO,LCR,EXG,PCF,PS,LÉ,PR,ECO,CPNT,DIV,LR,RPF,MPF,RN,MNR,PRG,REG,DVG,UDF,DVD,EXD,DL
FR_01001,LAbergement-Clémenciat,568,356,7,0,3,9,0,3,94,2,3,10,8,1,154,2,3,54,3,0,0,0,0,0,0,0
FR_01002,LAbergement-de-Varey,195,151,0,0,1,1,0,2,27,18,3,1,8,0,55,0,1,33,1,0,0,0,0,0,0,0
FR_01004,Ambérieu-en-Bugey,7297,4242,77,0,71,53,0,222,1011,273,106,41,44,11,1526,0,51,664,92,0,0,0,0,0,0,0
FR_01005,Ambérieux-en-Dombes,909,573,7,0,7,7,5,4,130,12,6,8,33,0,228,3,3,114,6,0,0,0,0,0,0,0
FR_01006,Ambléon,93,67,1,0,1,0,0,1,0,3,1,0,17,1,20,0,0,8,0,14,0,0,0,0,0,0
FR_01007,Ambronay,1508,981,22,0,10,5,0,45,211,49,24,11,50,1,319,0,16,201,17,0,0,0,0,0,0,0
FR_01008,Ambutrix,454,302,5,0,3,0,0,9,75,29,11,4,9,1,107,0,0,44,5,0,0,0,0,0,0,0
FR_01009,Andert-et-Condon,250,168,5,0,6,0,0,3,0,15,14,1,20,1,65,0,0,15,3,20,0,0,0,0,0,0
FR_01010,Anglefort,549,359,11,0,6,0,4,39,0,14,26,2,9,1,106,0,0,72,3,66,0,0,0,0,0,0
FR_01011,Apremont,267,178,9,0,1,0,0,5,18,7,0,3,7,1,95,0,6,12,14,0,0,0,0,0,0,0
FR_01012,Aranc,269,191,2,0,0,0,0,5,0,13,83,2,6,0,57,0,0,15,0,8,0,0,0,0,0,0
FR_01013,Arandas,141,107,5,0,1,0,0,0,0,3,7,1,5,0,43,0,0,30,0,12,0,0,0,0,0,0
FR_01014,Arbent,1746,1061,21,0,14,5,0,42,207,28,20,18,6,4,463,0,24,144,65,0,0,0,0,0,0,0
FR_01015,Arbignieu,359,264,4,0,3,0,1,5,0,11,16,4,23,1,124,0,0,18,4,48,2,0,0,0,0,0
FR_01016,Arbigny,295,163,2,0,3,3,0,1,28,0,4,1,5,1,93,1,0,17,4,0,0,0,0,0,0,0
FR_01017,Argis,257,171,6,0,1,0,1,12,0,1,12,2,7,0,62,0,0,25,7,35,0,0,0,0,0,0
FR_01019,Armix,34,27,0,0,0,0,0,0,0,0,4,1,6,0,6,0,0,3,0,7,0,0,0,0,0,0
FR_01021,Ars-sur-Formans,786,529,6,0,2,6,2,7,106,4,4,10,2,3,290,7,4,70,6,0,0,0,0,0,0,0
FR_01022,Artemare,734,443,11,0,7,0,4,12,0,20,47,6,15,3,204,0,0,61,1,52,0,0,0,0,0,0
