gisco_id,name,registered,turnout,invalid,blank,EXG,FG,PRG,LÉ,ECO,LR,DVD,RN,PS,PRV,DVG,MoDem,EXD,NC (2007),AC,DIV,REG
FR_01001,LAbergement-Clémenciat,595,370,6,0,5,15,126,8,6,129,4,71,0,0,0,0,0,0,0,0,0
FR_01002,LAbergement-de-Varey,216,138,5,0,2,12,0,0,4,42,5,15,46,7,0,0,0,0,0,0,0
FR_01004,Ambérieu-en-Bugey,8200,4457,57,0,52,350,0,0,104,1448,45,757,1499,145,0,0,0,0,0,0,0
FR_01005,Ambérieux-en-Dombes,1152,658,3,0,3,12,209,12,3,232,10,174,0,0,0,0,0,0,0,0,0
FR_01006,Ambléon,105,65,0,0,0,5,0,7,1,27,2,9,14,0,0,0,0,0,0,0,0
FR_01007,Ambronay,1705,1058,17,0,14,86,0,0,28,331,12,214,337,19,0,0,0,0,0,0,0
FR_01008,Ambutrix,549,339,1,0,2,21,0,57,1,135,0,45,0,0,68,9,0,0,0,0,0
FR_01009,Andert-et-Condon,269,162,1,0,1,8,0,3,1,66,4,25,53,0,0,0,0,0,0,0,0
FR_01010,Anglefort,682,414,3,0,5,21,0,8,1,124,9,90,153,0,0,0,0,0,0,0,0
FR_01011,Apremont,257,167,1,0,1,11,0,0,6,58,0,25,39,26,0,0,0,0,0,0,0
FR_01012,Aranc,282,176,3,0,1,33,0,0,4,44,1,25,57,8,0,0,0,0,0,0,0
FR_01013,Arandas,140,98,2,0,1,0,0,0,5,45,0,19,25,1,0,0,0,0,0,0,0
FR_01014,Arbent,2167,1152,8,0,9,66,0,0,15,367,9,162,336,180,0,0,0,0,0,0,0
FR_01015,Arbignieu,388,273,3,0,2,14,0,9,4,102,2,38,99,0,0,0,0,0,0,0,0
FR_01016,Arbigny,309,157,4,0,0,4,0,5,0,72,3,27,42,0,0,0,0,0,0,0,0
FR_01017,Argis,298,218,6,0,8,18,0,0,6,55,3,49,70,3,0,0,0,0,0,0,0
FR_01019,Armix,37,30,0,0,0,0,0,0,4,8,0,4,14,0,0,0,0,0,0,0,0
FR_01021,Ars-sur-Formans,897,594,10,0,0,11,0,37,9,266,0,131,0,0,110,20,0,0,0,0,0
FR_01022,Artemare,811,463,12,0,10,25,0,0,15,176,6,81,131,7,0,0,0,0,0,0,0
FR_01023,Asnières-sur-Saône,48,38,0,0,0,0,10,0,0,20,0,8,0,0,0,0,0,0,0,0,0
FR_01024,Attignat,2057,1210,7,0,2,46,0,18,6,497,16,205,413,0,0,0,0,0,0,0,0
FR_01025,Bâgé-la-Ville,2125,1246,21,0,9,42,434,29,5,463,14,229,0,0,0,0,0,0,0,0,0
FR_01026,Bâgé-le-Châtel,562,339,6,0,0,9,110,7,2,163,8,34,0,0,0,0,0,0,0,0,0
FR_01027,Balan,1075,643,6,0,4,16,0,47,3,241,0,170,0,0,147,9,0,0,0,0,0
FR_01028,Baneins,437,241,2,0,0,1,92,5,1,81,2,57,0,0,0,0,0,0,0,0,0
FR_01029,Beaupont,411,247,3,0,1,8,0,4,2,78,1,49,101,0,0,0,0,0,0,0,0
FR_01030,Beauregard,521,280,4,0,4,17,0,23,3,92,0,61,0,0,65,11,0,0,0,0,0
