gisco_id,name,registered,turnout,invalid,blank,EXG,PCF,LFI,PS,ECO,DIV,MoDem,LR,RN,DLF,DVG,RE,PRG,UDI,EXD,DVD,REG
FR_01016,Arbigny,317,157,1,10,2,2,12,3,6,2,48,45,26,0,0,0,0,0,0,0,0
FR_01024,Attignat,2325,1059,1,10,3,13,85,84,15,6,384,306,152,0,0,0,0,0,0,0,0
FR_01029,Beaupont,429,202,2,3,0,2,15,8,3,2,64,56,47,0,0,0,0,0,0,0,0
FR_01038,Bény,575,285,1,5,2,5,26,18,1,0,94,93,40,0,0,0,0,0,0,0,0
FR_01040,Béréziat,346,150,2,0,2,6,21,12,1,1,42,33,30,0,0,0,0,0,0,0,0
FR_01050,Boissey,248,121,1,2,0,0,4,3,3,1,31,40,36,0,0,0,0,0,0,0,0
FR_01053,Bourg-en-Bresse,23694,10770,42,126,83,186,1176,1085,228,161,2381,2098,1139,57,0,1303,461,244,0,0,0
FR_01057,Boz,392,186,0,4,4,2,16,7,1,3,68,31,50,0,0,0,0,0,0,0,0
FR_01065,Buellas,1328,669,5,9,3,10,50,53,4,7,280,158,90,0,0,0,0,0,0,0,0
FR_01069,Certines,1084,544,1,8,3,12,62,40,10,3,200,105,100,0,0,0,0,0,0,0,0
FR_01072,Ceyzériat,2255,1191,2,9,6,13,142,95,24,8,388,401,103,0,0,0,0,0,0,0,0
FR_01094,Chavannes-sur-Reyssouze,556,248,2,2,1,5,15,10,2,7,96,50,58,0,0,0,0,0,0,0,0
FR_01095,Nivigne et Suran,560,340,2,4,1,8,47,30,2,6,119,62,59,0,0,0,0,0,0,0,0
FR_01102,Chevroux,650,303,0,5,2,5,24,12,5,5,96,85,64,0,0,0,0,0,0,0,0
FR_01106,Cize,133,73,0,2,0,4,7,9,2,0,10,23,16,0,0,0,0,0,0,0,0
FR_01108,Coligny,888,451,0,5,2,3,35,42,4,4,144,131,81,0,0,0,0,0,0,0,0
FR_01115,Confrançon,890,394,1,4,2,5,44,35,10,3,131,74,85,0,0,0,0,0,0,0,0
FR_01124,Cormoz,539,273,1,7,7,9,22,19,4,4,70,74,56,0,0,0,0,0,0,0,0
FR_01125,Corveissiat,451,232,1,6,2,1,36,31,6,5,54,46,44,0,0,0,0,0,0,0,0
FR_01127,Courmangoux,391,205,1,5,1,1,24,13,3,1,71,53,32,0,0,0,0,0,0,0,0
FR_01128,Courtes,215,101,0,1,0,0,9,12,1,0,31,27,20,0,0,0,0,0,0,0,0
FR_01130,Cras-sur-Reyssouze,1041,507,1,3,2,6,37,46,3,4,208,112,85,0,0,0,0,0,0,0,0
FR_01139,Curciat-Dongalon,325,157,1,1,1,2,15,7,2,2,43,48,35,0,0,0,0,0,0,0,0
FR_01140,Curtafond,541,313,1,6,1,4,30,17,5,2,93,89,65,0,0,0,0,0,0,0,0
FR_01145,Dompierre-sur-Veyle,834,415,1,3,2,4,45,23,3,18,126,90,100,0,0,0,0,0,0,0,0
FR_01147,Domsure,363,192,0,1,0,2,17,15,2,2,57,52,44,0,0,0,0,0,0,0,0
FR_01150,Drom,170,110,0,2,0,3,22,23,4,0,21,27,8,0,0,0,0,0,0,0,0
FR_01151,Druillat,857,410,2,5,8,11,33,27,6,6,131,96,85,0,0,0,0,0,0,0,0
FR_01154,Étrez,574,288,0,9,4,7,28,24,1,6,80,88,41,0,0,0,0,0,0,0,0
FR_01163,Foissiat,1501,662,5,11,4,4,39,30,5,4,214,244,102,0,0,0,0,0,0,0,0
FR_01175,Gorrevod,612,282,0,8,0,15,28,5,6,2,89,70,59,0,0,0,0,0,0,0,0
FR_01177,Grand-Corent,146,86,0,0,1,0,20,17,0,1,20,21,6,0,0,0,0,0,0,0,0
FR_01184,Hautecourt-Romanèche,588,318,1,4,1,4,30,34,3,7,96,101,37,0,0,0,0,0,0,0,0
FR_01195,Jasseron,1199,668,2,8,2,10,52,63,10,11,269,144,97,0,0,0,0,0,0,0,0
FR_01196,Jayat,796,372,2,8,5,14,19,25,11,3,86,109,90,0,0,0,0,0,0,0,0
FR_01197,Journans,270,156,0,1,5,10,21,29,3,2,41,29,15,0,0,0,0,0,0,0,0
FR_01212,Lescheroux,547,264,0,6,4,10,22,12,2,3,47,94,64,0,0,0,0,0,0,0,0
FR_01229,Malafretaz,833,425,3,6,4,8,24,24,10,5,156,119,66,0,0,0,0,0,0,0,0
FR_01230,Mantenay-Montlin,231,131,2,0,0,1,16,5,3,0,34,42,28,0,0,0,0,0,0,0,0
FR_01232,Marboz,1687,837,2,12,6,9,71,61,13,12,281,259,111,0,0,0,0,0,0,0,0
FR_01236,Marsonnas,731,336,1,5,5,6,34,22,5,7,121,85,45,0,0,0,0,0,0,0,0
FR_01241,Meillonnas,977,545,1,5,0,9,71,56,9,10,211,112,61,0,0,0,0,0,0,0,0
FR_01245,Bohas-Meyriat-Rignat,718,383,0,3,3,6,45,31,5,4,142,94,50,0,0,0,0,0,0,0,0
FR_01259,Montcet,449,205,0,2,1,2,15,19,5,1,76,52,32,0,0,0,0,0,0,0,0
FR_01266,Montrevel-en-Bresse,1819,886,5,16,6,14,66,74,10,8,292,262,133,0,0,0,0,0,0,0,0
FR_01273,Neuville-sur-Ain,1232,555,0,10,8,10,89,38,11,9,176,92,112,0,0,0,0,0,0,0,0
FR_01284,Ozan,482,237,3,4,4,1,17,15,1,3,83,60,46,0,0,0,0,0,0,0,0
FR_01296,Pirajoux,285,122,3,1,1,2,11,7,2,5,25,41,24,0,0,0,0,0,0,0,0
FR_01301,Polliat,1909,1029,8,9,10,10,82,83,11,11,342,316,147,0,0,0,0,0,0,0,0
FR_01304,Pont-dAin,1800,810,5,11,6,12,98,43,8,8,274,175,170,0,0,0,0,0,0,0,0
FR_01305,Pont-de-Vaux,1486,671,2,12,3,15,66,24,11,10,225,197,106,0,0,0,0,0,0,0,0
FR_01309,Pouillat,71,34,0,0,0,0,4,2,1,0,10,7,10,0,0,0,0,0,0,0,0
FR_01314,Priay,1174,584,3,9,6,11,73,27,5,8,192,113,137,0,0,0,0,0,0,0,0
FR_01317,Ramasse,228,132,0,1,1,0,5,20,4,2,42,26,31,0,0,0,0,0,0,0,0
FR_01321,Revonnas,654,360,0,1,1,5,44,41,8,4,122,89,45,0,0,0,0,0,0,0,0
FR_01323,Reyssouze,735,325,4,0,3,7,35,16,11,5,122,67,55,0,0,0,0,0,0,0,0
FR_01337,Saint-Bénigne,956,462,2,8,7,8,34,29,14,6,178,97,79,0,0,0,0,0,0,0,0
FR_01344,Saint-Denis-lès-Bourg,4535,2409,12,28,18,49,208,272,24,17,943,594,244,0,0,0,0,0,0,0,0
FR_01346,Saint-Didier-dAussiat,606,322,2,4,2,5,29,15,7,10,100,83,65,0,0,0,0,0,0,0,0
FR_01350,Saint-Étienne-du-Bois,1872,1006,8,17,4,5,74,68,14,8,353,309,146,0,0,0,0,0,0,0,0
FR_01352,Saint-Étienne-sur-Reyssouze,390,182,1,4,1,3,17,12,3,2,57,44,38,0,0,0,0,0,0,0,0
FR_01364,Saint-Jean-sur-Reyssouze,551,250,1,7,2,4,26,12,6,4,55,82,51,0,0,0,0,0,0,0,0
FR_01367,Saint-Julien-sur-Reyssouze,427,227,1,1,5,8,21,9,1,3,55,82,41,0,0,0,0,0,0,0,0
FR_01374,Saint-Martin-du-Mont,1326,675,0,8,3,15,67,56,13,3,248,165,97,0,0,0,0,0,0,0,0
FR_01375,Saint-Martin-le-Châtel,607,287,4,5,0,3,18,22,2,2,102,73,56,0,0,0,0,0,0,0,0
FR_01380,Saint-Nizier-le-Bouchoux,505,250,2,2,0,4,12,11,2,3,76,102,36,0,0,0,0,0,0,0,0
FR_01387,Saint-Sulpice,151,78,1,1,0,2,10,2,2,1,22,24,13,0,0,0,0,0,0,0,0
FR_01388,Saint-Trivier-de-Courtes,717,361,2,10,2,3,12,16,7,5,126,120,58,0,0,0,0,0,0,0,0
FR_01391,Salavre,241,130,0,1,0,4,13,3,0,0,36,40,33,0,0,0,0,0,0,0,0
FR_01402,Sermoyer,478,223,0,1,3,4,26,23,1,3,73,47,42,0,0,0,0,0,0,0,0
FR_01406,Servignat,125,65,1,1,2,0,14,1,0,3,11,20,12,0,0,0,0,0,0,0,0
FR_01408,Simandre-sur-Suran,506,259,1,4,3,4,36,23,0,3,75,61,49,0,0,0,0,0,0,0,0
