gisco_id,name,registered,turnout,invalid,blank,NUPES,LR,ENS,RN,DVD,DVG,REG,DVC,UDI,DSV,DXG,DIV
FR_01016,Arbigny,327,155,5,4,43,103,0,0,0,0,0,0,0,0,0,0
FR_01024,Attignat,2455,1153,10,43,359,741,0,0,0,0,0,0,0,0,0,0
FR_01029,Beaupont,446,207,2,10,67,128,0,0,0,0,0,0,0,0,0,0
FR_01038,Bény,604,287,6,6,108,167,0,0,0,0,0,0,0,0,0,0
FR_01040,Béréziat,362,166,1,3,53,109,0,0,0,0,0,0,0,0,0,0
FR_01050,Boissey,262,114,1,9,28,76,0,0,0,0,0,0,0,0,0,0
FR_01053,Bourg-en-Bresse,23357,10339,195,615,4737,3578,0,1214,0,0,0,0,0,0,0,0
FR_01057,Boz,391,154,5,8,58,83,0,0,0,0,0,0,0,0,0,0
FR_01065,Buellas,1409,718,7,24,230,457,0,0,0,0,0,0,0,0,0,0
FR_01069,Certines,1169,517,5,18,196,298,0,0,0,0,0,0,0,0,0,0
FR_01072,Ceyzériat,2418,1262,19,42,417,784,0,0,0,0,0,0,0,0,0,0
FR_01094,Chavannes-sur-Reyssouze,561,257,11,13,70,163,0,0,0,0,0,0,0,0,0,0
FR_01095,Nivigne et Suran,590,320,1,17,144,158,0,0,0,0,0,0,0,0,0,0
FR_01102,Chevroux,699,286,7,13,81,185,0,0,0,0,0,0,0,0,0,0
FR_01106,Cize,140,69,2,4,24,39,0,0,0,0,0,0,0,0,0,0
FR_01108,Coligny,924,444,4,27,150,263,0,0,0,0,0,0,0,0,0,0
FR_01115,Confrançon,943,406,7,16,136,247,0,0,0,0,0,0,0,0,0,0
FR_01124,Cormoz,518,226,2,7,46,171,0,0,0,0,0,0,0,0,0,0
FR_01125,Corveissiat,442,251,4,5,110,132,0,0,0,0,0,0,0,0,0,0
FR_01127,Courmangoux,388,231,2,9,78,142,0,0,0,0,0,0,0,0,0,0
FR_01128,Courtes,220,93,0,3,34,56,0,0,0,0,0,0,0,0,0,0
FR_01130,Bresse Vallons,1741,780,3,35,237,505,0,0,0,0,0,0,0,0,0,0
FR_01139,Curciat-Dongalon,325,176,3,11,45,117,0,0,0,0,0,0,0,0,0,0
FR_01140,Curtafond,562,326,4,16,93,213,0,0,0,0,0,0,0,0,0,0
FR_01145,Dompierre-sur-Veyle,893,405,17,25,106,257,0,0,0,0,0,0,0,0,0,0
FR_01147,Domsure,407,182,0,13,34,135,0,0,0,0,0,0,0,0,0,0
FR_01150,Drom,182,113,1,8,52,52,0,0,0,0,0,0,0,0,0,0
FR_01151,Druillat,890,425,5,12,141,267,0,0,0,0,0,0,0,0,0,0
FR_01163,Foissiat,1595,688,7,9,177,495,0,0,0,0,0,0,0,0,0,0
FR_01175,Gorrevod,655,313,12,17,107,177,0,0,0,0,0,0,0,0,0,0
FR_01177,Grand-Corent,162,102,0,2,58,42,0,0,0,0,0,0,0,0,0,0
FR_01184,Hautecourt-Romanèche,644,314,5,15,133,161,0,0,0,0,0,0,0,0,0,0
FR_01195,Jasseron,1359,713,8,32,248,425,0,0,0,0,0,0,0,0,0,0
FR_01196,Jayat,890,357,6,13,106,232,0,0,0,0,0,0,0,0,0,0
FR_01197,Journans,285,166,0,8,90,68,0,0,0,0,0,0,0,0,0,0
FR_01212,Lescheroux,560,246,2,18,66,160,0,0,0,0,0,0,0,0,0,0
FR_01229,Malafretaz,931,418,4,17,127,270,0,0,0,0,0,0,0,0,0,0
FR_01230,Mantenay-Montlin,263,137,1,4,40,92,0,0,0,0,0,0,0,0,0,0
FR_01232,Marboz,1740,831,4,34,238,555,0,0,0,0,0,0,0,0,0,0
FR_01236,Marsonnas,751,329,8,19,101,201,0,0,0,0,0,0,0,0,0,0
FR_01241,Meillonnas,1060,562,5,27,222,308,0,0,0,0,0,0,0,0,0,0
