gisco_id,name,registered,turnout,invalid,blank,ENS,RN,NFP,UXD,LR,DVD,DVG,HOR,DVC,REG,UDI,EXD,DIV,ECO,DSV,LFI,PS
FR_01001,LAbergement-Clémenciat,662,494,4,14,203,273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FR_01002,LAbergement-de-Varey,228,187,4,17,0,0,93,73,0,0,0,0,0,0,0,0,0,0,0,0,0
FR_01004,Ambérieu-en-Bugey,8745,5887,136,403,0,0,2606,2742,0,0,0,0,0,0,0,0,0,0,0,0,0
FR_01005,Ambérieux-en-Dombes,1337,979,7,46,388,538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FR_01006,Ambléon,98,65,0,6,32,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FR_01007,Ambronay,2076,1518,43,137,0,0,534,804,0,0,0,0,0,0,0,0,0,0,0,0,0
FR_01008,Ambutrix,568,413,3,8,204,198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FR_01009,Andert-et-Condon,287,209,1,12,110,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FR_01010,Anglefort,827,558,7,18,238,295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FR_01011,Apremont,296,229,3,20,0,0,70,136,0,0,0,0,0,0,0,0,0,0,0,0,0
FR_01012,Aranc,299,218,3,23,0,0,92,100,0,0,0,0,0,0,0,0,0,0,0,0,0
FR_01013,Arandas,125,99,2,7,0,0,25,65,0,0,0,0,0,0,0,0,0,0,0,0,0
FR_01014,Arbent,2253,1481,17,134,0,0,634,696,0,0,0,0,0,0,0,0,0,0,0,0,0
FR_01015,Arboys en Bugey,562,395,7,20,209,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FR_01016,Arbigny,332,239,1,8,0,122,0,0,108,0,0,0,0,0,0,0,0,0,0,0,0
FR_01017,Argis,324,221,6,18,0,0,75,122,0,0,0,0,0,0,0,0,0,0,0,0,0
FR_01019,Armix,37,31,1,3,0,0,13,14,0,0,0,0,0,0,0,0,0,0,0,0,0
FR_01021,Ars-sur-Formans,1088,843,1,28,423,391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FR_01022,Artemare,898,600,13,55,0,0,169,363,0,0,0,0,0,0,0,0,0,0,0,0,0
FR_01023,Asnières-sur-Saône,61,52,0,0,13,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FR_01024,Attignat,2486,1816,7,44,0,806,0,0,959,0,0,0,0,0,0,0,0,0,0,0,0
FR_01025,Bâgé-Dommartin,3176,2204,28,80,961,1135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FR_01026,Bâgé-le-Châtel,635,430,4,18,215,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FR_01027,Balan,1318,952,6,38,448,460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FR_01028,Baneins,432,311,2,18,117,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FR_01029,Beaupont,464,335,3,8,0,163,0,0,161,0,0,0,0,0,0,0,0,0,0,0,0
FR_01030,Beauregard,575,406,8,10,201,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FR_01031,Bellignat,1917,1221,32,98,0,0,510,581,0,0,0,0,0,0,0,0,0,0,0,0,0
FR_01032,Béligneux,2090,1400,8,57,651,684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FR_01033,Valserhône,9778,5835,60,200,3267,2308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FR_01034,Belley,6197,3980,52,161,2052,1715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FR_01035,Belleydoux,276,193,4,20,0,0,78,91,0,0,0,0,0,0,0,0,0,0,0,0,0
FR_01036,Valromey-sur-Séran,1101,776,32,54,0,0,341,349,0,0,0,0,0,0,0,0,0,0,0,0,0
FR_01037,Bénonces,235,162,2,17,0,0,55,88,0,0,0,0,0,0,0,0,0,0,0,0,0
FR_01038,Bény,600,462,5,14,0,206,0,0,237,0,0,0,0,0,0,0,0,0,0,0,0
FR_01040,Béréziat,378,281,1,4,0,151,0,0,125,0,0,0,0,0,0,0,0,0,0,0,0
FR_01041,Bettant,576,410,5,39,0,0,171,195,0,0,0,0,0,0,0,0,0,0,0,0,0
FR_01042,Bey,267,186,3,13,99,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FR_01043,Beynost,3879,2821,16,80,1711,1014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FR_01044,Billiat,447,272,2,16,112,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FR_01045,Birieux,208,166,2,1,61,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FR_01046,Biziat,657,467,6,23,175,263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FR_01047,Blyes,910,663,8,28,309,318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FR_01049,La Boisse,2408,1738,23,61,942,712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FR_01050,Boissey,254,188,0,7,0,104,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0
FR_01051,Bolozon,68,53,1,11,0,0,21,20,0,0,0,0,0,0,0,0,0,0,0,0,0
FR_01052,Bouligneux,272,213,3,8,80,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FR_01053,Bourg-en-Bresse,23103,14819,137,486,3148,4497,0,0,6551,0,0,0,0,0,0,0,0,0,0,0,0
FR_01054,Bourg-Saint-Christophe,1126,897,7,29,467,394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FR_01056,Boyeux-Saint-Jérôme,333,241,4,30,0,0,71,136,0,0,0,0,0,0,0,0,0,0,0,0,0
FR_01057,Boz,401,292,2,6,0,141,0,0,143,0,0,0,0,0,0,0,0,0,0,0,0
FR_01058,Brégnier-Cordon,681,449,6,22,196,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FR_01060,Brénod,416,321,9,40,0,0,83,189,0,0,0,0,0,0,0,0,0,0,0,0,0
FR_01061,Brens,980,708,11,19,307,371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FR_01062,Bressolles,732,550,1,25,302,222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FR_01063,Brion,428,315,10,47,0,0,84,174,0,0,0,0,0,0,0,0,0,0,0,0,0
FR_01064,Briord,854,541,5,38,0,0,160,338,0,0,0,0,0,0,0,0,0,0,0,0,0
FR_01065,Buellas,1420,1096,4,33,0,420,0,0,639,0,0,0,0,0,0,0,0,0,0,0,0
FR_01066,La Burbanche,92,74,2,5,0,0,25,42,0,0,0,0,0,0,0,0,0,0,0,0,0
FR_01067,Ceignes,204,159,15,6,0,0,43,95,0,0,0,0,0,0,0,0,0,0,0,0,0
FR_01068,Cerdon,575,376,27,6,0,0,107,236,0,0,0,0,0,0,0,0,0,0,0,0,0
FR_01069,Certines,1179,895,8,32,0,428,0,0,427,0,0,0,0,0,0,0,0,0,0,0,0
FR_01071,Cessy,2849,1974,9,59,1265,641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FR_01072,Ceyzériat,2511,1864,16,71,0,579,0,0,1198,0,0,0,0,0,0,0,0,0,0,0,0
FR_01073,Ceyzérieu,916,703,13,89,0,0,288,313,0,0,0,0,0,0,0,0,0,0,0,0,0
FR_01074,Chalamont,1702,1154,13,41,448,652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FR_01075,Chaleins,1046,776,4,32,338,402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FR_01076,Chaley,126,85,1,7,0,0,31,46,0,0,0,0,0,0,0,0,0,0,0,0,0
FR_01077,Challes,143,98,2,9,0,0,34,53,0,0,0,0,0,0,0,0,0,0,0,0,0
FR_01078,Challex,834,556,2,18,338,198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FR_01079,Champagne-en-Valromey,577,414,10,30,0,0,201,173,0,0,0,0,0,0,0,0,0,0,0,0,0
FR_01080,Champdor,546,385,12,38,0,0,136,199,0,0,0,0,0,0,0,0,0,0,0,0,0
FR_01081,Champfromier,536,373,6,22,182,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FR_01082,Chanay,385,269,8,23,109,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FR_01083,Chaneins,820,594,6,24,194,370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FR_01084,Chanoz-Châtenay,659,483,2,23,197,261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FR_01085,La Chapelle-du-Châtelard,306,232,2,11,78,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FR_01087,Charix,214,151,1,12,0,0,68,70,0,0,0,0,0,0,0,0,0,0,0,0,0
FR_01088,Charnoz-sur-Ain,793,595,1,17,250,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FR_01089,Château-Gaillard,1530,1121,22,100,0,0,389,610,0,0,0,0,0,0,0,0,0,0,0,0,0
FR_01090,Châtenay,284,219,3,12,85,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FR_01092,Châtillon-la-Palud,1289,938,7,39,404,488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FR_01093,Châtillon-sur-Chalaronne,3875,2596,24,114,1179,1279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FR_01094,Chavannes-sur-Reyssouze,570,393,5,15,0,216,0,0,157,0,0,0,0,0,0,0,0,0,0,0,0
FR_01095,Nivigne et Suran,573,435,4,18,0,182,0,0,231,0,0,0,0,0,0,0,0,0,0,0,0
FR_01096,Chaveyriat,805,560,7,23,226,304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FR_01098,Chazey-Bons,772,543,6,18,233,211,32,43,0,0,0,0,0,0,0,0,0,0,0,0,0
FR_01099,Chazey-sur-Ain,1272,938,6,38,442,452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FR_01100,Cheignieu-la-Balme,127,91,1,6,0,0,30,54,0,0,0,0,0,0,0,0,0,0,0,0,0
FR_01101,Chevillard,143,113,3,11,0,0,39,60,0,0,0,0,0,0,0,0,0,0,0,0,0
FR_01102,Chevroux,724,530,6,6,0,307,0,0,211,0,0,0,0,0,0,0,0,0,0,0,0
FR_01103,Chevry,1091,725,7,21,464,233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FR_01104,Chézery-Forens,361,264,0,8,135,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FR_01105,Civrieux,1433,1067,3,30,555,479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FR_01106,Cize,142,96,0,7,0,42,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0
FR_01107,Cleyzieu,120,85,0,11,0,0,26,48,0,0,0,0,0,0,0,0,0,0,0,0,0
FR_01108,Coligny,954,660,8,9,0,315,0,0,328,0,0,0,0,0,0,0,0,0,0,0,0
