gisco_id,name,registered,turnout,invalid,blank,LFI-PRG-GRS-MRC,AR,PI-SIEL,PP (2006),LREM-MoDem-Agir-MR-UDE-AC,DR [Démocratie représentative],LP (2017),PACE,GE-MEI-MDP-UDE,DF,UDI,PS-PP-ND-PRG,PFE,MIC,DLF,AE,D19,LO,PCF,UPR,G·s,AVE,RN,NEA,PRC,EDE,ÉC,AJ,LR-LC-CPNT,LÉ,PA,ACPLI,UDLEF,UDMF
FR_64001,Aast,171,106,2,3,6,0,0,0,20,0,1,0,2,0,4,7,0,0,2,0,0,0,0,1,10,0,15,0,0,0,0,1,15,13,3,1,0,0
FR_55001,Abainville,245,151,5,8,7,0,0,0,19,0,0,0,2,0,4,5,0,0,5,0,0,4,3,2,1,0,51,0,0,0,0,1,16,9,8,1,0,0
FR_59001,Abancourt,367,236,7,9,12,0,0,0,46,0,0,0,3,0,8,11,0,0,9,0,0,4,5,1,7,0,56,0,0,0,0,1,19,27,10,1,0,0
FR_60001,Abancourt,432,240,8,10,11,0,0,0,29,0,3,0,2,0,6,6,0,0,18,0,0,4,2,1,2,0,114,0,0,0,0,0,14,6,4,0,0,0
FR_54001,Abaucourt,233,128,7,4,6,0,0,0,10,0,2,0,1,0,2,13,0,0,12,0,0,1,5,2,3,0,41,0,0,0,0,0,7,9,3,0,0,0
FR_55002,Abaucourt-Hautecourt,84,52,4,1,5,0,0,0,8,0,1,0,0,0,0,2,0,0,6,0,0,0,2,0,0,0,16,0,0,0,0,0,4,3,0,0,0,0
FR_25001,Abbans-Dessous,185,115,2,1,11,0,0,0,14,0,0,0,1,0,2,6,0,0,9,0,0,1,1,3,3,0,26,0,0,0,0,0,8,26,0,1,0,0
FR_25002,Abbans-Dessus,285,170,5,2,11,0,0,0,25,0,1,0,10,0,5,11,0,0,11,0,0,0,0,1,6,0,27,0,0,0,0,2,18,31,4,0,0,0
FR_44001,Abbaretz,1461,710,35,46,46,0,0,0,139,0,9,0,14,0,26,36,1,0,24,0,0,8,4,4,20,0,117,0,0,0,0,4,63,100,10,4,0,0
FR_60002,Abbecourt,660,338,9,8,16,0,0,0,55,0,2,0,4,0,12,7,0,0,12,0,0,3,4,3,11,0,106,0,0,0,0,4,31,44,6,1,0,0
FR_25003,Abbenans,269,153,4,4,6,0,0,0,16,0,0,0,1,0,3,10,0,0,6,0,1,3,4,1,4,0,63,0,0,0,0,2,5,15,4,1,0,0
FR_80001,Abbeville,17670,8426,309,212,895,4,0,1,1586,0,62,15,114,1,168,331,0,9,284,3,0,64,144,60,194,10,2612,0,0,11,0,49,439,564,259,25,0,1
FR_60003,Abbeville-Saint-Lucien,449,259,12,8,12,0,0,0,39,0,0,0,8,0,10,6,0,0,6,0,0,2,3,3,8,0,93,0,0,0,0,0,24,18,7,0,0,0
FR_02001,Abbécourt,394,211,8,7,11,0,0,0,20,0,6,0,5,0,1,3,0,0,7,0,0,3,3,1,6,0,109,0,0,0,0,0,9,11,1,0,0,0
FR_91001,Abbéville-la-Rivière,212,131,1,3,2,0,0,0,12,0,0,0,7,0,3,1,0,0,9,0,0,0,3,5,0,0,46,0,0,1,0,1,22,6,8,1,0,0
FR_54002,Abbéville-lès-Conflans,186,111,1,5,9,0,0,1,22,0,1,0,0,0,2,9,0,0,8,0,0,0,3,2,6,0,20,0,0,0,0,2,9,10,1,0,0,0
FR_25004,Abbévillers,810,370,12,19,19,0,0,0,50,0,5,0,5,0,5,18,0,0,26,0,0,5,3,3,9,0,125,0,0,0,0,6,15,31,13,1,0,0
FR_34001,Abeilhan,1364,754,16,23,41,0,0,0,114,0,8,0,5,0,17,32,0,0,27,3,0,4,16,7,11,0,299,0,0,0,0,9,42,64,16,0,0,0
FR_70001,Abelcourt,245,143,12,3,2,0,0,0,15,0,0,0,6,0,4,4,0,0,5,0,0,0,2,0,2,0,62,0,0,2,0,0,13,8,3,0,0,0
FR_39001,Abergement-la-Ronce,625,350,9,7,24,0,0,1,42,0,1,0,7,0,5,21,0,0,28,3,0,6,6,5,10,0,113,0,0,0,0,2,26,25,9,0,0,0
FR_39002,Abergement-le-Grand,39,24,3,0,1,0,0,0,3,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,7,0,0,0,0,0,1,4,0,0,0,0
FR_39003,Abergement-le-Petit,39,32,0,0,3,0,0,0,11,0,0,0,4,0,2,0,0,0,0,0,0,2,0,0,2,0,3,0,0,0,0,0,1,4,0,0,0,0
FR_39004,Abergement-lès-Thésy,54,31,0,5,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,7,0,0,0,0,0,9,2,0,0,0,0
FR_FRZZCI,Citizens of France living in Côte d'Ivoire,11183,1338,10,6,57,0,0,1,503,0,3,1,38,0,27,99,0,0,37,0,0,1,12,22,33,0,137,0,0,0,0,4,126,205,13,3,0,0
FR_64003,Abidos,201,105,0,7,12,0,0,0,15,0,1,0,2,0,2,9,0,0,2,0,0,0,2,0,3,0,25,0,0,0,0,2,7,13,3,0,0,0
FR_37001,Abilly,824,448,18,16,29,0,0,0,76,0,8,0,6,0,26,9,0,0,13,0,0,4,6,10,13,0,128,0,0,0,0,7,18,46,15,0,0,0
FR_64004,Abitain,95,71,7,0,3,0,0,0,6,0,0,0,1,0,3,1,0,0,7,0,0,2,4,2,2,0,13,0,0,0,0,0,11,6,1,2,0,0
FR_24001,Abjat-sur-Bandiat,464,254,5,16,22,0,0,0,39,0,2,1,2,0,5,14,0,0,6,0,0,0,8,0,14,0,58,0,0,2,0,1,23,28,7,1,0,0
FR_62001,Ablain-Saint-Nazaire,1427,893,35,26,51,0,0,0,154,0,4,0,10,0,30,37,1,0,49,0,0,3,16,3,39,0,206,0,0,0,0,2,65,136,24,2,0,0
FR_80002,Ablaincourt-Pressoir,184,115,2,8,4,0,0,0,17,0,1,0,2,0,3,1,0,0,4,0,0,0,3,1,4,0,49,0,0,0,0,0,9,2,5,0,0,0
FR_62002,Ablainzevelle,184,106,4,5,6,0,0,0,19,0,2,0,2,0,1,2,0,0,8,0,0,2,3,0,2,0,38,0,0,0,0,0,4,6,2,0,0,0
FR_51001,Ablancourt,134,66,2,1,7,0,0,0,4,0,0,0,2,0,1,1,0,0,3,0,0,0,0,1,1,0,28,0,0,0,0,0,10,5,0,0,0,0
FR_95002,Ableiges,718,451,9,8,22,0,0,0,82,0,3,0,5,0,24,27,0,0,23,0,1,7,10,7,4,0,111,0,0,0,0,2,27,68,11,0,0,0
FR_78003,Ablis,2345,1269,30,38,72,1,0,0,270,0,1,0,23,0,41,70,1,0,62,0,0,11,26,20,50,0,278,0,0,0,0,6,94,139,32,4,0,0
FR_14001,Ablon,952,547,7,12,28,0,0,0,111,0,4,2,12,0,20,20,1,0,28,0,0,7,7,5,12,0,161,0,0,0,0,9,36,55,9,1,0,0
FR_94001,Ablon-sur-Seine,3023,1479,10,32,97,0,0,3,315,0,9,1,34,0,27,61,0,7,60,0,0,13,33,23,54,0,324,0,0,2,0,8,124,200,39,2,1,0
FR_54003,Aboncourt,98,55,1,1,1,0,0,0,8,0,0,0,0,0,6,0,0,0,7,0,0,0,2,0,0,0,22,0,0,0,0,0,6,0,1,0,0,0
FR_57001,Aboncourt,257,111,1,3,11,0,0,0,9,0,0,0,3,0,1,7,1,0,8,1,0,2,1,1,9,0,36,0,0,0,0,4,3,8,2,0,0,0
FR_70002,Aboncourt-Gesincourt,182,89,1,1,3,0,0,0,24,0,0,0,1,0,2,4,0,0,2,0,0,0,1,0,4,0,21,0,0,0,0,0,10,13,2,0,0,0
FR_57002,Aboncourt-sur-Seille,59,33,1,0,3,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,10,0,0,0,0,0,0,9,1,0,0,0
FR_74001,Abondance,1169,593,17,19,12,0,0,0,92,0,10,0,7,0,13,13,0,0,30,0,0,2,10,9,12,0,152,0,0,1,0,1,110,73,8,2,0,0
FR_28001,Abondant,1546,830,4,10,41,0,0,1,205,0,5,0,18,0,21,22,0,0,31,2,2,8,8,7,34,0,231,0,0,0,0,10,63,84,22,1,0,0
FR_64005,Abos,472,300,10,18,11,0,0,1,67,0,1,0,0,0,3,33,0,0,8,0,0,2,5,3,10,0,58,0,0,4,0,1,28,31,5,1,0,0
FR_FRZZAE,Citizens of France living in United Arab Emirates,13760,3032,20,18,62,0,0,2,1394,0,2,0,51,0,73,92,0,0,41,0,1,2,8,78,61,0,278,0,0,0,1,3,409,411,15,5,1,4
FR_42001,Aboën,326,188,1,4,11,0,0,0,29,0,2,0,3,0,4,6,1,0,11,0,0,1,4,1,3,0,58,0,0,0,0,1,15,28,5,0,0,0
FR_57003,Abreschviller,1065,553,10,16,18,0,0,1,99,0,6,0,8,0,11,19,1,0,44,0,0,4,10,6,16,0,162,0,0,2,0,2,55,49,14,0,0,0
FR_03001,Abrest,2120,1136,38,36,64,0,0,0,225,0,9,0,25,0,37,45,0,0,37,0,1,8,39,9,23,0,311,0,0,1,0,6,87,95,38,2,0,0
FR_05001,Abriès,351,228,4,4,38,0,0,0,47,0,1,0,9,0,2,13,0,0,6,0,0,1,6,4,5,0,29,0,0,2,0,0,11,41,0,4,0,1
FR_59002,Abscon,2852,1547,30,31,116,0,0,0,172,0,28,1,15,0,19,58,3,0,31,3,0,22,86,24,21,1,696,0,0,1,0,9,41,98,41,0,0,0
FR_FRZZNG,Citizens of France living in Nigeria,794,238,1,1,3,0,0,0,95,0,0,1,3,0,8,6,0,0,7,0,0,0,3,4,10,0,20,0,0,0,0,1,33,40,2,0,0,0
