gisco_id,name,registered,turnout,invalid,blank,Abeceda,AMD,AM,ASH-DSŽ-SP-SUH,ABH,ABH-JH,A-HSS,DC,GR-MS,HRAST,HČSP,HDZ-HSP-BUZ,HRS,HSLS-HSS,HSP,HDSSB-HDSSD-Zeleni HR,HL,KLGB,NS-NSS,NSH,OS,PS,HB,SDP-HNS-HSU,SRP,HSU,ZNL,ZZ
HR_00019,Andrijasevci,3153,565,33,0,1,1,12,2,2,8,2,4,0,19,4,237,4,22,7,76,18,2,0,3,3,2,2,90,2,6,1,2
HR_00027,Antunovac,3070,709,32,0,3,5,8,6,7,1,7,1,7,14,1,235,0,51,34,103,26,3,2,1,2,2,0,145,0,9,1,3
HR_00035,Babina Greda,3153,685,33,0,10,0,7,2,6,16,3,4,0,2,4,255,2,34,7,41,8,6,1,5,4,0,2,219,2,11,0,1
HR_00043,Bakar,6940,1418,58,0,3,10,30,9,13,10,8,11,5,19,8,395,2,21,15,5,65,67,3,1,10,16,10,587,3,20,1,13
HR_00051,Bale / Valle,1040,176,12,0,1,3,1,2,1,0,0,0,0,4,1,10,0,0,1,0,11,83,1,0,1,1,3,31,1,8,0,0
HR_00060,Barban,2290,627,24,0,8,4,9,4,1,9,0,3,0,5,1,37,5,12,2,3,30,289,4,1,3,5,0,150,5,12,0,1
HR_00078,Barilovic,2862,649,28,0,4,4,12,9,3,13,1,0,1,5,5,283,4,27,14,1,31,4,11,5,5,4,1,160,2,4,0,8
HR_00086,Baška,1750,364,24,0,1,0,6,2,1,3,2,2,2,8,5,47,2,3,14,3,18,52,1,0,3,5,2,142,1,11,0,4
HR_00094,Baska Voda,3162,568,31,0,3,6,7,5,2,6,1,1,1,5,4,204,2,17,5,3,22,12,0,0,3,3,8,199,1,10,3,4
HR_00108,Bebrina,2624,540,44,0,4,8,9,5,4,10,6,1,0,5,7,236,6,39,8,35,7,4,1,2,2,4,2,71,8,10,0,2
HR_00116,Bedekovcina,6498,895,53,0,7,2,23,8,3,7,3,8,1,15,4,295,3,21,5,1,71,15,2,7,4,2,3,300,7,19,2,4
HR_00124,Bednja,3637,652,37,0,3,1,10,4,1,4,2,5,2,6,3,168,3,19,3,8,38,1,1,2,5,3,5,302,4,7,1,4
HR_00132,Beli Manastir,9260,1624,80,0,18,4,10,35,6,10,3,9,7,6,7,402,7,20,23,254,56,42,47,10,7,11,10,485,11,25,3,16
HR_00159,Belica,2691,347,15,0,6,1,4,8,1,3,0,2,15,4,0,49,6,16,3,1,67,3,1,2,0,0,2,130,3,2,0,3
HR_00167,Belisce,8900,1882,72,0,13,10,11,10,7,8,9,6,9,12,8,351,5,10,50,675,55,9,5,3,5,7,4,483,13,19,3,10
HR_00175,Benkovac,14257,1594,94,0,15,10,22,7,11,15,1,11,6,47,14,820,11,36,25,60,46,11,25,4,9,5,11,239,3,24,1,11
HR_00183,Berek,1206,425,30,0,11,3,5,5,1,14,2,0,1,5,1,169,1,23,5,3,12,2,0,11,3,2,1,97,5,7,1,5
