gisco_id,name,registered,turnout,invalid,blank,FKGP,Centrum,MP,MSZP,SZDSZ,MIÉP,FIDESZ-MDF,RK,ÚB,MAVEP,MRP,SZDP
HU_0956,Budapest_I.,23354,19202,112,0,42,1195,240,5561,2515,1772,7765,0,0,0,0,0
HU_0317,Budapest_II.,73159,61867,293,0,163,3481,702,18948,8552,5611,24117,0,0,0,0,0
HU_1806,Budapest_III.,106007,84415,704,0,197,5278,1496,36953,8303,5897,25587,0,0,0,0,0
HU_0546,Budapest_IV.,81861,62498,591,0,137,3443,1127,31326,4991,3409,17474,0,0,0,0,0
HU_1339,Budapest_V.,26317,20924,186,0,56,1073,346,7176,3099,1816,7172,0,0,0,0,0
HU_1658,Budapest_VI.,36698,27128,297,0,74,1597,465,10357,3621,2033,8684,0,0,0,0,0
HU_2974,Budapest_VII.,50790,36491,495,0,129,1802,595,15552,4373,2664,10881,0,0,0,0,0
HU_2540,Budapest_VIII.,62302,41948,573,0,106,2230,743,17995,4056,3013,13232,0,0,0,0,0
HU_2958,Budapest_IX.,49986,36158,435,0,98,1902,625,15792,3546,2389,11371,0,0,0,0,0
HU_1070,Budapest_X.,63732,47062,359,0,93,2672,939,24505,3020,2523,12951,0,0,0,0,0
HU_1421,Budapest_XI.,113871,93621,718,0,281,5393,1599,36088,8896,7606,33040,0,0,0,0,0
HU_2469,Budapest_XII.,51936,43520,241,0,128,2276,580,13053,5626,4206,17410,0,0,0,0,0
HU_2429,Budapest_XIII.,89543,68200,543,0,148,3474,1457,32897,7889,4312,17480,0,0,0,0,0
HU_1633,Budapest_XIV.,96642,77137,664,0,248,4149,1567,33264,8878,5282,23085,0,0,0,0,0
HU_1131,Budapest_XV.,68862,53180,489,0,121,2935,979,26486,3690,3541,14939,0,0,0,0,0
HU_0820,Budapest_XVI.,57378,45980,409,0,141,2778,725,18993,3486,3850,15598,0,0,0,0,0
HU_0211,Budapest_XVII.,64200,49505,354,0,159,3329,858,22390,3475,2941,15999,0,0,0,0,0
HU_2928,Budapest_XVIII.,77751,59310,326,0,216,3405,979,29080,3952,3443,17909,0,0,0,0,0
HU_0401,Budapest_XIX.,52496,40429,342,0,93,2535,777,19895,2929,2198,11660,0,0,0,0,0
HU_0602,Budapest_XX.,53167,39256,502,0,120,2207,641,20072,2368,2203,11143,0,0,0,0,0
HU_1318,Budapest_XXI.,65367,48707,536,0,86,2725,1592,25494,3655,2218,12401,0,0,0,0,0
HU_1021,Budapest_XXII.,41993,33450,242,0,78,1968,422,14108,2617,2439,11576,0,0,0,0,0
HU_3413,Budapest_XXIII.,16854,12747,130,0,40,716,182,6338,937,697,3707,0,0,0,0,0
HU_1254,Abaliget,498,362,1,0,1,9,9,190,17,5,130,0,0,0,0,0
HU_0686,Adorjás,135,97,4,0,3,0,1,55,2,0,32,0,0,0,0,0
HU_1332,Almamellék,367,237,3,0,1,5,23,116,4,2,83,0,0,0,0,0
HU_2037,Almáskeresztúr,81,58,1,0,0,0,0,34,0,0,23,0,0,0,0,0
HU_1738,Alsómocsolád,255,176,1,0,0,1,9,45,7,2,111,0,0,0,0,0
HU_3327,Alsószentmárton,677,445,3,0,1,0,3,212,8,1,217,0,0,0,0,0
HU_2729,Apátvarasd,116,90,0,0,0,1,0,30,23,1,35,0,0,0,0,0
HU_0688,Aranyosgadány,257,188,5,0,6,7,5,82,1,7,75,0,0,0,0,0
HU_2581,Ág,143,99,7,0,0,1,3,58,4,0,26,0,0,0,0,0
HU_2858,Áta,172,117,2,0,2,2,1,62,7,3,38,0,0,0,0,0
HU_0540,Babarc,661,463,6,0,0,14,3,162,30,11,237,0,0,0,0,0
HU_0966,Babarcszõlõs,117,60,1,0,0,2,16,17,0,1,23,0,0,0,0,0
HU_0829,Bakonya,295,227,1,0,10,7,15,114,6,2,72,0,0,0,0,0
HU_2227,Bakóca,298,208,4,0,2,2,5,93,10,1,91,0,0,0,0,0
HU_0397,Baksa,607,402,0,0,3,5,15,265,15,7,92,0,0,0,0,0
HU_2046,Baranyahídvég,166,137,1,0,1,0,4,84,1,0,46,0,0,0,0,0
