gisco_id,name,registered,turnout,invalid,blank,SZDSZ,FIDESZ-MDF,MSZP,Centrum,MIÉP,Ind.,FKGP,MSZDP-MSZP,MSZP-SZDSZ
HU_0956,Budapest_I.,23323,19049,81,0,8867,10101,0,0,0,0,0,0,0
HU_0317,Budapest_II.,73080,61610,204,0,9095,31479,20832,0,0,0,0,0,0
HU_1806,Budapest_III.,105975,84557,432,0,0,34571,49554,0,0,0,0,0,0
HU_0546,Budapest_IV.,21352,15613,64,0,0,5438,10111,0,0,0,0,0,0
HU_1339,Budapest_V.,26236,20858,121,0,11157,9580,0,0,0,0,0,0,0
HU_1658,Budapest_VI.,36614,27124,190,0,0,11739,15195,0,0,0,0,0,0
HU_2974,Budapest_VII.,50647,36564,223,0,0,14495,21846,0,0,0,0,0,0
HU_2540,Budapest_VIII.,62275,42377,268,0,0,17967,24142,0,0,0,0,0,0
HU_2958,Budapest_IX.,33623,24001,200,0,0,10716,13085,0,0,0,0,0,0
HU_1070,Budapest_X.,44779,32791,184,0,0,12067,20540,0,0,0,0,0,0
HU_1421,Budapest_XI.,113688,93537,386,0,0,43669,49482,0,0,0,0,0,0
HU_2469,Budapest_XII.,51862,43322,142,0,20384,22796,0,0,0,0,0,0,0
HU_2429,Budapest_XIII.,9371,7270,39,0,4645,2586,0,0,0,0,0,0,0
HU_1633,Budapest_XIV.,96587,76410,368,0,0,30103,45939,0,0,0,0,0,0
HU_1131,Budapest_XV.,21685,16105,74,0,0,6587,9444,0,0,0,0,0,0
HU_0820,Budapest_XVI.,57452,46224,187,0,0,21235,24802,0,0,0,0,0,0
HU_0211,Budapest_XVII.,64180,49964,187,0,0,20685,27839,1253,0,0,0,0,0
HU_1021,Budapest_XXII.,41971,33813,117,0,0,14830,18541,0,325,0,0,0,0
HU_0686,Adorjás,135,106,0,0,0,60,46,0,0,0,0,0,0
HU_1332,Almamellék,367,256,3,0,0,111,142,0,0,0,0,0,0
HU_2037,Almáskeresztúr,81,64,0,0,0,33,31,0,0,0,0,0,0
HU_1738,Alsómocsolád,255,189,2,0,0,115,72,0,0,0,0,0,0
HU_3327,Alsószentmárton,678,521,3,0,0,276,242,0,0,0,0,0,0
HU_2729,Apátvarasd,116,92,0,0,0,55,37,0,0,0,0,0,0
HU_2581,Ág,142,98,4,0,0,27,67,0,0,0,0,0,0
HU_2858,Áta,173,122,1,0,0,46,75,0,0,0,0,0,0
HU_0540,Babarc,662,500,6,0,0,280,214,0,0,0,0,0,0
HU_0966,Babarcszõlõs,117,74,1,0,0,49,24,0,0,0,0,0,0
HU_2227,Bakóca,298,212,2,0,0,107,103,0,0,0,0,0,0
HU_0397,Baksa,612,447,0,0,0,134,313,0,0,0,0,0,0
HU_2046,Baranyahídvég,168,148,2,0,0,59,87,0,0,0,0,0,0
HU_2474,Baranyajenõ,370,224,0,0,0,76,148,0,0,0,0,0,0
HU_0548,Baranyaszentgyörgy,149,125,0,0,0,91,34,0,0,0,0,0,0
HU_1549,Basal,150,118,0,0,0,69,49,0,0,0,0,0,0
HU_0760,Bánfa,165,126,0,0,0,69,57,0,0,0,0,0,0
HU_2437,Bár,509,382,2,0,0,228,152,0,0,0,0,0,0
HU_1900,Belvárdgyula,334,258,1,0,0,121,136,0,0,0,0,0,0
HU_3192,Beremend,2233,1641,12,0,0,669,960,0,0,0,0,0,0
HU_1646,Berkesd,684,475,6,0,0,287,182,0,0,0,0,0,0
HU_3004,Besence,112,86,5,0,0,45,36,0,0,0,0,0,0
HU_1411,Bezedek,243,193,0,0,0,152,41,0,0,0,0,0,0
HU_1331,Bicsérd,752,560,1,0,0,264,295,0,0,0,0,0,0
HU_0489,Bikal,719,533,1,0,0,167,365,0,0,0,0,0,0
HU_0513,Birján,353,274,3,0,0,126,145,0,0,0,0,0,0
HU_2492,Bisse,202,138,0,0,0,58,80,0,0,0,0,0,0
HU_2089,Boda,339,247,0,0,0,136,111,0,0,0,0,0,0
HU_3300,Bodolyabér,241,172,1,0,0,84,87,0,0,0,0,0,0
HU_3215,Bogád,598,434,5,0,0,197,232,0,0,0,0,0,0
HU_2189,Bogádmindszent,335,264,3,0,0,166,95,0,0,0,0,0,0
HU_1069,Bogdása,256,180,3,0,0,91,86,0,0,0,0,0,0
HU_1311,Boldogasszonyfa,402,300,3,0,0,150,147,0,0,0,0,0,0
HU_0672,Borjád,347,268,3,0,0,160,105,0,0,0,0,0,0
HU_1436,Bosta,101,88,1,0,0,25,62,0,0,0,0,0,0
HU_1336,Botykapeterd,272,203,0,0,0,117,86,0,0,0,0,0,0
HU_3315,Bóly,2909,2286,2,0,0,1366,918,0,0,0,0,0,0
HU_2316,Bükkösd,997,665,9,0,0,358,298,0,0,0,0,0,0
HU_0753,Bürüs,78,56,1,0,0,39,16,0,0,0,0,0,0
HU_3061,Csarnóta,124,102,1,0,0,58,43,0,0,0,0,0,0
HU_1990,Csányoszró,580,436,2,0,0,245,189,0,0,0,0,0,0
HU_2159,Csebény,92,61,0,0,0,22,39,0,0,0,0,0,0
HU_2608,Cserdi,249,149,4,0,0,100,45,0,0,0,0,0,0
HU_1385,Csertõ,339,253,0,0,0,133,120,0,0,0,0,0,0
HU_2257,Csonkamindszent,136,105,0,0,0,74,31,0,0,0,0,0,0
HU_1108,Cún,207,162,0,0,0,98,64,0,0,0,0,0,0
HU_0777,Dencsháza,487,310,2,0,0,143,165,0,0,0,0,0,0
HU_1195,Dinnyeberki,88,64,0,0,0,47,17,0,0,0,0,0,0
HU_3237,Diósviszló,547,422,2,0,0,266,154,0,0,0,0,0,0
HU_2861,Drávacsehi,182,146,1,0,0,84,61,0,0,0,0,0,0
HU_2812,Drávacsepely,189,161,0,0,0,95,66,0,0,0,0,0,0
HU_1741,Drávafok,420,308,4,0,0,152,152,0,0,0,0,0,0
HU_3239,Drávaiványi,177,144,2,0,0,26,116,0,0,0,0,0,0
HU_0915,Drávakeresztúr,140,99,5,0,0,52,42,0,0,0,0,0,0
