gisco_id,name,registered,turnout,invalid,blank,SZDSZ,FIDESZ-KDNP,MDF,MSZP,MSZP-SZDSZ,SZDSZ-MSZP,Ind.,MDF-FIDESZ-KDNP,Somogyért,Jobbik
HU_0956,Budapest_I.,22719,17580,49,0,7691,9438,402,0,0,0,0,0,0,0
HU_0317,Budapest_II.,70595,55884,230,0,7688,28428,360,19178,0,0,0,0,0,0
HU_1806,Budapest_III.,102786,72920,331,0,0,29439,0,43150,0,0,0,0,0,0
HU_1339,Budapest_V.,23487,17314,71,0,8950,8293,0,0,0,0,0,0,0,0
HU_1658,Budapest_VI.,32664,21448,130,0,0,9546,0,11772,0,0,0,0,0,0
HU_2974,Budapest_VII.,48284,29854,182,0,0,11944,0,17728,0,0,0,0,0,0
HU_2540,Budapest_VIII.,58375,33231,155,0,0,13862,0,19214,0,0,0,0,0,0
HU_2958,Budapest_IX.,31665,19703,130,0,10981,8592,0,0,0,0,0,0,0,0
HU_1421,Budapest_XI.,108755,82068,358,0,0,38243,0,43467,0,0,0,0,0,0
HU_2469,Budapest_XII.,49494,38548,193,0,0,20971,0,17384,0,0,0,0,0,0
HU_2429,Budapest_XIII.,48102,32259,155,0,3878,10460,0,17766,0,0,0,0,0,0
HU_1633,Budapest_XIV.,92608,66185,291,0,0,26285,0,39609,0,0,0,0,0,0
HU_0820,Budapest_XVI.,56878,41469,179,0,0,18770,0,22520,0,0,0,0,0,0
HU_0211,Budapest_XVII.,65264,44887,198,0,0,18641,0,26048,0,0,0,0,0,0
HU_1021,Budapest_XXII.,41997,30340,118,0,0,13622,0,16600,0,0,0,0,0,0
HU_0686,Adorjás,146,75,0,0,0,22,0,53,0,0,0,0,0,0
HU_1332,Almamellék,353,260,3,0,0,120,0,137,0,0,0,0,0,0
HU_2037,Almáskeresztúr,72,52,0,0,0,26,0,26,0,0,0,0,0,0
HU_3327,Alsószentmárton,706,537,2,0,0,245,0,290,0,0,0,0,0,0
HU_2729,Apátvarasd,104,59,0,0,0,21,0,38,0,0,0,0,0,0
HU_2858,Áta,171,96,1,0,0,39,0,56,0,0,0,0,0,0
HU_0540,Babarc,662,400,2,0,0,242,0,156,0,0,0,0,0,0
HU_0966,Babarcszõlõs,100,58,0,0,0,37,0,21,0,0,0,0,0,0
HU_0397,Baksa,634,373,1,0,0,91,0,281,0,0,0,0,0,0
HU_2046,Baranyahídvég,174,115,0,0,0,35,0,80,0,0,0,0,0,0
HU_1549,Basal,155,105,0,0,0,58,0,47,0,0,0,0,0,0
HU_0760,Bánfa,166,99,1,0,0,38,0,60,0,0,0,0,0,0
HU_2437,Bár,500,337,0,0,0,235,0,102,0,0,0,0,0,0
HU_1900,Belvárdgyula,348,169,1,0,0,83,0,85,0,0,0,0,0,0
HU_3192,Beremend,2227,1366,1,0,0,556,0,809,0,0,0,0,0,0
HU_1646,Berkesd,708,368,6,0,0,190,0,172,0,0,0,0,0,0
HU_3004,Besence,101,63,0,0,0,34,0,29,0,0,0,0,0,0
HU_1411,Bezedek,234,158,0,0,0,110,0,48,0,0,0,0,0,0
HU_1331,Bicsérd,808,495,5,0,0,201,0,289,0,0,0,0,0,0
HU_0513,Birján,392,237,3,0,0,108,0,126,0,0,0,0,0,0
HU_2492,Bisse,206,112,0,0,0,38,0,74,0,0,0,0,0,0
HU_2089,Boda,343,205,2,0,0,80,0,123,0,0,0,0,0,0
