gisco_id,name,registered,turnout,invalid,blank,MSZP,Jobbik,LMP,MDF,FIDESZ-KDNP,CM,ÖP,MSZDP,MP,MIÉP
HU_0956,Budapest_I.,21943,16708,120,0,3151,1173,2333,839,9092,0,0,0,0,0
HU_0317,Budapest_II.,69072,53813,293,0,11786,3411,7425,3052,27846,0,0,0,0,0
HU_1806,Budapest_III.,100607,72255,489,0,18618,7663,9584,3537,32364,0,0,0,0,0
HU_0546,Budapest_IV.,80450,54308,417,0,14475,6692,7065,2462,23197,0,0,0,0,0
HU_1339,Budapest_V.,21693,15991,159,0,3580,1189,2034,830,8199,0,0,0,0,0
HU_1658,Budapest_VI.,29699,19485,155,0,4687,1737,2902,963,9041,0,0,0,0,0
HU_2974,Budapest_VII.,45235,28311,256,0,6656,3016,4518,1361,12504,0,0,0,0,0
HU_2540,Budapest_VIII.,55568,32364,287,0,7404,3684,4288,1348,15353,0,0,0,0,0
HU_2958,Budapest_IX.,45461,29333,215,0,7008,3171,3997,1495,13447,0,0,0,0,0
HU_1070,Budapest_X.,60060,38996,372,0,11053,4910,4339,1622,16700,0,0,0,0,0
HU_1421,Budapest_XI.,107739,80887,602,0,20636,6612,10199,3578,39260,0,0,0,0,0
HU_2469,Budapest_XII.,47768,37341,248,0,7657,2359,4989,1988,20100,0,0,0,0,0
HU_2429,Budapest_XIII.,88968,60809,536,0,19602,5670,8624,3131,23246,0,0,0,0,0
HU_1633,Budapest_XIV.,93745,67404,499,0,18286,6480,9246,3384,29509,0,0,0,0,0
HU_1131,Budapest_XV.,65567,44565,363,0,12184,5947,4817,1597,19657,0,0,0,0,0
HU_0820,Budapest_XVI.,57111,42687,311,0,9370,5231,5061,2026,20688,0,0,0,0,0
HU_0211,Budapest_XVII.,68725,48638,337,0,10701,6015,5464,2076,24045,0,0,0,0,0
HU_2928,Budapest_XVIII.,79394,54876,362,0,13744,7234,6113,2500,24923,0,0,0,0,0
HU_0401,Budapest_XIX.,48656,33484,251,0,8784,4249,4060,1497,14643,0,0,0,0,0
HU_0602,Budapest_XX.,52472,34246,274,0,8936,4666,3875,1442,15053,0,0,0,0,0
HU_1318,Budapest_XXI.,62284,40490,284,0,10798,5845,4896,1703,16964,0,0,0,0,0
HU_1021,Budapest_XXII.,42132,30738,191,0,6974,3515,3606,1381,15071,0,0,0,0,0
HU_3413,Budapest_XXIII.,17186,11612,89,0,2582,1669,1279,453,5540,0,0,0,0,0
HU_1254,Abaliget,527,323,1,0,59,56,45,6,156,0,0,0,0,0
HU_0686,Adorjás,144,71,0,0,31,3,3,2,32,0,0,0,0,0
HU_1332,Almamellék,347,259,4,0,93,14,7,0,141,0,0,0,0,0
HU_2037,Almáskeresztúr,73,53,1,0,11,8,2,0,31,0,0,0,0,0
HU_1738,Alsómocsolád,303,166,0,0,10,22,10,1,123,0,0,0,0,0
HU_3327,Alsószentmárton,745,552,5,0,107,0,6,0,434,0,0,0,0,0
HU_2729,Apátvarasd,106,58,0,0,8,6,3,6,35,0,0,0,0,0
HU_0688,Aranyosgadány,277,134,2,0,19,18,10,2,83,0,0,0,0,0
HU_2581,Ág,139,81,0,0,6,9,0,0,66,0,0,0,0,0
HU_2858,Áta,167,87,0,0,14,19,6,3,45,0,0,0,0,0
HU_0540,Babarc,639,375,0,0,65,52,12,4,242,0,0,0,0,0
HU_0966,Babarcszõlõs,95,58,0,0,3,1,6,0,48,0,0,0,0,0
HU_0829,Bakonya,290,160,0,0,47,33,15,3,62,0,0,0,0,0
HU_2227,Bakóca,271,144,0,0,12,11,7,1,113,0,0,0,0,0
HU_0397,Baksa,648,294,0,0,88,48,21,5,132,0,0,0,0,0
HU_2046,Baranyahídvég,172,105,3,0,19,22,2,0,59,0,0,0,0,0
HU_2474,Baranyajenõ,382,173,0,0,30,19,9,6,109,0,0,0,0,0
HU_0548,Baranyaszentgyörgy,130,96,0,0,15,10,2,0,69,0,0,0,0,0
HU_1549,Basal,155,94,1,0,19,9,3,0,62,0,0,0,0,0
HU_0760,Bánfa,149,81,2,0,25,3,0,2,49,0,0,0,0,0
HU_2437,Bár,485,325,3,0,41,29,7,0,245,0,0,0,0,0
HU_1900,Belvárdgyula,347,166,2,0,43,21,5,2,93,0,0,0,0,0
HU_3192,Beremend,2187,1168,6,0,271,171,66,31,623,0,0,0,0,0
HU_1646,Berkesd,709,373,3,0,62,51,12,8,237,0,0,0,0,0
HU_3004,Besence,99,51,1,0,5,3,10,3,29,0,0,0,0,0
HU_1411,Bezedek,231,138,2,0,17,15,2,1,101,0,0,0,0,0
HU_1331,Bicsérd,822,463,3,0,93,53,41,13,260,0,0,0,0,0
HU_0489,Bikal,679,373,3,0,132,48,30,15,145,0,0,0,0,0
HU_0513,Birján,429,285,3,0,46,30,25,13,168,0,0,0,0,0
HU_2492,Bisse,202,113,0,0,13,18,5,6,71,0,0,0,0,0
HU_2089,Boda,371,207,1,0,38,33,18,6,111,0,0,0,0,0
HU_3300,Bodolyabér,215,117,1,0,19,13,5,1,78,0,0,0,0,0
HU_3215,Bogád,795,480,5,0,60,92,64,16,243,0,0,0,0,0
HU_2189,Bogádmindszent,350,198,1,0,21,12,12,1,151,0,0,0,0,0
HU_1069,Bogdása,253,128,1,0,17,18,1,5,86,0,0,0,0,0
HU_1311,Boldogasszonyfa,351,236,1,0,36,30,4,2,163,0,0,0,0,0
HU_0672,Borjád,351,216,1,0,24,54,17,4,116,0,0,0,0,0
HU_1436,Bosta,113,56,0,0,16,3,3,2,32,0,0,0,0,0
HU_1336,Botykapeterd,271,130,3,0,22,19,5,1,80,0,0,0,0,0
HU_3315,Bóly,3002,1987,12,0,348,156,155,69,1247,0,0,0,0,0
HU_2316,Bükkösd,953,525,8,0,74,80,30,9,324,0,0,0,0,0
HU_0753,Bürüs,74,32,0,0,0,3,0,0,29,0,0,0,0,0
HU_3061,Csarnóta,119,81,0,0,8,13,1,2,57,0,0,0,0,0
HU_1990,Csányoszró,595,298,4,0,48,30,9,6,201,0,0,0,0,0
HU_2159,Csebény,75,45,0,0,13,10,2,0,20,0,0,0,0,0
HU_2608,Cserdi,284,133,2,0,11,13,3,0,104,0,0,0,0,0
HU_0389,Cserkút,433,272,8,0,64,55,30,4,111,0,0,0,0,0
HU_1385,Csertõ,317,174,3,0,39,18,8,2,104,0,0,0,0,0
HU_2257,Csonkamindszent,140,87,1,0,9,16,2,0,59,0,0,0,0,0
HU_1108,Cún,185,119,1,0,11,9,2,0,96,0,0,0,0,0
HU_0777,Dencsháza,491,217,2,0,29,23,18,3,142,0,0,0,0,0
HU_1195,Dinnyeberki,67,42,0,0,6,2,3,2,29,0,0,0,0,0
HU_3237,Diósviszló,583,349,6,0,46,37,16,0,244,0,0,0,0,0
HU_2861,Drávacsehi,172,104,1,0,30,14,2,0,57,0,0,0,0,0
HU_2812,Drávacsepely,185,116,3,0,15,8,5,2,83,0,0,0,0,0
HU_1741,Drávafok,406,228,6,0,36,32,10,6,138,0,0,0,0,0
HU_3239,Drávaiványi,142,76,4,0,32,13,3,1,23,0,0,0,0,0
HU_0915,Drávakeresztúr,102,47,0,0,9,4,0,0,34,0,0,0,0,0
HU_2273,Drávapalkonya,208,99,2,0,29,20,2,4,42,0,0,0,0,0
HU_1238,Drávapiski,101,62,1,0,9,14,2,0,36,0,0,0,0,0
HU_2860,Drávaszabolcs,549,303,7,0,65,42,20,4,165,0,0,0,0,0
HU_3003,Drávaszerdahely,168,113,2,0,18,16,1,0,76,0,0,0,0,0
HU_2169,Drávasztára,389,198,2,0,31,29,5,1,130,0,0,0,0,0
HU_0918,Dunaszekcsõ,1700,995,8,0,158,152,36,19,622,0,0,0,0,0
HU_2891,Egerág,851,484,1,0,76,116,60,8,223,0,0,0,0,0
HU_1649,Egyházasharaszti,239,149,2,0,20,25,1,2,99,0,0,0,0,0
HU_2740,Egyházaskozár,689,404,6,0,126,73,36,8,155,0,0,0,0,0
HU_0609,Ellend,194,133,1,0,27,25,6,5,69,0,0,0,0,0
HU_2827,Endrõc,331,189,2,0,31,14,4,2,136,0,0,0,0,0
HU_2582,Erdõsmárok,74,47,0,0,11,8,1,0,27,0,0,0,0,0
HU_1870,Erdõsmecske,335,159,0,0,17,34,4,3,101,0,0,0,0,0
HU_1349,Erzsébet,261,140,1,0,8,35,2,3,91,0,0,0,0,0
HU_1783,Fazekasboda,181,100,0,0,4,14,9,8,65,0,0,0,0,0
HU_0454,Feked,169,133,2,0,25,9,14,3,80,0,0,0,0,0
HU_1328,Felsõegerszeg,119,61,0,0,13,8,2,0,38,0,0,0,0,0
HU_0881,Felsõszentmárton,870,523,6,0,187,36,17,13,264,0,0,0,0,0
HU_0756,Garé,244,149,4,0,42,42,11,3,47,0,0,0,0,0
HU_1275,Gerde,431,210,2,0,30,24,7,5,142,0,0,0,0,0
HU_0285,Geresdlak,707,414,5,0,50,36,9,72,242,0,0,0,0,0
HU_1334,Gerényes,182,93,4,0,21,4,5,1,58,0,0,0,0,0
HU_1833,Gilvánfa,236,111,3,0,5,2,3,0,98,0,0,0,0,0
HU_3308,Gordisa,204,92,1,0,11,6,3,0,71,0,0,0,0,0
HU_3323,Gödre,768,386,2,0,56,57,7,6,258,0,0,0,0,0
HU_3043,Görcsöny,1391,700,13,0,179,79,55,13,361,0,0,0,0,0
HU_0963,Görcsönydoboka,352,195,1,0,38,18,10,9,119,0,0,0,0,0
HU_1831,Gyód,543,335,2,0,73,50,22,11,177,0,0,0,0,0
HU_2840,Gyöngyfa,106,54,0,0,10,6,2,0,36,0,0,0,0,0
HU_2266,Gyöngyösmellék,227,132,0,0,16,7,6,3,100,0,0,0,0,0
HU_2152,Harkány,3323,2288,18,0,349,330,101,45,1445,0,0,0,0,0
HU_2788,Hásságy,256,180,0,0,29,8,9,5,129,0,0,0,0,0
HU_3095,Hegyhátmaróc,148,76,0,0,27,7,1,4,37,0,0,0,0,0
HU_2102,Hegyszentmárton,359,202,1,0,18,29,7,1,146,0,0,0,0,0
HU_1719,Helesfa,298,155,3,0,49,18,5,1,79,0,0,0,0,0
HU_0712,Hetvehely,389,240,2,0,47,26,16,5,144,0,0,0,0,0
HU_0679,Hidas,1798,1113,9,0,156,163,52,19,714,0,0,0,0,0
HU_2793,Himesháza,951,586,5,0,99,79,27,12,364,0,0,0,0,0
HU_0328,Hirics,160,80,0,0,5,15,0,1,59,0,0,0,0,0
HU_3393,Hobol,787,451,2,0,77,74,22,4,272,0,0,0,0,0
HU_2996,Homorúd,538,334,3,0,32,58,17,3,221,0,0,0,0,0
HU_2307,Horváthertelend,59,42,1,0,16,2,0,0,23,0,0,0,0,0
HU_3083,Hosszúhetény,2700,1676,19,0,283,201,229,50,894,0,0,0,0,0
HU_3143,Husztót,53,41,3,0,11,2,2,0,23,0,0,0,0,0
HU_3306,Ibafa,179,125,1,0,29,20,7,3,65,0,0,0,0,0
HU_3193,Illocska,201,102,1,0,45,5,0,2,49,0,0,0,0,0
HU_2994,Ipacsfa,183,115,0,0,12,16,6,3,78,0,0,0,0,0
HU_0333,Ivánbattyán,124,90,2,0,23,11,7,1,46,0,0,0,0,0
HU_0334,Ivándárda,204,132,2,0,42,12,10,2,64,0,0,0,0,0
HU_0429,Kacsóta,223,113,0,0,18,21,4,3,67,0,0,0,0,0
HU_0696,Katádfa,134,78,0,0,2,7,0,2,67,0,0,0,0,0
HU_0641,Kákics,185,96,1,0,5,18,0,1,71,0,0,0,0,0
HU_0599,Kárász,288,198,3,0,33,33,16,5,108,0,0,0,0,0
HU_1746,Kásád,285,157,2,0,16,23,6,3,107,0,0,0,0,0
HU_1913,Kátoly,290,172,4,0,44,16,9,9,90,0,0,0,0,0
HU_0678,Kemse,57,44,0,0,7,4,1,1,31,0,0,0,0,0
HU_0383,Keszü,963,692,1,0,139,101,86,21,344,0,0,0,0,0
HU_1680,Kékesd,152,99,0,0,16,10,3,1,69,0,0,0,0,0
