gisco_id,name,registered,turnout,invalid,blank,FIDESZ-KDNP,MSZP,LMP,Jobbik,Ind.,FIDESZ-KDNP-VP
HU_1806,Budapest_III.,100229,51129,333,0,30429,14896,5471,0,0,0
HU_0546,Budapest_IV.,80045,37308,239,0,20438,12846,3076,709,0,0
HU_1658,Budapest_VI.,29373,13362,226,0,8343,0,4793,0,0,0
HU_2974,Budapest_VII.,44734,19490,199,0,11072,3806,4413,0,0,0
HU_2540,Budapest_VIII.,15522,6578,88,0,4086,0,2404,0,0,0
HU_2958,Budapest_IX.,13626,5994,48,0,2972,2477,497,0,0,0
HU_1070,Budapest_X.,59677,26640,133,0,14926,9635,0,1946,0,0
HU_1421,Budapest_XI.,41151,24617,105,0,12467,10904,1141,0,0,0
HU_2429,Budapest_XIII.,80391,44226,236,0,19275,22071,2644,0,0,0
HU_1633,Budapest_XIV.,93153,48892,448,0,27638,8384,12422,0,0,0
HU_1131,Budapest_XV.,65342,31852,149,0,17326,11665,0,2712,0,0
HU_2928,Budapest_XVIII.,79253,40622,239,0,23197,14064,0,3122,0,0
HU_0401,Budapest_XIX.,48469,24959,171,0,13800,9165,0,1823,0,0
HU_0602,Budapest_XX.,52253,23263,176,0,12946,7879,1006,1256,0,0
HU_1318,Budapest_XXI.,62128,27171,251,0,15443,4579,5570,1328,0,0
HU_3413,Budapest_XXIII.,17144,8118,41,0,4955,2335,0,787,0,0
HU_1738,Alsómocsolád,305,134,1,0,110,11,0,12,0,0
HU_2581,Ág,141,62,0,0,53,4,0,5,0,0
HU_2227,Bakóca,271,108,0,0,90,14,0,4,0,0
HU_2474,Baranyajenõ,381,142,1,0,102,27,0,12,0,0
HU_0548,Baranyaszentgyörgy,130,81,1,0,65,4,0,11,0,0
HU_0489,Bikal,677,243,3,0,124,96,0,20,0,0
HU_3300,Bodolyabér,213,82,1,0,57,17,0,7,0,0
HU_2740,Egyházaskozár,687,269,1,0,133,102,0,33,0,0
HU_1328,Felsõegerszeg,118,48,0,0,36,7,0,5,0,0
HU_1334,Gerényes,181,66,3,0,50,9,0,4,0,0
HU_3323,Gödre,766,287,2,0,231,31,0,23,0,0
HU_3095,Hegyhátmaróc,148,54,0,0,28,20,0,6,0,0
HU_3083,Hosszúhetény,2682,1017,9,0,727,190,0,91,0,0
HU_0599,Kárász,288,167,0,0,102,43,0,22,0,0
HU_0572,Kisbeszterce,70,34,0,0,30,2,0,2,0,0
HU_0683,Kishajmás,178,55,0,0,31,18,0,6,0,0
HU_0954,Kisvaszar,236,96,0,0,81,10,0,5,0,0
HU_2640,Komló,23120,9306,46,0,5477,2691,0,1092,0,0
HU_2524,Köblény,213,79,0,0,45,25,0,9,0,0
HU_1760,Liget,326,105,1,0,72,17,0,15,0,0
HU_2975,Magyaregregy,668,318,1,0,230,50,0,37,0,0
HU_0543,Magyarhertelend,567,255,4,0,180,50,0,21,0,0
HU_2260,Magyarszék,931,381,0,0,214,120,0,47,0,0
HU_0681,Mágocs,2024,773,5,0,537,169,0,62,0,0
HU_3392,Mánfa,695,263,1,0,164,70,0,28,0,0
HU_3375,Máza,1044,425,4,0,294,108,0,19,0,0
HU_1140,Mecsekpölöske,370,189,1,0,112,52,0,24,0,0
HU_3049,Mekényes,256,95,1,0,62,23,0,9,0,0
HU_0347,Mezõd,111,49,0,0,25,18,0,6,0,0
HU_1628,Mindszentgodisa,702,289,1,0,214,52,0,22,0,0
HU_1285,Nagyhajmás,286,130,1,0,86,23,0,20,0,0
HU_0448,Oroszló,260,101,0,0,74,14,0,13,0,0
HU_2376,Palé,87,39,0,0,29,5,0,5,0,0
HU_3216,Sásd,2818,1107,7,0,721,262,0,117,0,0
HU_0900,Szalatnak,321,116,1,0,81,27,0,7,0,0
HU_2750,Szágy,135,82,0,0,73,4,0,5,0,0
HU_0736,Szárász,44,17,0,0,4,12,0,1,0,0
HU_3376,Szászvár,2122,784,3,0,461,265,0,55,0,0
HU_1563,Tarrós,101,49,1,0,16,22,0,10,0,0
HU_2770,Tékes,216,65,0,0,35,27,0,3,0,0
HU_2242,Tormás,254,121,0,0,93,10,0,18,0,0
HU_0404,Tófû,107,65,1,0,49,10,0,5,0,0
HU_2852,Varga,81,49,1,0,40,2,0,6,0,0
HU_0226,Vásárosdombó,931,331,2,0,231,60,0,38,0,0
HU_0707,Vázsnok,114,47,0,0,28,18,0,1,0,0
HU_2440,Vékény,120,63,0,0,41,19,0,3,0,0
HU_2593,Balotaszállás,1256,402,1,0,238,99,0,64,0,0
HU_0835,Harkakötöny,732,350,1,0,223,47,0,79,0,0
HU_2757,Kelebia,2175,740,6,0,511,130,0,93,0,0
HU_3243,Kiskunhalas,23411,10398,41,0,5641,2306,0,2410,0,0
HU_2815,Kisszállás,2199,782,5,0,536,125,0,116,0,0
HU_2902,Kunfehértó,1800,768,1,0,442,171,0,154,0,0
HU_1539,Pirtó,799,370,3,0,288,25,0,54,0,0
HU_1179,Szank,1975,988,2,0,782,58,0,146,0,0
HU_2499,Tázlár,1411,692,1,0,408,35,0,248,0,0
HU_2848,Tompa,3576,1220,10,0,919,124,0,167,0,0
HU_1515,Zsana,684,277,6,0,180,48,0,43,0,0
HU_2959,Almáskamarás,791,364,0,0,219,105,0,40,0,0
HU_1810,Battonya,4655,2369,18,0,642,1593,0,116,0,0
HU_2403,Dombegyház,1757,809,15,0,433,224,0,137,0,0
HU_2213,Dombiratos,517,315,2,0,167,102,0,44,0,0
HU_2275,Kaszaper,1613,716,3,0,444,181,0,88,0,0
HU_3157,Kevermes,1676,749,3,0,510,117,0,119,0,0
HU_1883,Kisdombegyház,421,200,1,0,120,47,0,32,0,0
HU_1604,Kunágota,2280,1020,9,0,696,212,0,103,0,0
HU_2790,Magyarbánhegyes,1879,708,3,0,362,178,0,165,0,0
HU_1153,Magyardombegyház,200,101,0,0,51,33,0,17,0,0
HU_2076,Medgyesbodzás,926,504,1,0,355,69,0,79,0,0
HU_3012,Medgyesegyháza,3111,1544,6,0,844,322,0,372,0,0
HU_1187,Mezõhegyes,4788,1796,6,0,903,722,0,165,0,0
HU_3032,Mezõkovácsháza,5217,2311,5,0,1343,494,0,469,0,0
HU_2602,Nagybánhegyes,1172,545,1,0,362,102,0,80,0,0
HU_0424,Nagykamarás,1251,544,7,0,328,107,0,102,0,0
HU_1959,Pusztaottlaka,342,268,4,0,233,19,0,12,0,0
HU_3132,Szabadkígyós,2276,981,6,0,752,132,0,91,0,0
HU_0235,Újkígyós,4527,2107,12,0,1539,269,0,287,0,0
HU_3122,Végegyháza,1211,578,10,0,282,184,0,102,0,0
HU_1035,Abod,196,134,5,0,63,5,0,0,61,0
HU_0936,Aggtelek,482,279,2,0,138,38,0,0,101,0
HU_3309,Alacska,662,197,0,0,114,28,0,55,0,0
HU_1966,Alsódobsza,278,150,3,0,94,8,0,45,0,0
HU_2883,Alsószuha,362,210,0,0,83,42,0,0,85,0
HU_0821,Alsótelekes,127,73,1,0,18,25,0,0,29,0
HU_2103,Alsózsolca,4313,2092,18,0,1332,225,0,517,0,0
HU_1433,Arló,2725,822,4,0,439,85,0,294,0,0
HU_0377,Arnót,2026,1034,4,0,645,138,0,247,0,0
HU_0382,Ároktõ,861,365,0,0,152,108,0,105,0,0
HU_2252,Balajt,313,206,4,0,123,33,0,0,46,0
HU_0884,Baskó,168,107,0,0,87,11,0,9,0,0
HU_2515,Bánhorváti,1222,631,5,0,479,54,0,93,0,0
HU_2195,Bánréve,1095,510,4,0,201,105,0,200,0,0
HU_2704,Becskeháza,40,30,0,0,8,11,0,0,11,0
HU_0692,Bekecs,2088,963,9,0,471,111,0,372,0,0
HU_3429,Berente,886,388,1,0,163,111,0,113,0,0
HU_2635,Berzék,726,327,2,0,183,24,0,118,0,0
HU_3078,Bodrogkeresztúr,1027,497,2,0,343,90,0,62,0,0
HU_3380,Bodrogkisfalud,759,419,1,0,251,85,0,82,0,0
HU_0839,Boldva,1805,669,1,0,348,120,0,200,0,0
HU_3066,Borsodbóta,716,259,3,0,118,86,0,52,0,0
HU_0531,Borsodnádasd,2651,1000,2,0,477,218,0,303,0,0
HU_3020,Borsodszentgyörgy,1021,542,1,0,275,39,0,227,0,0
HU_1679,Borsodszirák,932,404,1,0,282,41,0,80,0,0
HU_2742,Bódvalenke,124,80,1,0,65,3,0,0,11,0
HU_3330,Bódvarákó,90,52,1,0,16,4,0,0,31,0
HU_0592,Bódvaszilas,907,530,5,0,120,88,0,0,317,0
HU_0530,Bõcs,2166,969,1,0,482,93,0,393,0,0
HU_1940,Bükkmogyorósd,127,62,1,0,28,21,0,12,0,0
HU_0802,Bükkszentkereszt,1037,459,1,0,276,77,0,105,0,0
HU_2845,Csernely,654,251,1,0,136,44,0,70,0,0
HU_2077,Csobaj,579,200,0,0,100,36,0,64,0,0
HU_1428,Csokvaomány,754,340,0,0,165,79,0,96,0,0
HU_1135,Damak,224,121,1,0,30,10,0,0,80,0
HU_3195,Debréte,22,17,0,0,3,0,0,0,14,0
HU_0468,Dédestapolcsány,1288,544,3,0,275,102,0,164,0,0
HU_2569,Domaháza,668,292,2,0,175,19,0,96,0,0
HU_0612,Dövény,239,130,1,0,43,8,0,0,78,0
HU_2766,Dubicsány,262,165,1,0,73,30,0,61,0,0
HU_1072,Edelény,8247,5301,44,0,2157,543,0,0,2557,0
HU_2532,Erdõbénye,1078,567,4,0,425,40,0,98,0,0
HU_1335,Égerszög,56,42,0,0,4,18,0,0,20,0
HU_3427,Farkaslyuk,1300,474,9,0,248,73,0,144,0,0
HU_3172,Felsõkelecsény,329,147,0,0,42,47,0,0,58,0
HU_3276,Felsõnyárád,848,337,1,0,85,133,0,0,118,0
HU_3167,Felsõtelekes,626,271,3,0,73,64,0,0,131,0
HU_0284,Felsõzsolca,5625,2614,13,0,1402,526,0,673,0,0
HU_1929,Galvács,98,73,0,0,31,8,0,0,34,0
HU_2371,Gelej,511,323,3,0,207,57,0,56,0,0
HU_1560,Gesztely,2213,1076,9,0,631,158,0,278,0,0
HU_2156,Girincs,572,257,5,0,162,42,0,48,0,0
HU_1313,Golop,498,286,1,0,214,14,0,57,0,0
HU_0970,Gömörszõlõs,73,38,0,0,19,8,0,11,0,0
HU_0506,Györgytarló,458,158,0,0,88,32,0,38,0,0
HU_1122,Hangács,493,247,3,0,95,20,0,0,129,0
HU_2510,Hangony,1271,599,6,0,300,65,0,228,0,0
HU_0246,Hegymeg,102,72,0,0,21,9,0,0,42,0
HU_0665,Hejõbába,1202,487,1,0,247,84,0,155,0,0
HU_0460,Hejõkeresztúr,882,414,2,0,233,68,0,111,0,0
HU_0228,Hejõkürt,248,133,1,0,62,20,0,50,0,0
HU_1678,Hejõpapi,909,324,4,0,173,50,0,97,0,0
HU_1215,Hejõszalonta,541,281,3,0,169,27,0,82,0,0
HU_2416,Hernádkak,1215,598,2,0,319,50,0,227,0,0
HU_3120,Hernádnémeti,2708,1158,8,0,642,134,0,374,0,0
HU_0800,Hét,449,238,2,0,76,43,0,117,0,0
HU_2567,Hidvégardó,538,271,3,0,49,75,0,0,144,0
HU_2539,Igrici,987,317,5,0,157,82,0,73,0,0
HU_1657,Imola,85,56,0,0,9,12,0,0,35,0
HU_0500,Irota,81,59,4,0,21,19,0,0,15,0
HU_0559,Izsófalva,1370,667,8,0,203,244,0,0,212,0
HU_2023,Jákfalva,386,193,0,0,102,30,0,0,61,0
HU_2665,Járdánháza,1401,653,6,0,341,108,0,198,0,0
HU_1568,Jósvafõ,263,132,1,0,53,18,0,0,60,0
HU_0669,Kazincbarcika,25091,11439,52,0,4419,4625,0,2343,0,0
HU_0776,Kánó,141,100,3,0,11,17,0,0,69,0
HU_1203,Kelemér,365,161,2,0,77,33,0,49,0,0
HU_0545,Kenézlõ,1027,381,1,0,249,37,0,94,0,0
HU_2924,Kesznyéten,1311,625,3,0,375,38,0,209,0,0
HU_3209,Királd,753,289,1,0,112,69,0,107,0,0
HU_1734,Kiscsécs,125,81,2,0,73,0,0,6,0,0
HU_1470,Kissikátor,285,220,0,0,104,16,0,100,0,0
HU_1239,Kistokaj,1657,738,3,0,373,200,0,162,0,0
HU_1061,Komjáti,240,152,4,0,40,38,0,0,70,0
HU_3249,Kondó,513,239,3,0,91,45,0,100,0,0
HU_2660,Köröm,800,387,1,0,292,15,0,79,0,0
HU_1181,Kurityán,1364,502,3,0,109,153,0,0,237,0
HU_1585,Lak,433,279,2,0,178,21,0,0,78,0
HU_2623,Ládbesenyõ,252,168,5,0,78,7,0,0,78,0
HU_1166,Legyesbénye,1282,557,2,0,275,64,0,216,0,0
HU_0703,Lénárddaróc,269,136,0,0,76,25,0,35,0,0
HU_0202,Martonyi,347,222,2,0,63,62,0,0,95,0
HU_0390,Mád,1969,943,1,0,521,204,0,217,0,0
HU_2739,Mályi,3596,1696,8,0,845,435,0,408,0,0
HU_1491,Mályinka,448,200,2,0,113,45,0,40,0,0
HU_2176,Megyaszó,1954,747,6,0,455,82,0,204,0,0
HU_1175,Meszes,173,131,1,0,46,28,0,0,56,0
HU_1383,Mezõcsát,4885,1844,11,0,1020,307,0,506,0,0
HU_0344,Mezõzombor,1877,665,3,0,394,82,0,186,0,0
HU_3045,Miskolc,137682,65458,224,0,32569,20976,0,11689,0,0
HU_0782,Monok,1288,575,2,0,298,96,0,179,0,0
HU_0215,Muhi,446,255,2,0,143,45,0,65,0,0
HU_2154,Múcsony,2654,1161,9,0,537,281,0,334,0,0
HU_2918,Nagybarca,717,300,2,0,209,45,0,44,0,0
HU_0558,Nagycsécs,636,286,0,0,179,17,0,90,0,0
HU_2803,Nekézseny,667,269,1,0,139,68,0,61,0,0
