gisco_id,name,registered,turnout,invalid,blank,FIDESZ-KDNP,MSZP-EGYÜTT-DK-PM-MLP,LMP,Jobbik,SZDP,ÖP,SEM,4K!,KTI,FKGP,ZÖP,EGYÜTT,JESZ,AH,MP,MKSZU,SMS,MCP,FKGP-MIÉP,Ind.,ÚMP,UDP,EP,MCF,ERP,Élőlánc,AQP,MRP,MSZDP,A VÁLASZ,KMSZ,NÉ,HATMAP,MM2006,MGP,TEMPO,EGYIKSEM,SZMP,Rend,MDU,MACSEP,SZAVA,MAJP,SZEM-NŐPÁRT,TBP,NFP,MNP,NÉP,ÚGP,MEGÚJULÁSPÁRT,KALÓZPÁRT,NOP
HU_09566,Budapest,20240,15131,136,0,7010,4754,2108,1041,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_03179,Budapest 02. ker.,67913,52072,338,0,24006,19633,4582,2949,0,246,149,88,41,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_13578,Budapest,100147,71112,711,0,26782,26743,6300,8479,309,368,0,0,0,0,585,443,149,243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_05467,Budapest 04. ker.,79955,53155,413,0,19091,20714,4009,6934,247,157,334,0,37,0,53,0,136,269,315,31,315,80,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_13392,Budapest 05. ker.,22293,16518,161,0,7796,5362,2002,1108,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_16586,Budapest 06. ker.,27502,17413,165,0,6652,6721,2066,1679,0,0,0,0,0,0,0,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_29744,Budapest 07. ker.,43961,27661,292,0,10331,10535,3282,2982,0,0,0,0,0,0,0,0,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_25405,Budapest 08. ker.,56035,31628,364,0,12448,11043,3004,3905,150,0,0,0,74,0,188,0,82,0,0,0,0,172,0,151,18,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_29586,Budapest 09. ker.,42901,26904,272,0,10226,9737,2842,3219,187,0,0,0,48,0,105,0,31,0,0,0,0,40,0,172,11,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_10700,Budapest 10. ker.,59114,37218,316,0,14164,13772,2576,5123,18,0,34,0,22,82,0,246,148,0,277,0,244,23,0,0,16,24,95,20,12,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
