gisco_id,name,registered,turnout,invalid,blank,FIDESZ-KDNP,LMP,Jobbik,MSZP-PM,MM,DK,MKKP,EGYÜTT,MIÉP,CP,SEM,MP,REP,SZEM,KN2018,MCP,ERDJDP,NP,MEP,KÖSSZ,ÖP,IP,TAM
HU_13578,Budapest,1323949,997487,7006,0,377864,107349,128039,178880,56968,85724,27637,16315,1445,1363,1206,2530,228,341,437,247,134,136,138,421,143,298,376
HU_12548,Abaliget,543,376,1,0,143,32,91,49,12,18,14,4,0,1,1,3,0,1,0,0,0,0,0,0,0,0,2
HU_06868,Adorjás,153,82,0,0,54,2,9,12,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
HU_13329,Almamellék,319,231,0,0,134,5,30,24,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_20376,Almáskeresztúr,68,51,0,0,20,0,13,13,0,1,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0
HU_17385,Alsómocsolád,248,150,0,0,93,9,28,8,2,6,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
HU_33279,Alsószentmárton,824,503,18,0,342,4,3,21,1,25,1,0,0,0,0,0,0,0,1,17,1,0,0,0,0,1,0
HU_27298,Apátvarasd,108,77,1,0,42,10,17,2,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0
HU_06886,Aranyosgadány,293,175,2,0,91,14,30,13,2,4,4,2,0,0,0,2,0,1,3,0,1,0,0,0,0,0,0
HU_25812,Ág,137,92,0,0,57,8,14,6,0,2,0,0,1,1,0,0,0,0,0,3,0,0,0,0,0,0,0
HU_28583,Áta,160,108,2,0,53,6,24,8,2,3,2,0,1,0,1,0,0,1,0,2,0,0,0,0,0,0,1
HU_05403,Babarc,577,369,16,0,160,5,44,14,0,16,5,0,0,1,0,3,0,0,0,0,0,0,0,1,0,0,0
HU_09663,Babarcszőlős,84,45,0,0,28,2,3,6,2,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_08299,Bakonya,287,176,5,0,65,4,57,12,2,13,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HU_22275,Bakóca,239,115,5,0,81,5,9,8,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
