gisco_id,name,registered,turnout,invalid,blank,FIDESZ-KDNP,EGYÜTT-PM,Jobbik,MSZP,LMP,DK,SMS,AH
HU_09566,Budapest,20949,10672,47,0,5397,1519,732,742,1163,1030,20,22
HU_03179,Budapest 02. ker.,67402,34729,78,0,16990,5760,2045,2708,3162,3819,88,79
HU_13578,Budapest,100592,40825,156,0,17168,5660,4150,4752,3178,5452,163,146
HU_05467,Budapest 04. ker.,79913,26985,105,0,10762,3376,2977,3638,1928,4006,91,102
HU_13392,Budapest 05. ker.,20621,9768,34,0,4702,1445,701,834,895,1112,32,13
HU_16586,Budapest 06. ker.,28674,10989,34,0,4662,1738,919,1011,1142,1416,33,34
HU_29744,Budapest 07. ker.,42955,14414,66,0,5865,2001,1391,1647,1554,1787,50,53
HU_25405,Budapest 08. ker.,55806,16599,56,0,7542,2012,1681,1572,1519,2107,56,54
HU_29586,Budapest 09. ker.,44605,16115,57,0,6861,2217,1623,1740,1637,1891,42,47
HU_10700,Budapest 10. ker.,58932,19283,64,0,7977,2156,2128,2512,1269,3001,93,83
HU_14216,Budapest 11. ker.,107476,49052,148,0,22867,6427,4100,4931,4289,5990,170,130
HU_24697,Budapest 12. ker.,45835,24282,57,0,12360,3609,1569,1824,2278,2464,60,61
HU_24299,Budapest 13. ker.,90901,34846,118,0,11218,5586,2844,6527,3013,5323,108,109
HU_16337,Budapest 14. ker.,92806,38444,146,0,15680,5666,3437,4646,3322,5313,130,104
HU_11314,Budapest 15. ker.,65093,22266,81,0,9484,2270,2836,2690,1335,3382,90,98
HU_08208,Budapest 16. ker.,56644,23863,79,0,11310,3039,2662,2120,1696,2744,103,110
HU_02112,Budapest 17. ker.,70134,25005,53,0,11684,2535,3095,2552,1575,3296,102,113
HU_29285,Budapest 18. ker.,80464,29178,75,0,12874,2854,3591,3858,1758,3918,126,124
HU_04011,Budapest 19. ker.,48373,17836,52,0,7206,2171,2052,2714,1191,2277,100,73
HU_06026,Budapest 20. ker.,52240,16778,64,0,7224,1586,2105,2342,957,2367,81,52
HU_13189,Budapest 21. ker.,61639,19968,68,0,8039,2264,2603,2666,1158,2983,102,85
HU_10214,Budapest 22. ker.,42640,17200,36,0,8399,1902,1917,1504,1141,2158,70,73
HU_34139,Budapest 23. ker.,17573,5765,32,0,2585,596,837,641,325,683,34,32
HU_12548,Abaliget,556,136,0,0,70,6,23,9,16,11,0,1
HU_06868,Adorjás,147,41,1,0,21,4,2,10,1,0,0,2
HU_13329,Almamellék,342,120,0,0,73,1,13,3,2,28,0,0
HU_20376,Almáskeresztúr,68,33,0,0,16,0,7,1,2,7,0,0
HU_17385,Alsómocsolád,285,64,0,0,32,0,10,7,10,2,0,3
HU_33279,Alsószentmárton,779,214,2,0,201,0,0,8,0,2,0,1
HU_27298,Apátvarasd,110,34,0,0,27,0,6,1,0,0,0,0
HU_06886,Aranyosgadány,298,46,1,0,29,2,3,3,2,1,2,3
HU_25812,Ág,142,27,0,0,19,0,3,1,3,1,0,0
HU_28583,Áta,165,45,0,0,29,1,8,4,1,2,0,0
HU_05403,Babarc,607,144,0,0,83,8,31,12,1,8,1,0
HU_09663,Babarcszőlős,93,30,0,0,23,0,0,7,0,0,0,0
HU_08299,Bakonya,292,77,2,0,39,6,11,3,1,15,0,0
HU_22275,Bakóca,256,58,0,0,45,0,0,9,3,1,0,0
HU_03975,Baksa,651,104,0,0,38,4,23,17,3,14,2,3
HU_20464,Baranyahídvég,166,44,0,0,33,0,7,3,1,0,0,0
HU_24749,Baranyajenő,363,58,2,0,28,3,7,10,1,6,1,0
HU_05485,Baranyaszentgyörgy,109,51,0,0,47,0,4,0,0,0,0,0
HU_15495,Basal,163,43,0,0,22,0,3,6,1,11,0,0
HU_07603,Bánfa,135,35,0,0,18,0,3,3,2,6,3,0
HU_24378,Bár,463,120,0,0,85,2,17,7,4,5,0,0
HU_19008,Belvárdgyula,340,73,1,0,38,3,10,10,4,6,0,1
HU_31927,Beremend,2144,370,2,0,188,15,53,61,14,34,0,3
HU_16461,Berkesd,734,109,0,0,67,4,13,10,4,10,1,0
HU_30049,Besence,94,23,0,0,11,3,3,2,4,0,0,0
HU_14119,Bezedek,211,62,1,0,46,0,10,1,0,3,1,0
HU_13310,Bicsérd,840,188,0,0,114,6,25,22,1,18,0,2
HU_04899,Bikal,667,165,0,0,77,19,19,21,9,16,1,3
HU_05139,Birján,426,106,0,0,58,4,18,11,8,4,1,2
HU_24925,Bisse,212,52,0,0,31,0,13,5,1,1,0,1
HU_20899,Boda,358,73,0,0,37,1,22,5,3,3,0,2
HU_33002,Bodolyabér,198,48,0,0,34,1,7,2,0,3,0,1
HU_32151,Bogád,841,199,1,0,98,10,49,10,15,15,0,1
HU_21892,Bogádmindszent,345,72,0,0,53,4,6,2,1,6,0,0
HU_10694,Bogdása,242,47,0,0,25,2,8,4,0,7,0,1
HU_13116,Boldogasszonyfa,324,106,0,0,59,3,28,7,3,5,1,0
HU_06725,Borjád,345,92,3,0,63,0,13,4,2,3,2,2
HU_14368,Bosta,119,28,0,0,7,1,8,9,1,2,0,0
HU_13365,Botykapeterd,272,52,0,0,32,0,16,2,0,2,0,0
HU_33154,Bóly,3021,850,0,0,523,42,93,77,40,64,4,7
HU_23162,Bükkösd,931,149,1,0,85,6,23,8,11,12,0,3
HU_07533,Bürüs,69,12,0,0,9,0,3,0,0,0,0,0
HU_30614,Csarnóta,136,31,0,0,21,0,3,5,0,0,1,1
HU_19901,Csányoszró,583,96,0,0,61,5,14,6,3,4,2,1
HU_21591,Csebény,72,20,0,0,7,0,4,4,0,1,0,4
HU_26082,Cserdi,286,58,1,0,44,0,9,2,2,0,0,0
HU_03896,Cserkút,489,144,0,0,61,25,20,14,12,11,0,1
HU_13851,Csertő,330,75,0,0,47,1,10,4,4,9,0,0
HU_22576,Csonkamindszent,137,44,0,0,30,0,11,2,1,0,0,0
HU_11086,Cún,178,55,0,0,37,0,8,8,2,0,0,0
HU_07773,Dencsháza,486,49,1,0,24,3,9,4,3,2,2,1
HU_11952,Dinnyeberki,69,23,0,0,13,0,8,2,0,0,0,0
HU_32373,Diósviszló,566,139,0,0,90,4,18,14,7,4,0,2
HU_28617,Drávacsehi,169,41,0,0,21,0,5,11,1,2,0,1
HU_28121,Drávacsepely,188,39,0,0,25,0,4,4,0,5,0,1
HU_17419,Drávafok,411,94,1,0,63,4,10,10,2,4,0,0
HU_32391,Drávaiványi,140,40,0,0,19,0,7,11,0,2,0,1
HU_09159,Drávakeresztúr,99,34,1,0,24,0,4,3,0,2,0,0
HU_22734,Drávapalkonya,212,48,1,0,17,2,15,4,1,8,0,0
HU_12380,Drávapiski,78,24,0,0,19,1,0,3,0,1,0,0
HU_28608,Drávaszabolcs,562,116,0,0,62,2,27,13,1,10,0,1
HU_30030,Drávaszerdahely,166,50,0,0,24,1,12,8,2,1,0,2
HU_21698,Drávasztára,365,77,1,0,51,1,18,5,0,1,0,0
HU_09186,Dunaszekcső,1657,383,0,0,240,15,58,29,9,30,0,2
HU_28918,Egerág,846,186,3,0,66,5,72,17,8,13,0,2
HU_16498,Egyházasharaszti,252,47,1,0,26,0,13,5,0,2,0,0
HU_27401,Egyházaskozár,680,166,0,0,60,6,29,26,7,36,1,1
HU_06099,Ellend,193,57,2,0,32,0,8,5,3,6,0,1
HU_28273,Endrőc,323,54,0,0,34,1,12,4,1,2,0,0
HU_25821,Erdősmárok,64,27,0,0,15,1,6,4,0,1,0,0
HU_18704,Erdősmecske,312,61,0,0,45,0,10,3,1,1,0,1
HU_13499,Erzsébet,245,52,0,0,25,0,20,3,3,1,0,0
HU_17835,Fazekasboda,177,54,0,0,38,0,10,3,1,2,0,0
HU_04543,Feked,178,73,0,0,36,6,13,10,6,2,0,0
HU_13286,Felsőegerszeg,116,23,0,0,18,0,1,1,1,2,0,0
HU_08819,Felsőszentmárton,826,176,1,0,88,4,16,45,9,13,0,0
HU_07560,Garé,236,44,0,0,15,1,20,4,1,0,0,3
HU_12751,Gerde,420,81,2,0,41,2,18,9,2,7,0,0
HU_02857,Geresdlak,659,166,0,0,105,10,18,12,5,12,0,4
