gisco_id,name,registered,turnout,invalid,blank,VU,FBP,FL,DpL,DU
LI_00001001,Vaduz,2774,2122,16,27,671,817,313,187,91
LI_00001003,Balzers,2619,1994,38,19,824,587,263,167,96
LI_00001006,Planken,266,235,5,4,78,92,32,13,11
LI_00001005,Schaan,3086,2329,37,17,766,812,348,222,127
LI_00001002,Triesen,2679,1976,15,46,679,621,246,248,121
LI_00001004,Triesenberg,1713,1356,31,14,581,457,130,101,42
LI_00002001,Eschen,2318,1722,57,13,534,604,173,293,48
LI_00002003,Gamprin,886,714,23,6,220,281,63,105,16
LI_00002002,Mauren,2114,1656,44,13,488,689,175,225,22
LI_00002004,Ruggell,1299,1078,14,6,426,362,103,153,14
LI_00002005,Schellenberg,630,537,12,6,164,209,76,55,15
