gisco_id,name,registered,turnout,invalid,blank,TS-LKD,TPP (2008),TT,LSDP,DP,LRLS,LiCS,LLRA-KŠS,LVŽS,NS (1998),FP,JL,PDP,LRS,TTS
LT_1300,Vilniaus,507578,254422,10828,0,51383,18425,28772,20062,12668,15870,24828,40695,4039,5108,10076,2741,2077,5344,1495
LT_LTZZIE,Citizens of Lithuania living in Ireland,1511,1167,35,0,199,307,93,66,80,167,62,3,48,47,11,21,14,8,6
LT_LTZZAR,Citizens of Lithuania living in Argentina,276,149,3,0,50,2,1,50,2,7,14,1,6,3,4,1,2,1,2
LT_LTZZAM,Citizens of Lithuania living in Armenia,10,10,0,0,5,0,0,3,0,0,0,0,0,0,0,0,0,2,0
LT_LTZZAT,Citizens of Lithuania living in Austria,116,99,4,0,47,3,4,15,0,8,9,0,1,4,2,0,1,0,1
LT_LTZZAZ,Citizens of Lithuania living in Azerbaijan,20,15,1,0,4,1,1,5,0,1,1,0,0,0,0,0,0,1,0
LT_LTZZBE,Citizens of Lithuania living in Belgium,761,651,11,0,325,23,9,77,6,100,43,1,12,23,6,3,2,4,6
LT_LTZZBR,Citizens of Lithuania living in Brazil,346,80,4,0,43,0,2,13,1,11,1,0,1,1,0,0,2,0,1
LT_LTZZBG,Citizens of Lithuania living in Bulgaria,18,14,0,0,3,1,0,0,0,1,2,2,2,2,0,0,0,0,1
LT_LTZZCZ,Citizens of Lithuania living in Czechia,87,64,2,0,29,5,7,4,2,3,5,0,1,1,0,2,0,1,2
LT_LTZZDK,Citizens of Lithuania living in Denmark,309,249,5,0,104,32,4,18,2,32,31,1,1,7,8,4,0,0,0
LT_LTZZEG,Citizens of Lithuania living in Egypt,19,14,0,0,2,2,0,1,1,4,2,1,0,1,0,0,0,0,0
LT_LTZZEE,Citizens of Lithuania living in Estonia,263,203,22,0,32,9,23,21,15,12,8,2,16,12,1,0,5,17,8
LT_LTZZEL,Citizens of Lithuania living in Greece,68,34,0,0,13,3,3,5,0,1,2,0,2,4,1,0,0,0,0
LT_LTZZGE,Citizens of Lithuania living in Georgia,90,76,3,0,24,8,6,6,2,5,15,4,0,1,1,1,0,0,0
LT_LTZZIT,Citizens of Lithuania living in Italy,195,160,5,0,95,7,7,5,0,18,11,0,5,6,1,0,0,0,0
LT_LTZZIL,Citizens of Lithuania living in Israel,163,87,0,0,19,4,11,26,2,13,1,1,1,5,0,1,0,1,2
LT_LTZZJP,Citizens of Lithuania living in Japan,93,68,3,0,34,2,1,4,1,2,14,0,0,0,2,0,1,0,4
LT_LTZZKZ,Citizens of Lithuania living in Kazakhstan,93,41,4,0,8,1,3,10,2,4,1,1,1,4,0,0,0,2,0
LT_LTZZCO,Citizens of Lithuania living in Colombia,115,63,3,0,11,1,2,8,0,8,1,0,19,0,5,2,2,0,1
LT_LTZZCN,Citizens of Lithuania living in China,40,33,0,0,14,3,1,3,0,5,2,1,0,1,2,0,0,0,1
LT_LTZZLV,Citizens of Lithuania living in Latvia,507,349,25,0,61,20,62,44,20,10,10,2,39,16,5,6,5,19,5
LT_LTZZMD,"Citizens of Lithuania living in Moldova, Republic of",57,36,0,0,5,1,4,5,3,4,4,0,6,1,0,0,0,3,0
LT_LTZZNL,Citizens of Lithuania living in Netherlands,190,92,1,0,37,4,3,6,1,22,13,1,2,0,1,0,0,1,0
LT_LTZZNO,Citizens of Lithuania living in Norway,260,213,3,0,83,40,12,24,5,13,14,0,1,6,2,4,1,0,5
LT_LTZZPT,Citizens of Lithuania living in Portugal,235,67,1,0,24,1,4,8,1,8,15,0,1,0,1,2,0,0,1
LT_LTZZFR,Citizens of Lithuania living in France,259,185,4,0,81,15,3,19,5,25,16,1,4,2,1,2,2,1,4
LT_LTZZRO,Citizens of Lithuania living in Romania,13,13,0,0,6,0,0,2,0,2,3,0,0,0,0,0,0,0,0
LT_LTZZSI,Citizens of Lithuania living in Slovenia,11,11,0,0,5,0,0,1,0,2,2,0,0,0,1,0,0,0,0
LT_LTZZFI,Citizens of Lithuania living in Finland,102,95,1,0,34,6,3,16,1,9,13,1,3,5,1,1,0,0,1
LT_LTZZSE,Citizens of Lithuania living in Sweden,297,250,5,0,93,21,3,37,8,28,23,0,3,9,5,3,1,0,11
LT_LTZZCH,Citizens of Lithuania living in Switzerland,126,106,5,0,54,4,1,8,0,16,6,2,2,3,1,2,0,0,2
LT_LTZZTR,Citizens of Lithuania living in Türkiye,30,20,0,0,6,0,3,5,0,0,3,0,3,0,0,0,0,0,0
LT_LTZZUA,Citizens of Lithuania living in Ukraine,235,147,12,0,29,8,4,25,3,16,13,2,15,7,4,2,2,2,3
LT_LTZZUY,Citizens of Lithuania living in Uruguay,15,15,1,0,2,0,0,5,0,5,0,0,2,0,0,0,0,0,0
LT_LTZZHU,Citizens of Lithuania living in Hungary,63,52,4,0,19,3,0,9,1,4,9,1,0,2,0,0,0,0,0
LT_LTZZIN,Citizens of Lithuania living in India,6,6,0,0,2,0,0,1,0,0,2,0,0,0,1,0,0,0,0
LT_LTZZAU,Citizens of Lithuania living in Australia,484,88,6,0,70,2,2,2,0,3,2,0,0,0,0,0,0,0,1
LT_LTZZBY,Citizens of Lithuania living in Belarus,543,303,19,0,14,5,69,42,27,7,14,19,19,21,8,0,4,35,0
LT_LTZZES,Citizens of Lithuania living in Spain,185,131,3,0,32,7,7,5,6,29,12,0,6,11,4,2,0,7,0
LT_LTZZUS,Citizens of Lithuania living in United States,1711,1301,32,0,829,39,40,85,2,118,69,4,12,37,6,10,8,1,9
LT_LTZZGB,Citizens of Lithuania living in United Kingdom,3561,1886,76,0,517,388,123,132,87,169,160,3,56,73,31,34,10,9,18
LT_LTZZCA,Citizens of Lithuania living in Canada,386,157,5,0,127,4,6,3,1,2,5,0,0,4,0,0,0,0,0
LT_LTZZPL,Citizens of Lithuania living in Poland,486,237,5,0,105,16,11,18,0,8,9,42,10,6,0,4,1,0,2
LT_LTZZRU,Citizens of Lithuania living in Russian Federation,1307,822,35,0,135,33,169,96,46,36,33,9,86,30,25,8,13,58,10
LT_LTZZDE,Citizens of Lithuania living in Germany,587,486,31,0,199,30,24,61,3,46,35,0,13,22,8,1,7,4,2
LT_1900,Kauno,348762,173281,9727,0,46667,29411,13664,17359,11073,12903,7570,213,3699,6565,5046,5834,1505,882,1166
LT_2100,Klaipėdos,186091,81532,4512,0,13814,12894,12941,5616,5220,10632,2630,3326,1891,1432,2111,1050,741,2091,631
