gisco_id,name,registered,turnout,invalid,blank,TS-LKD,LVŽS,LSDP,LRLS,TTS,LLRA-KŠS,TT,DP,LLS,LŽP,PPLS,LLP,JL-LTS,DK
LT_1041,Vilniaus,499687,263637,6949,0,6879,1818,2035,2860,660,5306,684,722,808,311,364,164,126,43
LT_LTZZIE,Citizens of Lithuania living in Ireland,946,798,13,0,150,83,25,64,18,2,10,6,6,10,24,44,3,1
LT_LTZZAM,Citizens of Lithuania living in Armenia,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LT_LTZZAT,Citizens of Lithuania living in Austria,229,208,2,0,37,6,6,15,1,0,0,0,4,10,4,1,0,0
LT_LTZZAZ,Citizens of Lithuania living in Azerbaijan,29,29,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LT_LTZZBE,Citizens of Lithuania living in Belgium,1168,1084,10,0,258,19,38,97,2,0,1,3,10,14,3,6,0,0
LT_LTZZCZ,Citizens of Lithuania living in Czechia,119,106,1,0,13,0,1,8,0,0,0,0,1,0,0,0,0,0
LT_LTZZDK,Citizens of Lithuania living in Denmark,1061,922,7,0,188,42,11,102,7,2,1,1,12,18,16,7,0,0
LT_LTZZEG,Citizens of Lithuania living in Egypt,50,30,0,0,8,0,0,6,1,0,0,0,1,0,1,1,1,0
LT_LTZZEE,Citizens of Lithuania living in Estonia,123,115,0,0,11,2,1,6,2,0,1,0,1,0,0,1,0,0
LT_LTZZEL,Citizens of Lithuania living in Greece,88,57,0,0,16,2,1,10,1,0,0,0,1,1,0,0,0,0
LT_LTZZGE,Citizens of Lithuania living in Georgia,110,98,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LT_LTZZIT,Citizens of Lithuania living in Italy,300,220,2,0,71,9,8,30,2,2,3,1,2,5,3,0,0,0
LT_LTZZIL,Citizens of Lithuania living in Israel,45,41,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
LT_LTZZJP,Citizens of Lithuania living in Japan,247,181,0,0,75,5,7,36,2,0,1,2,4,8,4,2,3,1
LT_LTZZKZ,Citizens of Lithuania living in Kazakhstan,59,57,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LT_LTZZCN,Citizens of Lithuania living in China,42,42,0,0,7,1,0,4,0,0,0,0,0,2,0,0,0,0
LT_LTZZLV,Citizens of Lithuania living in Latvia,241,212,2,0,46,0,5,15,0,0,3,0,0,0,0,1,0,0
LT_LTZZMD,"Citizens of Lithuania living in Moldova, Republic of",27,21,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
LT_LTZZNL,Citizens of Lithuania living in Netherlands,699,614,5,0,153,22,7,121,11,1,7,0,9,10,10,2,1,0
LT_LTZZNO,Citizens of Lithuania living in Norway,1463,1246,12,0,249,95,23,93,35,2,8,2,4,16,30,30,4,3
LT_LTZZFR,Citizens of Lithuania living in France,401,338,4,0,81,11,18,51,2,0,1,0,5,6,7,4,4,0
LT_LTZZRO,Citizens of Lithuania living in Romania,46,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LT_LTZZFI,Citizens of Lithuania living in Finland,196,186,6,0,39,1,3,13,1,1,1,1,5,1,7,0,2,0
LT_LTZZSE,Citizens of Lithuania living in Sweden,624,549,1,0,126,20,12,73,7,0,4,1,0,11,12,8,0,0
LT_LTZZCH,Citizens of Lithuania living in Switzerland,328,300,6,0,98,14,13,72,4,3,2,1,7,3,7,1,2,0
LT_LTZZTR,Citizens of Lithuania living in Türkiye,91,77,1,0,18,5,25,12,1,0,0,1,0,2,2,0,0,0
LT_LTZZUA,Citizens of Lithuania living in Ukraine,116,107,2,0,1,0,0,2,2,0,0,0,0,0,0,1,0,0
LT_LTZZHU,Citizens of Lithuania living in Hungary,83,71,1,0,7,0,0,3,0,0,0,0,0,0,0,0,0,0
LT_LTZZIN,Citizens of Lithuania living in India,18,16,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
LT_LTZZBR,Citizens of Lithuania living in Brazil,37,26,1,0,5,0,2,1,1,0,0,0,0,0,0,1,0,0
LT_LTZZZA,Citizens of Lithuania living in South Africa,26,23,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
LT_LTZZUS,Citizens of Lithuania living in United States,1929,1624,31,0,571,70,50,146,36,1,6,6,23,15,17,21,8,0
LT_LTZZBY,Citizens of Lithuania living in Belarus,108,90,4,0,1,0,3,0,0,7,6,3,1,0,0,0,0,0
LT_LTZZES,Citizens of Lithuania living in Spain,390,277,9,0,67,7,6,41,7,0,0,3,4,6,5,1,1,0
LT_LTZZGB,Citizens of Lithuania living in United Kingdom,5473,4635,39,0,1354,256,134,802,99,10,44,33,72,98,69,131,22,7
LT_LTZZCA,Citizens of Lithuania living in Canada,157,124,1,0,61,3,5,22,1,0,0,0,0,2,5,6,2,0
LT_LTZZPL,Citizens of Lithuania living in Poland,241,208,1,0,14,6,0,11,0,7,0,0,5,1,1,1,0,0
LT_LTZZRU,Citizens of Lithuania living in Russian Federation,548,487,17,0,6,1,4,4,0,1,11,6,2,2,1,9,0,0
LT_LTZZDE,Citizens of Lithuania living in Germany,1332,1151,8,0,422,81,38,194,28,7,14,1,23,25,33,25,13,0
LT_LTZZ99,/Vilniaus m./Balsavimas LR diplomatinėse atstovybėse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LT_1900,Kauno,328013,175986,6545,0,4422,2336,2030,1272,687,51,622,483,210,216,202,114,95,83
LT_2100,Klaipėdos miesto savivaldybė,176225,79979,3687,0,2272,1167,823,1306,549,178,814,248,115,109,102,63,41,23
LT_2300,Neringos savivaldybė,2220,1176,59,0,146,48,79,108,17,1,5,5,8,5,7,4,1,0
LT_5651,Kretingos seniūnija,35996,17161,906,0,658,432,462,257,192,6,176,130,23,57,20,23,16,5
LT_2900,Šiaulių miesto savivaldybė,126086,64656,2570,0,1539,1958,983,681,367,16,327,341,90,133,83,78,42,9
LT_6647,Panevėžio seniūnija,116087,59667,2701,0,1947,1625,973,635,328,10,243,284,132,139,78,61,29,13
LT_1847,Marijampolės,51548,24655,972,0,845,744,679,209,214,11,178,182,35,48,36,36,16,16
