gisco_id,name,registered,turnout,invalid,blank,DL,ADR,KPL,DP,PPLU,déi gréng,LSAP,CSV,PID
LU_1001,Beaufort,1005,933,99,29,40,89,11,121,24,101,107,288,20
LU_1002,Bech,678,624,39,19,23,44,2,103,14,90,62,212,11
LU_0701,Beckerich,1343,1250,92,73,41,69,7,186,32,263,102,349,31
LU_1003,Berdorf,843,782,64,31,12,79,6,135,22,100,114,207,8
LU_0301,Bertrange,2796,2460,163,178,69,86,12,608,55,214,260,789,22
LU_0201,Bettembourg,5017,4513,266,380,162,287,68,427,98,398,1052,1325,46
LU_0601,Bettendorf,1182,1111,83,51,32,56,4,240,42,65,169,336,28
LU_1101,Betzdorf,1840,1644,90,43,50,130,6,292,38,279,190,512,11
LU_0402,Bissen,1441,1359,107,124,38,66,10,223,37,116,183,427,22
LU_1102,Biwer,962,903,57,44,27,80,3,171,24,86,100,297,10
LU_0403,Boevange-sur-Attert,1364,1292,101,126,44,75,9,218,50,118,158,368,20
LU_0801,Boulaide,633,589,46,20,8,41,7,152,25,44,80,147,14
LU_0602,Bourscheid,808,748,33,38,38,39,6,184,21,54,84,216,30
LU_1201,Bous,844,808,58,29,28,60,4,105,26,90,82,312,10
LU_0501,Clervaux,2568,2345,145,134,41,148,16,549,78,158,253,761,57
LU_0401,Colmar-Berg,996,947,74,94,37,64,12,154,22,78,158,237,13
LU_1004,Consdorf,1047,963,61,22,25,77,8,169,24,110,122,327,13
LU_0302,Contern,1930,1755,99,149,48,72,10,350,42,159,260,554,8
LU_1202,Dalheim,1099,1040,63,34,49,90,9,200,39,130,91,319,12
LU_0603,Diekirch,2911,2604,164,81,50,101,10,466,59,189,665,748,66
LU_0202,Differdange,8289,7530,761,778,344,472,282,1114,188,528,1296,1683,80
LU_0101,Dippach,2022,1904,106,211,58,115,22,247,46,165,313,604,14
LU_0203,Dudelange,9700,8861,628,801,460,554,118,571,200,785,2692,1915,131
LU_1005,Echternach,2463,2102,140,77,51,123,11,329,30,278,327,706,25
LU_0703,Ell,630,587,35,25,12,36,4,105,13,106,49,179,19
LU_0604,Erpeldange,1343,1252,73,62,34,67,7,304,24,103,163,377,33
LU_0204,Esch-sur-Alzette,11693,10228,938,877,816,544,337,929,272,668,2148,2572,122
LU_0802,Esch-sur-Sûre,1275,1194,94,65,41,53,13,226,42,97,161,350,47
LU_0803,Eschweiler,504,474,36,18,15,27,1,88,16,28,92,137,12
LU_0605,Ettelbruck,3537,3214,244,119,64,125,19,617,102,301,561,928,129
LU_0606,Feulen,974,938,70,42,9,47,3,242,24,61,120,289,27
LU_0404,Fischbach,580,552,28,57,14,40,4,116,14,63,53,147,11
LU_1103,Flaxweiler,1079,1003,61,25,24,84,10,146,30,116,118,374,10
LU_0205,Frisange,2175,2025,130,223,84,257,18,218,47,160,315,551,17
LU_0102,Garnich,1117,1068,86,112,46,64,14,173,21,80,159,298,10
LU_0804,Goesdorf,886,849,65,46,9,39,6,149,21,56,166,262,26
LU_1104,Grevenmacher,2242,2043,170,97,60,148,13,290,39,188,308,690,36
LU_0705,Grosbous,548,529,50,24,7,30,1,149,13,35,55,150,11
LU_0405,Heffingen,617,580,22,53,20,44,4,112,19,54,66,175,6
LU_0303,Hesperange,5743,5149,287,398,185,240,34,992,101,493,549,1810,56
LU_0103,Hobscheid,1752,1659,106,205,51,95,16,164,52,133,271,540,21
LU_1105,Junglinster,3589,3320,206,93,81,228,16,651,97,389,451,1071,32
LU_0206,Kayl,4422,3678,301,10,140,290,87,325,120,305,996,1051,49
LU_0105,Kehlen,2879,2694,133,268,101,155,33,399,52,289,380,854,25
LU_0805,Kiischpelt,608,572,43,21,16,36,6,110,34,45,78,157,22
LU_0106,Koerich,1261,1187,66,120,47,75,16,146,26,101,227,343,17
LU_0107,Kopstal,1459,1306,56,102,53,63,9,266,28,138,164,417,7
LU_0104,Käerjeng,5711,5268,328,509,255,344,100,595,134,361,1103,1488,47
LU_0806,Lac de la Haute-Sûre,987,932,55,44,14,49,7,182,32,76,122,328,19
LU_0406,Larochette,625,581,42,60,34,23,4,116,19,63,65,143,6
