gisco_id,name,registered,turnout,invalid,blank,PPLU,déi gréng,LSAP,CSV,KPL,DP,ADR,DL,Demokratie,Déi Konservativ
LU_1001,Beaufort,1215,1096,50,92,132,149,112,231,15,151,122,38,0,0
LU_1002,Bech,714,658,18,26,21,133,70,180,4,119,60,24,0,0
LU_0701,Beckerich,1468,1362,46,99,117,292,107,365,5,156,104,66,0,0
LU_1003,Berdorf,868,817,30,52,47,114,121,191,8,113,120,16,0,0
LU_0301,Bertrange,3052,2659,104,223,113,359,221,676,17,717,112,106,7,0
LU_0201,Bettembourg,5381,4816,166,428,239,649,1033,1111,49,473,400,238,15,10
LU_0601,Bettendorf,1331,1235,59,97,96,150,182,328,7,170,86,55,0,0
LU_1101,Betzdorf,1923,1796,53,102,69,340,325,446,5,264,121,68,0,0
LU_0402,Bissen,1595,1468,81,187,95,152,198,377,6,186,113,65,3,0
LU_1102,Biwer,1051,986,39,55,68,137,104,264,3,179,104,29,0,0
LU_0801,Boulaide,751,709,22,47,57,59,87,205,7,110,90,20,0,0
LU_0602,Bourscheid,886,827,27,63,58,84,91,280,3,130,62,25,0,0
LU_1201,Bous,942,887,29,58,57,116,91,256,6,161,80,29,0,0
LU_0501,Clervaux,2807,2545,106,204,171,251,270,738,17,457,261,65,0,0
LU_0401,Colmar-Berg,1017,948,48,139,67,111,104,194,4,131,107,39,0,0
LU_1004,Consdorf,1103,1022,43,57,62,137,89,267,7,215,113,28,0,0
LU_0302,Contern,2065,1831,49,181,68,248,204,588,7,305,109,64,2,0
LU_1202,Dalheim,1231,1166,49,61,96,178,112,269,3,225,122,47,0,0
LU_0603,Diekirch,3354,2908,144,186,147,389,717,700,12,350,164,96,0,0
LU_0202,Differdange,9439,8466,567,999,628,1235,1317,1476,286,840,609,409,39,56
LU_0101,Dippach,2192,2018,74,244,102,218,363,495,14,286,133,78,2,4
LU_0203,Dudelange,10242,9230,461,916,520,1039,2654,1742,88,544,669,539,25,30
LU_1005,Echternach,2503,2127,84,126,140,379,320,514,14,344,132,71,0,0
LU_0703,Ell,722,677,23,53,47,114,50,181,5,105,67,27,0,0
LU_0604,Erpeldange,1402,1298,32,77,61,197,173,374,4,233,101,42,0,0
LU_0204,Esch-sur-Alzette,12158,10544,660,1066,635,1285,1882,2315,222,1004,628,770,26,46
LU_0802,Esch-sur-Sûre,1416,1333,60,126,78,139,140,447,11,178,109,40,0,0
LU_0605,Ettelbruck,3781,3284,178,223,256,429,568,867,28,410,219,102,0,0
LU_0606,Feulen,1186,1138,34,90,70,152,127,309,7,217,99,29,0,0
LU_0404,Fischbach,644,616,24,67,41,83,56,137,4,130,47,20,3,0
LU_1103,Flaxweiler,1173,1104,34,60,67,157,124,368,6,159,98,27,0,0
LU_0205,Frisange,2424,2241,81,204,127,258,318,508,21,272,337,100,4,7
LU_0102,Garnich,1203,1132,35,149,42,120,146,266,13,183,126,43,1,3
LU_0804,Goesdorf,966,920,36,74,52,99,143,289,6,114,78,25,0,0
LU_1104,Grevenmacher,2444,2166,92,129,152,273,322,605,20,349,160,59,0,0
LU_0705,Grosbous,643,615,26,38,36,61,69,185,1,134,52,9,0,0
LU_0103,Habscht,2427,2241,96,262,110,241,293,655,28,268,171,101,4,6
LU_0405,Heffingen,774,724,25,74,35,86,73,197,6,128,64,32,0,0
LU_0403,Helperknapp,2395,2259,72,244,127,303,220,621,14,367,181,102,4,0
LU_0303,Hesperange,5774,5004,200,464,189,703,414,1552,33,935,283,216,11,0
LU_1105,Junglinster,3998,3645,84,164,174,628,332,1015,18,839,287,99,0,0
LU_0104,Käerjeng,5938,5361,190,511,299,676,869,1419,68,574,476,229,15,29
LU_0206,Kayl,4702,4251,215,478,317,438,926,930,57,348,344,158,15,20
LU_0105,Kehlen,3179,2899,69,272,95,434,404,806,22,435,238,108,5,6
LU_0805,Kiischpelt,655,610,20,36,65,48,73,185,7,80,69,23,0,0
LU_0106,Koerich,1314,1231,35,113,77,182,179,329,17,138,94,57,3,2
LU_0107,Kopstal,1582,1392,38,92,43,221,179,347,10,285,88,74,8,2
LU_0806,Lac de la Haute-Sûre,1091,1033,47,82,46,103,125,334,9,149,103,31,0,0
LU_0406,Larochette,709,665,41,89,61,82,62,148,5,106,36,32,0,0
LU_1203,Lenningen,989,916,24,58,50,151,96,233,3,181,86,31,0,0
LU_0207,Leudelange,1294,1157,51,113,44,160,121,319,5,204,76,42,4,10
LU_0407,Lintgen,1453,1353,57,144,105,191,183,273,8,223,103,58,3,0
LU_0408,Lorentzweiler,2026,1810,69,206,84,241,245,444,9,328,97,78,5,0
LU_0304,Luxembourg,29674,24764,1234,1955,1002,3621,2370,5755,196,5767,1314,1462,82,0
LU_0108,Mamer,3835,3405,106,291,138,620,415,938,11,519,202,142,12,6
LU_1106,Manternach,1218,1097,38,76,69,185,138,288,3,161,105,28,0,0
LU_0409,Mersch,4680,4130,166,406,249,540,398,1028,19,804,302,203,11,0
LU_1107,Mertert,2326,2068,97,144,138,241,504,499,16,249,134,43,0,0
LU_0607,Mertzig,1222,1149,39,101,74,137,131,289,6,247,82,40,0,0
LU_0208,Mondercange,4167,3818,112,385,176,438,750,1003,37,432,294,172,6,10
LU_1204,Mondorf-les-Bains,2478,2139,77,126,107,297,145,471,8,698,159,48,0,0
LU_0305,Niederanven,2839,2481,57,168,78,342,277,769,8,536,139,93,9,0
