gisco_id,name,registered,turnout,invalid,blank,KPL,déi gréng,ADR,LSAP,DP,DL,CSV,Bl
LU_0201,Bettembourg,4306,3929,375,159,59,519,237,794,498,122,1120,43
LU_1101,Betzdorf,955,876,113,51,13,115,80,98,118,27,247,10
LU_1102,Biwer,661,612,39,33,4,110,43,70,101,9,197,2
LU_0802,Esch-sur-Sûre,1313,1206,113,64,6,268,96,115,160,31,333,16
LU_1103,Flaxweiler,801,737,66,36,15,97,56,131,105,18,193,18
LU_0401,Colmar-Berg,2902,2589,203,132,23,388,99,334,620,67,706,14
LU_0301,Bertrange,5296,4747,424,187,73,728,264,1103,548,133,1243,39
LU_0702,Preizerdaul,1256,1186,103,106,15,168,81,118,215,31,337,9
LU_1201,Bous,1674,1614,120,53,13,323,83,189,250,39,530,10
LU_0502,Wincrange,1407,1322,131,76,11,177,106,163,229,28,382,15
LU_1202,Dalheim,982,927,98,44,6,136,76,124,141,22,270,6
LU_0503,Parc Hosingen,1255,1189,115,633,8,61,35,52,93,12,167,8
LU_0901,Tandel,570,533,52,28,7,60,42,60,122,6,145,7
LU_0703,Ell,783,710,60,56,4,87,41,80,171,17,180,10
LU_1300,Bous,797,755,87,48,12,105,53,68,98,14,264,3
LU_1301,Burmerange,601,575,62,18,5,86,39,68,85,23,175,10
LU_0202,Differdange,1317,1237,119,53,23,170,81,214,185,29,348,11
LU_0603,Diekirch,1123,977,75,58,5,126,64,95,233,15,292,10
LU_0501,Clervaux,937,904,89,63,7,118,53,152,173,23,216,7
LU_1104,Grevenmacher,1033,960,69,45,8,152,82,142,161,13,277,7
LU_0604,Erpeldange,299,280,17,21,4,25,39,37,58,3,69,3
LU_0402,Bissen,1905,1783,120,84,12,326,80,257,359,39,489,13
LU_1302,Dalheim,1088,1022,78,56,6,167,94,127,146,32,307,6
LU_0704,Rambrouch,2978,2664,242,129,28,310,146,502,503,48,735,18
LU_0302,Contern,8842,7857,975,293,248,846,464,1559,1267,236,1815,151
LU_0203,Dudelange,1953,1837,151,61,22,295,116,300,278,56,539,15
LU_0303,Hesperange,10106,9164,886,382,126,1268,541,2901,750,304,1871,131
LU_1105,Junglinster,2408,2202,235,115,16,274,106,464,344,46,578,21
LU_0805,Kiischpelt,595,555,51,35,8,89,56,38,108,11,149,6
LU_0705,Grosbous,558,531,50,32,3,72,47,39,119,12,148,5
LU_0706,Redange-sur-Attert,1283,1283,111,94,6,183,67,152,308,36,311,13
LU_0304,Luxembourg,12308,10653,1176,484,335,1299,564,2222,1004,660,2538,368
LU_0902,Putscheid,156,144,12,8,2,18,17,18,30,1,34,1
LU_0903,Vianden,492,466,59,28,5,42,29,69,77,9,138,6
LU_0707,Saeul,3646,3298,284,183,24,423,226,536,650,64,864,40
LU_0708,Useldange,943,902,70,57,10,103,80,93,234,10,232,10
LU_0504,Troisvierges,466,434,43,22,2,59,40,39,76,7,140,3
LU_1203,Lenningen,1029,967,73,47,6,149,89,114,161,22,294,9
LU_0305,Niederanven,2068,1944,163,118,19,296,275,278,233,60,477,22
LU_0204,Esch-sur-Alzette,1057,1007,81,59,8,149,62,140,198,31,270,5
LU_0904,Goesdorf,818,787,86,59,8,98,56,104,144,19,204,4
LU_1204,Mondorf-les-Bains,2116,1937,217,97,11,235,129,337,300,35,563,10
LU_0807,Wiltz,522,493,49,33,3,48,46,52,110,16,129,3
LU_0505,Weiswampach,577,544,37,23,4,91,51,83,81,13,146,11
LU_0906,Heiderscheid,878,824,97,57,9,101,75,62,166,13,229,12
LU_0606,Feulen,732,686,63,52,0,64,75,59,117,13,225,13
LU_0403,Helperknapp,5793,5228,405,259,27,878,264,670,948,151,1579,44
LU_0205,Frisange,1702,1605,130,89,9,229,109,279,197,44,495,20
LU_0709,Vichten,358,336,26,29,1,36,37,28,74,2,93,5
LU_0607,Mertzig,1132,1044,97,70,4,100,114,124,214,21,284,12
LU_1205,Remich,3441,3183,257,125,18,567,182,420,617,70,895,29
LU_0306,Sandweiler,4305,4002,432,182,103,451,259,1043,390,136,949,53
LU_0206,Kayl,2744,2563,174,131,22,476,119,395,407,71,747,17
LU_0907,Kiischpelt,589,553,59,39,8,61,38,63,101,13,162,6
LU_0207,Leudelange,1235,1151,106,47,15,192,60,224,142,26,324,12
LU_0208,Mondercange,1505,1346,89,74,11,253,59,173,253,37,390,3
LU_0905,Lac Haute Sûre,938,873,78,58,11,92,82,88,168,19,268,5
LU_0506,Larochette,723,661,71,41,10,89,24,82,128,12,191,9
LU_1303,Lenningen,812,777,84,39,6,125,49,88,133,13,229,8
LU_0307,Schuttrange,1222,1146,73,62,4,203,50,140,247,35,321,8
LU_0507,Lintgen,1239,1149,101,50,10,153,65,216,171,27,337,15
LU_0508,Lorentzweiler,1851,1632,131,83,20,237,90,291,247,47,468,13
LU_0400,Luxembourg,29298,24763,2181,996,291,4257,1223,3418,4780,865,6536,212
LU_0209,Pétange,3677,3306,237,380,25,537,138,387,577,91,908,21
LU_1206,Schengen,972,895,72,46,4,146,94,133,132,10,245,9
LU_0710,Wahl,540,499,49,39,5,48,41,59,104,7,137,6
LU_0509,Mersch,3984,3546,324,172,31,567,211,449,708,79,972,30
LU_1207,Stadtbredimus,2055,1859,183,118,16,224,120,426,221,24,511,11
LU_0711,Groussbus-Wal,969,910,97,64,5,112,68,124,179,19,230,9
LU_1106,Manternach,577,541,39,21,8,70,61,78,91,7,160,2
LU_0308,Steinsel,3896,3612,292,167,54,550,227,694,471,139,962,52
LU_1304,Mondorf,2477,2102,192,90,31,277,147,286,383,48,626,17
LU_0608,Reisdorf,608,580,67,43,2,65,50,54,98,10,186,2
LU_0909,Neunhausen,180,168,9,11,2,18,12,29,41,5,37,1
LU_0404,Fischbach,2859,2582,161,105,15,486,112,412,489,66,720,11
LU_0510,Nommern,677,641,51,45,6,116,45,71,137,24,138,4
