gisco_id,name,registered,turnout,invalid,blank,DP,PPLU,Déi Konservativ,KPL,DL,Volt,déi gréng,LSAP,ADR,CSV
LU_0101,Dippach,2395,2079,69,166,409,122,5,15,74,39,356,229,177,413
LU_0102,Garnich,1274,1156,54,106,246,39,1,12,59,30,182,96,128,200
LU_0103,Habscht,2639,2309,81,190,368,160,5,16,99,37,344,211,272,521
LU_0104,Käerjeng,6310,5388,221,481,792,417,29,57,197,83,814,626,637,1029
LU_0105,Kehlen,3397,2870,85,225,619,121,10,11,107,59,519,257,302,550
LU_0106,Koerich,1396,1249,36,78,206,93,4,11,55,37,224,141,102,256
LU_0107,Kopstal,1724,1380,52,62,334,48,8,8,56,42,263,123,119,262
LU_0108,Mamer,4431,3670,126,192,732,167,6,13,147,91,810,337,284,759
LU_0110,Steinfort,2844,2450,90,163,397,171,9,14,92,48,453,336,228,444
LU_0201,Bettembourg,5868,4938,205,361,770,340,14,46,249,71,885,749,484,760
LU_0202,Differdange,10826,9110,683,895,1244,951,73,294,440,102,1525,1034,691,1173
LU_0203,Dudelange,11322,9593,551,783,1031,742,42,106,556,162,1548,2008,789,1271
LU_0204,Esch-sur-Alzette,13329,10659,777,1060,1311,860,52,234,683,178,1813,1387,729,1571
LU_0205,Frisange,2565,2221,84,184,350,129,13,11,85,37,353,205,414,350
LU_0206,Kayl,4983,4222,265,365,471,395,24,58,168,63,603,691,426,690
LU_0207,Leudelange,1387,1194,48,86,274,62,2,7,38,25,233,84,80,249
LU_0208,Mondercange,4370,3756,140,317,605,258,8,32,183,67,564,522,355,701
LU_0209,Pétange,8466,7218,467,694,853,860,106,94,273,92,1099,803,536,1335
LU_0210,Reckange-sur-Mess,1633,1428,46,138,247,88,6,12,56,28,279,141,141,241
LU_0211,Roeser,3341,2398,100,125,446,167,7,23,98,44,408,337,240,398
LU_0212,Rumelange,2618,2223,139,201,212,190,11,80,95,39,304,446,185,316
LU_0213,Sanem,9374,7949,391,760,954,652,62,125,452,108,1231,1268,719,1222
LU_0214,Schifflange,5667,4755,281,446,588,406,20,69,174,63,743,753,445,762
LU_0301,Bertrange,3449,2806,137,177,756,111,6,17,117,54,568,204,180,475
LU_0302,Contern,2234,1860,59,155,385,68,5,13,65,39,332,198,167,371
LU_0303,Hesperange,6430,5185,235,334,1117,246,14,28,225,89,1035,397,376,1086
LU_0304,Luxembourg,35401,27260,1463,1688,6683,1194,129,210,1349,693,5579,2486,1666,4115
LU_0305,Niederanven,3290,2672,95,99,634,103,14,12,106,81,503,279,181,561
LU_0306,Sandweiler,1698,1426,46,91,298,62,8,7,62,26,285,148,131,258
LU_0307,Schuttrange,1978,1699,66,118,405,65,4,4,67,71,362,165,109,258
LU_0308,Steinsel,2944,2497,73,143,563,122,6,15,107,46,470,373,157,417
LU_0309,Strassen,3484,2797,96,129,754,118,12,12,100,66,565,252,181,508
LU_0310,Walferdange,3604,2962,107,160,702,133,9,20,138,55,606,240,199,587
LU_0311,Weiler-la-Tour,1335,1195,37,81,228,41,2,7,45,14,285,101,124,226
LU_0401,Colmar-Berg,1103,986,49,111,207,70,4,9,33,15,145,68,128,144
LU_0402,Bissen,1712,1466,78,133,292,127,4,10,49,21,169,129,127,322
LU_0403,Helperknapp,2541,2272,70,224,441,126,10,19,86,35,400,162,230,464
LU_0404,Fischbach,662,616,25,70,146,46,2,3,19,16,101,33,45,106
LU_0405,Heffingen,840,754,20,62,163,46,2,2,33,13,127,69,74,140
LU_0406,Larochette,862,731,47,80,138,58,3,4,31,15,118,46,41,146
LU_0407,Lintgen,1561,1380,68,106,268,108,3,12,45,25,252,157,116,214
LU_0408,Lorentzweiler,2227,1843,80,143,395,104,4,10,75,33,313,198,132,350
LU_0409,Mersch,4935,4165,184,358,933,287,12,23,180,76,641,309,337,821
LU_0410,Nommern,869,796,24,61,171,42,1,3,51,19,147,58,80,134
LU_0501,Clervaux,3028,2635,106,273,516,194,17,23,78,41,319,158,266,641
LU_0502,Wincrange,2750,2473,85,263,478,143,9,21,38,36,186,281,289,638
LU_0503,Parc Hosingen,2190,1955,58,222,438,162,7,17,61,21,169,141,238,416
LU_0504,Troisvierges,1567,1384,69,155,260,102,4,12,34,20,164,88,131,339
LU_0505,Weiswampach,934,826,31,78,185,58,3,6,28,15,91,54,90,182
LU_0601,Bettendorf,1450,1271,53,128,272,91,2,6,51,32,142,113,118,259
LU_0602,Bourscheid,922,823,23,63,183,63,5,4,28,16,90,62,94,187
LU_0603,Diekirch,3600,2971,167,227,596,196,9,11,128,42,419,379,248,544
LU_0604,Erpeldange,1470,1290,39,84,270,81,4,6,51,18,212,106,135,281
LU_0605,Ettelbruck,4148,3414,196,310,696,230,16,34,124,65,477,344,281,637
LU_0606,Feulen,1266,1170,35,110,261,87,5,6,36,26,150,74,128,247
LU_0607,Mertzig,1325,1197,40,150,239,92,5,8,37,7,152,70,97,295
LU_0608,Reisdorf,580,515,26,56,99,48,1,4,17,4,53,28,54,121
LU_0609,Schieren,1027,903,42,124,278,45,2,6,22,11,102,46,55,165
LU_0610,Vallée de l'Ernz,1307,1191,33,150,243,84,3,9,44,13,140,60,119,288
LU_0701,Beckerich,1555,1398,42,127,214,116,5,11,58,32,304,87,119,278
LU_0702,Preizerdaul,1069,944,27,96,205,65,4,4,35,23,116,82,105,178
LU_0703,Ell,817,741,26,87,137,58,4,4,30,11,115,31,98,134
LU_0704,Rambrouch,2359,2074,86,222,377,154,9,11,56,41,274,123,237,478
LU_0705,Grosbous,673,634,25,80,153,46,2,4,10,2,59,36,76,137
LU_0706,Redange-sur-Attert,1731,1475,55,154,266,103,4,15,63,17,187,82,155,368
LU_0707,Saeul,531,479,11,47,82,21,1,3,25,8,101,26,62,87
