gisco_id,name,registered,turnout,invalid,blank,MV,Volt,LSAP,FOKUS,KPL,Déi Konservativ,DL,DP,ADR,Zesummen,CSV,déi gréng,PPLU
LU_0101,Dippach,2651,2267,88,169,25,15,433,39,13,11,46,378,221,3,502,232,86
LU_0102,Garnich,1398,1254,40,92,13,12,233,29,9,4,31,226,142,2,264,117,34
LU_0103,Habscht,2927,2525,84,202,13,16,463,34,10,15,61,330,306,8,600,243,134
LU_0104,Käerjeng,6680,5605,196,455,35,24,1200,67,62,24,127,675,758,21,1192,468,294
LU_0105,Kehlen,3859,3172,100,206,22,24,560,45,13,13,62,559,295,3,763,401,99
LU_0106,Koerich,1541,1328,47,86,6,5,237,20,12,4,35,219,125,7,285,169,66
LU_0107,Kopstal,2103,1632,64,76,14,14,212,17,12,9,36,367,142,9,379,229,46
LU_0108,Mamer,5120,4165,132,219,20,50,690,41,20,16,107,721,333,10,1079,586,135
LU_0110,Steinfort,3287,2770,99,204,19,19,666,25,13,12,55,383,297,8,520,318,125
LU_0201,Bettembourg,6193,5079,216,355,39,45,1309,72,39,17,142,697,512,11,908,542,169
LU_0202,Differdange,12732,10486,742,994,101,84,2615,141,243,77,408,1176,1094,51,1497,687,571
LU_0203,Dudelange,12022,10082,529,843,72,73,3303,104,86,50,352,922,975,32,1441,929,365
LU_0204,Esch-sur-Alzette,14548,11543,889,1149,93,108,2910,132,182,61,571,1163,1043,66,1719,970,481
LU_0205,Frisange,2759,2347,88,161,17,9,442,33,13,17,52,347,331,8,499,208,116
LU_0206,Kayl,5391,4420,217,484,27,16,1137,49,43,18,102,433,508,19,836,293,231
LU_0207,Leudelange,1412,1161,54,59,7,7,179,16,2,4,22,253,115,3,272,125,38
LU_0208,Mondercange,4425,3608,131,296,29,21,829,45,29,18,78,484,362,6,830,299,144
LU_0209,Pétange,9561,7960,531,781,73,56,1693,92,93,99,258,771,843,36,1400,594,635
LU_0210,Reckange-sur-Mess,1831,1599,27,130,10,16,313,24,11,5,28,253,185,3,359,167,62
LU_0211,Roeser,3740,2896,92,207,18,19,694,31,28,11,85,449,275,9,566,293,114
LU_0212,Rumelange,2751,2351,161,207,14,23,746,38,42,8,82,215,250,9,318,129,103
LU_0213,Sanem,10149,8508,391,678,65,63,2204,143,105,44,296,878,1036,25,1537,624,415
LU_0214,Schifflange,5925,4978,261,441,42,31,1250,64,51,19,180,564,562,26,852,407,223
LU_0301,Bertrange,3901,3044,146,176,27,25,454,41,21,10,68,741,229,9,616,392,82
LU_0302,Contern,2514,2051,60,135,8,21,357,30,5,6,29,419,163,2,480,270,59
LU_0303,Hesperange,7254,5692,234,322,41,74,851,67,46,32,159,1083,439,22,1363,767,186
LU_0304,Luxembourg,42633,31464,1630,1716,296,496,4726,401,228,120,1108,6591,2389,207,5836,4701,1013
LU_0305,Niederanven,3594,2813,78,118,12,19,446,28,13,10,52,649,204,7,718,392,60
LU_0306,Sandweiler,1884,1573,68,85,13,18,277,24,10,11,42,292,146,3,308,210,60
LU_0307,Schuttrange,2178,1773,54,81,4,22,306,25,2,7,42,408,133,4,353,276,52
LU_0308,Steinsel,3157,2639,87,183,13,22,527,27,16,12,48,548,193,5,535,334,81
LU_0309,Strassen,4217,3288,129,163,38,48,490,43,17,13,77,792,256,15,721,384,97
LU_0310,Walferdange,4099,3350,126,189,20,36,554,49,22,11,86,656,269,12,698,495,122
LU_0311,Weiler-la-Tour,1493,1300,28,80,8,7,189,14,3,3,33,258,110,3,297,221,41
LU_0401,Colmar-Berg,1234,1067,61,127,5,4,175,21,9,1,26,161,117,2,183,102,67
LU_0402,Bissen,1984,1628,74,134,17,27,304,28,9,8,36,249,129,2,357,157,91
LU_0403,Helperknapp,2980,2680,66,219,27,18,407,28,17,10,45,462,333,5,575,312,151
LU_0404,Fischbach,731,666,23,48,0,8,85,15,1,4,5,144,82,0,132,90,24
LU_0405,Heffingen,897,785,33,72,4,6,136,23,3,1,11,146,67,2,147,91,37
LU_0406,Larochette,966,826,43,106,7,10,137,12,5,4,20,133,60,2,143,85,53
LU_0407,Lintgen,1817,1555,74,113,13,16,282,11,13,6,40,287,125,9,293,192,77
LU_0408,Lorentzweiler,2459,2007,93,138,14,15,376,34,13,12,60,348,174,3,423,203,95
LU_0409,Mersch,5428,4553,161,343,31,37,668,63,25,31,126,920,416,11,903,590,220
LU_0410,Nommern,976,886,28,61,5,18,133,14,3,2,26,169,98,2,156,130,35
LU_0501,Clervaux,3418,2911,141,238,20,23,337,54,18,12,66,433,431,12,764,203,154
LU_0502,Wincrange,2906,2563,97,224,24,13,379,29,18,15,33,355,441,7,671,132,118
LU_0503,Parc Hosingen,2529,2220,104,223,10,14,319,56,12,15,57,329,337,7,493,124,115
LU_0504,Troisvierges,1683,1429,62,177,11,9,186,23,13,14,29,215,188,7,362,76,51
LU_0505,Weiswampach,1150,990,50,80,5,3,112,14,9,8,17,157,156,2,263,65,44
LU_0601,Bettendorf,1642,1434,83,145,6,6,229,30,8,5,36,225,136,7,305,136,72
LU_0602,Bourscheid,975,847,22,73,9,3,127,16,4,7,18,144,115,1,186,77,39
LU_0603,Diekirch,3791,3036,143,235,15,20,617,64,13,19,90,462,266,13,654,295,124
LU_0604,Erpeldange,1575,1341,28,103,3,7,217,19,2,5,41,249,141,2,311,150,57
LU_0605,Ettelbruck,4738,3767,195,306,34,25,719,62,39,21,120,587,355,38,732,361,166
LU_0606,Feulen,1436,1300,46,153,5,7,189,28,7,23,32,215,132,2,287,100,69
LU_0607,Mertzig,1420,1266,48,146,12,14,188,22,10,7,28,229,123,3,282,92,56
LU_0608,Reisdorf,693,590,43,48,2,4,83,7,3,5,9,103,76,0,127,34,39
LU_0609,Schieren,1197,1051,50,108,7,6,158,14,7,6,28,251,83,4,174,99,50
LU_0610,Vallée de l'Ernz,1494,1327,50,123,5,9,180,24,9,8,31,259,139,1,304,116,63
LU_0701,Beckerich,1746,1539,59,121,10,9,223,20,7,8,36,238,187,8,326,186,96
LU_0702,Preizerdaul,1165,1036,24,86,8,11,193,9,6,5,15,174,119,1,210,96,72
LU_0703,Ell,997,883,24,97,3,13,149,12,3,4,15,143,123,4,170,74,45
LU_0704,Rambrouch,2717,2381,103,214,24,19,447,23,19,14,43,289,370,8,507,159,137
LU_0706,Redange-sur-Attert,1906,1611,55,124,7,8,295,26,8,7,30,230,197,4,377,123,116
LU_0707,Saeul,589,525,3,34,2,4,85,8,3,2,21,80,59,2,125,66,26
LU_0708,Useldange,1305,1160,41,122,7,4,201,18,4,6,18,145,150,1,258,86,92
LU_0709,Vichten,851,779,14,64,6,5,95,24,5,3,30,132,111,1,160,64,59
LU_0801,Boulaide,947,833,34,75,11,6,138,12,7,3,12,105,140,2,174,45,62
LU_0802,Esch-sur-Sûre,1812,1602,72,168,9,10,253,20,9,6,24,206,190,5,351,170,105
LU_0804,Goesdorf,1077,974,31,97,7,6,131,10,12,5,11,129,161,1,245,66,57
LU_0805,Kiischpelt,744,666,26,57,4,7,83,8,3,3,16,68,118,2,177,58,32
LU_0806,Lac de la Haute-Sûre,1318,1180,51,111,7,5,152,17,11,5,13,160,173,3,326,73,69
LU_0807,Wiltz,3468,2945,225,286,25,19,668,30,50,14,113,354,333,52,512,139,120
LU_0808,Winseler,715,638,21,54,5,4,100,3,9,0,15,80,89,1,194,28,29
LU_0901,Tandel,1283,1160,37,109,7,8,173,32,8,1,20,194,134,1,287,90,53
LU_0902,Putscheid,698,631,17,43,3,2,80,15,4,3,18,92,97,1,170,51,31
LU_0903,Vianden,973,736,39,79,5,7,136,15,7,8,12,104,102,2,131,44,39
LU_1001,Beaufort,1499,1267,63,122,13,13,182,14,14,10,23,185,196,6,249,96,76
LU_1002,Bech,879,785,25,54,2,9,105,16,3,0,22,145,95,1,191,91,21
LU_1003,Berdorf,1134,998,37,83,6,5,205,13,6,2,20,147,177,3,179,86,22
LU_1004,Consdorf,1300,1092,30,90,5,7,150,17,8,6,26,234,149,1,221,102,41
LU_1005,Echternach,2864,2275,101,157,15,16,410,32,18,13,55,503,192,2,455,234,67
LU_1006,Rosport-Mompach,2283,2050,79,136,15,19,347,27,9,7,34,316,254,2,550,180,69
LU_1008,Waldbillig,1131,992,26,74,7,11,146,8,4,1,11,184,129,2,215,127,40
LU_1101,Betzdorf,2421,2026,45,140,15,19,334,25,7,5,51,341,190,3,482,304,58
LU_1102,Biwer,1123,991,32,67,5,14,151,16,2,2,22,198,130,2,209,99,38
LU_1103,Flaxweiler,1340,1182,34,70,3,10,184,20,3,2,21,216,108,4,322,136,43
LU_1104,Grevenmacher,2683,2314,89,166,12,14,401,58,20,10,50,427,239,6,491,239,86
LU_1105,Junglinster,4846,4089,92,244,17,57,642,92,21,14,89,912,377,4,819,571,132
LU_1106,Manternach,1438,1214,37,92,6,16,210,15,7,7,13,180,146,2,295,141,43
LU_1107,Mertert,2956,2437,102,188,13,27,599,35,15,5,64,359,248,6,489,192,88
LU_1108,Wormeldange,1765,1525,41,111,12,14,180,25,9,3,27,322,149,4,395,175,52
LU_1202,Dalheim,1422,1212,37,95,4,8,195,19,7,9,35,209,150,3,238,122,75
LU_1203,Lenningen,1309,1087,28,67,4,4,165,16,3,10,28,200,126,0,263,115,51
LU_1204,Mondorf-les-Bains,3002,2301,76,159,28,21,377,38,14,6,55,557,238,8,438,182,100
LU_1205,Remich,2018,1555,61,110,8,15,225,27,11,12,25,296,168,8,334,175,74
LU_1206,Schengen,3167,2730,81,207,24,24,490,40,19,17,57,494,302,6,597,248,120
LU_1207,Stadtbredimus,1151,998,29,60,11,5,133,16,7,5,17,167,159,1,223,121,38
LU_1209,Bous-Waldbredimus,1883,1658,55,119,5,11,258,20,17,7,32,300,192,3,388,188,57
LU_0711,Groussbus-Wal,1437,1324,58,120,6,4,178,16,5,8,12,234,177,1,336,94,70
