gisco_id,name,registered,turnout,invalid,blank,LA,Suverenitāte,Brīvība,JV,IZ,VL,NA,LRA,JKP (2014),LKS,S,ZZS,AL
LV_0010000,Rīga,412757,287691,1755,0,1948,255,364,57497,337,3388,44467,20174,2154,4929,109594,24279,16550
LV_LVZZ99,Ārzemes,87493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LV_LVZZBR,Citizens of Latvia living in Brazil,0,31,0,0,0,0,0,25,0,0,1,1,1,0,0,2,1
LV_LVZZUS,Citizens of Latvia living in United States,0,2236,12,0,6,1,1,1188,4,12,769,74,18,3,39,74,35
LV_LVZZIN,Citizens of Latvia living in India,0,8,0,0,0,0,0,3,0,0,3,1,0,0,0,1,0
LV_LVZZIE,Citizens of Latvia living in Ireland,0,1521,13,0,8,2,2,301,0,23,282,444,18,26,166,176,60
LV_LVZZAU,Citizens of Latvia living in Australia,0,936,4,0,4,0,0,438,0,6,427,15,8,2,9,11,12
LV_LVZZAT,Citizens of Latvia living in Austria,0,330,4,0,1,1,1,118,1,4,90,21,2,7,30,35,15
LV_LVZZBY,Citizens of Latvia living in Belarus,0,88,0,0,0,0,0,27,0,4,8,6,0,4,24,9,6
LV_LVZZBE,Citizens of Latvia living in Belgium,0,820,6,0,4,0,1,452,1,6,157,54,10,2,50,40,37
LV_LVZZCZ,Citizens of Latvia living in Czechia,0,78,0,0,1,0,1,35,0,0,8,8,1,0,18,4,2
LV_LVZZDK,Citizens of Latvia living in Denmark,0,777,4,0,9,2,0,246,0,11,152,176,17,4,65,56,35
LV_LVZZFR,Citizens of Latvia living in France,0,388,2,0,1,0,1,170,0,5,82,35,3,10,38,22,19
LV_LVZZEL,Citizens of Latvia living in Greece,0,85,1,0,0,0,0,38,0,1,17,6,0,0,14,4,4
LV_LVZZEE,Citizens of Latvia living in Estonia,0,212,2,0,1,0,0,83,0,4,33,22,3,6,35,13,10
LV_LVZZIT,Citizens of Latvia living in Italy,0,109,1,0,2,1,0,59,0,0,25,8,1,0,5,2,5
LV_LVZZJP,Citizens of Latvia living in Japan,0,16,0,0,0,0,1,7,0,1,3,2,0,0,1,1,0
LV_LVZZCA,Citizens of Latvia living in Canada,0,719,2,0,0,0,1,394,0,2,245,30,1,0,20,18,6
LV_LVZZRU,Citizens of Latvia living in Russian Federation,0,483,7,0,3,1,1,73,0,8,41,14,5,29,250,29,22
LV_LVZZGB,Citizens of Latvia living in United Kingdom,0,7217,59,0,78,10,12,1745,13,88,1216,1968,104,66,806,777,275
LV_LVZZLT,Citizens of Latvia living in Lithuania,0,148,2,0,5,0,0,56,0,1,25,15,1,1,31,6,5
LV_LVZZNL,Citizens of Latvia living in Netherlands,0,500,3,0,3,0,1,174,2,3,85,124,2,5,50,32,16
LV_LVZZNO,Citizens of Latvia living in Norway,0,1431,13,0,13,5,1,327,2,13,258,362,19,12,139,177,90
LV_LVZZPL,Citizens of Latvia living in Poland,0,99,0,0,2,0,0,47,0,2,25,7,0,0,9,5,2
LV_LVZZPT,Citizens of Latvia living in Portugal,0,107,1,0,3,0,0,51,0,0,23,10,1,0,11,5,2
LV_LVZZES,Citizens of Latvia living in Spain,0,71,1,0,0,0,2,27,0,1,21,1,0,1,4,6,7
LV_LVZZFI,Citizens of Latvia living in Finland,0,384,8,0,3,0,4,116,0,6,86,46,6,1,38,53,17
LV_LVZZCH,Citizens of Latvia living in Switzerland,0,348,3,0,6,0,1,142,0,1,60,49,3,1,43,27,12
LV_LVZZTR,Citizens of Latvia living in Türkiye,0,11,0,0,0,0,0,5,0,0,3,2,0,0,0,0,1
LV_LVZZUA,Citizens of Latvia living in Ukraine,0,75,0,0,0,0,0,17,0,2,24,3,1,1,18,5,4
