gisco_id,name,registered,turnout,invalid,blank,LKS,LN,LRA,ZZS,KPV LV,P,TKL,JKP (2014),PLI,S,NA,RP,Atmoda,CP,LSDSP,JV
LV_0010000,Rīga,416204,162925,1251,0,13629,812,5329,4562,1069,6008,314,7020,20610,42805,22620,298,575,748,184,35091
LV_LVZZ99,Ārzemes,3235,2955,453,0,50,7,67,62,18,321,1,136,496,89,344,0,8,7,3,893
LV_0130000,Jūrmala,35361,12791,117,0,1096,116,469,515,88,393,27,537,1572,2402,2216,27,42,66,25,3083
LV_0250000,Valmiera,18663,7476,47,0,139,36,418,435,54,237,4,316,922,449,1761,6,22,18,3,2609
LV_0661000,Alojas novads,3926,1219,7,0,10,11,117,99,26,18,6,47,126,36,295,5,9,6,2,399
LV_0360200,Alūksnes novads,12610,3591,26,0,56,26,265,298,39,101,2,147,436,232,637,0,26,17,6,1277
LV_0424701,Amatas novads,4213,1404,8,0,11,9,89,157,14,37,1,54,221,34,241,0,9,4,2,513
LV_0360800,Apes novads,2807,795,8,0,6,13,67,47,3,21,0,18,122,25,149,1,9,3,1,302
LV_0804400,Ādažu novads,7718,3349,19,0,80,17,311,190,47,90,3,149,532,253,595,5,16,10,3,1029
LV_0804900,Babītes novads,7120,2823,20,0,90,8,211,127,24,88,3,144,474,236,526,3,5,15,1,848
LV_0800600,Baldones novads,4148,1628,5,0,22,17,98,89,19,51,3,76,304,63,379,3,10,3,4,482
LV_0964700,Beverīnas novads,2411,843,10,0,4,5,51,60,8,28,0,38,100,19,259,1,3,3,1,253
LV_0967101,Burtnieku novads,5878,2035,19,0,42,13,136,150,17,51,3,88,240,122,483,9,13,5,5,639
LV_0805200,Carnikavas novads,6645,2759,14,0,160,16,133,118,23,82,4,133,401,323,506,2,8,7,4,825
LV_0700800,Cesvaines novads,2058,606,2,0,2,5,59,45,2,25,2,18,60,21,133,5,2,2,1,222
LV_0420200,Cēsu novads,13832,5291,24,0,61,27,336,244,49,193,3,231,756,281,1032,3,32,15,12,1992
LV_0705500,Ērgļu novads,2370,828,0,0,2,7,54,45,9,27,0,49,115,24,159,2,6,0,1,328
LV_0806000,Garkalnes novads,5843,2409,12,0,152,7,162,125,24,70,7,90,420,203,467,3,5,7,1,654
LV_0500200,Gulbenes novads,16891,4386,26,0,58,34,322,442,51,103,2,157,583,311,819,9,60,22,5,1382
LV_0740600,Ikšķiles novads,7263,3424,25,0,47,23,198,215,37,102,3,173,532,126,705,2,11,38,5,1182
LV_0801800,Inčukalna novads,5266,1687,12,0,75,23,101,85,52,36,0,66,231,269,303,4,13,3,1,413
LV_0425700,Jaunpiebalgas novads,1776,533,3,0,1,5,46,52,2,14,0,27,82,9,94,0,0,0,1,197
LV_0960200,Kocēnu novads,4757,1659,11,0,13,8,119,105,12,35,2,72,210,62,529,3,4,6,0,468
LV_0806900,Krimuldas novads,4086,1513,12,0,5,17,115,111,14,50,1,85,225,34,286,0,6,0,3,549
LV_0741001,Ķeguma novads,4382,1488,13,0,26,4,110,91,18,32,0,80,229,94,283,6,14,20,2,466
LV_0800800,Ķekavas novads,16608,7008,32,0,193,46,345,339,60,190,12,429,1140,561,1447,14,27,27,8,2138
LV_0741401,Lielvārdes novads,7725,2591,10,0,21,31,185,155,21,71,3,128,412,115,514,7,18,22,7,871
LV_0660200,Limbažu novads,13688,4682,41,0,40,33,400,273,34,94,7,223,696,232,923,5,20,26,12,1623
LV_0421200,Līgatnes novads,2803,944,2,0,4,13,56,49,8,22,3,60,141,33,221,0,9,5,2,316
LV_0701400,Lubānas novads,1977,634,13,0,5,10,63,46,6,10,1,19,77,15,118,0,3,3,2,243
LV_0700200,Madonas novads,18879,5961,52,0,46,45,408,526,62,246,6,258,779,317,979,9,24,21,24,2159
LV_0961000,Mazsalacas novads,2574,871,8,0,7,5,53,76,6,26,0,37,115,25,214,0,8,1,2,288
