gisco_id,name,registered,turnout,invalid,blank,AD,PL,PN,AL,Ajkla,Ind.
MT_01,DISTRICT 1,24727,22924,238,0,267,12462,9957,0,0,0
MT_02,DISTRICT 2,24607,23197,235,0,218,16312,6373,5,47,7
MT_03,DISTRICT 3,25189,23691,273,0,343,16050,7025,0,0,0
MT_04,DISTRICT 4,24546,23195,264,0,254,15323,7354,0,0,0
MT_05,DISTRICT 5,26129,24548,343,0,315,16201,7689,0,0,0
MT_06,DISTRICT 6,25357,23759,269,0,219,13934,9330,7,0,0
MT_07,DISTRICT 7,26303,24799,350,0,375,13805,10269,0,0,0
MT_08,DISTRICT 8,25625,23976,292,0,596,11350,11738,0,0,0
MT_09,DISTRICT 9,25268,23278,276,0,714,9854,12409,0,0,25
MT_10,DISTRICT 10,24813,22377,309,0,741,8665,12662,0,0,0
MT_11,DISTRICT 11,26763,24908,328,0,717,10404,13459,0,0,0
MT_12,DISTRICT 12,26015,23425,416,0,537,10862,11610,0,0,0
MT_13,DISTRICT 13,27730,25523,451,0,210,12311,12551,0,0,0
