gisco_id,name,registered,turnout,invalid,blank,ABBA,AD+PD,PL,PN,PP,Ind.,Volt
MT_01,DISTRICT 1,25863,22229,545,0,104,244,13025,8144,138,29,0
MT_02,DISTRICT 2,26942,23467,651,0,134,311,16243,5995,115,18,0
MT_03,DISTRICT 3,27566,23806,700,0,107,378,15950,6409,104,158,0
MT_04,DISTRICT 4,26688,23185,679,0,136,391,15219,6638,122,0,0
MT_05,DISTRICT 5,27056,23636,847,0,117,409,14865,7244,154,0,0
MT_06,DISTRICT 6,27321,23914,629,0,86,320,14106,8677,96,0,0
MT_07,DISTRICT 7,27925,24460,901,0,99,510,13084,9754,112,0,0
MT_08,DISTRICT 8,26360,22682,606,0,91,415,9807,11514,137,0,112
MT_09,DISTRICT 9,26007,21768,546,0,87,439,8626,11871,97,0,102
MT_10,DISTRICT 10,26776,21667,499,0,86,203,7839,12415,126,427,72
MT_11,DISTRICT 11,27402,23451,650,0,106,269,9588,12163,102,477,96
MT_12,DISTRICT 12,28245,22586,705,0,122,527,10245,10829,142,16,0
MT_13,DISTRICT 13,30924,27199,844,0,89,331,14110,11580,88,157,0
