gisco_id,name,registered,turnout,invalid,blank,PvdA,VVD,SP,CDA,GL,PVV,CU,D66,PvdD,EénNL,LPF,SGP,PVN,Lijst 14,LDP,NVT,VSP,ABC,CDDP,ID,GVIP,TOP,LRVP,SMP
NL_1680,Aa en Hunze,19837,17032,0,23,5745,3617,2605,2590,822,594,372,266,255,67,34,20,14,4,2,2,0,0,0,0,0,0,0,0
NL_0738,Aalburg,8936,7711,0,5,637,699,582,2765,59,411,887,29,94,33,11,1489,0,0,0,2,5,2,2,2,0,0,0,0
NL_0358,Aalsmeer,18515,15535,0,23,2230,3622,1420,5397,480,938,663,241,283,89,32,57,7,5,0,5,37,8,0,0,5,5,0,0
NL_0197,Aalten,20565,16919,0,13,2899,1624,3036,6946,421,542,956,154,194,52,13,29,8,2,4,4,15,2,0,3,3,0,0,0
NL_0305,Abcoude,6217,5503,0,5,808,1403,489,1701,374,190,166,193,102,23,5,32,5,0,0,0,5,5,5,0,0,0,0,0
NL_0059,Achtkarspelen,21513,17633,0,14,4522,1073,2651,6119,332,536,1953,52,162,44,13,134,7,4,0,2,6,4,0,0,5,0,0,0
NL_0482,Alblasserdam,13627,11424,0,11,2338,1074,1529,2634,201,669,1101,182,132,101,36,1389,9,0,0,2,10,5,0,2,0,0,0,0
NL_0613,Albrandswaard,16158,13493,0,17,2080,2917,1634,3640,353,1312,503,226,268,313,48,150,4,3,3,5,9,9,0,3,0,0,0,0
NL_0483,Alkemade,10909,9480,0,8,1221,1875,1056,4059,307,484,108,111,129,61,37,10,0,0,2,3,0,4,2,4,0,0,0,0
NL_0361,Alkmaar,71192,56943,0,80,13433,7939,12487,11008,3952,3220,1350,1346,1262,364,123,59,33,19,22,21,87,41,4,0,93,0,0,0
NL_0141,Almelo,53184,40792,0,30,10692,4690,7211,10678,1313,2293,1801,1154,478,146,60,89,20,0,11,5,69,17,3,0,32,0,0,0
NL_0034,Almere,124406,95274,0,192,24240,17371,16491,16448,4220,8075,2650,1651,2340,660,290,100,55,26,20,31,264,77,5,0,68,0,0,0
NL_0484,Alphen aan den Rijn,52905,42202,0,88,7605,7659,6179,11909,1811,2251,2237,829,741,261,83,439,31,11,13,6,0,27,2,20,0,0,0,0
NL_1723,Alphen-Chaam,7179,5996,0,1,708,1015,762,2808,134,322,47,63,73,18,13,0,0,3,2,8,12,6,0,2,0,0,0,0
NL_1679,Ambt Montfort,8620,7089,0,8,1193,703,1217,2411,194,1061,63,37,115,26,14,6,11,6,0,0,15,14,0,0,0,0,0,0
NL_0060,Ameland,2614,2446,0,0,491,419,255,991,90,86,46,24,30,3,3,4,0,0,0,0,3,0,0,0,3,0,0,0
NL_0307,Amersfoort,100205,82033,0,122,16987,12729,12543,19514,5476,3714,5760,2149,1557,390,135,617,23,15,25,13,89,61,4,110,0,0,0,0
NL_0362,Amstelveen,57040,47544,0,70,9601,11280,5539,11094,3029,2122,1216,1499,1394,275,67,75,23,24,20,10,140,41,5,0,19,5,0,0
NL_0363,Amsterdam,529314,393696,0,2624,117818,54533,72249,37498,48857,17456,6010,17507,13547,2344,660,324,245,233,184,92,665,220,57,0,256,0,185,132
NL_0364,Andijk,4915,4157,0,8,597,681,577,1375,132,219,312,36,108,35,15,46,3,3,0,0,10,3,0,0,3,0,0,0
NL_0366,Anna Paulowna,10486,8545,0,10,1412,1845,1273,2687,241,490,195,100,146,51,28,18,5,2,2,10,19,5,3,0,4,0,0,0
NL_0200,Apeldoorn,119022,97585,0,115,21398,14693,15560,24543,4022,4621,5133,2115,2085,413,180,2364,43,18,17,37,111,40,0,42,35,0,0,0
NL_0003,Appingedam,9634,7705,0,14,2839,691,1620,1384,235,255,401,106,89,17,19,13,4,0,2,3,7,6,0,0,0,0,0,0
NL_0885,Arcen en Velden,6668,5438,0,8,741,617,813,2319,126,640,40,39,53,13,8,0,3,2,0,3,11,2,0,0,0,0,0,0
NL_0202,Arnhem,107878,80836,0,162,20686,10134,18111,14071,6121,3752,2268,2580,1884,337,107,97,37,26,23,14,90,21,0,280,35,0,0,0
NL_0106,Assen,47786,39353,0,45,12126,4789,7265,6721,1881,1293,3645,606,593,140,79,141,13,2,6,8,0,0,0,0,0,0,0,0
NL_0743,Asten,12357,10280,0,13,1327,1301,1737,4705,215,590,86,104,96,57,23,7,4,0,4,4,13,0,0,0,0,0,0,0
NL_0744,Baarle-Nassau,5199,4022,0,2,531,535,606,1820,101,252,35,36,70,22,8,0,0,0,0,2,2,0,0,0,0,0,0,0
