gisco_id,name,registered,turnout,invalid,blank,VVD,D66,GL-PvdA,PVV,CDA,BBB,JA21,FvD,SP,PvdD,50PLUS,CU,Volt,SGP,NSC,DENK,BVNL,VvD,BIJ1,LP,FNP,PPNL,NVPLAN,VV,PvdR,DE LINIE,ELLECT
NL_1680,Aa en Hunze,21226,18121,31,83,3363,3129,2693,2314,1872,1056,923,874,497,341,277,227,197,67,66,31,24,22,13,13,8,0,0,0,0,0,0
NL_0358,Aalsmeer,23684,19689,45,55,4496,3139,1494,3196,2343,388,1788,924,225,242,224,357,156,145,66,269,37,26,42,14,0,10,7,7,0,0,0
NL_0197,Aalten,21879,18215,33,44,2295,2229,1539,2704,4206,1354,1152,992,254,158,240,431,97,181,115,97,34,17,17,6,4,13,0,3,0,0,0
NL_0059,Achtkarspelen,22269,17950,37,64,1650,1229,1197,4756,3079,833,942,1630,215,135,179,862,48,548,57,14,27,13,3,13,408,7,0,3,3,0,0
NL_0482,Alblasserdam,15076,12103,27,38,1230,1073,813,2146,1527,184,816,668,138,152,170,624,40,2166,28,189,24,11,9,8,3,7,0,4,0,8,0
NL_0613,Albrandswaard,20447,16385,43,57,3015,2520,1253,3010,1989,201,1644,798,200,258,313,219,127,194,52,338,20,40,54,17,4,11,0,2,0,6,0
NL_0361,Alkmaar,86933,68131,180,314,9722,14101,11000,8807,6039,1616,4103,3548,1602,1819,1078,551,846,188,294,1492,155,162,219,91,19,101,40,0,0,44,0
NL_0141,Almelo,56943,41386,130,159,5572,5400,3750,9919,5031,1121,2594,2359,845,419,662,748,260,309,233,1600,77,51,41,25,12,40,0,12,0,28,0
NL_0034,Almere,158693,107188,460,632,15089,17711,14920,20380,6678,1619,6059,5299,2498,2522,1881,1661,969,485,581,5689,232,241,1189,111,30,201,0,20,0,0,31
NL_0484,Alphen aan den Rijn,87934,71159,358,268,11203,12280,7040,10814,9691,1554,5033,3333,997,1111,1025,1568,620,1882,265,1538,129,79,146,56,0,78,30,6,0,55,0
NL_1723,Alphen-Chaam,8316,7066,19,24,1579,1014,478,1155,1116,452,493,328,77,78,106,8,44,6,18,24,16,11,6,2,2,6,3,2,0,2,0
