gisco_id,name,registered,turnout,invalid,blank,VVD,PvdA,D66,SP,CDA,PVV,GL,PvdD,50PLUS,CU-SGP,Artikel50,PPNL,AeuP,DG,Ikkiesvooreerlijk.eu,AeE,LDP,Jezus Leeft,IQ
NL_1680,Aa en Hunze,20275,8535,10,27,1483,1459,1288,906,876,702,626,454,358,214,38,24,20,20,11,6,6,5,2
NL_0738,Aalburg,9587,4258,13,8,305,145,173,197,690,599,46,67,91,1855,16,10,12,2,3,3,3,20,0
NL_0358,Aalsmeer,22495,8572,14,32,1767,631,1265,479,1435,1171,326,349,330,548,64,71,31,19,7,6,5,19,3
NL_0197,Aalten,20835,7726,13,19,729,571,711,867,2622,649,337,260,265,568,29,26,15,16,11,2,10,6,0
NL_0059,Achtkarspelen,21483,7274,10,21,461,874,364,641,1979,964,179,140,227,1281,31,32,19,8,4,3,2,33,2
NL_0482,Alblasserdam,14721,6213,9,6,456,559,487,506,756,827,134,179,158,2005,28,28,18,2,2,2,2,47,4
NL_0613,Albrandswaard,18897,7136,18,19,1211,527,1007,540,914,1438,233,350,235,478,45,38,37,4,7,7,10,15,3
NL_0361,Alkmaar,73020,29297,67,132,2987,3657,5256,3307,2584,3398,2963,1972,1343,667,193,396,90,100,60,29,41,48,7
NL_0141,Almelo,54230,16641,59,41,1503,1736,2157,1890,3583,2509,762,537,562,943,63,111,50,25,28,21,21,36,4
NL_0034,Almere,140571,42849,153,171,5276,4419,7421,4645,2787,8108,2706,2625,1504,1419,391,610,189,105,74,40,58,121,27
NL_0484,Alphen aan den Rijn,80990,32697,73,149,4497,2508,5048,2518,5364,4215,1879,1263,1118,3255,197,270,90,37,49,20,39,99,9
NL_1723,Alphen-Chaam,7608,3016,4,11,520,167,395,226,857,353,126,94,186,17,9,21,7,6,5,5,5,6,0
NL_0060,Ameland,2741,1417,2,8,227,212,129,77,377,160,68,64,26,41,6,6,11,2,0,0,2,0,0
NL_0307,Amersfoort,110844,46322,85,175,5296,4328,9605,4083,4839,4337,4549,2003,892,4974,232,433,87,111,75,42,55,102,19
NL_0362,Amstelveen,59318,25826,58,99,4640,2546,5688,1800,2484,2655,2088,1325,1103,673,165,234,79,66,28,11,38,35,11
NL_0363,Amsterdam,581485,207313,860,816,19657,29626,51510,19555,8476,16415,33772,12741,3521,2772,1126,3863,372,1155,322,140,306,238,70
