gisco_id,name,registered,turnout,invalid,blank,Ap,SV,Rødt,Sp,KrF,V,H,FrP,Dem,K,KSP,KP,MDG,Piratpartiet,PP,DLF,SP,NKP,FM,Folkelisten,StA
NO_0101,Halden,22632,16963,31,107,6118,400,133,626,1047,743,3907,2954,10,143,29,7,416,82,103,0,0,0,0,0,0
NO_0104,Moss,22764,17474,19,91,6136,637,268,116,572,776,4842,3241,8,51,8,5,487,68,58,0,0,0,0,0,0
NO_0105,Sarpsborg,39631,29505,71,172,11473,499,152,828,1551,829,6658,5911,27,339,33,11,407,92,280,0,0,0,0,0,0
NO_0106,Fredrikstad,57134,43486,47,240,16141,1067,308,720,2192,1576,11065,8055,21,253,29,23,1018,158,333,0,0,0,0,0,0
NO_0111,Hvaler,3419,2785,7,5,895,83,23,46,100,111,791,624,2,12,7,1,61,6,6,0,0,0,0,0,0
NO_0118,Aremark,1116,928,0,5,259,17,0,195,88,28,147,136,0,14,2,1,23,1,7,0,0,0,0,0,0
NO_0119,Marker,2794,2212,0,15,800,12,9,309,274,29,373,314,2,17,3,0,35,2,3,0,0,0,0,0,0
NO_0121,Rømskog,526,448,1,5,154,4,0,65,101,4,45,52,0,7,1,0,3,0,1,0,0,0,0,0,0
NO_0122,Trøgstad,3947,3038,3,22,731,41,15,513,162,87,724,653,3,18,1,0,28,9,6,0,0,0,0,0,0
NO_0123,Spydeberg,4039,3229,0,10,861,89,18,273,255,124,862,639,5,9,1,0,55,7,11,0,0,0,0,0,0
NO_0124,Askim,11150,8316,5,69,2687,202,54,250,399,293,2251,1768,6,47,5,5,138,28,40,0,0,0,0,0,0
NO_0125,Eidsberg,8130,6029,2,41,1712,105,32,554,387,230,1549,1201,5,43,11,6,77,14,19,0,0,0,0,0,0
NO_0127,Skiptvet,2627,2030,0,12,599,36,13,260,169,35,417,438,1,14,3,0,17,4,0,0,0,0,0,0,0
NO_0128,Rakkestad,5828,4286,5,14,1230,48,21,691,434,159,824,711,3,64,2,0,50,4,12,0,0,0,0,0,0
NO_0135,Råde,5227,4307,6,23,1119,63,16,285,380,157,1174,943,1,34,0,2,60,10,11,0,0,0,0,0,0
NO_0136,Rygge,11076,8667,16,42,2595,258,52,234,363,340,2703,1741,5,14,6,6,178,19,53,0,0,0,0,0,0
NO_0137,Våler (Østf.),3429,2700,0,12,656,46,20,252,171,74,711,664,0,24,3,1,42,6,6,0,0,0,0,0,0
NO_0138,Hobøl,3569,2862,0,10,744,61,15,188,183,128,660,756,0,20,1,0,73,6,7,0,0,0,0,0,0
NO_0211,Vestby,10889,8993,22,36,2516,407,71,293,278,441,2827,1608,4,31,0,11,329,36,28,12,7,0,0,0,0
NO_0213,Ski,20523,17035,15,54,5098,725,151,347,625,975,5479,2771,10,38,8,5,487,62,122,3,6,0,0,0,0
NO_0214,Ås,11791,9734,9,50,2642,583,99,632,366,675,2560,1478,4,31,3,4,475,34,28,6,5,0,0,0,0
NO_0215,Frogn,11293,9647,31,36,2332,335,68,232,229,649,3567,1633,5,21,7,4,328,29,99,4,2,0,0,0,0
NO_0216,Nesodden,12595,10657,10,41,2760,984,235,118,387,803,2826,1265,11,22,3,3,1080,35,27,4,2,0,0,0,0
